start	end	text
0	7000	Hello, everyone, and welcome to today's presentation by Project Tara.
7000	9000	I'm your host, Suyi An.
9000	14000	First of all, I'd like to thank our speaker, Lin Gaoxue,
14000	17000	for being our speaker today.
17000	20000	I'm also very happy to have people from all cities
20000	25000	and towns join us in this online academic presentation.
25000	32000	I'm going to spend a minute or two to introduce our speaker, Lin Gaoxue,
32000	37000	and then I'm going to talk a little bit about today's event.
37000	43000	I'm really happy that Gaoxue can be our speaker today.
43000	49000	Gaoxue and I met in NTU.
49000	52000	Gaoxue's background is very, very special.
52000	55000	Gaoxue graduated from NTU's Department of Chemistry,
55000	58000	so she didn't major in psychology.
58000	62000	Later, she studied at NTU's Psychological Institute,
62000	65000	which is a laboratory in the field of development.
65000	69000	She had a very special experience.
69000	72000	After Gaoxue studied at the Psychological Institute,
72000	75000	she didn't give up her original chemistry major.
75000	79000	Instead, she studied at NTU's Counseling Center.
79000	84000	After graduation, she even became a full-time high school chemistry teacher.
84000	90000	Gaoxue is currently studying in the Ph.D. class of the Catholic University of Belize.
90000	94000	As far as I know, she also studies in the field of psychological development.
94000	98000	When I was preparing for this presentation, I was actually quite nervous.
98000	102000	Because Gaoxue herself sent me a very rich CV.
102000	105000	At first glance, I thought she was a god.
106000	109000	Gaoxue, if I say something wrong, you can correct me at any time.
109000	112000	I was thinking about what to prepare.
112000	115000	The information is too rich.
115000	118000	Gaoxue has won many research-related awards,
118000	121000	including the Best Dictionary and Dictionary Award
121000	124000	at the Taiwan Psychological Institute,
124000	127000	as well as the Young Scholar Award
127000	130000	at the Taiwan Women's Studies Institute, etc.
130000	133000	I can't wait to be awarded.
134000	137000	Today, Gaoxue will mainly share with us
137000	140000	her speech on the topic of gender equality.
140000	143000	After all, I'm not an expert,
143000	146000	so I'll leave it to Gaoxue to explain it to us later.
146000	149000	But I think this topic, especially recently,
149000	152000	is particularly in line with the current situation.
152000	156000	During COVID-19, Taiwan may not be very obvious,
156000	159000	but abroad, there are indeed quite a lot of people
159000	162000	who are concerned about gender equality.
162000	165000	Many parents and children
165000	168000	may be stuck at home all day long
168000	171000	due to the COVID-19 lockdown.
171000	174000	So I'm really looking forward to Gaoxue's speech.
174000	177000	So I'm really looking forward to Gaoxue's speech.
177000	180000	This is Gaoxue's brief introduction.
180000	183000	Gaoxue can add her own self-introduction later.
183000	186000	Gaoxue can add her own self-introduction later.
186000	189000	So the format we're going to do today is
189000	192000	after I'm done with my presentation,
192000	195000	Gaoxue will start a one-hour speech.
195000	198000	Then there will be Q&A.
198000	201000	But the format of Project Hera is quite casual.
201000	204000	So if you have any questions,
204000	207000	you can just turn on your microphone and ask.
207000	210000	Or if you're a little shy,
210000	213000	you can leave a comment in the chat.
213000	216000	Or I may also collect them into the last Q&A.
216000	219000	Or I may also collect them into the last Q&A.
