start	end	text
0	10000	Hello, everyone. Welcome to the summer special series activities of Taira at the end of September.
10000	16000	This year's summer special series activities are a bit long. We will actually extend it to October.
16000	22000	Today's topic is called, what's wrong with high-profile, high-profile reform workers forum.
22000	33000	We are very honored to invite three speakers from different perspectives and fields to talk about high-profile reform for a long time.
33000	39000	The first thing I want to do is to introduce our speakers to you.
39000	50000	Our first speaker is Dr. Chen Xiaoyu. He is currently a vice-researcher at the National Institute of Science and Technology Policy Research and Information Center.
50000	57000	He is also a member of the Taiwan High-Level Educational Industry Association.
57000	63000	The second speaker is Dr. Xu Ruifu. He is currently a doctoral student at the Taiwan University Telecommunications Institute.
63000	68000	He was the president of the former Taiwan University Graduate Association.
68000	72000	At the same time, he is also a youth consultant member of the Executive Yuan.
72000	80000	He has been very active in participating in high-profile reform, especially from a student's point of view.
80000	82000	The third speaker is Dr. Xie Ruizhe.
82000	84000	But we may not call him that today.
84000	86000	Because everyone is used to calling him Zha Shi.
86000	88000	So we may also call him Zha Shi.
88000	90000	You can also call him that.
90000	94000	He is now the policy assistant of the Legislative Yuan Educational and Cultural Committee.
94000	98000	So he can also bring you different points of view in this regard.
98000	100000	I will not mention it again today.
100000	102000	But let me talk about it first.
102000	107000	Today's three speakers, their bosses are very willing to let them share.
107000	111000	But based on their experience, they will speak on behalf of themselves.
111000	113000	I will talk about it for them.
113000	115000	Okay.
115000	117000	So this is what we are going to do today.
117000	125000	We will invite the three speakers to talk about how they view the issue of high-profile reform.
125000	129000	Then we can start discussing from what they have said.
129000	133000	Let's start with Xiaoyu.
133000	135000	How do you view this issue?
137000	139000	Okay. I am Xiaoyu Chen.
139000	141000	Thank you for the invitation.
141000	145000	And thank you to the other two speakers, Ruizhe and Zha Shi, for their participation.
145000	147000	When it comes to high-profile reform,
147000	151000	I dare not say that I have been involved in reform for many years.
151000	155000	I basically want to share some observations on high-level education.
155000	157000	Okay.
157000	159000	My interest in research is mainly high-level education.
159000	161000	I also read this in my class.
161000	165000	The topic I want to talk about today is about high-level talents.
165000	167000	If you have seen my Facebook page,
167000	169000	which is LaoYuNanJie,
169000	171000	I have a fan page.
171000	175000	I often write on it that Taiwan issues are global issues.
175000	181000	But we also have different domestic issues that need to be discussed.
181000	185000	I cut from three perspectives of human resources management.
185000	187000	The first is the part about talent selection.
187000	191000	In fact, my country's current problem of doctoral education,
191000	195000	I personally think that it is not that no one reads doctoral classes,
195000	199000	but that excellent talents are not willing to read doctoral classes.
199000	201000	That is the problem of our country.
201000	203000	Okay. This is the part about talent selection.
203000	205000	Everyone can discuss this later.
205000	207000	From the part about the budget and the budget flow,
207000	209000	I personally think that there are two things,
209000	211000	some things are worth discussing.
211000	213000	The first is the talent selection.
213000	215000	The first is the part about doctoral education.
215000	219000	What kind of doctoral education do we provide in China?
219000	221000	Do we treat everyone as paper machines,
221000	223000	lab workers,
223000	227000	or do we really need to train people to solve problems?
227000	229000	And then in the future,
229000	231000	I hope that the industry or the academic world
231000	233000	will develop more and more.
233000	235000	I think this is a very important issue.
235000	237000	I think this is a very important issue.
237000	239000	I think this is a very important issue.
239000	241000	I hope that the industry or the academic world
241000	243000	will develop more and more.
243000	245000	I hope that the industry or the academic world
245000	247000	will develop more and more.
247000	249000	Okay. The other problem is the mechanism.
249000	251000	The mechanism will be discussed by the other two speakers.
251000	253000	I personally think there are two parts.
253000	255000	One part is about the part about study abroad scholarship.
255000	257000	One part is about the part about study abroad scholarship.
257000	259000	The related planning and distribution of the field
