start	end	text
0	10000	You can find the recording online a week and a half later.
10000	16000	If you have any questions during this process,
16000	18000	you can leave a comment in the chat box.
18000	24000	We will have Q&A time at the end for everyone to ask questions.
24000	27000	Let's get started.
31000	35000	Thank you everyone for listening to my presentation.
35000	39000	Hello everyone, I'm Lai Jun-Hai.
39000	41000	You can call me Matt.
41000	47000	First of all, I would like to thank Tyra for inviting me to share my research.
47000	50000	Let me introduce myself.
50000	52000	I'm from Yonghe, Hsinchu.
52000	55000	I graduated from National University of China.
55000	60000	I worked as an engineer for a year and a half at BASF in Taiwan.
60000	64000	Then I went to UCLA to study engineering.
64000	66000	I graduated in 2017.
66000	71000	I am currently working at Startup Battery Streak.
71000	74000	At the same time, I am also a visiting scholar at UCLA.
74000	80000	My main work is focused on the development and mass production of new battery materials,
80000	83000	as well as the transfer between the company and UCLA.
84000	87000	Today's topic is
87000	92000	Designing pseudo-capacitance for fast-charging batteries.
92000	97000	That is, how to apply the mechanism of solid-state batteries to fast-charging batteries.
97000	102000	First of all, why do we need fast-charging batteries?
102000	106000	The first motivation is the accumulation of electromagnetic traffic.
106000	111000	Charging stations are currently set up in three levels.
111000	114000	The first level is the plug-in that everyone puts at home.
114000	117000	It can charge 3 to 6 kilometers per hour.
117000	120000	The second level is the charging station in the parking lot.
120000	124000	It can charge 20 to 30 kilometers per hour.
124000	129000	The third level is the fastest Tesla charging station.
129000	136000	It can charge 5 kilometers per minute.
136000	141000	Interestingly, the current charging station is still far less than the gas station.
141000	146000	But it is almost impossible to see such a long queue at the charging station.
146000	149000	Not everyone has an electric car,
149000	155000	but 5 kilometers per minute is still too slow compared to the time required for gas.
155000	162000	The second application of fast-charging batteries is the popularization of renewable energy.
162000	167000	As of last year, renewable energy has reached one-third of the global power generation.
167000	173000	50% of the power generation comes from renewable energy.
173000	178000	Other European countries also reach 20 to 30% of renewable power.
178000	185000	We all know that when wind and solar energy are converted into electricity,
185000	187000	they must be paired with suitable batteries.
187000	191000	However, these batteries can't be charged quickly,
191000	193000	so they are inefficient.
193000	196000	For example, when the wind speed is fast,
196000	198000	there will be a momentary large current.
198000	201000	The batteries that can't be charged at low power
201000	204000	will become waste heat and reduce the life of the battery.
204000	212000	So basically, this concept is the same as the concept of fast-charging batteries paired with aging cell phones.
212000	216000	The third application of fast-charging batteries is plant-based medical equipment.
216000	223000	Generally, the supply of such equipment is made up of a battery paired with a capacitor,
223000	228000	which is in the box at the bottom left.
228000	235000	Generally, the battery is used to monitor the function of low power for a long time,
235000	239000	while the capacitor is used to respond to high power in a short time.
239000	244000	Due to the limited size of the equipment and the need for different organ parts,
244000	249000	a single high-power battery is used to replace the two-in-one mode.
249000	254000	This has always been the trend in the development of this type of equipment power supply.
254000	258000	Of course, in addition to the above three applications,
258000	259000	there are other applications.
259000	261000	I won't go into detail here.
261000	263000	So in this main speech,
263000	268000	it mainly introduces how to improve the power density and energy density of the storage components using the materials of the capacitor.
269000	271000	As shown in the picture on the left,
271000	274000	the x-axis is the energy density,
274000	276000	and the y-axis is the power density.
276000	284000	First, I will briefly introduce the materials of the storage components and the techniques required for analysis.
284000	293000	Then, the first part will start with the high-power supercapacitor material in blue.
293000	298000	Then, the high-power characteristics will be achieved by using a non-oxidized carbonate residue.
298000	301000	The second part will start with the lithium battery.
301000	306000	Here is an example of fluorine,
306000	308000	L-NBOPF,
308000	312000	which achieves high power density by nanomerizing the battery material.
315000	319000	Generally, batteries or supercapacitors are basically composed of two terminals.
320000	327000	The positive terminal and the negative terminal are placed on the aluminum foil and copper foil respectively.
327000	330000	The two terminals are separated by a multi-hole separator,
330000	333000	which is the middle part of the separator,
336000	337000	to avoid short-circuit.
337000	339000	When charging the battery, the lithium battery moves in the capacitor,
339000	342000	and the battery material produces an oxidation reaction.
342000	346000	At the same time, the battery moves in the external circuit to achieve the balance of the electric current.
346000	350000	The electric current is the main focus of our discussion today.
350000	355000	It is mainly composed of the storage material, carbon, and the high-voltage supercapacitor.
355000	358000	The electric current needs to have a certain vacuum.
358000	359000	It is like a sponge.
359000	361000	It must contain enough electrolysis.
361000	366000	At the same time, it must have enough conductivity to be a high-voltage supercapacitor.
368000	371000	Although the structure of the battery and the capacitor are the same,
371000	373000	the storage mechanism is completely different.
373000	376000	The mechanism of the capacitor is absorbed by the lithium.
376000	381000	In the external circuit, the aluminum foil and the copper foil are separated and absorbed by the surface of the battery.
381000	384000	Because the lithium is absorbed by the surface for a short time,
384000	386000	this mechanism is most conducive to fast charging.
386000	389000	The disadvantage is that its surface area is limited,
389000	392000	so the density of energy is generally low.
392000	395000	In contrast, the storage method of the battery
395000	399000	uses the oxidation reaction inside the material.
399000	403000	In this case, the lithium can enter the material,
403000	405000	and its energy is far greater than that of the capacitor.
405000	408000	However, since the lithium moves very slowly inside the material,
408000	412000	it is therefore unable to do high-speed charging.
414000	417000	Next, we will introduce how to distinguish the battery from the capacitor.
417000	420000	Basically, it is based on electrical chemistry analysis.
420000	423000	We will make the pre-analyzed material into an electrolyte
423000	425000	and test it in the same electrolyte solution.
425000	428000	Generally, the device to be tested
428000	434000	has a single-phase electrolyte test on the upper left,
434000	439000	and a double-phase torque battery test on the lower left.
439000	441000	There are two main methods of testing.
441000	445000	The first method is the cyclic voltammetry,
445000	447000	which is abbreviated as CV.
447000	450000	The principle is to change the speed of voltage change
450000	452000	to measure the change in current.
452000	454000	The second method is the DC voltage test,
454000	456000	which is abbreviated as GC.
456000	459000	In the case of DC voltage charging,
459000	462000	it measures the change in voltage of the battery
462000	464000	and makes a diagram of the voltage.
468000	472000	Now we use GC and CV to get the diagram
472000	474000	to distinguish the battery from the capacitor.
474000	476000	They are two different storage mechanisms.
476000	479000	The capacitor on the left can be seen that
479000	483000	the CV is a rectangle,
483000	486000	while the GC is basically a diagonal.
486000	489000	The battery on the right is composed of a set of peaks,
489000	494000	while the GC is mainly composed of a horizontal line.
494000	496000	Now that we know how to judge the material of the battery
496000	497000	and the material of the capacitor,
497000	500000	we can look for the material of the fast charging battery.
500000	503000	What characteristics do we hope the fast charging battery has?
503000	507000	We hope it has the characteristics of electromagnetic chemistry on the left,
507000	510000	which allows it to be a fast charging battery.
510000	513000	It also has the characteristics of the material on the right,
513000	515000	which increases the density of energy
515000	518000	by storing energy through the reaction of oxygen-chloride.
518000	521000	This is the material we are looking for.
521000	523000	The material of the capacitor
523000	528000	not only has a rectangle CV,
528000	532000	but also a diagonal GC,
532000	537000	and it stores energy through the reaction of oxygen-chloride.
539000	543000	Next, I will talk about the main character I will introduce today,
543000	545000	which is the T-Phased,
545000	547000	Orphohombic Phased,
547000	548000	NB205.
548000	551000	Next, I will call it NIOVIA.
551000	555000	In addition to having the characteristics of electromagnetic chemistry,
555000	558000	its energy density
558000	564000	is equivalent to the energy density of lithium carbon dioxide,
564000	568000	which is in the lithium-ion battery.
568000	573000	Its energy density is 10 times that of the capacitor.
573000	575000	Its power density,
575000	578000	which is the power of its fast charging,
578000	581000	can also reach 10 times that of the battery.
581000	583000	Its only drawback is that
583000	589000	it is still oxygen-chloride,
589000	591000	so its power consumption
591000	598000	is the first topic we are going to fix.
598000	600000	The first part
600000	606000	is to mix carbon with NIOVIA
606000	609000	to improve the properties of NIOVIA.
609000	612000	We need to deduce a good NIOVIA,
612000	614000	and we will eventually deduce
614000	617000	what kind of properties a good NIOVIA battery needs
617000	622000	to show the characteristics of its lithium-ion battery.
622000	626000	A good NIOVIA battery
626000	628000	basically needs two parts.
628000	630000	The first is the high-voltage part,
630000	635000	and the second is the part that can have a high pore density.
635000	637000	In this study,
637000	639000	we mainly used three materials.
639000	642000	The first material is our protagonist, NIOVIA.
642000	646000	The second material is our chemical-capable
646000	650000	Reduced Graphene Oxide, also known as RGO.
650000	654000	Its purpose is to provide short-term conductivity.
654000	656000	The third material
656000	658000	is the one on the far right,
658000	661000	Carbide Derived Carbon, also known as CDC.
661000	665000	It is a kind of carbon dioxide.
665000	667000	Its main purpose is that
667000	671000	it has a polypore structure
671000	675000	and its size is in the micrometer level,
675000	678000	so it can provide long-term conductivity.
681000	683000	The way we prepare the battery
683000	687000	is to first plant NIOVIA on RGO.
687000	692000	Next, we combine NIOVIA RGO with CDC
692000	696000	to get NIOVIA RGO CDC,
696000	698000	also known as NRC.
698000	702000	Finally, we make NRC
702000	706000	into a commercial-grade battery
706000	708000	and test it to prove that
708000	710000	it has a high-power and high-density
710000	712000	storage characteristics
712000	714000	at the right pore density.
716000	720000	This slide shows the details of the material equipment.
720000	723000	The main equipment is
723000	727000	the water-heating method.
727000	729000	We put the precursor
729000	733000	into the autoclave
733000	735000	and heat it up to 180°C
735000	738000	for 12 hours.
738000	742000	Next, we wash the particles
742000	747000	and dry them.
747000	749000	After drying,
749000	752000	we heat it up to 500°C
752000	755000	to get the body structure we want,
755000	757000	which is T-phase,
757000	759000	or ophiobic phase.
759000	765000	Next, we combine NIOVIA RGO
765000	767000	with CDC.
767000	769000	The main purpose is to
769000	770000	make this composite material
770000	772000	in the form of surface electrolysis.
772000	775000	Next, we make it into a battery
775000	777000	and test it.
779000	783000	We have 20% NIOVIA,
783000	785000	40% NRC20,
785000	789000	and 60% NRC20.
789000	791000	The BET on the right
791000	793000	is the analysis of the surface electrolysis.
793000	796000	It shows that
796000	799000	the surface electrolysis of the material
799000	802000	increases with the
802000	804000	composition of the CDC.
804000	806000	This means that
806000	808000	this composite method
808000	811000	does not cause the CDC to lose its surface area,
811000	814000	or the CDC to be less airtight,
814000	816000	or its structure to collapse.
816000	818000	Therefore, we can use
818000	820000	a simple ratio to
820000	823000	achieve the airtightness we need.
823000	826000	There are also two black dots on the picture.
826000	828000	These two black dots
828000	830000	are where we directly plant NIOVIA
830000	832000	on the CDC.
832000	834000	If we
834000	836000	do not use
836000	838000	this composite method
838000	840000	but use
840000	842000	the water-heat method
842000	844000	to directly plant it on the CDC,
844000	846000	at high temperature,
846000	848000	the CDC's
848000	850000	surface area
850000	852000	will...
852000	854000	Because the surface area is too large,
854000	856000	the surface area will decrease
856000	858000	at high temperature.
858000	860000	We want to use the CDC
860000	862000	to improve the airtightness
862000	864000	of the electrode.
864000	866000	This is the idea.
868000	870000	Next, we need to
870000	872000	use the CV to judge the electrode.
872000	874000	Let's see if it is like a battery material
874000	876000	or an electric material.
876000	878000	In the case of changing the minority,
878000	880000	we can get the corresponding current.
880000	882000	Therefore, we use the current
882000	884000	to make judgments with the change of the minority.
884000	886000	If the
886000	888000	material is like a battery,
888000	890000	the change of the current
890000	892000	will be multiplied by the minority.
892000	894000	If the material
894000	896000	is like a capacitor,
896000	898000	the current
898000	900000	will be multiplied by the minority.
900000	902000	In other words,
902000	904000	when the minority is doubled,
904000	906000	the current will be doubled.
906000	908000	Combining these two formulas,
908000	910000	we can get
910000	912000	the following formula
912000	914000	from the experiment.
914000	916000	The current is equal to the magnitude
916000	918000	multiplied by the minority.
918000	920000	This is called
920000	922000	B-value analysis.
922000	924000	We want the material
924000	926000	to be as fast as the capacitor.
926000	928000	Therefore, we want the B-value
928000	930000	to be as close to 1 as possible.
932000	934000	This proves that the material
934000	936000	can do high-speed charging.
938000	940000	Next,
940000	942000	the NRC
942000	944000	can store different
944000	946000	current
946000	948000	at different speeds.
948000	950000	On the left,
950000	952000	we use the minority
952000	954000	to burn the NRC.
954000	956000	The lowest value
956000	958000	is 100% Cdc.
958000	960000	The way
960000	962000	we control the minority
962000	964000	is from the slowest 30-minute
964000	966000	charging point on the left to the
966000	968000	90-second charging point on the right.
968000	970000	The y-axis is the energy generated by me.
970000	972000	As time goes by,
972000	974000	the energy generated by me
974000	976000	will be reduced.
976000	978000	We want the line to be as flat as possible.
978000	980000	This means that the material
980000	982000	can do high-speed charging
982000	984000	as well as low-speed charging.
984000	986000	The lowest value is 100% Cdc.
986000	988000	As the amount of niobia increases,
988000	990000	the density of the NRC
990000	992000	will also increase.
992000	994000	Up to 40%, the increased current
994000	996000	will not be affected by the minority.
996000	998000	From 0% to 20% to 40%,
998000	1000000	the current will remain as flat.
1002000	1004000	From 0% to 60%,
1004000	1006000	the NRC will be
1006000	1008000	charged at 90 seconds.
1008000	1010000	The current is
1010000	1012000	less than 40%.
1012000	1014000	The highest value, 100%,
1014000	1016000	although the total
1016000	1018000	current is
1018000	1020000	less than 40%,
1020000	1022000	we can expect
1022000	1024000	that when the charging time
1024000	1026000	is less than 90 seconds,
1026000	1028000	the NRC will increase by 40%.
1030000	1032000	On the right is the B-value
1032000	1034000	introduced in the previous page.
1034000	1036000	When the curve
1036000	1038000	is closer to 1,
1038000	1040000	we mainly do CV
1040000	1042000	for different materials.
1042000	1044000	Then we do
1044000	1046000	the analysis of B-value.
1046000	1048000	The result of the analysis is in the lower right corner.
1048000	1050000	When the curve is closer to 1,
1050000	1052000	it means that the charging speed is faster.
1052000	1054000	By this, we can judge
1054000	1056000	that the charging speed of
1056000	1058000	NRC40 is faster than
1058000	1060000	NRC60 and 100%
1060000	1062000	of NIOBIA.
1062000	1064000	This also proves that when 60%
1064000	1066000	of the CVC is stored in the electrode,
1066000	1068000	the electrode has sufficient airtightness
1068000	1070000	to accommodate sufficient electrolysis
1070000	1072000	to show the characteristics
1072000	1074000	of NIOBIA lithium-ion battery.
1076000	1078000	Finally,
1078000	1080000	we combine the NRC40
1080000	1082000	with the traditional lithium-ion electrode
1082000	1084000	to form a full electrode
1084000	1086000	to do
1086000	1088000	the analysis of CV
1088000	1090000	and GC.
1090000	1092000	In terms of CV,
1092000	1094000	we can get
1094000	1096000	the characteristics of the lithium-ion
1096000	1098000	we just talked about,
1098000	1100000	which is that it is a rectangular CV.
1100000	1102000	In terms of GC,
1102000	1104000	we also get
1104000	1106000	a oblique GC.
1106000	1108000	At the same time,
1108000	1110000	due to the combination of NIOBIA,
1110000	1112000	we not only
1112000	1114000	increase the energy density
1114000	1116000	at low power,
1116000	1118000	but also increase the energy density
1118000	1120000	at high power.
1120000	1122000	At the power of
1122000	1124000	3000W per kg,
1124000	1126000	we can store
1126000	1128000	up to 23W
1128000	1130000	per kg of energy density.
1134000	1136000	Next,
1136000	1138000	I will briefly summarize the figure on the right.
1138000	1140000	The first part
1140000	1142000	is that we use the amount of Cdc
1142000	1144000	to adjust the airtightness and
