start	end	text
0	7000	Let me share the video.
7000	16000	While Ziqi is preparing for the video, let me introduce Ziqi.
16000	20000	Hello everyone, I am your host today, Zhang Yanping.
20000	23000	Our speaker today is Yan Ziqi.
23000	30000	Yan Ziqi is a neuroscientist based in Colorado.
30000	36000	You will hear more about her in her presentation later.
36000	41000	She specializes in community detection.
41000	43000	You will hear more about her in her presentation later.
43000	46000	Let's talk about Ziqi's background.
46000	53000	When Ziqi was in college, she studied biology, chemistry, and biochemistry.
53000	57000	This reminds me of some of my online friends.
57000	61000	Online friends seem to do a lot of other things at the same time.
61000	65000	She was a network scientist who was delayed by chemistry,
65000	70000	and then she still had to be a network scientist.
70000	73000	After graduating from college,
73000	80000	Ziqi did a lot of work as a research assistant or a software engineer.
80000	84000	So she slowly turned to information technology.
84000	91000	From the perspective of information technology, she became a network scientist.
92000	98000	All the information is very helpful to the host.
98000	102000	She has a very complete personal website.
102000	106000	If you are interested, you can find it on the website.
106000	110000	Including her recent activities.
110000	116000	She has done a lot of public service or network science promotion activities.
116000	119000	There will be a schedule for her recent activities.
119000	122000	You can follow her schedule.
122000	126000	You can also read her articles.
126000	129000	Without further ado,
129000	136000	let me give a round of applause to welcome our speaker today, Ziqi.
136000	139000	Okay, I'll leave it to you.
139000	143000	Thank you all for listening to my speech.
143000	146000	I prepared about 50 slides today.
146000	150000	The goal is to finish in an hour.
150000	154000	The topic of this speech is
154000	162000	to do community analysis on a network called bipartite network.
162000	167000	A bipartite network is the one you see on the screen now.
167000	170000	It consists of blue and red.
170000	177000	A bipartite network is the one you see on the screen now.
177000	184000	A bipartite network is the one you see on the screen now.
184000	189000	Daniel Laramore and I
189000	195000	developed a statistical model
195000	197000	called Stochastic Block Model
197000	201000	to fit the network
201000	205000	and find the community in the network.
205000	210000	The most important thing is
210000	215000	I don't know the structure of the network yet.
215000	218000	On the left side of the picture,
218000	220000	you only know it's bipartite.
220000	222000	We want to know
222000	225000	whether each type of bipartite network
225000	228000	can be subdivided into smaller networks.
228000	230000	If it's possible,
230000	234000	we want to know how big the statistical model is.
234000	239000	Then I'll know how to divide it.
239000	244000	You can see the PDF slides and related tweets.
244000	248000	My goal today is to talk about
248000	253000	why we need to look at the large-scale network structure
253000	256000	and how to find these structures
256000	259000	and the related references.
259000	266000	In 1718,
266000	270000	when I was still an engineer,
271000	274000	Mr. Li Zhengde from the Department of Statistics
274000	277000	asked me to share with the students
277000	279000	in the Department of Statistics
279000	283000	what they did
283000	287000	in software engineering.
287000	289000	I designed a course
289000	292000	to let them use Python
292000	296000	to analyze their own network.
296000	301000	I had six hours to talk about it.
301000	304000	I designed a questionnaire.
304000	307000	I asked them to fill in their name,
307000	309000	school number,
309000	313000	and their friends in the class.
313000	316000	They could also
316000	320000	include their own attributes,
320000	323000	such as gender, age,
323000	326000	age,
326000	329000	and other things.
329000	331000	Sorry,
331000	334000	which page are we at now?
334000	337000	We're looking at the editor's screen.
337000	339000	It's the first page.
339000	341000	Or are you...
341000	343000	I'm already on the second page.
343000	344000	Sorry.
344000	348000	You might want to switch...
348000	351000	Are you playing it?
351000	356000	I'm playing it on my Keynote.
356000	359000	But it doesn't look like it.
359000	360000	Let me see.
360000	362000	Can you play it first
362000	364000	and then share?
364000	368000	And then share.
368000	371000	Play it first and then share.
371000	376000	Yes, play it first and then share.
376000	378000	You have to press...
378000	381000	Yes.
381000	384000	Sorry, let me see.
384000	386000	But I have a question.
386000	387000	After I pressed play,
387000	388000	I entered the full screen
388000	390000	and I couldn't see
390000	394000	BlueJeans anymore.
394000	396000	Yes, so the host has to check
396000	398000	if anyone is talking to you.
398000	401000	Don't worry about BlueJeans.
401000	407000	Okay, then I...
407000	409000	Let me try it this way.
409000	413000	I'll share my full screen.
413000	417000	This should be all of it.
417000	419000	Yes, this is all of it.
419000	421000	Okay, I'll press play now
421000	426000	and see if anyone jumps in.
426000	427000	This is my first page
427000	428000	and I just got to the second page.
428000	430000	Did anyone jump in?
430000	433000	Okay, this is what I just said.
433000	435000	Everyone still has it, right?
435000	436000	Okay, if you have any questions,
436000	437000	you can tell me
437000	439000	and you can interrupt me.
439000	440000	Okay, I just said
440000	441000	that I'll send out a questionnaire
441000	443000	and let them...
443000	446000	Can I?
446000	448000	Let the students
448000	450000	fill out the questionnaire
450000	452000	and list their names.
452000	453000	The point is
453000	454000	who they think is their friend
454000	456000	in the class.
456000	460000	Including some of their own information.
460000	462000	And then...
462000	463000	Because I'm going to teach them
463000	466000	to do some network analysis with Python.
466000	467000	So,
467000	468000	after I let them fill out the questionnaire,
468000	470000	there's that Google Form when they come in
470000	471000	and then I'll sort it out
471000	475000	into a CSV form like this.
475000	476000	CSV form.
476000	478000	And then...
478000	481000	In fact,
481000	483000	for example, ID is the person
483000	484000	who fills out the questionnaire.
484000	486000	And then ID of Acquaintances
486000	490000	is who is their friend.
490000	491000	So, for example,
491000	492000	in the first line,
492000	493000	you can connect a line
493000	497000	from node 1 to node 58.
497000	499000	And so on.
499000	500000	And then there's some
500000	502000	metadata about that node.
502000	504000	And then I can turn it into
504000	506000	a network on that class.
506000	508000	And the funny thing is
508000	510000	this class is a statistics class,
510000	512000	so most of it is statistics.
512000	514000	And then there are some students
514000	515000	from other classes.
515000	517000	And then the students from other classes
517000	520000	seem to make friends
520000	521000	with the students from other classes.
521000	523000	And then even the students from the statistics class
523000	526000	have a lot of statistics students.
526000	528000	And then the funny thing is
528000	530000	if you say a person is a friend,
530000	531000	he doesn't necessarily say you're a friend.
531000	534000	So this direction is pretty cruel.
534000	537000	And then...
537000	538000	What we see here
538000	540000	is a simple example of a network.
540000	543000	It's a simple one.
543000	546000	It's a connection between two points.
546000	547000	It's just a line.
547000	551000	And it's a directional network.
551000	554000	And this network also has metadata.
554000	556000	That is, nodes or edges
556000	558000	can have some other data
558000	560000	added to it.
560000	563000	Or we can go to the US Congress.
563000	566000	And then we can see
567000	569000	that every Congress
571000	572000	has a speech.
572000	574000	And then there's the speaker
574000	576000	and the text of the speech.
576000	578000	And then this is...
578000	579000	He can see
579000	581000	that as this member takes office
581000	585000	and then as the years go by,
585000	587000	and then everyone
587000	589000	in this member
589000	591000	on the word
591000	592000	Is there any change?
