start	end	text
0	5000	Welcome everyone to today's presentation.
5000	10000	Today's speaker is Joey Huang.
10000	15000	We are very honored to invite him to give this presentation.
15000	20000	Let me briefly introduce today's speaker.
20000	30000	Joey Huang is currently a postdoc in the School of Information and Computer Sciences at the University of California, Irvine.
30000	37000	She received her Ph.D. in Learning and Developmental Sciences from Indiana University, Bloomington.
37000	48000	Coming from a background of educational psychology and computing, her research focuses on computational thinking, collaboration, and STEM learning.
48000	59000	As a learning scientist by training, she aims to create more interesting and inspiring learning environments to promote equity and collaboration.
59000	77000	Today's topic is the 5th C of 21st Century Education, Computational Thinking.
78000	83000	Without further ado, I will hand over to Joey Huang.
83000	88000	If you have any questions, please leave a comment in the chat area.
88000	90000	I will forward the questions to him.
90000	95000	Now I will ask him to start his presentation.
95000	98000	Thank you for your introduction, Haoran.
98000	101000	Has everyone seen my screen?
101000	104000	Yes.
104000	106000	Thank you.
107000	114000	If you have any questions, please leave a comment in the chat area.
114000	116000	I can't see most of you right now.
116000	119000	Most of you didn't turn on the video.
119000	120000	It's okay.
120000	122000	As long as you can see me.
122000	128000	If you have any questions, please leave a comment in the chat area.
128000	135000	If you have any questions, please leave a comment in the chat area.
135000	140000	As I mentioned, I am a PhD student at UCI.
140000	145000	I have three main purposes for this presentation.
145000	149000	I hope you can take this with you when you listen to it.
149000	154000	First, this presentation will provide you with a basic idea of computational thinking.
154000	156000	What is computational thinking?
156000	159000	Why do we need to care about it?
159000	166000	Second, I hope you can take this with you when you listen to this presentation.
166000	170000	You will experience the process of computational thinking.
170000	173000	You will interact with each other.
173000	174000	Not interacting with each other.
174000	177000	I will give you a little experience.
177000	180000	Lastly, I hope you can take it easy.
180000	184000	Whether it's morning, afternoon, or evening.
184000	186000	No matter where you are.
187000	189000	Thank you for coming today.
189000	192000	I am happy to share this topic with you.
192000	195000	This is my first time presenting my research in Chinese.
195000	198000	It's a new experience for me.
198000	205000	I don't think there are many people studying education or learning sciences in this group.
205000	209000	I hope you can take this with you when you listen to this presentation.
209000	211000	You can also interact with each other.
212000	217000	First, I will talk about computational thinking.
217000	219000	It's called computational thinking in English.
219000	223000	This is the 25th century education's 5th C.
223000	225000	What is the 5th C?
225000	227000	It means that there are 4 Cs in front of me.
227000	233000	The 4 Cs in front of me come from a partnership for 21st century learning.
233000	237000	It's a P21, a non-profit organization in the US.
237000	241000	It's a collaborative research organization with a research team.
241000	245000	There are 4 Cs in front of me.
245000	249000	Can you guess what the other 4 Cs are?
249000	254000	Communication, Collaboration, Critical Thinking, and Creativity.
254000	258000	Why is computational thinking the 5th C?
258000	260000	Next slide.
260000	264000	Let's talk about why we talk about computational thinking.
264000	269000	The so-called question is often used in our research.
269000	272000	People will say that it sounds good.
272000	274000	So what?
274000	277000	So why do we talk about it?
277000	280000	Let's talk about AI first.
280000	283000	Artificial Intelligence.
283000	286000	I don't know if you have seen the Westworld documentary.
286000	298000	It's a documentary about how humans interact with AI.
298000	301000	Hello, I can see the chat.
301000	305000	If you don't have any questions, just type them in the chat.
305000	307000	I can see them.
307000	310000	On the left, you can see a robot's hand.
310000	312000	On the right, you can see a human's hand.
312000	315000	This documentary is a bit exaggerated.
315000	318000	If you look at it realistically,
318000	320000	you may have heard that
320000	323000	some jobs will be replaced in the next few years.
323000	326000	Or some jobs will no longer exist.
326000	330000	The professor is being discussed.
330000	332000	My opinion is that
332000	335000	it's hard to replace the professor.
335000	338000	He has a meaning.
338000	340000	But teaching is dangerous.
340000	342000	So in the future,
342000	345000	there may be robots in classrooms
345000	348000	from K-12 to kindergarten.
348000	352000	There may be robots in classrooms from 4 to 18.
352000	355000	They will assist teachers and students.
355000	362000	This development is not only a global trend.
362000	365000	I will use the United States as an example.
365000	370000	This is a comment from the Wall Street Journal.
370000	379000	This is a report from NSF this year.
379000	381000	In August this year,
381000	387000	NSF was the first round of AI institutes.
387000	392000	There are more than 20 million institutes.
392000	395000	In the next five years,
395000	400000	they will use this fund to develop different AI projects.
400000	404000	Some of these projects are related to the future of work.
404000	406000	Some of them are related to education.
406000	408000	Most of them are discussing
408000	413000	how to make AI more advanced.
413000	415000	On the other hand,
415000	417000	it's a bit like a turning point in education.
417000	420000	How do we better prepare our next generation
420000	422000	to face this world?
422000	424000	If you are interested,
424000	427000	I will share all the resources at the end of the slide.
430000	433000	Now I have answered the question about digitalization.
433000	435000	After all,
435000	437000	I want to talk about
437000	444000	the relationship between AI and technology.
444000	446000	When I was young,
446000	448000	I may have revealed my age.
448000	449000	When I was young,
449000	450000	the first day of computer class,
450000	452000	the teacher taught me how to turn on and off.
452000	453000	Nowadays,
453000	455000	every child has an iPad.
455000	456000	In class,
456000	458000	everyone uses an iPad with a computer,
458000	461000	or the iPad is directly integrated into the class.
461000	463000	This is very common.
463000	464000	In fact,
464000	466000	we have never experienced
466000	469000	such a technology-heavy age.
469000	470000	In fact,
470000	471000	this turning point,
471000	472000	knowledge loss,
472000	473000	and experience
473000	476000	are all important in education.
476000	478000	So it's not just about the development of AI.
479000	483000	What is computational thinking?
483000	485000	If we all agree that
485000	488000	computational thinking is an important concept,
488000	492000	let's talk about the history of computational thinking.
492000	494000	The history of computation
494000	498000	can be traced back to the 19th century.
498000	500000	In the 20th century,
500000	502000	in 1962,
502000	505000	Alan Perlis, a computer scientist,
505000	506000	said that
506000	510000	programming is not just a skill.
510000	514000	It can be seen as a theory of computation.
514000	518000	This skill can be applied to other subjects
518000	524000	through a way of practicing and thinking.
524000	527000	So he started programming
527000	529000	beyond just a keyboard search.
529000	532000	It connects to the thinking of human beings.
532000	534000	It's a breakthrough.
534000	536000	But he didn't talk about it later.
536000	538000	Then it continued to develop
538000	540000	until Pepper and Harrell in 1991,
540000	543000	which is about 20 centuries later.
543000	545000	Their first term,
545000	547000	this researcher,
547000	548000	if you are in education,
548000	549000	you are familiar with it.
549000	552000	There is a theory called constructionism.
552000	553000	It's Simon Pepper.
553000	557000	Based on MIT Media Lab,
557000	559000	they invented a program
559000	562000	called Logo Computation
562000	563000	for children to learn.
563000	566000	It's a language for learning programming.
566000	568000	Looking back,
568000	569000	you might think
569000	572000	it's a very low-resolution,
572000	574000	and it's just a turtle
574000	576000	that teaches you how to draw shapes.
576000	578000	But in 1991,
578000	580000	it was a breakthrough.
580000	582000	So Simon Pepper
582000	584000	was the pioneer of constructionism.
584000	586000	He emphasized learning from doing,
586000	588000	gaining knowledge from doing.
588000	590000	So he was the first to
590000	592000	combine the terms
592000	594000	computation and thinking.
594000	596000	He published this article.
596000	598000	As for computational thinking,
598000	600000	in his research in 1991,
600000	602000	he didn't discuss it in depth.
602000	604000	He just mentioned
604000	606000	this is computational thinking.
606000	608000	Computational thinking
608000	610000	became very popular
610000	612000	in 2006.
612000	614000	A woman named Jeanette Wing,
614000	616000	a computer scientist.
616000	618000	She published a...
618000	620000	Here's a screenshot.
