start	end	text
0	10000	I am the host today, Li Yuejia, and I am very happy that everyone is here to participate in today's talk.
10000	17000	Today's speaker is Chen Hongren, who is currently studying a doctorate degree at Amsterdam University.
17000	28000	He said that his original goal was to become a magical baby master, but when he came back, he was already on his way to medical school and medical school.
28000	32000	His main topic is the immune response of giant cells.
32000	39000	The topic ranges from animal modeling, infectious diseases to cancer, as well as substance immune diseases.
39000	41000	So it's actually quite broad.
41000	52000	In addition to animal experiment models and molecular biology, he also does big data analysis, including genes, transmission, protein, metabolism, and metabolism.
52000	57000	So in fact, his field of research is very broad, and I think it's very impressive.
57000	65000	In addition to the lab, he often appears in the kitchen, gym, mountain, or all kinds of water areas.
65000	70000	So I think he said he was A-zai, but I don't think he looks like A-zai.
70000	74000	This is his personal self-introduction.
74000	86000	If there are people in the same field of research or people who are interested in his field of research, they can interact with him after the speech or exchange opinions.
86000	97000	His speech topic today is COVID-19, the early antibody-forming immune compound that causes the excessive immune response of giant cells.
97000	103000	I'll leave the speech to Peng Ren.
103000	106000	Thank you for the introduction.
106000	109000	I don't know if you can see it.
109000	112000	If you have any questions, you can tell me anytime.
112000	118000	Because I'm afraid if you're lost in the middle, you might not be able to listen.
118000	130000	As I said, the topic I'm going to talk about today is COVID-19, the immune response that it causes in our body, and why it can cause more serious symptoms.
130000	134000	Today is March 14th, which is the day of the International Ape Day.
134000	137000	So I think it's quite interesting.
137000	139000	Let me introduce who I am.
139000	141000	I graduated from the Faculty of Medicine in Taiwan.
141000	146000	I am now a PhD student at the Amsterdam Institute of Medicine.
146000	152000	My main fields of research are immunology, molecular biology, transferology, and biophysics.
152000	158000	The main topic of our group is giant cells.
158000	165000	My boss specializes in arteriosclerosis.
165000	168000	My main field of research is the immune response of immune cells.
168000	170000	I also work on the immune system.
170000	175000	If you're interested in these fields or want to work with me,
175000	180000	I usually want to connect with you through LinkedIn or Twitter.
180000	182000	I have a QR code below.
182000	189000	If you're interested in hiking, anime, or want to get to know new friends,
189000	193000	you can find me on Facebook at the bottom right.
193000	195000	Okay, so...
195000	197000	If you look at my resume, you might think,
197000	203000	since my boss specializes in arteriosclerosis,
203000	206000	why would I introduce COVID-19 today?
206000	210000	The story begins with something that happened last year.
212000	217000	In 2019, as you know, COVID-19 broke out.
217000	220000	When COVID-19 broke out,
220000	222000	I don't know why, but there was a barrier in Taiwan.
222000	224000	It was different from other parts of the world.
224000	226000	In Holland, where I live,
226000	230000	the virus spread and the city was closed down.
230000	235000	So you couldn't go to the lab unless you were doing research on COVID-19.
235000	238000	Obviously, my condition at the time was...
238000	240000	I couldn't complete my thesis.
240000	243000	So I discussed with my boss...
243000	246000	Because my topic is different from others in our group.
246000	248000	I rarely do cardiomyopathy.
248000	250000	I don't have an arteriosclerosis project.
250000	253000	I tend to focus on pure immunity.
253000	257000	So I asked my boss if we could do some research on COVID-19.
257000	262000	On the one hand, it's a good opportunity to do research on immunology.
262000	266000	On the other hand, I want to end the pandemic as soon as possible.
266000	270000	So we started our COVID-19 research project.
270000	272000	The main topic of my talk today
272000	276000	is a preprint we published last year.
276000	279000	Basically, it's about...
279000	284000	Antibodies and viruses form immune compounds.
284000	288000	These immune compounds stimulate cells in the body
288000	290000	and cause severe over-immunity response.
290000	292000	This preprint is being reviewed now.
292000	295000	We also published another preprint with other collaborators.
295000	298000	It's based on this preprint.
298000	301000	We first observed some characteristics in clinical trials.
301000	305000	Then we decided to translate it into a cell model.
306000	309000	I'm going to focus on these two preprints today.
309000	313000	If you're interested in COVID-19,
313000	316000	I think it's worth taking a look at.
318000	320000	First, let's talk about COVID-19.
320000	324000	As you know, it's a severe respiratory infection.
326000	329000	In the early days of the outbreak,
329000	333000	people were already studying the symptoms.
333000	335000	What are the symptoms
335000	339000	that led to such a severe infection?
341000	346000	It's 3 p.m. in the afternoon in Tainan.
346000	348000	It's 3.09 p.m.
349000	351000	Sorry for the interruption.
351000	354000	I'm going to publish a preprint.
356000	357000	Okay, sorry.
357000	358000	It's my nature.
358000	359000	So...
361000	362000	Where was I?
362000	365000	Oh, so it's a process of immune response.
365000	367000	As you can see,
367000	370000	in the early days of COVID-19,
370000	373000	the virus hadn't spread yet,
373000	375000	but it was already infected.
375000	377000	Then the virus increased.
377000	378000	But at that time,
378000	380000	there wasn't a lot of response.
381000	382000	Then at stage 2,
382000	384000	there was some immune response,
384000	386000	and it started to spread.
386000	388000	But the spread wasn't that strong at first.
388000	390000	But because of the immune response,
390000	391000	the virus decreased.
391000	393000	That's the orange line in the middle.
393000	396000	Then the strange thing is that
396000	399000	as the virus decreased,
399000	402000	the immune response also increased.
402000	404000	This is actually interesting.
404000	405000	You'd expect that
405000	407000	you have a pathogen today,
407000	410000	and your body needs to spread to fight it.
410000	411000	But in fact,
411000	412000	regardless of the death rate,
412000	414000	the survival rate,
414000	415000	or the immune response,
415000	418000	it all started to show up
418000	420000	when the virus decreased.
420000	422000	A very important time point is this,
422000	425000	when seroconversion occurs.
425000	426000	What is seroconversion?
426000	428000	Take a look.
428000	430000	Let me turn on a laser.
430000	432000	Is there a way to turn on a laser?
439000	440000	Okay.
440000	441000	So you can see here,
441000	443000	this time point is when
443000	445000	the antibodies in your blood
445000	447000	can start to be detected.
448000	449000	Even though you may have
449000	451000	antibodies in the early stages,
451000	453000	at this time point,
453000	455000	the antibodies in your blood
455000	456000	start to change from negative to positive.
456000	458000	This is seroconversion.
458000	460000	At this time point,
460000	463000	your antibodies reach a detectable level.
463000	465000	This is very interesting.
465000	467000	What's interesting is
467000	469000	when antibodies start to be produced,
469000	472000	the immune response starts to increase.
472000	475000	Then the death rate increases.
475000	477000	This is very interesting.
477000	479000	So researchers have been studying
479000	482000	the overall profile of patients
482000	485000	and their overall condition.
485000	486000	One way to do this is
486000	488000	to measure various substances in the blood,
488000	490000	such as inflammation index, and so on.
491000	492000	They found that
492000	493000	at first,
493000	496000	it was more likely to be seroconversion.
496000	497000	Later on,
497000	498000	the number of seroconversions increased,
498000	501000	and then the more annoying immune response started.
501000	502000	During this time,
502000	505000	a lot of cell hormones are produced.
505000	507000	There are several types of cell hormones
507000	510000	that are more noticeable.
510000	511000	It's mentioned here.
511000	512000	TNF,
512000	514000	Tumor Necrosis Factor.
514000	516000	It's a tumor necrosis factor.
516000	517000	There are also
517000	519000	seroconversion 1 and seroconversion 6.
519000	520000	There is also
520000	521000	MCP1,
521000	524000	single-nucleotide degenerative protein.
524000	525000	Yes.
525000	529000	These are the several types of cell hormones.
529000	530000	They are very important
530000	531000	during this time.
531000	532000	It doesn't matter
532000	534000	the cause or the result.
534000	536000	During this time,
536000	537000	the patient will have
537000	539000	a higher number of these cell hormones.
541000	542000	So,
542000	543000	you might ask
543000	545000	which type of cell
545000	547000	these cell hormones are produced from.
547000	549000	Some reviews show
549000	551000	that these cell hormones are
551000	552000	produced by
552000	554000	cells in the human body.
554000	556000	These cell hormones
556000	559000	are called macrophages.
559000	560000	They can produce
560000	563000	a large number of these cell hormones.
563000	565000	As I mentioned earlier,
565000	566000	macrophages 6,
566000	567000	IL-6,
567000	568000	Tumor Necrosis Factor,
568000	569000	TNF,
569000	570000	IL-10,
570000	571000	IL-8,
571000	573000	these cell hormones.
573000	575000	This chart is a bit complicated.
575000	576000	To put it simply,
576000	577000	today,
577000	578000	we have a SARS-CoV-2
578000	579000	virus infection.
579000	580000	Today,
580000	581000	we are infected
581000	582000	with SARS-CoV-2,
582000	584000	the Wuhan pneumonia.
584000	586000	It will stimulate the
586000	587000	macrophages in the body,
587000	588000	which are called
588000	589000	macrophages,
589000	590000	or macrophages called
590000	591000	macrophages,
591000	592000	or macrophages,
592000	593000	or macrophages.
593000	594000	These macrophages
594000	595000	will produce
595000	596000	a large number of
596000	597000	cell hormones.
597000	599000	These cell hormones,
599000	600000	if they are in
600000	601000	a relatively local range,
601000	602000	will cause
602000	604000	local inflammation,
604000	605000	inflammatory response,
605000	606000	which is
606000	607000	local inflammation.
607000	608000	For example,
608000	609000	for example,
609000	610000	we might have pneumonia.
610000	611000	These people
611000	612000	will talk a lot,
612000	613000	these things.
613000	614000	What is more serious
614000	615000	is that these cell hormones
615000	616000	produced locally
616000	617000	through blood
617000	618000	will cause
618000	619000	a more systematic
619000	620000	inflammatory response
620000	621000	after reaching the body.
621000	623000	This systematic inflammatory response
623000	624000	is called
624000	625000	cell hormone storm.
625000	626000	This thing
626000	627000	may cause
627000	628000	multiple organ failure
628000	629000	because it may
629000	630000	cause hemorrhoids,
630000	631000	various
631000	632000	unnecessary
632000	633000	immune responses.
633000	634000	This will
634000	635000	eventually lead to
635000	636000	death.
636000	637000	So,
637000	638000	macrophages
638000	639000	may play a very,
639000	640000	very important role
640000	641000	in this
641000	642000	disease worsening process.
642000	644000	I just talked about
644000	645000	so many macrophages.
645000	646000	What are
646000	647000	macrophages?
647000	648000	Macrophages,
648000	649000	to name a few,
649000	650000	is a cell
650000	651000	that swallows
651000	652000	and eats a lot.
652000	653000	Right.
653000	654000	Its role
654000	655000	is to
655000	656000	eliminate
656000	657000	pathogens
657000	658000	by eating
658000	659000	or eliminating
