start	end	text
0	8000	Welcome back to today's Tarot Talk.
8000	15000	We are honored to have Joseph here to talk about blockchain research.
15000	20000	Before he starts, let me introduce him.
20000	28000	Joseph is a Ph.D. student at the University of Waterloo.
28000	34000	His major is Electrical and Computer Engineering, Faculty of Engineering.
34000	39000	Before he came to the University of Waterloo,
39000	51000	he was leading a new banking system design team in Taiwan.
51000	58000	He also collaborated with Microsoft Taiwan on medical system research.
58000	63000	His doctoral research is about blockchain.
63000	71000	He is also interested in IoT, edge computing, security, and AI.
71000	76000	In addition to his doctoral research,
76000	86000	he also volunteered to mentor Taiwanese students to apply for Ph.D. programs.
86000	101000	He also volunteers to mentor new graduate students in his department
101000	106000	and the Taiwan Global Ambassador of UW's Office of Advancement.
106000	114000	He encourages Taiwanese students to jump out of their comfort zone and pursue their dreams.
114000	124000	Today's topic is
124000	134000	An Implementation of Fake News Prevention by Blockchain and Entropy-Based Incentive Mechanism.
134000	142000	Let's welcome Joseph with a round of applause.
164000	166000	Thank you for giving my presentation.
166000	174000	If you have any questions, feel free to ask in Chinese or English.
174000	180000	I'm so glad to give you this presentation.
180000	186000	It's about how we use blockchain techniques to combat fake news.
186000	200000	Before we get into the research, I would like to introduce my background and to let you understand me more.
200000	203000	This is my background.
203000	205000	Actually, I was born in Taiwan.
205000	209000	When I graduated, I worked in Taiwan for several years.
210000	215000	As you can see, I originally worked in Hsinchu.
215000	220000	Then I went back to Taipei to do some software development.
220000	224000	Then I went to the banks, Yishan Bank and China Trust.
224000	233000	Before I joined UW, I collaborated with Microsoft Taiwan as a technical consultant.
234000	243000	My educational background is that I have a master's degree in computer science at National Taiwan Ocean University.
243000	252000	For this project, I introduced that in my master's thesis.
252000	259000	We developed a facial recognition system that you could input the sentences and your image.
260000	269000	Then our system could generate an animation like you and the animation can say some sentences.
269000	274000	It's a pretty interesting application in that year.
274000	281000	As you can see right now, a lot of applications like this are published and very famous.
282000	284000	That was a joke.
284000	290000	If we put this product on the market, maybe I'm a millionaire now, right?
290000	301000	When I graduated, for engineering students, seniors told you, you could go to Hsinchu to get a job.
301000	303000	Then you can get a lot of stocks.
303000	305000	Then you can retire very soon.
305000	307000	It was my dream.
307000	311000	When I graduated, I went to Hsinchu.
311000	318000	But in that year, we met some financial crisis.
318000	327000	So I came back to Taipei to do software development.
327000	334000	At that time, I was very interested in mobile development.
334000	343000	In that year, Microsoft collaborated with Nokia to deliver the new devices.
343000	346000	There's Nokia and Windows Phone on the market.
346000	355000	So I joined one company as a product manager and did a team to develop some mobile apps.
356000	360000	As you can see, the interesting one is the repost.
360000	367000	We transfer the Nokia's games.
367000	369000	It's a Barbie game, right?
369000	375000	If you're a child and you use this app, you can change the process of the app to us in these games.
375000	381000	We transfer it from the iPhone and Android system to Windows Phone.
381000	384000	And then we do some applications.
384000	388000	We did some applications for, you know, the care, right?
388000	393000	And two for Taiwan Taxi and also for EasyTag.
393000	394000	All these applications.
394000	403000	I was so excited that I did this application because, you know, in apps, if you are a programmer,
403000	408000	the apps could give you a very straightforward feedback from customers.
408000	410000	So it's very interesting.
410000	417000	However, the life gave me another joke.
417000	423000	It's that the Windows Phone did not succeed at that time.
423000	437000	So, yeah, after I did this job for more than one year, I found that, yeah, no, this job cannot help me to earn enough money for me to buy.
437000	446000	So I joined two banks and to run the directives, some financial products, and then we built a system.
