start	end	text
0	10000	Hello, everyone. Welcome to the Taira Talk on March 20th.
10000	20000	Today's speaker is Dr. Su Guanlin.
20000	30000	He was a doctorate student at UIUC, and then a post-doctoral researcher at UC Berkeley.
30000	40000	Today, he is going to talk about the direction of his research, which is collective light path, continuous light study, integrated process, and wavelength-adjustable semiconductor laser.
40000	50000	The topic he is going to talk about today is his work at UC Berkeley.
50000	60000	I think it has a lot to do with semiconductor laser and its integration.
60000	70000	Let's give him a round of applause.
70000	76000	Let's start with Dr. Guanlin.
76000	80000	Thank you, Jason. Thank you, everyone, for coming to my talk.
80000	86000	I want to thank Taira for providing this platform so that we can talk about this topic today.
86000	93000	My topic today is high-performance and high-performance wavelength-adjustable semiconductor laser.
93000	99000	As Jason just mentioned, this is something I studied at UC Berkeley as a post-doctoral researcher.
99000	105000	The unit I am currently affiliated with is Intel Labs Research Scientist.
105000	110000	Why do I want to mention this field in particular?
110000	113000	In fact, you may not be familiar with this picture.
113000	117000	This is a Wi-Fi input test web page.
117000	124000	The Wi-Fi on the screen that I will connect to you today is actually built up by light integration technology.
124000	127000	This is called optical transceiver.
127000	132000	This green row is all optical transceiver.
132000	136000	It's all equipped with light integration technology components.
137000	143000	This is also the most competitive field in light integration technology.
143000	147000	Even though it's very competitive, it's just the beginning.
147000	152000	Light integration technology has actually developed a lot of opportunities.
152000	161000	I personally think this technology is a very balanced combination of laser physics, light, and semiconductor manufacturing.
162000	166000	I think it's quite aesthetic.
166000	169000	So I hope to invest a lot.
169000	176000	As Jason just said, if we can make good use of Terra Journal Club,
176000	183000	I believe we can find a lot of people in this field who have the same morality and then further promote it.
187000	190000	My talk today is mainly divided into three parts.
190000	192000	The first part is the introduction.
192000	196000	I will introduce to you what is light integration technology.
196000	200000	And some of its basics.
200000	202000	Then there are two examples.
202000	204000	I have done two examples in Berkeley.
204000	207000	It's probably a very wide, widely tunable.
207000	211000	It can be tuned to a few nanometers.
211000	215000	And the second one is a system-level work.
215000	217000	It's a laser power guiding system.
217000	221000	It's kind of like we want to demo a data center.
221000	226000	A very energy-saving network resource distribution system.
226000	228000	This is also done by using light integration.
228000	230000	The rest is my summary.
230000	235000	I'm sorry to give you a disclaimer.
235000	239000	Because I am now working on light integration technology.
239000	242000	One of the benefits is Intel.
242000	248000	My opinion today, my discovery, and my summary.
248000	251000	In fact, it does not represent the company's position.
251000	255000	You can think of me as a postdoc.
258000	260000	What is light integration technology?
260000	264000	In fact, we all know that there is nothing too fresh under the sun.
264000	269000	Light integration technology allows light resources to go back to the microwave resources.
269000	273000	We are going to go from the table to the source.
273000	275000	We are going to go from the table to the source today.
275000	278000	This is what light integration technology represents.
278000	282000	The essence of technology is like this.
282000	290000	This technology was proposed by Stuart Miller in 1969.
290000	294000	This article was a very important article.
294000	296000	He mentioned three very important points.
296000	301000	The first is how we get the light from the optical table to the chip.
301000	306000	We have to create a certain optical distortion rate on this chip.
306000	311000	It can also form a web-guided structure.
311000	315000	After this thing is realized, he said.
315000	319000	After this thing is realized, we can improve the stability of the whole system.
319000	321000	Its reliability will increase.
321000	324000	Unlike doing free space, we often need to adjust some components.
325000	329000	When everything is on the same chip, this thing can be omitted.
329000	331000	You can ignore this step.
331000	335000	After this step is completed, he made the boldest prediction.
335000	338000	He thinks this thing will have a certain market scale.
338000	347000	Today, 50 years later, we can see that the light receiver is a very novel market.
347000	350000	This is basically in line with his prediction.
350000	358000	What he didn't predict is that humans have broken through the synthesis process of a single chip.
358000	361000	We can now synthesize more materials on a single chip.
361000	364000	Or we can synthesize two chips of different materials together.
364000	368000	It can break the physical limit set by a single material.
368000	371000	This is our hybridization material.
371000	375000	At the same time, if you combine a lot of materials of different optical properties,
375000	379000	you can break the physical limit set by a single material.
379000	386000	This thing is also a powerful force that promotes the advancement of the industrial world and the academic world.
386000	392000	This is basically the most intense field at present.
392000	398000	The left side is the traditional light communication, sensing, and network systems.
398000	402000	For example, last year, two terabits per second were demonstrated.
402000	411000	It's not just a light receiver, it's also a PGA.
411000	414000	This is a very, very new result.
414000	417000	This was in March of last year.
417000	420000	Then, about ten years ago,
420000	424000	Onchip, which was made on a single-chip,
424000	427000	is the optical prime of a chip.
427000	429000	It has a bandwidth of 300 MHz.
429000	434000	This is the last year's 30 parallel channels light radar.
434000	442000	This is the most studied technology in LiDAR.
442000	446000	It's a 30-channel light radar.
446000	449000	This is a very large amount of transmission.
449000	456000	In Japan, AIST also showed 800 Gbps data transmission.
456000	458000	And it's a light-operated data transmission.
458000	460000	And it's Lossless.
460000	464000	Basically, it doesn't matter how much power goes in, how much power comes out.
464000	466000	No loss.
466000	468000	In the more cutting-edge field,
468000	473000	For example, machine learning, quantum, and NIST,
473000	475000	The American Academy of Science and Technology,
475000	480000	In 2018, they demonstrated a optical frequency transmitter.
480000	486000	Directly in C-band, the so-called 1550nm,
486000	489000	1.93kHz,
489000	492000	It directly generates an optical frequency.
492000	494000	And its frequency can be up to 1Hz.
494000	499000	That is to say, its error is only 10-14 to 10-15.
499000	503000	This is a very fine frequency generator.
503000	508000	A Spanish group also made an optical FPGA last year.
509000	513000	It is composed of multiple unit cells.
513000	515000	It can do all kinds of transfer functions.
515000	520000	If you want to program it, you can program it.
520000	522000	A few years ago, it also came out.
522000	526000	Use optical circuits to make convolutional neural networks.
526000	528000	It can do image vision.
528000	530000	Connecting these two most extreme fields,
530000	535000	In fact, what can't be separated from the industrial and academic fields is our so-called high-performance light source.
535000	537000	Based on optical integration technology,
537000	543000	The bandwidth of our current bioluminescence laser has been compressed to about 3Hz.
543000	546000	Turnability has also exceeded 100nm.
546000	548000	This is C-band, so it is about 1550nm.
548000	552000	So it can be adjusted from 14 to 1600nm.
552000	555000	And our optical amplifiers on the chip
555000	559000	It has now exceeded 27dB, which is 500 times the optical amplification.
559000	561000	It can bear 500 times the loss on the chip.
561000	564000	It can continue to recover your signal.
564000	566000	Then there is a frequency cone.
566000	569000	It can produce direct 4-cell.
569000	574000	So this is a very groundbreaking work.
574000	578000	In fact, these more amazing studies,
578000	584000	In fact, the following things are very basic, very fundamental things.
584000	585000	It's our so-called waveguiding.
585000	587000	What Miller mentioned just now,
587000	590000	What is the difference in the loss rate caused by a single chip?
590000	593000	The one on the left is a SEM, a optical chip.
593000	595000	The SEM of the light path inside
595000	600000	The light is transmitted in these so-called light path lines.
600000	605000	When we cut this straight waveguide,
605000	607000	In the cross-sectional area,
607000	609000	We see such a material distribution.
609000	611000	For example, in this paper,
611000	614000	The material of the light path is a single-chip.
615000	618000	Below it is a low-resolution,
618000	621000	That is, the two-chip is the material below it.
621000	623000	It's all air.
623000	625000	So if you cut a chip,
625000	626000	You can see its index.
626000	629000	Its resolution distribution is actually a step thing.
629000	632000	Under these boundary conditions,
632000	636000	Our Maxwell's equation will actually degenerate into an eigenvalue problem.
636000	638000	Its solution is Lissan.
638000	640000	Then this solution is our so-called waveguiding mode.
640000	642000	Its solution basically looks like this.
642000	645000	That's different from the plane wave.
645000	646000	Waveguiding mode,
646000	650000	It is defined by an equivalent resolution.
650000	655000	Its equivalent resolution is somewhere between the low-resolution and the high-resolution.
655000	659000	Then its field shape is basically a certain rule.
659000	662000	Its peak value is a semi-wavelength.
662000	664000	Can fit in this index.
664000	667000	Then its peak value is probably in the middle.
667000	671000	Then we can change this light path.
671000	672000	Our so-called waveguiding.
672000	674000	Its light path, its interface,
674000	676000	We can engineer its mode.
676000	678000	For example, we can have this.
678000	679000	A little wider,
679000	681000	We can now fit in three modes.
681000	684000	For example, there are several more than just now.
684000	687000	So we just need to be able to master this light path.
687000	689000	Its basic design,
689000	690000	For example, its material,
690000	692000	Its index gap,
692000	693000	The gap between light and snow,
693000	694000	The gap between light and snow,
694000	695000	And its size.
695000	698000	We can design different photonic devices,
698000	700000	Photonic components.
700000	702000	In this talk,
702000	705000	I want to introduce a few photonic components.
705000	707000	First of all, this is what I just said.
707000	709000	If we use a single mode,
709000	713000	A single light path that can only support one mode.
713000	716000	We trigger a light path that can support multiple modes.
716000	718000	This light path is relatively fat.
718000	722000	Then I can trigger many waveguiding modes at the same time.
722000	724000	Then they will interfere.
724000	728000	This interference pattern can be accurately predicted.
728000	732000	For example, this is a very standard light path.
732000	737000	If we cut off this relatively thick wave at the right length,
737000	739000	We can make a light path.
739000	741000	This is a light path.
741000	743000	This is a light path.
743000	745000	This is a light path.
745000	746000	Then,
746000	748000	Then,
748000	750000	This is a light path.
750000	751000	This is a light path.
751000	753000	Then we are a 1x3 light path.
753000	755000	Then we have a single mode,
755000	757000	We set up two mirrors.
757000	759000	Partially mirrored, or 100%.
759000	761000	It can form a cavity.
761000	763000	This is a cavity.
763000	766000	If we add some photonic components to this cavity,
766000	768000	That is to say, it provides gain.
768000	772000	Then you can compensate for the loss of the entire cavity.
772000	773000	Under the right conditions,
773000	775000	It will form our so-called photoreceptor.
775000	777000	This is our laser.
777000	779000	What about this curve?
779000	780000	One by one,
780000	782000	It actually reflects that
782000	784000	All that can be seen in this photoreceptor
784000	787000	It forms a whole number of waves.
787000	788000	The wave field.
788000	790000	This is our so-called magnet.
790000	791000	Longitudinal mode.
791000	792000	This is the magnet.
792000	793000	It mainly emits light.
793000	795000	These wave fields.
795000	797000	Of course, we can also put a single-core
797000	799000	Single-core single-mode waveguide.
799000	803000	We use a more complicated loop to make it into a filter.
803000	807000	The first filter is our so-called Mach-Zehnder interferometer.
807000	808000	In addition,
808000	810000	You can also make it into a circular photoreceptor.
810000	811000	That is to say, the light hit in here.
811000	814000	The light coming out of here can also have a filter effect.
814000	816000	Mach-Zehnder interferometer.
816000	819000	Its transfer function is a very classic sine wave.
819000	820000	It is a sine wave.
820000	821000	From 0% to 8%.
821000	823000	That environment.
823000	826000	Its transfer function is a sharp thing.
826000	828000	Because it needs to achieve a resonance in the middle.
828000	832000	So its frequency selection is very large.
832000	833000	It is very fine.
833000	836000	But at the same time, it is also difficult to reach 100%.
837000	843000	In these devices that are used to form resonance in the future.
843000	845000	Whether it's a cavity or a filter.
845000	849000	The distance between our resonance points.
849000	853000	Basically, it depends on the size of our feature layer.
853000	855000	For example, in this cavity.
855000	856000	Laser cavity.
856000	857000	The distance between these grids.
857000	860000	It's actually very different from the resonance field.
860000	863000	And in Mach-Zehnder's interferometer.
863000	864000	In the middle of these resonance points.
864000	866000	It's the length that comes out of this.
866000	867000	It's also inverted.
