start	end	text
0	14000	Today's speaker is Qiu Yiting. Yiting graduated from Chenggong University with a master's degree in urban planning, and at the same time retired from political studies.
14000	23000	His master's degree is in the National Institute of Development, Taiwan University, and he is now a PhD candidate for George Mason's Public Policy.
23000	30000	Yiting's research is cross-field policy research, and his main interest is local and national development.
30000	42000	His important experiences in recent years include the assistant of the Chinese and French branch of the Taiwan Economic Research Institute's Sino-US Trade War, and the course teacher of the NCAR Learning, a non-profit organization for the benefit of the French.
42000	48000	This is the introduction of today's speaker. Let's not talk too much and let Yiting start today's speech. Thank you.
49000	63000	Thank you very much for the introduction. I hope everyone can hear me. Thank you everyone for taking the time to listen to my speech.
64000	74000	I'm sorry. Everyone can see the screen, right? This is the topic of my PhD paper.
75000	82000	Can you see the screen? I'm sorry. I forgot to share it. I'm sorry.
92000	95000	Can you see the screen now?
96000	99000	It seems to be coming out.
100000	117000	I see only gray.
118000	121000	Do I have to share it again?
121000	124000	Yes, let's share it again.
125000	130000	Thank you everyone for taking the time to listen to my speech.
130000	133000	I'm sorry. I forgot to share it again.
133000	137000	I'm sorry. I forgot to share it again.
147000	150000	Can you see the screen now?
151000	155000	It seems to be coming out.
155000	158000	I see only gray.
158000	161000	It seems to be coming out.
162000	166000	Did you share it again?
166000	169000	Yes, I shared it again.
169000	171000	Do I have to share it again?
171000	174000	Yes, share it again.
174000	177000	It seems to be coming out.
198000	202000	Can you see the screen now?
202000	205000	It seems to be coming out.
208000	214000	Can you see the screen now?
218000	221000	Can you see the screen now?
223000	226000	Yes, I can see the screen now.
226000	229000	Can you see the screen now?
231000	234000	Can you see the screen now?
235000	238000	It's okay.
238000	241000	Why do I see a black screen now?
251000	254000	I'm black now. What should I adjust?
255000	259000	I'm black now. What should I adjust?
263000	266000	Look at your software.
266000	269000	Look at your software.
272000	275000	Look at your software.
275000	278000	Look at your software.
278000	281000	Sorry, I accidentally press your stop button.
281000	284000	Sorry, I accidentally press your stop button.
284000	287000	Sorry, I accidentally pressed your stop button.
287000	290000	Can you use it again?
308000	329000	Please wait for me to use it again.
329000	332000	Do you see it?
332000	335000	Now it becomes your checklist of the Lord of the Rings.
335000	339000	Yes, I'll change it later.
339000	340000	Now it works.
340000	343000	Can everyone see it?
343000	346000	Yes.
346000	349000	Thank you. I'm very sorry.
349000	352000	Thank you very much for listening to today's lecture.
352000	356000	This is the topic of my doctoral thesis.
356000	361000	I'm discussing a type of community grass roots
361000	366000	that is growing rapidly in Taiwan.
366000	371000	I think this organization is initiated by the residents
371000	376000	and provides non-medical but vital care and services
376000	380000	to the local elderly residents.
380000	383000	I think many countries, including Taiwan,
383000	387000	are facing an aging problem.
387000	392000	So I think it's meaningful to discuss this phenomenon
392000	397000	and the causes behind it.
397000	402000	This organization is called Villages.
402000	405000	It's not an ordinary village.
405000	410000	The village is its name.
410000	413000	So my research goal is to discuss
413000	418000	the social and economic factors
418000	421000	behind this organization.
421000	423000	In the past 20 years,
423000	426000	there have been more and more organizations like this
426000	429000	in the United States.
429000	432000	So here's a definition.
432000	437000	It's a community organization.
437000	442000	Its goal is to help the local residents
442000	447000	to grow old together.
447000	452000	Villages provide non-medical services
452000	455000	to the local residents,
455000	460000	especially the elderly residents.
460000	463000	For example, they drive you to the doctor's office
463000	466000	or provide you with some growth courses
466000	469000	or social activities.
469000	472000	For example, they change light bulbs
472000	477000	or teach the elderly how to use computers.
477000	482000	All kinds of non-medical services.
482000	485000	This organization, called Villages,
485000	490000	is founded by the elderly in the community
490000	495000	and by the local residents.
496000	501000	This organization is run by the local volunteers
501000	506000	and the non-governmental organizations.
506000	511000	They also contribute to the organization.
511000	514000	Sometimes they apply for funds
514000	517000	from the government or non-governmental organizations.
517000	521000	Some of the donations are from private donors.
521000	526000	The first organization, called Villages,
526000	531000	was founded in Beacon Hill, Boston.
531000	536000	It was founded in 2002.
536000	541000	A lot of people heard about this organization
541000	546000	and thought it was a good idea.
547000	552000	So they decided to follow the Boston model
552000	557000	and set up an organization in their community.
557000	560000	This is just an example.
560000	563000	One of the Villages is in California.
563000	568000	Their website provides services
569000	574000	such as health information,
579000	583000	free education,
583000	588000	social activities,
588000	593000	and sports.
594000	597000	The number of Villages is increasing.
597000	602000	There are more than 300 Villages in the U.S.
602000	607000	with low-income communities.
607000	610000	Not only in the U.S.,
610000	615000	but also in Australia, Canada, and South Africa.
615000	618000	Villages have influenced
618000	623000	their local communities.
623000	628000	It's not like McDonald's
628000	633000	where there are branches in the headquarters.
633000	638000	Each Village is an independent organization.
638000	643000	They are registered as a non-profit organization.
644000	649000	There are more than 300 Villages in the U.S.
649000	654000	with low-income communities.
654000	659000	They follow the Boston model.
659000	664000	There are many different types of Villages.
664000	669000	Some Villages may belong to other organizations,
670000	675000	such as senior centers,
676000	681000	churches, and so on.
681000	686000	There are many different types of Villages.
687000	692000	They are different from one another.
692000	696000	The most typical example is a Village
696000	701000	that is registered as a non-profit organization.
701000	706000	There is another non-profit organization
706000	711000	called Hop & Spook Model.
711000	716000	It's located in Portland, Metropolitan.
716000	721000	It's like a headquarters with branches.
721000	726000	The headquarters is called NW Village.
726000	731000	It's a non-profit organization.
731000	736000	It's a non-profit organization.
736000	741000	It's a non-profit organization.
741000	746000	It's a non-profit organization.
746000	751000	The average cost per m僚 is higher.
755000	760000	The cost will be covered
760000	765000	by the headquarters.
765000	770000	The independent Villages will only take care of
770000	775000	service members and training staff.
775000	780000	The average cost per m僚
780000	785000	will be lower.
785000	790000	The cost per m僚
790000	795000	will be covered by the headquarters.
795000	800000	The independent Villages will only take care
800000	805000	of service members and training staff.
805000	810000	The average cost per m僚
810000	815000	will be covered by the headquarters.
815000	820000	The independent Villages will only take care of
820000	825000	service members and training staff.
825000	830000	It is subordinate to other organizations.
830000	831000	Some você
831000	835000	code of conduct
835000	841000	is the filiation
841000	844000	or program
844000	849000	whereas there may be a unit
849000	854000	that is installed independently.
854000	859000	The value of this model is
859000	864000	that it is driven by users
864000	869000	compared to other organizations
869000	874000	that provide care for the elderly.
874000	879000	It reflects the needs of the elderly
879000	884000	rather than those provided by the government
884000	889000	or other private organizations.
889000	894000	It is a service provided by the user
894000	899000	to provide community resources.
899000	904000	On the other hand,
904000	909000	the village model
909000	914000	is less dependent on the government.
914000	919000	As I mentioned,
919000	924000	the village model
924000	929000	is more flexible
929000	934000	compared to other organizations.
934000	939000	For example,
939000	944000	there is a village
944000	949000	with several group homes.
949000	954000	Some elderly need professional care
954000	959000	and some elderly need professional care.
959000	964000	It is similar to
964000	969000	single-family homes.
969000	974000	Each room is for one elderly.
974000	979000	One or two nurses
979000	984000	supervise the elderly
984000	989000	or take care of their daily needs.
989000	994000	The village model
994000	999000	has several group homes.
999000	1004000	The elderly,
1004000	1009000	for example,
1009000	1014000	provide care for the elderly.
1014000	1019000	The village model
1019000	1024000	is more flexible compared to other organizations.
1024000	1029000	It reflects the needs of the elderly
1029000	1034000	and provides community resources.
1034000	1039000	The village model
1039000	1044000	is more flexible compared to other organizations.
1044000	1049000	The village model
1049000	1054000	is more flexible compared to other organizations.
1054000	1059000	The village model
1059000	1064000	is more flexible compared to other organizations.
1064000	1069000	The village model
1069000	1074000	is more flexible compared to other organizations.
1074000	1079000	The village model
1079000	1084000	is more flexible
1084000	1089000	compared to other organizations.
1089000	1094000	In my opinion,
1095000	1100000	the village model
1100000	1105000	is more flexible compared to other organizations.
1105000	1110000	It's more flexible compared to other organizations.
1110000	1115000	It's more flexible compared to other organizations.
1115000	1120000	It's more flexible compared to other organizations.
1120000	1125000	Another special thing about the village model
1125000	1130000	is the coalition.
1130000	1135000	For example,
1135000	1140000	in a region,
1140000	1145000	like DC,
1145000	1150000	there will be a coalition.
1150000	1155000	The purpose of the coalition is to provide a platform
1155000	1160000	to share resources.
1160000	1165000	For example,
1165000	1170000	if a community wants to build a village,
1170000	1175000	they will go to the coalition to learn
1175000	1180000	and learn from the experience.
1180000	1185000	For example,
1185000	1190000	California has a village network.
1190000	1195000	Washington has a village network.
1195000	1200000	Bay Area has a village network.
1200000	1205000	The main function of the coalition
1205000	1210000	is to share resources.
1210000	1215000	For example,
1215000	1220000	Washington DC has a village network.
1220000	1225000	Washington DC has a village network.
1225000	1230000	Washington DC has a village network.
1230000	1235000	My research question is
1235000	1240000	why this type of organization
1240000	1245000	appeared in the US in the past 20 years?
1245000	1250000	Why didn't it appear earlier?
1250000	1255000	Why didn't it appear earlier?
1255000	1260000	Second,
1260000	1265000	which communities are more likely to have such an organization?
1265000	1270000	For example,
1270000	1275000	what is the background of the local community?
1275000	1280000	Third,
1280000	1285000	which communities are more likely to have such an organization?
1285000	1290000	What is the background of the local community?
1290000	1295000	What is the background of the local community?
1295000	1300000	These are my assumptions.
1300000	1305000	These are my assumptions.
1305000	1310000	First,
1310000	1315000	the aging of society
1315000	1320000	has led to the emergence of the village model.
1320000	1325000	has led to the emergence of the village model.
1325000	1330000	Second,
1330000	1335000	the emergence of the village model
1335000	1340000	is an important factor.
