start	end	text
0	5000	Let me start by introducing Annie.
5000	11000	Annie completed her Ph.D. in Geography at the University of Sydney, Australia last year.
11000	16000	She is currently a Senior Research Officer at the University of Technology Sydney,
16000	22000	working closely with the Associate Dean of Indigenous Land and Justice Research Hub.
22000	28000	Before completing her Ph.D., Annie was awarded a Master by Research and a Master of Cultural Studies
28000	33000	with Gender and Cultural Studies, also at the University of Sydney.
33000	39000	Her research interests include human geography, labor and spouse immigration, urban planning,
39000	45000	circular migration in the South Pacific, resource and livelihood,
45000	53000	Southern Asian studies, rural economics, Australian aid, the end of the user experiences,
53000	57000	remittances, and substantial development.
57000	62000	Annie is fluent in English, Mandarin, Tartoon, and Taiwanese.
62000	64000	Let's start with Annie.
64000	65000	Thank you.
65000	67000	Thank you, everyone.
67000	73000	I'd like to go over my topic for today.
73000	80000	My topic is Life After Migration, Migration, Urbanization, and Mobility in Geography.
80000	89000	Geography is the capital of a country called Timor-Leste.
89000	94000	You can see a cute little house on my PowerPoint.
94000	103000	According to Taiwanese, it's a traditional sacred house.
103000	109000	When I was still doing my Ph.D.
109000	112000	I lived in the Far East for about seven months.
112000	120000	I worked there from the end of 2018 to the beginning of 2019.
120000	126000	As the host mentioned, I speak Tartoon.
126000	133000	Many of my interviews were done in English plus Tartoon.
133000	141000	After I returned to Australia, I completed my Ph.D. at the University of Sydney.
141000	149000	I went to UTS, the University of Sydney Technology, as a Senior Research Officer.
149000	155000	In the U.S., I would be considered an Assistant Researcher or Assistant Professor.
155000	159000	But in Australia, we have a clear distinction.
159000	161000	So I only do research.
161000	164000	I didn't teach this semester.
164000	167000	So I don't call myself a professor.
167000	175000	In Australia, we have professors, assistant professors, and professors.
175000	179000	We don't have an assistant professor.
179000	184000	So we have lecturers, senior lecturers, and associate professors.
185000	190000	As you can see from my PowerPoint,
190000	197000	I'm going to talk about East Taiwan and Australia.
197000	202000	I know that most of our listeners are in Taiwan or the U.S.
202000	208000	So you may not know much about the South Pacific.
208000	213000	I think this is what makes lecturing valuable.
213000	217000	It shows us that there are different possibilities in life.
217000	220000	Of course, it's still a research topic.
220000	223000	So I'm still going to talk about what I'm studying.
223000	227000	What is my method?
227000	231000	From a geographical perspective,
231000	235000	what's the point of living there for seven months?
235000	237000	What else did I discover?
237000	241000	So the first point I'm talking about is resource management.
241000	245000	So why is it useful to do research in this small country?
245000	248000	Is it useful for Australia or Taiwan?
248000	251000	Or is it useful for them?
251000	258000	My Ph.D. was covered by an Australian aid program.
258000	260000	Australian aid is the same as U.S. aid.
260000	268000	Australian aid was used to assist the Pacific Islands and Southeast Asia.
268000	272000	Taiwan used to receive aid.
272000	274000	We used to have U.S. aid.
274000	277000	So it's a miracle for Taiwan's economy.
277000	282000	But we can think about whether we can replicate this in other countries.
282000	287000	Or what direction can Taiwan's aid be in the future on the South Pacific?
287000	291000	So I'm going to talk about its resources.
291000	294000	My PowerPoint has oil.
294000	297000	And it's very young.
297000	300000	And you can't find a job in the local area.
300000	302000	That's the point of today.
302000	305000	Remittances is right.
305000	309000	As long as it's a private loan, it's called remittances.
309000	311000	It's different from A.
311000	315000	A is government-to-government agreement.
315000	320000	But remittances can be sent from Australia to Boxuan for $100.
320000	322000	This is remittances.
323000	330000	So a lot of people would like to send people abroad to work or study.
330000	335000	And there are a lot of natural resources in the local area.
335000	341000	So there's coconut, palm oil, and coffee.
341000	347000	So my first point is that there are a lot of Australian aid projects.
347000	352000	One of them is the Australian Seasonal Workers Program that I did.
352000	357000	It's very similar to the plan for Taiwanese to go to Australia for holiday work.
357000	364000	But the biggest difference is that Taiwanese or Australians are free to go to Australia for holiday work.
364000	366000	Because they're holiday workers.
366000	369000	But this is a South Pacific island.
369000	373000	Only workers from countries supported by Australia can come.
373000	375000	They're government-to-government agreements.
375000	378000	So it's a bit like our diplomatic model plan.
378000	383000	So workers are actually treated very well in Australia.
383000	385000	Because this is the face of the country.
385000	387000	And it's government-to-government agreements.
387000	390000	So if Taiwanese go to Australia for holiday work,
390000	396000	you have to find a job, find a house, apply for a visa, and do everything yourself.
396000	403000	But if it's a Pacific islander, like Fiji, Samoa, Tonga, and my Timorese workers,
403000	406000	they're already set up.
406000	409000	Everything's set up for you.
409000	411000	All you have to do is fly over.
411000	414000	So that's a very different thing.
414000	420000	And they often have ambassadors from Pacific islands to see the workers.
420000	422000	Make sure they are treated very well.
422000	424000	This is a big difference.
424000	428000	So a lot of people, because of the support of this plan,
428000	433000	they can buy land or build a house when they return to their home country.
433000	438000	Or a lot of islanders like to party.
438000	443000	So a lot of it is spent on the maintenance of social networks.
443000	447000	The third and final point I want to talk about is
447000	451000	what I find challenging.
451000	455000	As a woman, and as you can see, I'm not white.
455000	457000	But I'm from Australia.
458000	461000	I'm Australian, I'm Taiwanese, I'm Hakka.
461000	470000	So this is how I negotiated my positionality.
470000	473000	Of course, sometimes it's boring when you first go.
473000	476000	And basically, as long as they see you as a woman,
476000	480000	they'll think you're a high-ranking wife or something.
480000	483000	They won't respect me as a professor.
483000	486000	Sexism and xenophobia.
486000	489000	This is what I'm talking about.
489000	492000	In fact, a lot of Pacific islanders have Chinese roots.
492000	496000	But how do Chinese people get along with them locally?
496000	500000	That will actually affect how they see my role.
500000	506000	Or I'll talk about how I often walk on the road and get touched by children.
506000	509000	Or pull my hair or something.
510000	513000	But I can speak local dialect.
513000	516000	So when I use local dialect to scare them, they'll be surprised.
516000	519000	Oh, this foreigner can speak local dialect.
519000	521000	And he seems to be from Australia.
521000	523000	They're scared when they see someone from Australia.
523000	526000	Because the role of Don Lee-Woon is very ambiguous.
526000	529000	He's a bit of an Australian colonial enemy.
529000	535000	So I'll talk a little bit about the history of Don Lee-Woon and Australian roles.
535000	538000	So we need to know where T-Mall is.
538000	540000	Where is Australia?
540000	543000	So you may have no problem with geography in this regard.
543000	545000	Where is Australia?
545000	548000	This is a map of the United States.
548000	553000	So the size of Australia is actually about the same size as that of the United States and Canada.
553000	558000	Don Lee-Woon is on this small island in the north.
558000	559000	It's a very small island.
559000	564000	It's between Indonesia and Papua New Guinea.
564000	565000	It's actually very small.
565000	567000	It's smaller than Taiwan.
567000	571000	But the complexity of its population is actually similar to that of Taiwan.
571000	576000	Because it has a mountainous terrain.
576000	577000	It's quite similar to Taiwan.
577000	578000	Mountainous.
578000	583000	And there are only two seasons, dry season and rainy season.
583000	586000	I was so happy when I went there in August.
586000	588000	It's about 40 degrees every day.
588000	593000	By November or December, like now, it's rainy season.
593000	598000	You go out every day like this to pick water.
598000	605000	In such a situation, it also has a lot of products.
605000	609000	Because there is a lot of rainwater, you can grow anything you want to live.
609000	612000	So there are a lot of things.
612000	614000	I'll pick a few first.
614000	617000	The first one is why I did this PhD.
617000	620000	Because Australians think it's important.
620000	623000	Because there is oil in the back garden of Australia.
623000	626000	So you can see it on this map.
626000	627000	Australia is here.
627000	630000	And then there's a small island on top of it.
630000	631000	It's Papua New Guinea.
631000	632000	Next to it is Indonesia.
632000	637000	So it's about the 17th century.
637000	640000	The Portuguese came and took over Papua New Guinea.
640000	643000	And then it's been there for over 300 years.
643000	645000	Basically, the number of buildings is not very large.
645000	648000	If I want to be more diplomatic.
649000	658000	The Portuguese brought them nothing but singing, dancing, Latin names and Catholicism.
658000	662000	There's not even a railway.
662000	665000	And they didn't build a university.
665000	670000	So in fact, the Portuguese are the characters over there.
670000	671000	I want your sandals.
671000	673000	I'm the sandalwood.
673000	676000	The locals used to talk about sandalwood, but now they don't.
677000	680000	I don't want to do a lot more construction.
680000	683000	But in the post-Papua New Guinea colonial era.
683000	687000	It was from the 1960s to the 1970s.
687000	689000	Natural gas was discovered in the East.
689000	695000	It's the kind of natural gas that you can light up in your backyard.
695000	697000	Natural gas floats up from the ground like this.
697000	702000	Of course, the Portuguese didn't have the Renaissance Revolution.
702000	705000	So I don't want to be able to pick it up.
705000	711000	But they found a lot of Indonesian businessmen who were actually very interested.
711000	713000	Australia is also very interested.
713000	715000	The United States is also very interested.
715000	720000	In the end, Indonesia's stronghold next to it was occupied by Dongding in 1975.
720000	722000	And then Australia signed a contract with Indonesia and said,
722000	725000	Hey, let's open the Timo Sea Oil below you, okay?
725000	727000	That's their cooperation.
727000	732000	But because Indonesia was independent in 1975 to 2002.
732000	736000	There's construction between 25 years.
736000	740000	There's a university and there's a lot of scholarships.
740000	746000	And then there's actually a little bit of the whole domestic economy of Dongding.
746000	749000	There's a construction infrastructure.
749000	751000	But he killed a lot of people after all.
752000	758000	In the 1992 massacre in Santa Mascara.
758000	766000	The issue of human rights in Dongding caused strong interest in the international community.
766000	768000	Yes, of course, in the end, Indonesia was there.
768000	771000	Ah, there's no way to go on.
771000	774000	And then the United Nations sent troops.
775000	780000	So, in 1999, they had the world's first record.
780000	782000	It's an independent referendum.
782000	790000	And then it was decided that a lot of people who were close to 99% decided to be independent.
790000	792000	We want our own country.
792000	794000	We don't want to be a province in Indonesia.
794000	796000	So they're independent.
796000	800000	So, from 1999 to 2000, the UN sent troops.
801000	804000	Most of the people in the UN are American or Australian.
804000	808000	So Australia and his ambiguous relationship has been going on for a long time.
808000	812000	But now it's officially the UN sent troops.
812000	818000	So what about the oil treaty between Indonesia and Australia?
818000	822000	So they're renegotiating the bond.
822000	830000	And then it becomes the oil of Dongding and all kinds of natural resources start to be exploited.
830000	836000	And maybe there's a bigger chance that they're going to let their own people manage their own resources.
836000	840000	So then they set up a team.
840000	842000	Petroleum fund.
842000	850000	It's about putting the oil revenue into the country's reserve fund.
850000	858000	In Taiwan, it's called redistribution fund.
858000	866000	And then we're going to talk about whether or not the money has been used properly.
866000	868000	And then there's the whole situation of the people's livelihood.
868000	872000	But in addition to oil, they have pretty good coffee.
872000	876000	Yes, I put a picture of Fairtrade's Timor-Leste coffee.
876000	878000	And a lot of coconut.
878000	882000	There's a province in the east called Los Barros.
882000	886000	They produce a lot of good quality coconut.
886000	890000	And I put the Dongding sea water I shot there.
890000	892000	Their sea water is really clear.
892000	894000	I haven't been to Palau.
894000	900000	But I heard from some of my friends who have been to Palau.
900000	906000	He said that the feeling of looking under the Dongding sea water is similar to that of Palau.
906000	908000	It's very beautiful and pollution-free.
908000	912000	So it's actually very rich in marine resources.
912000	916000	And then there's the most important resource.
916000	920000	I think it's also about determining whether or not this country can develop the most important resource, which is people.
920000	924000	Let's take a look at the demography of Timor-Leste.
924000	926000	Look at the population.
926000	928000	It looks very young.
928000	934000	Most people are under the age of 25.
934000	940000	When I was in the Dongding sea water, I was over 30 years old.
940000	944000	But young people over the age of 10 are at a loss.
944000	948000	But if someone looks very old, like over 50 years old.
948000	952000	It will be respected by the local community.
952000	956000	Because we can see that there is a gap between the population pyramid 35 to 39.
956000	960000	Then we can push it back a little bit.
960000	962000	They had a war more than 20 years ago.
962000	968000	At that time, it was those 18-year-old men who were going to serve in the military.
968000	972000	Usually quite a lot of people died on the battlefield.
972000	974000	So now they are about 40 years old.
974000	976000	Then there is the population pyramid.
976000	980000	It is in the age bracket of 35 to 45 years old.
980000	982000	There will be a shortage.
982000	986000	So because there was a civil war before.
986000	990000	So a lot of people just can't do it.
990000	998000	In this situation, develop their own personal economy.
998000	1002000	Or the development of life.
1002000	1006000	Basically caused a lot of problems.
1006000	1014000	Then we are going to talk about the role of Australia in the development of the East China Sea.
1014000	1018000	Because I just said that there are Chinese people in the East China Sea.
1018000	1020000	So basically 75 years ago.
1020000	1024000	Many Chinese people in the East China Sea came to Taiwan to study.
1024000	1028000	Because at that time they were members of the Republic of China.
1028000	1032000	And there is a consulate in Dili.
1032000	1034000	Because they are part of Portugal.
1034000	1036000	At that time, Portugal had diplomatic relations with Taiwan.
1036000	1040000	So from the founding of the Republic of China to 1975.
1040000	1046000	In fact, the relationship between Taiwan and East China Sea has always been very good.
1046000	1052000	A lot of people came to Australia because of the war.
1052000	1054000	Most of them are Chinese.
1054000	1056000	50%.
1056000	1060000	Most Chinese people in East China Sea are very good.
1060000	1062000	And rich.
1062000	1068000	So at that time, they could either choose to go to Taiwan to study.
1068000	1072000	Then a lot of people went to Taiwan to study.
1072000	1074000	Then apply for a refugee visa to Australia.
1074000	1078000	Or some people settled directly in Taiwan.
1078000	1080000	Not necessarily.
1080000	1082000	So now there is a census in Australia.
1082000	1084000	I mean they are Australian.
1084000	1086000	They are Australian citizens.
1086000	1092000	Or permanent residents.
1092000	1094000	Just like there are green cards in the United States.
1094000	1096000	There are about 10,000 people.
1096000	1098000	Of course, there are a few workers.
1098000	1100000	Or people who study abroad.
1100000	1102000	These may not be included in the census.
1102000	1108000	But Australia has always had a very close relationship with the East China Sea.
1108000	1110000	So when we talk about immigration theory.
1110000	1112000	Excuse me.
1112000	1114000	You just said 10,000 people.
1114000	1118000	Is this a high proportion of the population of East China Sea?
1118000	1122000	Yes, because the population of East China Sea is only 1.3 million.
1122000	1124000	Oh, OK.
1124000	1126000	Almost 1% of the population.
1126000	1128000	Yes, almost 1% of the population are in Australia.
1128000	1130000	So Australia is very important to them.
1130000	1134000	Like me and the East China Sea Embassy in Sydney.
1134000	1138000	It's a very good relationship.
1138000	1140000	The Embassy may come to me for a cup of coffee.
1140000	1142000	So they will say.
1142000	1146000	They usually send people to Australia.
1146000	1148000	Must be looking for the best, the highest level.
1148000	1150000	Just like Taiwan sent to Washington.
1150000	1154000	Is a peak of your diplomatic career.
1154000	1156000	So what we are talking about in immigration theory.
1156000	1158000	Migration has a push and pull factor.
1158000	1160000	Is that push and pull.
1160000	1162000	What is your birthplace?
1162000	1166000	How bad is it to let you send you out?
1166000	1168000	Or the place you moved to.
1168000	1170000	Like the United States or Australia.
1170000	1172000	How good is it to let you stay?
1172000	1174000	So what I'm talking about in this PowerPoint.
1174000	1178000	Is it the push and pull factor of the East China Sea?
1178000	1180000	We can take a look.
1180000	1182000	Because it's not very urbanized.
1182000	1184000	31%
1184000	1186000	And this is last year's data.
1186000	1188000	So 31% means.
1188000	1190000	70% of people actually live in rural areas.
1190000	1192000	So think about it.
1192000	1194000	If you are Taiwanese.
1194000	1196000	What was Taiwan like more than 40 years ago?
1196000	1198000	That feeling.
1198000	1200000	Maybe more than 40 years ago.
1200000	1202000	Taiwan's literacy level may be a little higher.
1202000	1204000	A little bit.
1204000	1206000	I don't have that data.
1206000	1208000	Then they have a very important reason.
1208000	1210000	Is the young unemployed population.
1210000	1214000	Because there are really not too many buildings on the island.
1214000	1216000	So if you go to college.
1216000	1218000	They now have about 7 specializations.
1218000	1220000	Plus college.
1220000	1222000	But after going to college.
1222000	1224000	Do you want to find a job?
1224000	1226000	The unemployment rate is 12.3.
1226000	1228000	The unemployment rate in Australia.
1228000	1230000	The overall unemployment rate.
1230000	1232000	It's very high after COVID.
1232000	1234000	Our very high is only 6%.
1234000	1236000	Then this country.
1236000	1238000	The unemployment rate on the island is 12.3%.
1238000	1240000	Then his population is only.
1240000	1242000	1.3 million.
1242000	1244000	And most of it is a very young population.
1244000	1246000	It's the middle of the year.
1246000	1248000	Because of the war.
1248000	1250000	There is no.
1250000	1252000	Their minimum wage.
1252000	1254000	$150 a month.
1254000	1256000	Is to do labor work.
1256000	1260000	I can only make about $5,000 a month.
1260000	1262000	But their official currency.
1262000	1264000	It's in US dollars again.
1264000	1266000	Because there is no ability to.
