start	end	text
0	10000	Welcome everyone to today's Taira Talk. Today is December 11th.
10000	15000	We are very welcome to invite today's speaker, Chen Junjia.
15000	22000	Junjia is a physics professor at the University of Amsterdam.
22000	29000	He has a Ph.D. in atoms and molecules.
29000	37000	He is currently working on a Ph.D. in light spectroscopy.
37000	48000	Junjia, if I interrupt you and ask you a question, is that okay?
48000	50000	No problem.
50000	55000	Okay, let's get started.
55000	66000	First of all, let's welcome Junjia with a round of applause.
66000	69000	Junjia, we'll give you the microphone.
69000	71000	Okay, no problem.
71000	74000	Thank you Jason. Hello everyone, I'm Chen Junjia.
74000	85000	What I'm going to talk about today is an experiment that was carried out in the experiment team of Florian Schreck in the Netherlands.
85000	92000	We carried out the first series of Bose-Einstein condensation.
92000	99000	You can think of it as the first so-called series of radio waves.
99000	107000	In today's talk, first of all, I would like to introduce our experiment team.
107000	110000	My laser pointer is my PI.
110000	114000	One of our experiments is the Atom Laser Project.
114000	125000	In addition, we also have the Molecule Cooling Experiment and the Tweezer Experiment.
125000	131000	This is my outline.
131000	136000	First of all, I would like to briefly introduce what is Bose-Einstein Condensation.
136000	139000	Why is this thing interesting?
139000	141000	Where is the interesting part?
141000	144000	And why do we want to make it a series?
144000	147000	Next, I will introduce our experiment team.
148000	159000	The two main points are that we take different experiments in our experiment method.
159000	164000	To find a way to achieve the so-called series of some cooling systems.
164000	169000	Finally, achieve a series of Bose-Einstein condensation.
169000	172000	In effect, it is a material wave laser.
172000	176000	Next, I will give some future outlook.
176000	188000	Bose-Einstein condensation is a theory proposed by Einstein based on Bose.
188000	196000	Identical bosons will undergo a phase change under very low temperature conditions.
197000	201000	In the end, you can understand it.
201000	209000	Once I have reached very low temperature conditions in the experiment.
209000	218000	All my atoms will start to behave like waves.
218000	228000	In the end, all my atoms will behave like waves.
228000	230000	It is coherent.
230000	235000	You can think of it as a material wave condition.
235000	245000	The conditions for material waves are contrasted with temperature.
245000	250000	The lower the temperature, the longer the wave length.
250000	253000	In the end, a huge material wave will form.
253000	256000	This is an animation.
256000	258000	I stole it from the Internet.
258000	262000	As you can see, in the process of cooling.
262000	268000	The uniform material wave length of a single atom is getting bigger and bigger.
268000	272000	In the end, after reaching the condition of condensation.
272000	274000	It enters the process of phase change.
274000	280000	All the condensation of the population of atoms is suddenly transferred to the ground state.
280000	283000	It is a bit like this behavior.
283000	286000	Because it is a material wave.
286000	292000	In the experiment, we can also demonstrate that two groups of material waves interfere.
292000	297000	This is an interference experiment in 1997.
297000	301000	Two groups of atoms interact or interfere.
301000	307000	You can see some interference.
307000	310000	Why is it interesting?
310000	314000	Because of the so-called huge material wave in the experiment.
314000	319000	You can think of it as the wave function written in quantum mechanics.
319000	321000	There is a group of atoms today.
321000	324000	The function is the wave function.
324000	328000	You can take this group of atoms to do simulation.
328000	339000	You can write down some interesting Hamiltonian models.
339000	345000	Then you can use BEC or Einstein's integral to simulate these models.
345000	348000	Then observe some corresponding physics.
348000	355000	There is also the use of BEC in the experiment to do the experiment of atomic interference.
356000	363000	For quantum information researchers, there is an interesting practice.
363000	366000	In the experiment, you first realize BEC.
366000	373000	Then let it do a phase change process.
373000	378000	In the optical lattice, the process of phase change.
378000	384000	You can realize single-site occupation in the optical lattice.
385000	392000	That is to say, each of the optical lattice populates an atom.
392000	394000	You can do it through BEC.
394000	400000	Of course, this is just one of the methods.
400000	403000	The conditions for reaching BEC are relative.
403000	405000	The temperature is actually quite important.
405000	412000	The reason is that you have to meet the corresponding phase space density.
412000	420000	That is to say, the density of the atomic group is almost the same as the wave length of the atom.
420000	426000	In the experiment, you have to reach a very low temperature.
426000	435000	Many substances have already formed molecules under low temperature conditions.
435000	440000	In the experiment, you have to reach it in a thin atomic gas.
440000	443000	The thin atomic gas has a corresponding atomic density.
443000	448000	The atomic density is to prevent the formation of molecules.
448000	452000	That is to say, there is a time constant of molecule decay.
452000	455000	You want to realize it in the thin gas.
455000	458000	The corresponding temperature is relatively low.
458000	466000	In the BEC experiment, the corresponding temperature is usually hundreds to tens of nano Kelvin.
467000	475000	Since the 1980s, people have been interested in BEC.
475000	484000	The first proposal is to see the state of BEC in the thin atom.
484000	488000	At first, the thin atom is more suitable for such experiments.
488000	499000	But later, other experimental teams used the method of laser cooling to form the Bose-Einstein condensation on the EA group elements.
499000	506000	In 1995, the Bose-Einstein condensation was formed on the EA group elements.
506000	510000	Gradually, many atoms also achieved Bose-Einstein condensation.
510000	523000	In 2009, our experimental team realized the Bose-Einstein condensation of the thin atom.
523000	530000	In 2013, we realized a technology called laser cooling to BEC.
530000	533000	I will introduce it in the next video.
533000	538000	Since it has the corresponding experimental difficulty, it was realized in 1995.
538000	544000	Six years later, three physicists won the Nobel Prize.
544000	549000	The interesting thing about it is that it is a material wave.
549000	557000	You can understand that it has a corresponding one-to-one relationship with the laser.
557000	563000	First of all, you can know that there is a cavity in the laser.
563000	568000	After pumping the laser light into the GaN medium in the middle,
568000	574000	a stimulated emission is generated and the light is outcoupled.
574000	578000	In fact, it corresponds to a similar physical condition in BEC.
578000	584000	My trap is an atom cavity.
584000	589000	Pumping means that I need a new atom to come in.
589000	595000	Once the density reaches the conditions of the space density I just mentioned,
595000	604000	my Bose-Einstein scattering will cause my atoms to have a tendency towards ground-state populate.
604000	611000	It is a material wave version of the equivalent laser.
611000	621000	If my laser light can be outcoupled from the cavity, it is a laser.
621000	632000	My ultimate goal is to mix this BEC material in the cavity and form a so-called atomic laser.
633000	640000	How to make this thing work with the laser light?
640000	645000	In other words, the ultimate goal is to achieve a continuous material wave laser.
645000	649000	All the corresponding physical mechanisms,
649000	653000	such as pumping and stimulated emission,
653000	661000	must be able to achieve a continuous mechanism in the experiment.
661000	666000	So our ultimate goal is to achieve a continuous atomic laser.
666000	671000	The continuous Bose-Einstein condensation is just a temporary goal.
671000	675000	But its effect is already completed.
675000	679000	If my laser light is not outcoupled from the cavity,
679000	684000	it is the continuous Bose-Einstein condensation that we have achieved so far.
684000	688000	As long as the atom is not outcoupled from the cavity,
688000	696000	our claim is that we have achieved a continuous material wave laser.
696000	701000	But we did not outcouple this material wave from the cavity.
701000	711000	The interesting thing is that the laser version has been realized in the same year.
711000	717000	But the material wave laser has not been made since it was realized in 1995.
717000	719000	What are the benefits of continuous?
719000	725000	First of all, its brightness is relatively high.
725000	735000	Because it is continuous, the divergence of the laser is relatively small.
735000	739000	This is mainly due to the continuous relationship of the laser.
739000	743000	The continuous laser light has a stable phase.
744000	746000	If you are outcoupling the laser,
746000	749000	because you are outcoupling the laser,
749000	755000	your phase may be interrupted.
755000	758000	In other words, it does not have a continuous phase.
758000	763000	However, the continuous laser light provides a stable phase.
763000	769000	Therefore, in terms of experiments, we also hope to achieve a continuous material wave laser.
770000	773000	Let's look back at the laser.
773000	779000	The first thing we need to satisfy is population inversion and stimulated emission.
779000	784000	These two physical conditions provide you a magnification plus coherence.
784000	789000	In other words, your phase is satisfied by the stimulated emission mechanism.
789000	795000	In the magnification process, your phase is copied.
795000	802000	Therefore, the phase before magnification is a coherent condition.
802000	809000	In the material wave version, the phase space density must be high enough.
809000	818000	First, I must rely on a mechanism similar to the stimulated scattering to achieve a magnification process.
819000	826000	In terms of experiments, the development process is to do the laser cooling first,
826000	831000	then do the stimulated emission cooling, and then achieve the stimulated scattering.
831000	835000	The laser cooling first provides you a high enough phase space density.
835000	838000	Then, after the stimulated emission cooling,
838000	840000	because the phase space density is high enough,
840000	855000	the laser cooling mechanism will heat up the atoms.
855000	863000	At the next stage, I will do the stimulated emission cooling to achieve the stimulated scattering.
863000	867000	In the end, all the atoms will populate the ground state to achieve the wave 33.
867000	870000	In the experiment, when doing the stimulated emission cooling,
870000	873000	we usually turn off the laser cooling,
873000	890000	so that all the atoms will not be stimulated by the near-detuned light.
890000	893000	Therefore, we turn off the laser cooling.
893000	896000	In the experiment, after the first stage of laser cooling,
896000	901000	the stimulated emission cooling will turn off the laser cooling,
901000	904000	and then further achieve the wave 33.
904000	906000	If you think about it carefully,
906000	912000	the laser cooling and the stimulated emission cooling are two things that cannot be done at the same time.
912000	919000	Because the laser cooling still has a way to stimulate the atoms,
920000	927000	so I have to do the stimulated emission cooling after the laser cooling.
927000	941000	Next, I will introduce how to achieve the wave 33 in the experiment.
941000	948000	In the experiment, there are two stages of laser cooling.
948000	953000	The first point is the laser cooling in the second stage.
953000	956000	The width of the wire is very narrow.
956000	963000	In the experiment, we can achieve the temperature of 1 microKelvin in the second stage of laser cooling.
963000	970000	We invented a mechanism called transparency.
970000	980000	We can use this transparency to prevent the atoms from seeing the laser cooling light.
980000	982000	How do we do it in the experiment?
982000	987000	First of all, after the atoms have finished the laser cooling,
987000	991000	they will be trapped in a microwave.
991000	1000000	In principle, the laser cooling light can achieve the laser cooling in the microwave.
1000000	1010000	However, the atoms can still see the laser light.
1010000	1018000	However, today I introduced a light to address the excited state
1018000	1022000	and a higher excited state.
1022000	1028000	The mechanism introduces a so-called stark shift,
1028000	1032000	which may affect the connection of the excited state.
