start	end	text
0	12000	🦋 subs by bubucaca 🦋
12000	16640	Okay, I believe everyone can see my screen now
16640	22000	Sorry, let me see if I can play it
22000	24000	I think it's fine
24000	29000	🦋 subs by bubucaca 🦋
29000	31000	Okay, I'll just...
31000	35000	I'll just use this mode
35000	37000	Hello everyone
37000	39000	Today we have
39000	41000	Project Tyra
41000	43000	Today we have
43000	47000	two professors
47000	49000	One is from
49000	51000	Houston University
51000	53000	Professor Chen Tai-yan
53000	55000	Professor Chen Tai-yan from Chemistry
55000	57000	The other one is
57000	63000	Professor Yang Shumin from George Mason University
63000	65000	He's a Professor of Criminology
65000	69000	Today is July 17th
69000	73000	It's one of the summer special activities
73000	77000	that Project Tyra is holding this summer
77000	81000	In this year's summer special
81000	83000	we are planning to hold
83000	85000	a few more
85000	87000	different topics
87000	91000	About the PhD application
91000	93000	Mentor Mentee
93000	95000	In addition to today's speech
95000	97000	on August 28th
97000	99000	there will be another
99000	101000	study abroad application
101000	103000	written workshop
103000	105000	I want to remind everyone
105000	107000	if you are interested
107000	109000	in joining our
109000	111000	study abroad application
111000	113000	on July 17th
113000	115000	which is today
115000	117000	and August 28th
117000	119000	you must attend
119000	121000	We will record
121000	123000	this as a basis
123000	125000	for future Mentor Mentee
125000	127000	application
127000	129000	So please
129000	131000	remember to attend
131000	133000	the lecture on August 28th
133000	137000	The lecture on August 28th
137000	139000	we will send you
139000	141000	the link
141000	143000	of the lecture
143000	145000	In addition to these two lectures
145000	147000	Project Tyra will also hold
147000	149000	a scientific drawing
149000	151000	including using Illustrator
151000	153000	or Latex
153000	155000	to make a scientific drawing
155000	157000	and the topic of COVID-19
157000	159000	and scientific collaboration
159000	161000	and mass-media
161000	163000	If you are interested
163000	165000	in Project Tyra
165000	167000	if you are interested in
167000	169000	becoming one of our staff
169000	171000	to promote
171000	173000	Taiwan's young scholars
173000	175000	weekly lectures
175000	177000	or other academic activities
177000	179000	you are also welcome
179000	181000	to join us this year
181000	183000	Next week
183000	185000	on July 24th
185000	187000	we will hold
187000	189000	an annual member meeting
189000	191000	and a staff recruitment meeting
191000	193000	If you are interested
193000	195000	I will now
195000	197000	hand over
197000	199000	the mic to
199000	201000	the other two professors
201000	203000	to share
203000	205000	their thoughts
205000	207000	on the
207000	209000	requirements of
209000	211000	applying for
211000	213000	a PhD program
213000	215000	Thank you
215000	217000	to the two professors
217000	219000	for coming
219000	221000	and sharing
221000	223000	their experiences
223000	225000	with us
225000	227000	Thank you
251000	253000	Okay
253000	255000	So
255000	257000	today's topic
257000	259000	will be discussed
259000	261000	by me and Professor Chen
261000	263000	Before you apply
263000	265000	for a PhD
265000	267000	what can you
267000	269000	consider
269000	271000	and what information
271000	273000	can you use
273000	275000	to help you
275000	277000	decide
277000	279000	whether to
279000	281000	apply for
281000	283000	a PhD program
283000	285000	So
285000	287000	let's start
287000	289000	with the first part
289000	291000	and then
291000	293000	the second part
293000	295000	and then
295000	297000	Professor Chen
297000	299000	Okay
299000	301000	So
301000	303000	all the
303000	305000	audience
305000	307000	are interested
307000	309000	in applying for
309000	311000	a PhD program
311000	313000	If you are
313000	315000	applying for a
315000	317000	master's program
317000	319000	or a
319000	321000	MBA
321000	323000	or any other
323000	325000	major
325000	327000	it may be
327000	329000	a little
329000	331000	different
331000	333000	So
333000	335000	let me
335000	337000	introduce myself
337000	339000	My name is
339000	341000	Chen
341000	343000	I am a
343000	345000	PhD student
345000	347000	and I am
347000	349000	currently studying
349000	351000	at the
351000	353000	University of
353000	355000	San Francisco
355000	357000	and I am
357000	359000	currently studying
359000	361000	at the
361000	363000	University of San Francisco
363000	365000	In the
365000	367000	US, there is
367000	369000	no salary cap
369000	371000	In the academic world
371000	373000	In Canada,
373000	375000	it is more like
375000	377000	the US
377000	379000	but in many
379000	381000	European and American
381000	383000	countries
383000	385000	there is no
385000	387000	fixed salary
387000	389000	This is a
389000	391000	very important
391000	393000	part of
393000	395000	your career
395000	397000	For example,
397000	399000	the vaccine against
399000	401000	COVID-19
401000	403000	is a very important
403000	405000	part of your
405000	407000	career
407000	409000	I hope that
409000	411000	you can find
411000	413000	a better training
413000	415000	and a better
415000	417000	way of teaching
417000	419000	I hope that
419000	421000	you can
421000	423000	learn about leadership
423000	425000	In addition to teaching
425000	427000	and research, you can
427000	429000	develop your own
429000	431000	career
431000	433000	I hope that
433000	435000	you can
435000	437000	develop your own
437000	439000	career
439000	441000	I hope that
441000	443000	you can
443000	445000	develop your own
445000	447000	career
477000	479000	Thank you
507000	509000	I'm going to let them know
509000	511000	We're about to start
511000	513000	Is it this one?
513000	515000	Yes
515000	521000	Okay, so tell me if you still have a problem
521000	525000	Anyway, I hope I made myself clear
525000	529000	The point is, this is a soft voice
529000	531000	But
531000	533000	Can you follow me?
533000	535000	Yes
