start	end	text
0	19460	Hello everyone, welcome to today's lecture on July 31st, Project HIRA. Today is a special event in the summer, and we would like to invite Professor Tu-Ming Feng, who is now at the University of Westlake.
19460	34460	His main research focuses on the theory of quantum physics. He is interested in low-dimensional materials, transport phenomena, and the topological phase of matter.
34460	48460	Although he is a theorist, he also likes to cooperate with experimentalists to realize his theories.
48460	65460	Another important thing is that he is also very interested in scientific education, so he hopes that today's lecture can bring us some gains.
65460	71460	Today's lecture is mainly about the teaching of the scientific diagram and Illustrator.
71460	83460	I hope that in this lecture, we can learn the importance of the scientific diagram, the thinking process, and how to use Illustrator.
83460	89460	Let's give Professor Tu-Ming Feng the floor.
89460	103460	Hello everyone, this is my first time to give a lecture on Project HIRA, so please bear with me if there are any lags.
104460	114460	Today, I will talk about the scientific diagram and how to use Illustrator to realize the scientific diagram.
114460	131460	The scientific diagram is a very big topic, so I will talk about it in detail, but I will try to make it easy for you to understand.
131460	133460	Illustrator is a bigger topic.
134460	144460	At that time, I studied Illustrator for about two months, and I studied two nights a week and three hours a night.
144460	153460	At that time, I studied Illustrator in a classroom opposite Taiwan University, which is a very professional class for advertising students.
154460	162460	At that time, I studied Illustrator in a very professional classroom opposite Taiwan University, which is a very professional classroom opposite Taiwan University.
162460	166460	Basically, you take a picture and use Illustrator to copy it completely.
166460	169460	So we do this kind of practice every week.
169460	173460	We will practice from a small lamp to an apple.
173460	179460	But when I was studying for my Ph.D., I had to draw a lot of pictures.
179460	191460	Especially when I did a lot of scientific education, I had to talk to the general public about some difficult quantum problems or some difficult physics problems.
191460	196460	At this time, you have to draw a good picture to help them.
196460	202460	But this kind of picture only needs some basic functions of Illustrator.
202460	204460	You don't need advanced functions.
204460	208460	So today I will introduce these basic functions and help you get started.
208460	211460	At the end, I will give you some videos.
211460	219460	If you practice according to these videos, you will probably understand how to use Illustrator by drawing five to ten pictures.
219460	222460	Then you can move on from there.
223460	229460	If you have any questions later, you can leave a message in the chat.
230460	233460	So this is my routine today.
235460	240460	I want to tell you first that the science team is very subjective.
240460	243460	Some people think this picture is beautiful, some people think that picture is beautiful.
243460	247460	What I'm talking about today is mainly my subjective opinion and experience.
247460	257460	It's also my experience of helping people change articles for so many years.
257460	260460	So if you have a different idea, you are welcome to leave it in the comments.
260460	263460	I'm sure a lot of people have the same opinion as you.
265460	267460	Okay, the concept of scientific drawing.
