start	end	text
0	2000	The recording has started.
30000	34000	We even discussed where to go to buy alcohol, masks, etc.
34000	40000	Many of my European friends and classmates laughed at these behaviors.
40000	44000	But to a certain extent, it also shows that Asians, or more specifically,
44000	49000	Taiwanese have a very different response mode to the epidemic than Westerners.
49000	52000	So at Project TIRA's summer event this year,
52000	56000	we specially planned a speech on the COVID-19 epidemic.
56000	61000	We are honored to have Professor Li Xiongwen as our guest speaker.
61000	67000	In 2016, Professor Li graduated from Beka University's School of Mathematics.
67000	71000	He is currently working as an assistant researcher at the Institute of Sociology.
71000	75000	Professor Li's interest spans many different fields.
75000	79000	He is interested in social network analysis,
79000	82000	social conflicts and cooperation in evolution,
82000	85000	and social science quantification.
85000	89000	We can see that Professor Li has a wide range of interests.
89000	97000	We look forward to Professor Li's approach to the COVID-19 issue.
97000	101000	Now I will hand over to Professor Li for his speech.
101000	103000	Thank you, Professor Li.
104000	107000	Thank you for the introduction.
107000	113000	I am very happy to be able to share my research on the TIRA platform.
113000	119000	Let me find my screen.
119000	122000	I don't know if you can see the video.
122000	124000	Can you see it, Professor Li?
124000	126000	Yes, I can see it.
126000	129000	Okay, let's get started.
129000	132000	First of all, I would like to thank Professor Li again for his invitation.
132000	134000	When Professor Li invited me,
134000	141000	he specifically mentioned that he wanted to find the topic of COVID-19 and invited me to give a speech.
141000	144000	Actually, I feel very ashamed.
144000	147000	Although I have done the topic of COVID-19,
147000	151000	I have also collected information related to COVID-19.
151000	153000	I will talk about another topic later.
153000	155000	Today I will talk about the first topic.
155000	157000	I will talk about the second topic later.
157000	161000	However, I am not a disease infectious scientist.
161000	166000	Although Professor Li mentioned that I work in other fields,
166000	169000	this field is not the field I am familiar with.
169000	181000	What we do is more like psychology, public policy, or public health related issues related to disease infection.
181000	183000	This is not the topic I am familiar with.
183000	185000	I am an expert in methodology.
185000	188000	However, this is the first time I have collected data.
188000	192000	This is the first time I have collected data for research since I was a child.
192000	195000	This is data from all over Taiwan.
195000	198000	Of course, the method used is the statistical method.
198000	205000	This is not the method I am familiar with.
205000	211000	This is not the field I am familiar with.
211000	215000	However, since I have collected data, I must have something to say.
215000	223000	I will try my best to present the data I have collected for research.
223000	230000	This is the data from my research team from March to May last year.
230000	232000	If you still have an impression,
232000	238000	At the end of January and February last year, the epidemic of COVID-19 began to break out in Taiwan.
238000	245000	In addition to China, epidemics began to occur around the world in February and March.
245000	251000	The most tense time in Taiwan was from March to May last year.
252000	256000	At that time, we rushed out to collect data.
256000	267000	Our supervisor told us that we should not be locked in our own room and do our own thing.
267000	270000	Because the students of natural science are already very busy.
270000	275000	We also need to go out and collect more data related to COVID-19.
