start	end	text
0	10000	Hello, everyone. I'm very happy to be here for the fifth session of the Project TARA summer series.
10000	16000	Today's event is a scientific drawing sharing by Professor Liu Junlin.
16000	20000	I'll quickly introduce Professor Liu's background.
20000	29000	Professor Liu is currently studying electrical engineering at National Taiwan University.
29000	34000	He is currently working as an assistant professor.
34000	42000	In 2010, he obtained a master's degree in electrical engineering at National Taiwan University.
42000	46000	Later, he obtained a master's degree in telecommunications.
46000	51000	In 2018, he obtained a doctorate in Caltech.
51000	60000	His research interests include Sparse Error Signal Processing and Statistical Signal Processing.
60000	66000	Today, Professor Liu will share with us his experience in latex.
66000	70000	On behalf of the audience, I welcome Professor Liu's speech.
70000	73000	Now, I'll give Professor Liu the floor. Thank you.
75000	79000	Thank you very much for the introduction.
79000	81000	Did you hear my voice?
86000	88000	Okay, thank you.
88000	92000	Thank you for the invitation to Project TARA.
92000	102000	It's an honor for me to share my experience in latex.
103000	119000	In my presentation, I will introduce my experience in latex and some basic ideas.
119000	129000	If you have any questions or ideas during the presentation, please feel free to ask.
130000	136000	Now, let's move on to today's presentation.
136000	141000	Today is the fifth session of our summer special event.
141000	143000	We will talk about scientific drawing.
143000	146000	We will mainly use the latex tool.
146000	150000	Before we start, I would like to ask the audience,
151000	156000	Have you ever heard of the term latex?
156000	159000	Can you raise your hand or make a sound?
164000	170000	I see some of the audience in the chat have heard of it.
170000	179000	For those who have heard of it, they may think that latex is a tool for writing papers.
179000	183000	Why put it under the theme of scientific drawing?
183000	188000	This is what I want to share with you today.
188000	193000	Latex actually has some relative tools that can be used for scientific drawing.
193000	197000	I also have some relative experience.
197000	200000	Let's continue our presentation.
200000	206000	First of all, I will do a simple introduction.
206000	209000	Then I will take some time to introduce latex.
209000	216000	If some of the audience has not heard of it or is not familiar with some of the details,
216000	221000	I will take some time to introduce what latex is to the audience.
221000	230000	The third part is that I will specifically mention a term called PGFTIKZ.
230000	233000	It can be a good combination with latex.
233000	236000	I will also mention some related examples.
236000	242000	Finally, I will explain some related resources to you.
242000	247000	If you are interested, you can use it as a reference.
247000	250000	Today's topic is scientific drawing.
250000	256000	I believe that most of the audience is academic background.
256000	259000	So in the academic background,
259000	263000	you often need to do an academic expression.
263000	265000	What is academic expression?
265000	268000	You may need to write a paper.
268000	271000	Or you need to write a verbal report.
271000	274000	Today's occasion is more like a verbal report.
274000	279000	In some occasions, you will need to make a poster report.
279000	286000	These are some media that are academic in expressing some concepts or more complex ideas.
286000	292000	It may be in the form of an article, a video, or a poster.
292000	294000	In these forms,
294000	300000	this chart is actually a very efficient way of communication.
300000	301000	You can imagine that
301000	306000	when you have a more complex concept that needs to be explained,
306000	309000	if you use a lot of very long sentences to explain
309000	312000	and draw a simple chart,
312000	315000	everyone can see it clearly.
315000	320000	Usually, most readers prefer to use charts
320000	324000	to make a conceptual expression.
324000	330000	So if you want to add some charts to your post,
330000	333000	the next question is
333000	337000	which interface to use to generate this chart?
337000	340000	I believe I mentioned two weeks ago that
340000	345000	you can use Illustrator to draw some pretty charts.
345000	347000	The theme of this week is
347000	352000	I want to use the Latex language interface.
352000	356000	It actually has some corresponding kits and tools
356000	360000	to create some nice charts.
361000	366000	Let me quickly use a sentence to explain what Latex is.
366000	369000	It's actually a layout system.
369000	372000	What this layout system does is
372000	377000	a lot of text files
377000	379000	after a series of compilation processes
379000	384000	are laid out into the file files you see.
384000	386000	So in fact, like the video I reported today,
386000	388000	I also did it with Latex.
388000	390000	In fact, there are a lot of
390000	393000	text compilations behind it.
393000	396000	These text compilations will tell us
396000	398000	what words are in this page,
398000	400000	what color are these words,
400000	404000	what are the order of these items,
404000	405000	and so on.
405000	408000	It will compile such a file.
408000	410000	Latex is a layout software.
410000	414000	It can compile a file based on such compilations
414000	419000	to look like the one you see in the video.
419000	423000	Let's quickly talk about PGF and TIKZ.
423000	425000	PGF is actually called
425000	428000	Portable Graphics Format.
428000	430000	In fact, what everyone is familiar with
430000	433000	is the language of TIKZ.
433000	436000	It's actually a Latex kit.
436000	442000	This kit is for drawing some charts,
442000	444000	especially when you use a compilation method
444000	445000	to describe a chart.
445000	449000	There are some particularly useful methods.
449000	450000	In the remaining time,
450000	452000	I will also mention one called PGF Plots.
452000	455000	It is also a Latex kit.
455000	460000	It can draw some common charts.
460000	462000	After using it myself,
462000	466000	I feel like I want to share it with you.
466000	469000	So today I will focus on
469000	472000	introducing these tools
472000	477000	and some of my personal experience.
477000	479000	This is a general idea
479000	483000	that we will go through today.
483000	486000	Next, I will show you a chart.
486000	488000	Let me tell you about this chart first.
488000	491000	This chart is a chart I took
491000	494000	from my class video.
494000	500000	I want to use this chart to give you an example.
500000	507000	First of all, when you look at this chart,
507000	510000	you see a lot of words,
510000	514000	a lot of shapes, a lot of colors.
514000	516000	Here is an example of this chart.
516000	519000	In fact, to describe this chart,
519000	523000	it can be divided into several steps.
523000	529000	One step is the words marked above.
529000	532000	For example, you see a lot of words up here.
532000	535000	Then there are some relative numerals.
535000	538000	There are also some relative words and numerals below.
538000	543000	So if you want to express a concept clearly,
543000	547000	there may be some relative numbers of words above.
547000	549000	In this chart,
549000	552000	you can also see some relative shapes.
555000	560000	For example, you can see a lot of squares here.
560000	564000	Then there are a lot of regular squares lined up.
564000	568000	Of course, the focus of today's speech
568000	570000	is not to introduce these details.
570000	574000	I mainly use this chart to give you an example.
574000	576000	To produce this chart,
576000	581000	you need to have some descriptions of the shapes.
581000	584000	Then you may need to do something like
584000	589000	drawing a line to produce this chart.
589000	592000	So you can see that there are
592000	594000	all kinds of lines between different squares.
594000	597000	There are green lines, there are orange lines,
597000	602000	and there may be some relatively small words marked above.
603000	605000	So usually on this kind of expression,
605000	608000	there may be some colors
608000	615000	or some relative text styles.
615000	619000	These may be some points that you can focus on
619000	623000	when designing the chart.
623000	627000	You may see this chart and think
627000	631000	that it seems to contain a lot of details.
631000	632000	Let me explain to you first.
632000	636000	This is actually one of the pages of the last video.
636000	640000	The complete version actually has a relative animation.
640000	642000	That is to say, different colors,
642000	646000	different labels will gradually appear.
646000	653000	But here is just to give you a demonstration and reference.
653000	658000	If you have any questions during the listening process,
