start	end	text
0	10000	Hello, everyone. Welcome to the Terra Talk on November 21, 2020.
10000	18000	We are honored to have Dr. Tsing Ke, who just became Dr. Yin Chao yesterday, to give a speech.
18000	24000	The topic of his speech today is Neutron Irradiation Effect on Tom Stanford Nuclear Fusion Reactor.
24000	29000	If you don't know what ITER is, you can google it.
29000	36000	It is basically the world's largest nuclear fusion experiment or nuclear fusion reactor.
36000	40000	Before we start, let me introduce Dr. Yin Chao.
40000	44000	Dr. Yin Chao's main field of research is the field he will talk to us about today,
44000	53000	which is material science, especially nuclear materials, nuclear fusion, tungsten, and neutron irradiation.
53000	58000	In the past, Dr. Yin Chao obtained a master's degree from the Department of Materials at Taipei University of Science and Technology.
58000	65000	After obtaining a master's degree in the same place, he went to UC Berkeley's Department of Nuclear Engineering and obtained a master's degree.
65000	71000	After that, he is now at the Belize Nuclear Research Center,
71000	76000	and also obtained a doctor's degree from the Department of Materials at Ruwen University.
77000	83000	Dr. Yin Chao's research focuses on nuclear power plants floating on the ocean,
83000	88000	and the nuclear fusion reactor material.
88000	93000	Please turn on the microphone so that our speakers can hear our applause.
93000	96000	Let's give a round of applause to welcome Dr. Yin Chao for his speech.
101000	104000	Thank you for the introduction.
104000	113000	As I said earlier, my speech will focus on the neutron irradiation effect of nukes.
113000	117000	The nukes will be applied to the nuclear fusion reactor.
125000	126000	Let me introduce my unit first.
126000	129000	Our unit is called SCK-CEN.
129000	132000	SCK and CEN have the same meaning.
132000	137000	SCK stands for Belgian Nuclear Research Center,
137000	140000	and CEN stands for Belgian Nuclear Research Center.
140000	142000	Belize is a bilingual country.
142000	147000	Our unit is located in Mol, which is very close to the Netherlands.
147000	149000	Our unit has three reactors,
149000	154000	BR1, BR2, and BR3, which are the Belgian reactors 1, 2, and 3.
154000	158000	BR1 is the earliest reactor.
158000	161000	BR2 is the most recent reactor.
161000	165000	BR2 has a carbon-free reaction.
165000	167000	BR2 is the most recent reactor.
167000	169000	BR2 has a carbon-free reaction.
169000	174000	All the experiments today are conducted by BR2.
174000	177000	All the experiments today are conducted by BR2.
177000	182000	BR2 was originally designed for material testing.
182000	187000	But because of the collapse of nuclear power industry,
187000	189000	But because of the collapse of nuclear power industry,
189000	191000	some nuclear accidents occurred,
191000	195000	like Chernobyl and Fukushima.
195000	197000	Since the nuclear industry has fallen,
197000	200000	there are not as many experiments to do the material test.
200000	202000	Since the nuclear industry has fallen, there are not as many experiments to do the material test.
202000	206000	Some part of it has been converted into medical isotopes
206000	211000	and half-body doping.
211000	217000	The BRS-3 was designed to train the nuclear industry.
217000	224000	The BRS-3 was designed to train the nuclear industry.
224000	228000	But they decided to dismantle it due to some problems.
228000	236000	Now it is a place to study how to retire the nuclear power plant.
236000	241000	Our company built a Mira.
241000	244000	It is going to replace BR-1, BR-2, and BR-3.
244000	248000	It is going to replace BR-1, BR-2, and BR-3.
248000	251000	It is a new reactor,
251000	257000	which is controlled by a accelerator.
257000	261000	It is a reactor and accelerator.
261000	264000	If you want to know more about our company,
264000	266000	you can come here.
266000	267000	If you want to know more about our company,
267000	269000	you can come here.
269000	271000	Let's continue.
271000	277000	My speech will be divided into five sections.
277000	280000	First, I will introduce what nuclear fusion is,
280000	282000	what kind of reactor it is,
282000	284000	why we use it,
284000	286000	what materials I tested,
286000	288000	how I tested it,
288000	293000	and the radiation testing.
293000	295000	Next, I will introduce the development method.
295000	298000	I will introduce three methods of development,
298000	300000	three methods of improvement,
300000	303000	to measure radiation.
303000	308000	Next, I will tell you about
308000	313000	the result before and after radiation.
313000	320000	I will tell you about the result before and after radiation.
320000	324000	First, introduction.
324000	325000	As you know,
325000	327000	2 million years ago,
327000	329000	humans discovered fire.
329000	332000	The symbol of the discovery of fire
332000	337000	is that humans began to control chemical energy.
337000	339000	If we did not control chemical energy,
339000	341000	there would be no industrial revolution,
341000	346000	and there would be no modern society.
346000	348000	In the middle of the 20th century,
348000	350000	another important thing happened.
350000	353000	We discovered nuclear energy,
353000	356000	and we learned how to use the energy of nuclear fission
356000	358000	to generate electricity.
358000	360000	We have been using it for more than half a century.
360000	365000	Among them, nuclear fusion is the holy grail of nuclear energy.
365000	369000	If we can control nuclear fusion,
369000	373000	we can get relatively clean energy,
373000	375000	and it is also sustainable.
375000	379000	It can be used for thousands of years.
379000	383000	Because the raw materials can be directly planted in the sea,
