start	end	text
0	10000	The first TerraTalk in 2021, today is January 9th.
10000	17000	We are very happy today to invite Dr. Wang Mengren to tell us about his topic today.
17000	23000	His topic today is Introduction to Particle Transport Simulation Deep Penetration Problems.
23000	27000	Before we start, let me introduce our speaker today.
27000	29000	His name is Vince Mengren.
29000	39000	He is a Research Scientist at the University of Utah.
39000	42000	Let me introduce his background.
42000	49000	He is a Research Scientist at the University of Utah.
50000	59000	Before this, he got his PhD in Nuclear Engineering at Virginia Tech in 2019.
59000	65000	His main research interest is Particle Transport Simulation.
65000	67000	This is the topic he will talk about today.
67000	71000	There is another topic that is not today's topic, but it is very cool.
71000	76000	It is Robotic Arm Applications in Nuclear Industry.
76000	79000	Obviously, you can't do anything by yourself.
79000	81000	This is a very important application.
81000	85000	There is a very special thing.
85000	86000	This is our online speech.
86000	88000	Let's give a round of applause to welcome our speaker.
88000	92000	Please turn on the microphone so that our speaker can hear our applause.
92000	100000	Let's give a round of applause to welcome Vince to give us a wonderful speech today.
100000	101000	I'll leave it to you.
101000	103000	Thank you, Ian.
103000	107000	First of all, thank you all for coming to listen to my speech.
107000	112000	My topic today is Introduction to Particle Transport Simulation.
112000	116000	Basically, Particle Transport Simulation can be used in many ways.
116000	120000	My main focus today is Deep Penetration Problem.
120000	123000	I will introduce what Deep Penetration Problem is later.
123000	127000	In fact, this chart has already told you some information.
127000	132000	At first, I will talk about what Particle Transport is.
132000	135000	Why do we need Particle Transport?
135000	140000	Second, what are the main applications?
140000	143000	I just said that Particle Transport has many applications.
143000	146000	If I have to talk about everything, I won't be able to finish it in an hour.
146000	148000	So I'm focusing on Deep Penetration Problem today.
148000	150000	It's actually a shielding problem.
150000	155000	Basically, you need to have a method to do this simulation.
155000	157000	There is a Governing Equation behind it.
157000	161000	Then you have to develop some methods to solve it.
161000	164000	I will talk about what the mainstream methods are now.
164000	166000	What are their advantages and disadvantages?
166000	168000	What are some more advanced methods?
168000	171000	Basically, I'm talking about Variance Reduction Techniques here.
171000	175000	Finally, of course, I will give a Demonstration Problem.
175000	177000	Finally, there is a Summary.
177000	183000	Before we solve any problem,
183000	186000	we have to talk about the Governing Equation behind it.
186000	192000	The Governing Equation behind Particle Transport is the Boltzmann Transport Equation.
192000	196000	You can see that the above equation looks very complicated.
196000	198000	This is General Form.
198000	200000	You have Time Dependent Terms.
200000	203000	We talk about Particle Streaming.
203000	206000	Your particle will be in Boundary Loss.
206000	208000	Then you may have an extra position.
208000	212000	For example, if you are an electrolyte, you may have magnetic force.
213000	216000	Gravity is generally not considered.
216000	218000	Because the particle is very small.
218000	220000	Then you have Collision.
220000	223000	The right side is basically Particle Gain.
223000	228000	When we calculate the Particle Transport,
228000	231000	We will talk about whether it is Lost or Gain.
231000	233000	You can see that the left side is basically Lost.
233000	234000	The right side is Gain.
234000	239000	I won't focus too much on Mathematics.
239000	243000	Because if you are not doing this field,
243000	246000	Mathematics will take a long time to understand.
246000	250000	The above is General Form.
250000	252000	The following is basically
252000	258000	If you need to do radiation transfer calculation.
258000	260000	Calculate their mass.
260000	262000	This is the Governing Equation we usually use.
262000	264000	This is from the above equation.
264000	268000	We talk about Steady State and Linear Boltzmann Equation.
268000	271000	You can see that there is a word called Linear here.
271000	273000	Steady State should not need to explain, everyone knows.
273000	276000	Basically, what we mean by Linear here is
276000	280000	For example, if you want to calculate the mass today.
280000	283000	For example, I am Photon today.
283000	285000	Photon will cause mass to me.
285000	289000	Today I assume that there will be no effect between Photon and Photon.
289000	291000	So this Linear is from here.
291000	293000	So you can see here
293000	295000	Basically, it only looks like once.
295000	300000	This is the function we want to solve.
300000	303000	We call it Flux.
303000	305000	Basically, you can see that the above and below
305000	308000	These two equations actually look a bit like.
308000	310000	The only difference is that one is General Form.
310000	314000	The other is Specifically.
314000	317000	We are not too independent and it is Linear.
317000	327000	We can explain a little bit about what this equation is doing.
327000	329000	Just use this example.
329000	331000	This example is basically if you go to the hospital.
331000	334000	You often see these X-ray machines.
334000	338000	This X-ray machine basically has a radiation source inside.
338000	340000	The middle one is inside.
340000	344000	Basically, a general X-ray machine is a beam of light.
345000	349000	Basically, you can circle a boundary.
349000	354000	If this beam of light runs out of this system.
354000	356000	I don't think about it.
356000	358000	Because it basically won't come back.
358000	360000	Basically, my patient may be here.
360000	363000	You basically have to estimate the number of patients.
363000	366000	The beam of light that goes out here.
366000	368000	I just talked about streaming.
368000	371000	This beam of light has run out of this boundary.
371000	375000	Basically, it is unlikely to hit back again.
375000	378000	On the one hand, the energy you hit is getting lower and lower.
378000	381000	Its path will be shorter and shorter.
381000	384000	So this is basically a little bit.
384000	386000	Just connect this equation.
386000	388000	What is he talking about?
388000	390000	Take advantage of this problem.
390000	391000	OK.
391000	394000	Speaking of Particle Transport.
394000	396000	Its application is actually very wide.
396000	401000	What I just talked about is a medical radiation device.
401000	405000	Or a physical accelerator that is often used.
405000	407000	You need to generate high energy particles.
407000	410000	Basically, you know that when the electric field is turning.
410000	412000	You will put the light out.
412000	417000	Basically, you will need to design its radiation barrier.
417000	418000	How do you design it?
418000	421000	To make the staff at work.
421000	426000	Don't let its dosage exceed the specified limit.
426000	431000	Whether it's nuclear fusion or nuclear separation reaction.
431000	433000	I basically need it.
433000	435000	Nuclear fusion reaction, if you need a place.
435000	438000	Basically, it's the same as I said.
438000	440000	It's basically a high-energy particle.
440000	441000	You cut it out again.
441000	442000	It will emit light.
442000	445000	Basically, you will have the same radiation barrier.
445000	447000	The problem needs to be calculated.
447000	449000	Nuclear separation reaction is no longer necessary.
450000	453000	From the core to the radiation barrier outside.
