start	end	text
0	8000	Thank you all for attending this lecture.
8000	13000	I am a PhD student at the University of Belize.
13000	17000	I am very happy to be able to host this lecture for Project TIRA.
17000	21000	From seeing people from satellites, urban transformation, moving and mental health,
21000	24000	applying remote data and machine learning cross-field research.
24000	27000	TIRA is a PhD student from various fields in Taiwan,
27000	34000	an organization made up of PhD students, post-doctorate researchers and assistant professors.
34000	40000	We hope to connect young researchers from different fields.
40000	44000	Today's speaker, Chi-Hsing, we met in the first English class.
44000	47000	We belong to different fields of science and technology.
47000	51000	Recently, because of this lecture, we are in contact again.
51000	54000	I think this is the purpose of Project TIRA.
54000	58000	To connect scholars from different fields.
58000	66000	Chi-Hsing just got his doctorate from the Department of Environmental Science at the University of Austria.
66000	70000	He is currently a post-doctoral researcher at Yale University.
70000	72000	When he was a post-doctoral student,
72000	78000	he conducted research on typhoons in Taiwan and the Philippines.
78000	82000	During his post-doctoral studies, he also conducted research in the United States.
82000	86000	His current post-doctoral research project is mainly in the Himalayas.
86000	92000	In the next two years, he will receive the Yale Gallaudet Donnelly Fellowship.
92000	95000	He is expected to travel from Africa to the world.
95000	99000	Chi-Hsing will give a lecture for about an hour.
99000	103000	After that, there will be a Q&A time.
103000	107000	I don't have much to say about Chi-Hsing, so I'll give you the time.
107000	108000	Thank you.
110000	114000	Thank you, everyone.
114000	119000	Today, I will divide this lecture into two parts.
119000	128000	The first part is about how we can use satellite imagery and machine learning to detect loss.
128000	135000	The second part will focus on the relationship between loss and mental health in Denmark.
135000	140000	Before we start, I'd like to take a short break.
140000	144000	If you have any questions, please feel free to ask.
146000	153000	Please let me know if the connection is bad.
154000	165000	At the beginning, I'd like to talk about my research theme from a view that you may be familiar with.
165000	171000	In this photo of Taipei City, if you can see my mouse,
171000	175000	this road here, the road under the building, what is it like?
176000	179000	In the north of Zhongshuo East Road,
179000	187000	you can imagine that this area is more like an apartment building.
187000	193000	The density of the street is higher, and the width of the street is narrower.
193000	199000	In the south of Zhongshuo East Road, the business district,
199000	203000	we can see that the construction rate is much lower.
203000	206000	There is a lot of space between the buildings.
206000	211000	At the same time, it is not a low-density form.
211000	215000	If you look at it from a vertical perspective, it has a lot of skyscrapers.
215000	223000	In the past, many urban planners and environmental scientists
223000	232000	have been thinking about what kind of urban form is the best or the most sustainable.
233000	238000	In terms of sustainability, there are two aspects that have often been discussed in the past.
238000	245000	The first is how to make urban planning reach the goal of carbon reduction under the climate change.
245000	252000	For example, if today's land use configuration can make the workplace and residences close enough,
252000	256000	so that people don't have to travel a long distance when they're on vacation,
256000	259000	this can achieve the effect of carbon reduction.
259000	269000	The second aspect of the study is to regard the city as a separate system for land use.
269000	274000	In addition to the city, there are usually rural areas or natural protected areas.
274000	277000	For environmental scientists and eco-scientists,
277000	286000	if we can make the city's land use appear in a very limited space range and efficiently expand to other places,
286000	292000	then we can save more land for agriculture or other crops.
292000	304000	My interest in the study is a little different from the two aspects of the city as another aspect of the environment.
304000	307000	What I'm interested in is the part about people.
307000	312000	When we talk about sustainability, it's not about the sustainability of the environment,
312000	315000	but it's about people and the environment.
315000	321000	People themselves have to be able to live in this place in a sustainable way.
321000	326000	I'm very lucky to work on this project during my Ph.D. period.
326000	329000	The main theme of the project is psychological health.
329000	332000	I also had the opportunity to start working on this project.
332000	336000	I'd like to give you a data on psychological health.
337000	339000	In the past ten years,
339000	343000	the World Health Organization has conducted a survey of various countries around the world.
343000	347000	It can be found that an average of four people in the world
347000	351000	will have a certain stage in their life when they are affected by any psychological disease.
351000	358000	This is only the population that has been recorded due to old age.
358000	361000	In fact, the number will be higher.
361000	374000	Psychological health has many social factors.
374000	380000	What is the relationship between the building environment and psychological health?
380000	384000	I can think of it in three directions.
384000	391000	The first one is that we can imagine that the sun's exposure to the sun is related to our physical and mental health.
391000	394000	This will affect our mood.
394000	396000	In terms of environmental vision,
396000	401000	people may look out of the window and see what the street scene is.
401000	406000	Or the environment gives you a feeling of pressure or a sense of pressure.
406000	410000	This will also cause us to have different reactions psychologically.
410000	419000	The third point is that the urban structure of our society is closely related to our social interactions.
419000	424000	Let me give you a simple example of my grandmother's house.
424000	428000	My grandmother's house is a fishing village in the south of Taiwan.
429000	434000	The main urban design of this fishing village is like this.
434000	440000	There is a series of residential areas around the main provincial highway.
440000	442000	This residential area is a large area.
442000	445000	The connection in the middle of this large area is a small alley.
445000	451000	The distance between each small alley is about five meters.
451000	453000	In other words, the car can't get in.
454000	458000	There are two main types of houses in this residential area.
458000	459000	One is a three-room house.
459000	463000	The other is a Milan-style building with about four or five floors.
463000	468000	The function of this three-room house in the residential area is that
468000	474000	there is an underground water drain in the middle of the three-room house.
474000	480000	So everyone goes to that place to chat and get water.
481000	484000	Every time I go back to my grandmother's house,
484000	494000	I can often hear that everyone is quarreling in the alley or in the three-room house.
494000	496000	But no, they are just chatting.
496000	503000	In another era, when my grandmother's children grew up and lived in the city,
503000	507000	some of them moved to Kaohsiung City and moved to Taitung City.
507000	511000	For example, my father moved to a community building in Taitung City.
511000	516000	In this community building, their lifestyle became that
516000	523000	when my father got home, he parked his car and went straight to the 11th floor of the elevator to the apartment.
523000	527000	Through the legend of the elevator in this apartment,
527000	532000	he was actually in the same building as his neighbor.
532000	536000	Maybe there was only a wall or a floor area.
536000	544000	But even so, it almost completely avoided the possibility of communication with those neighbors.
544000	547000	So what is the lifestyle of our residents?
547000	552000	It will also affect the way we interact with our neighbors around us.
556000	561000	In the past, the study of what kind of urban lifestyle is related to mental health
561000	566000	is actually a more abstract or simplified way of understanding it.
566000	571000	It regards urban and rural as a spectrum of urban and rural.
571000	574000	In this spectrum, they are usually divided into two groups,
574000	576000	that is, urban people and rural people.
576000	582000	In these two groups, they conduct a lot of research,
582000	586000	including in Africa or other European countries, as well as the United States.
586000	589000	This study is a comprehensive study.
589000	592000	It collects data from dozens of European and American countries.
592000	595000	It turns out that in general, in these countries,
595000	601000	the ratio of depression and anxiety,
601000	603000	that is, the ratio of population infection,
603000	608000	is higher in urban areas than in rural areas.
609000	617000	In the context of globalization and the constant increase of urban population,
617000	620000	it is almost impossible to say that
620000	623000	it is because living in a rural area is healthier,
623000	626000	so we try to encourage everyone to live in a rural area.
626000	630000	For me, there is a very interesting question here,
630000	635000	that is, in urban environments,
635000	642000	what kind of urban design and urban planning
642000	646000	can be psychological health?
646000	649000	This is my main research motivation.
652000	654000	Let me introduce it to you.
654000	656000	When I was doing this research,
656000	658000	in fact, there were already a lot of predecessors,
658000	660000	that is, the previous researchers,
660000	663000	who had already thought a lot about this issue.
663000	664000	But in the study method,
664000	667000	the past research is more limited to small-scale research,
667000	670000	because they need to go through, for example, questionnaire survey,
670000	675000	to understand what the living environment
675000	678000	of their subjects is like.
678000	681000	Because psychological health is a very complicated issue,
681000	683000	compared to other areas,
683000	688000	such as work, career, family life, etc.
688000	693000	Therefore, when it comes to the living environment,
693000	695000	in many cases,
695000	698000	if the sample is small,
698000	701000	it will be more limited to research.
701000	705000	Therefore, one of the main breakthroughs in my PhD program
705000	709000	is how we can use satellite images and big data
709000	714000	to achieve a large-scale environmental feature,
714000	718000	and then connect such large-scale spatial information
718000	720000	with health information storage,
720000	722000	that is, the entire population of Denmark.
725000	726000	Let me show you
726000	730000	what the satellite image I am currently using looks like.
733000	735000	This image is Landsat,
735000	737000	a satellite from NASA.
737000	741000	It is summarized in series from Landsat 5 to Landsat 8,
741000	743000	from 1984 to the present.
743000	746000	It took 16 days to take this image,
746000	749000	so you can see what the image is like.
752000	757000	This image has an obvious problem
757000	760000	when it is recognized in the form of a story.
760000	764000	You can see the comparison of these two images here.
764000	767000	The one on the left is Google Earth,
767000	772000	a high-resolution satellite image.
772000	774000	The one on the right is the same one.
775000	777000	It is more clear because it is placed further away,
777000	779000	but if we look at it closely,
779000	782000	you will find that it is blurry
782000	786000	like a mosaic.
786000	789000	It's hard to really see
789000	791000	which side is the tall building, which side is the low building,
791000	792000	which side is the crowded residential area,
792000	795000	and which side is the windshield.
796000	800000	If you want to use a satellite image
800000	803000	to understand the entire city's
803000	806000	shape, structure, and health,
806000	808000	in my thesis,
808000	810000	the first part of the problem to be solved is
810000	813000	how do we use artificial intelligence,
813000	815000	especially the power of learning,
815000	818000	to solve the limitation of the satellite image.
819000	821000	The second part is that
821000	824000	when we make a breakthrough in methodology,
824000	827000	and get large-scale spatial information,
827000	831000	how do we connect it with the satellite image?
835000	838000	The first part of the study will be
838000	841000	the first half of the study.
841000	842000	I will let you ask questions first
842000	844000	when the first half of the study is over.
850000	852000	The first part is mainly about
852000	855000	when we get a satellite image,
855000	857000	like this picture on the left,
857000	859000	we hope to convert this satellite image
859000	861000	through machine learning
861000	864000	into the spatial information on the right.
864000	866000	Spatial information includes
866000	869000	which parts of the image
869000	872000	belong to the tall building,
872000	874000	the low building,
874000	877000	the crowded residential area, and so on.
877000	879000	In this study,
879000	881000	we will use the image of
881000	883000	the limited landsat
883000	885000	to compare different methods of
885000	887000	machine learning and deep learning,
887000	889000	to see which method
889000	892000	has more advantages in this topic.
893000	895000	Then we will see that
895000	897000	if this method can be trained well
897000	899000	in the Danube case,
899000	901000	can it be applied to other places
901000	904000	and have more potential for expansion?
904000	907000	First of all, this is the framework of our classification.
907000	909000	As mentioned earlier,
909000	913000	in terms of urban density,
913000	916000	it is a concept of gradient.
916000	918000	It will be divided into low density,
918000	920000	medium density, and high density.
920000	922000	In terms of building height,
922000	924000	this is a system designed
924000	926000	for the Danube context.
926000	928000	There are not many tall buildings in the Danube,
928000	930000	so you can imagine that
930000	932000	it is a system of building height
932000	934000	below the third floor.
934000	936000	Above the third floor,
936000	938000	we call it an apartment
938000	940000	or an open space.
948000	950000	This is an overview of
950000	952000	the entire research framework.
952000	954000	In the upper left corner,
954000	956000	you can see that
956000	958000	this is the satellite image
958000	960000	we use,
960000	962000	which has been integrated
962000	964000	from 1985 to 2018.
964000	966000	There is an image that
966000	968000	has not been affected by the cloud.
968000	970000	After obtaining this image,
970000	972000	we need to
972000	974000	let this model
974000	976000	learn something.
976000	978000	We need to give it some training data.
978000	980000	This training data
980000	982000	comes from Guangda.
982000	984000	Guangda is simply
984000	986000	a laser pulse.
986000	988000	When it hits an object,
988000	990000	there is a time difference.
990000	992000	This time difference can measure the shape of the object.
992000	994000	Therefore,
994000	996000	this data is a 3D model
996000	998000	of the entire Danube.
998000	1000000	We divide this 3D model
1000000	1002000	into two parts.
1002000	1004000	One is training data,
1004000	1006000	and the other is verification data.
1008000	1010000	In terms of models,
1010000	1012000	we have three models.
1012000	1014000	The following is a common
1014000	1016000	method of learning
1016000	1018000	deep learning.
1018000	1020000	It is not deep learning,
1020000	1022000	but its computing speed is relatively fast.
1022000	1024000	The two models above
1024000	1026000	are deep learning models.
1026000	1028000	Let's talk about the middle one first.
1028000	1030000	It is actually the simplest
1030000	1032000	rotating machine model.
1032000	1034000	You often hear of CNA.
1036000	1038000	The one above
1038000	1040000	is a little more complicated than the one below.
1040000	1042000	But its base is the same.
1042000	1044000	It also comes from a
1044000	1046000	3D model.
1046000	1048000	In the model design,
1048000	1050000	there is a pooling layer
1050000	1052000	in the middle.
1052000	1054000	To put it simply,
1054000	1056000	what it is doing
1056000	1058000	is to
1058000	1060000	increase the speed of the machine.
1060000	1062000	But what is it?
1062000	1064000	I would like to introduce it to you now.
1064000	1066000	As mentioned earlier,
1066000	1068000	when we use high-resolution
1068000	1070000	commercial satellites,
1070000	1072000	we can clearly see
1072000	1074000	the same structure
1074000	1076000	and different architectural forms.
1076000	1078000	But the same range
1078000	1080000	is completely different.
1080000	1082000	In the same range,
1082000	1084000	it is difficult to see
1084000	1086000	which side is the high-rise
1086000	1088000	and which side is the flat.
1088000	1090000	But if we can
1090000	1092000	consider the information
1092000	1094000	of the multi-level building,
1094000	1096000	it will be a little different.
1096000	1098000	For example,
1098000	1100000	in this block of the high-rise,
1100000	1102000	there are three long
1104000	1106000	pixels.
1106000	1108000	The reason why the pixels are darker
1108000	1110000	is because there are more
1110000	1112000	buildings in this area.
1112000	1114000	If we look further,
1114000	1116000	we can see
1116000	1118000	that
1118000	1120000	the design of
1120000	1122000	this new community
1122000	1124000	is more
1124000	1126000	urbanized.
1126000	1128000	For example,
1128000	1130000	the buildings in this area
1130000	1132000	are more organic
1132000	1134000	and more deformed.
1134000	1136000	So,
1136000	1138000	on a larger scale,
1138000	1140000	we can see that
1140000	1142000	the structure can help us
1142000	1144000	distinguish which side is the high-rise
1144000	1146000	and which side is the flat.
1148000	1150000	When we have trained
1150000	1152000	these models and data,
1152000	1154000	we will use
1154000	1156000	the verification data
1156000	1158000	to verify the performance of the model.
1158000	1160000	What I want to mention here is that
1160000	1162000	the year of verification
1162000	1164000	data is different
1164000	1166000	from the year of training data.
1166000	1168000	For example, our training data is 2014,
1168000	1170000	but when we verify it,
1170000	1172000	we want to know
1172000	1174000	whether the model
1174000	1176000	that has been trained
1176000	1178000	recently can be used
1178000	1180000	to draw a historical urban model.
1180000	1182000	So, we found data from
1182000	1184000	2006 and 1995
1184000	1186000	that can be used
1186000	1188000	to draw a historical urban model.
1190000	1192000	Here is the research result.
1192000	1194000	I want to introduce
1194000	1196000	the six types of urban models
1196000	1198000	in Denmark.
1200000	1202000	The first one is the high-rise
1202000	1204000	with high density.
1204000	1206000	The high-density apartment buildings
1206000	1208000	are mainly located in the city center.
1208000	1210000	Here, we found two big cities
1210000	1212000	in Denmark,
1212000	1214000	Denmark and
1214000	1216000	Denmark.
1216000	1218000	In this picture,
1218000	1220000	the high-density apartment buildings
1220000	1222000	are represented as one group in immigrant
1222000	1224000	communities,
1224000	1226000	the rest areas are
1226000	1228000	isolated to the city center
1228000	1230000	as one group.
1232000	1234000	In this picture,
1234000	1236000	the high-density apartment buildings
1236000	1238000	are represented as one group
1238000	1240000	in immigrant communities,
1240000	1242000	the rest areas are isolated
1242000	1244000	as one group.
1244000	1246000	The third and fourth
1246000	1248000	sheets of yellow
1248000	1250000	architectural formula
1250000	1252000	symbolize Denmark's
1252000	1254000	major residential system.
1254000	1256000	Republican apartments
1256000	1258000	are simply
1258000	1260000	high-density
1260000	1262000	built in contact
1262000	1264000	with neighborhood
1264000	1266000	between city centers
1266000	1268000	and settlements.
1268000	1270000	As you can see,
1270000	1272000	the yellow part
1272000	1274000	of the low-density
1274000	1276000	apartment
1276000	1278000	is all
1278000	1280000	high-density.
1280000	1282000	You can imagine
1282000	1284000	this type of apartment
1284000	1286000	as a house in Europe
1286000	1288000	with lots of greenery
1288000	1290000	around it.
1290000	1292000	What is a low-density
1292000	1294000	high-density apartment like?
1294000	1296000	This type of apartment
1296000	1298000	can be located
1298000	1300000	on the outskirts
1300000	1302000	of the city
1302000	1304000	or around the park
1304000	1306000	and next to the river
1306000	1308000	to the first row of water.
1308000	1310000	It is a high-density apartment.
1310000	1312000	The low-density
1312000	1314000	low-rise apartment
1314000	1316000	is a low-density
1316000	1318000	high-density apartment.
1320000	1322000	We found that
1322000	1324000	in the case of Denmark,
1324000	1326000	the low-density
1326000	1328000	low-rise apartment
1328000	1330000	is more
1330000	1332000	common than
1332000	1334000	the high-density
1334000	1336000	high-density apartment.
1336000	1338000	We found that
1338000	1340000	in the case of
1340000	1342000	Germany,
1342000	1344000	the low-density
1344000	1346000	low-rise apartment
1346000	1348000	is more common than
1348000	1350000	the high-density
1350000	1352000	high-density apartment.
1352000	1354000	We found that
1354000	1356000	in the case of Germany,
1356000	1358000	the low-density
1358000	1360000	low-rise apartment
1360000	1362000	is more common than
1362000	1364000	the high-density
1364000	1366000	high-density apartment.
1366000	1368000	We found that
1368000	1370000	in the case of
1370000	1372000	Germany,
1372000	1374000	the low-density
1374000	1376000	low-rise apartment
1376000	1378000	is more common than
1378000	1380000	the high-density
1380000	1382000	high-density apartment.
1382000	1384000	We found that
1384000	1386000	in the case of
1386000	1388000	Germany,
1388000	1390000	the low-density
1390000	1392000	low-density apartment
1392000	1394000	is more common than
1394000	1396000	the high-density
1396000	1398000	high-density apartment.
1398000	1400000	We found that
1400000	1402000	in the case of
1402000	1404000	Germany,
1404000	1406000	the low-density
1406000	1408000	low-density apartment
1408000	1410000	is more common than
1410000	1412000	the high-density
1412000	1414000	high-density apartment.
1414000	1416000	We found that
1416000	1418000	in the case of
1418000	1420000	Germany,
1420000	1422000	the low-density
1422000	1424000	low-density apartment
1424000	1426000	is more common than
1426000	1428000	the high-density
1428000	1430000	high-density apartment.
1430000	1432000	We found that
1432000	1434000	in the case of
1434000	1436000	Germany,
1436000	1438000	we found that
1438000	1440000	in the case of
1440000	1442000	Germany,
1442000	1444000	the low-density
1444000	1446000	high-density apartment
1446000	1448000	is more common than
1448000	1450000	the high-density
1450000	1452000	high-density apartment.
1452000	1454000	We found that
1454000	1456000	in the case of
1456000	1458000	Germany,
1458000	1460000	the low-density
1460000	1462000	high-density apartment
1462000	1464000	is more common than
1464000	1466000	the high-density
1466000	1468000	high-density apartment.
1468000	1470000	We found that
1470000	1472000	in the case of
1472000	1474000	Germany,
1474000	1476000	the low-density
1476000	1478000	high-density apartment
1478000	1480000	is more common than
1480000	1482000	the high-density
1482000	1484000	high-density apartment.
1484000	1486000	We found that
1486000	1488000	in the case of
1488000	1490000	Germany,
1490000	1492000	the low-density
1492000	1494000	high-density apartment
1494000	1496000	is more common than
1496000	1498000	the high-density
1498000	1500000	high-density apartment.
1522000	1524000	We found that
1524000	1526000	in the case of
1526000	1528000	Germany,
1528000	1530000	the low-density
1530000	1532000	high-density apartment
1532000	1534000	is more common than
1534000	1536000	the high-density
1536000	1538000	high-density apartment.
1538000	1540000	We found that
1540000	1542000	in the case of
1542000	1544000	Germany,
1544000	1546000	the low-density
1546000	1548000	high-density apartment
1548000	1550000	is more common than
1550000	1552000	the high-density
1552000	1554000	high-density apartment.
1554000	1556000	We found that
1556000	1558000	in the case of
1558000	1560000	Germany,
1560000	1562000	the low-density
1562000	1564000	high-density apartment
1564000	1566000	is more common than
1566000	1568000	the high-density
1568000	1570000	high-density apartment.
1570000	1572000	We found that
1572000	1574000	in the case of
1574000	1576000	Germany,
1576000	1578000	the low-density
1578000	1580000	high-density apartment
1580000	1582000	is more common than
1582000	1584000	the high-density
1584000	1586000	high-density apartment.
1586000	1588000	We found that
1588000	1590000	in the case of
1590000	1592000	Germany,
1592000	1594000	the low-density
1594000	1596000	high-density apartment
1596000	1598000	is more common than
1598000	1600000	the high-density
1600000	1602000	high-density apartment.
1602000	1604000	We found that
1604000	1606000	in the case of
1606000	1608000	Germany,
1608000	1610000	the high-density
1610000	1612000	high-density apartment
1612000	1614000	is more common than
1614000	1616000	the high-density
1616000	1618000	high-density apartment.
1618000	1620000	So I would like to refer to
1620000	1622000	the existence of
1622000	1624000	the lower and upper
1624000	1626000	density apartment
1626000	1628000	and the higher-density apartment
1628000	1630000	once again.
1630000	1632000	The Lower and Upper
1632000	1634000	Dependency Parking
1634000	1636000	The Lower and Upper
1636000	1638000	Dependency Parking
1638000	1640000	is more common than
1640000	1642000	the lower-density
1642000	1644000	lower-density apartment
1644000	1646000	on the same floor.
1646000	1648000	It is more common
1648000	1650000	than the higher-density
1650000	1652000	higher-density apartment
1652000	1654000	on the same floor.
1654000	1656000	The lower-density
1656000	1658000	lower-density apartment
1658000	1660000	on the same floor
1660000	1662000	is more common
1662000	1664000	than the higher-density
1664000	1666000	higher-density apartment
1666000	1668000	on the same floor.
1668000	1670000	The Lower and Upper
1670000	1672000	Dependency Parking
1672000	1674000	is more common
1674000	1676000	than
1676000	1678000	the lower-density
1678000	1680000	lower-density apartment
1680000	1682000	on the same floor.
1682000	1684000	The Lower and Upper
1684000	1686000	Dependency Parking
1686000	1688000	is more common
1688000	1690000	than
1690000	1692000	the lower-density
1692000	1694000	lower-density apartment
1694000	1696000	on the same floor.
1696000	1698000	The Lower and Upper
1698000	1700000	Dependency Parking
1700000	1702000	is more common
1702000	1704000	than
1704000	1706000	the lower-density
1706000	1708000	lower-density apartment
1708000	1710000	on the same floor.
1710000	1712000	The Lower and Upper
1712000	1714000	Dependency Parking
1714000	1716000	is more common
1716000	1718000	than
1718000	1720000	the lower-density
1720000	1722000	lower-density apartment
1722000	1724000	on the same floor.
1724000	1726000	The Lower and Upper
1726000	1728000	Dependency Parking
1728000	1730000	is more common
1730000	1732000	than
1732000	1734000	the lower-density
1734000	1736000	lower-density apartment
1736000	1738000	on the same floor.
1738000	1740000	The Lower and Upper
1740000	1742000	Dependency Parking
1742000	1744000	is more common
1744000	1746000	than
1746000	1748000	the lower-density
1748000	1750000	lower-density apartment
1750000	1752000	on the same floor.
1776000	1778000	The Lower and Upper
1778000	1780000	Dependency Parking
1780000	1782000	is more common
1782000	1784000	than
1784000	1786000	the lower-density
1786000	1788000	lower-density apartment
1788000	1790000	on the same floor.
1790000	1792000	The Lower and Upper
1792000	1794000	Dependency Parking
1794000	1796000	is more common
1796000	1798000	than
1798000	1800000	the lower-density
1800000	1802000	lower-density apartment
1802000	1804000	on the same floor.
1804000	1806000	The Lower and Upper
1806000	1808000	Dependency Parking
1808000	1810000	is more common
1810000	1812000	than
1812000	1814000	the lower-density
1814000	1816000	lower-density apartment
1816000	1818000	on the same floor.
