start	end	text
0	11000	Hello, everyone. Thank you for coming to Project Terra. I'm your host, Su-Yi-An.
11000	13000	I'm your host, Hu-Jun-Wei.
13000	21000	I'm delighted to be joined by Fu-Chun to give us a presentation.
21000	28000	The topic is Data, Reading, Architecture, Environment and Energy, using Taiwan's energy data as an example.
28000	33000	Later on, I'll talk about today's process.
33000	38000	Later on, I'll talk about today's process.
38000	43000	Today's presentation is hosted by Project Terra.
43000	46000	Later on, we'll record the entire presentation.
46000	52000	In other words, after the presentation, if you want to listen to it again or share it with your friends,
52000	57000	you can go to Project Terra's website to view today's recording.
57000	63000	During the presentation, if you have any questions,
63000	72000	you're welcome to raise your hand or ask your question in the chat.
72000	78000	The hosts will monitor your questions and talk to the speakers.
78000	83000	If you have a bigger or more complicated question,
83000	87000	we'll have an open Q&A session at the end of the presentation.
87000	91000	Please feel free to ask your questions.
91000	95000	That's about it for today's presentation.
95000	100000	Now, let's have another host, Hu-Jun-Wei, to introduce today's speaker, Fu-Chun.
101000	102000	Hello, everyone.
102000	110000	Fu-Chun is a Ph.D. student at the University of Singapore, NUS.
110000	118000	He is currently studying architecture and urban data science in the University of Singapore.
118000	123000	His research focuses on the application of large data related to architecture,
123000	129000	including architectural energy, indoor environment comfort, and architectural IoT data, etc.
129000	133000	At the same time, he is also doing some community activities in the lab.
133000	140000	For example, he held an energy prediction competition at the well-known data platform Kaggle the year before last,
140000	146000	and provided data science courses to the public in an open platform course, EDS.
147000	150000	Interestingly, before Fu-Chun was a Ph.D. student,
150000	157000	he worked as a three-year data scientist at a Taiwanese innovation company,
157000	159000	Knowledge Analysis Based Exploration,
159000	163000	and was committed to the development of large data related to architecture,
163000	169000	including the detection of labor abnormalities, energy prediction, and data visualization, etc.
169000	174000	In addition, he is also involved in the development of artificial intelligence services
174000	177000	and energy data analysis of the Taipei City Government.
177000	185000	Today, Fu-Chun will focus more on issues related to food in the industry.
185000	190000	In today's speech, he will talk about the academic development of energy prediction,
190000	195000	and finally share how to work with open data to do energy prediction.
195000	197000	Let's welcome Fu-Chun.
200000	202000	Can you hear me?
202000	204000	Yes, we can.
204000	205000	Great.
205000	211000	Next, let me play my video.
213000	219000	Today's topic is data reading, architecture, environment, and energy,
219000	221000	based on Taiwan energy data.
221000	226000	This speech is mainly about architecture data prediction models,
226000	229000	as well as the introduction of related open data.
229000	231000	At the end of the speech,
231000	234000	I will use the open data provided by Taipei Electric Power Corporation,
234000	236000	and the weather forecast provided by the Meteorological Bureau,
236000	238000	to cooperate with the model of machine learning,
