start	end	text
0	8000	First of all, I'm Kao Hsien. I'm a Ph.D. student from the University of Brisbane.
8000	14000	I'm very happy to be able to invite Yiting to talk about today's topic.
14000	23000	In 2019, Yiting received a Ph.D. from Boston University in the field of Rehabilitation Science.
23000	33000	Since last year, 2020, she has been a Ph.D. student in the Department of Health Behavior and Community Science.
33000	39000	During her university and master's degree, she studied in the Department of Cognitive Immunotherapy and the Cognitive Immunotherapy Research Institute.
39000	48000	She has worked in schools, clinics, hospitals, and other places for a long time, about four years.
48000	52000	She mainly serves children with mental disorders and their families.
52000	60000	Until now, her research interests include the communication of mental disorders, cross-cultural and parents' education experience,
60000	67000	and environmental factors affecting the health and quality of mental disorders and family members.
67000	72000	She is also currently involved in the study of COVID-19, the impact of this epidemic on our mental health,
72000	77000	as well as the study plan for the integration of mental patients into the care system.
77000	79000	That's all for my introduction.
79000	81000	The floor is yours.
81000	84000	Yiting, please start your report.
84000	85000	Okay.
85000	93000	First of all, I'd like to thank Yiting for taking the time to prepare so many things for us,
93000	95000	as well as some preliminary communication.
95000	102000	Also, I'd like to thank the T-Rod platform for allowing us to participate in this event on the weekend.
102000	108000	I'd like to thank everyone for having the opportunity to listen to this presentation on the weekend.
108000	112000	Let's get started.
112000	114000	Today's topic is,
114000	116000	Is it their country or our home?
117000	123000	I'd like to share the quote I got from this interview.
123000	129000	I think it's a good way to show that as an immigrant living in a new country,
129000	133000	how does it affect the implementation of their family position in terms of identity?
133000	136000	How do they practice their family position?
136000	141000	My main target is the first generation of Asian immigrants in the United States.
141000	145000	Their children have different developmental disabilities.
145000	146000	Okay.
146000	148000	Later, I will...
148000	150000	Today's presentation...
150000	152000	Okay.
152000	153000	Okay.
153000	155000	Today, I will talk about...
155000	158000	It will take about 10 to 15 minutes.
158000	160000	I will talk about my own experience,
160000	164000	and why I want to do this topic now,
164000	170000	and what led me to get to where I am today step by step.
170000	173000	Next, I will talk about the two studies I want to share today.
173000	176000	These two studies are from my doctoral thesis.
176000	180000	I will talk about the background of these two studies.
180000	183000	Next, I will talk about the first study I did.
183000	185000	It's a meta-synthesis study.
185000	189000	I don't know if you are familiar with this type of study.
189000	193000	I will talk about what it is,
193000	195000	and how I use it.
195000	200000	Lastly, I will talk about a more traditional implementation study.
200000	204000	I will talk about how parents in the U.S.
204000	209000	help their children with developmental disabilities
209000	212000	in the U.S.
212000	215000	and how they arrange their adult life.
215000	217000	At the end of this talk,
217000	220000	we will move on to today's Q&A.
220000	223000	If you have any questions,
223000	225000	you can leave them in the chat box.
225000	227000	If you have any questions,
227000	229000	you can leave them in the chat box.
229000	231000	You can also leave them in the chat box during the Q&A.
231000	233000	The first question is,
233000	235000	as Kou said,
235000	238000	my university and master's degree are both in Chengda University.
238000	240000	They are all in Cognitive Therapy.
240000	242000	Regarding Cognitive Therapy,
242000	244000	I think most people have heard about it.
244000	246000	I will take this opportunity
246000	249000	to give you a brief explanation of Cognitive Therapy.
249000	251000	I think a lot of people
251000	253000	will take Occupational Therapy
253000	255000	as a direct approach.
255000	257000	I think a lot of people
257000	259000	will take Occupational Therapy
259000	261000	as a direct approach.
262000	264000	Occupational therapy is not an Job.
264000	268000	This term, Occupational Therapy,
268000	273000	is not a job-related word
273000	275000	but a meaningful activity to everyone.
275000	277000	This term, occupational therapy,
277000	282000	is important to people of different age groups.
282000	284000	For example,
284000	289000	if I'm a doctor or a worker,
289000	291000	meaningful activities to me
291000	294000	are going to work, doing research,
294000	297000	going to class, and so on.
297000	301000	If I'm in a normal workplace,
301000	305000	due to physiological, psychological,
305000	307000	or other reasons,
307000	310000	I can't go to work,
310000	313000	meaningful activities to me
313000	315000	are going to work.
315000	317000	Occupational therapy
317000	319000	is also for people
319000	322000	who can't go to work.
322000	324000	For example,
324000	326000	it's for workers
326000	329000	who need to evaluate their functions
329000	331000	or help them with their arms
331000	333000	or other body functions.
333000	335000	Occupational therapy
335000	337000	also helps them adjust
337000	339000	their work environment
339000	345000	so that they can go back to work.
345000	347000	For children,
347000	349000	meaningful activities to them
349000	351000	are playing,
351000	353000	socializing with others,
353000	355000	going to school,
355000	359000	or even daily life management.
359000	361000	Can they do these things?
361000	363000	These are meaningful activities to them.
