start	end	text
0	7000	I'm going to share my screen first.
7000	9000	You can share your screen at the same time, no problem.
9000	10000	Okay, cool.
10000	11000	Thank you.
11000	23000	We are really happy to have Yichi as our speaker today.
23000	29000	Yichi Hong is currently a second-year PhD student at Boston University.
29000	34000	Coincidentally, she studied psychology at Taiwan University.
34000	37000	She studied psychology at Taiwan University.
37000	40000	She has worked in two different research institutes.
40000	42000	One is a research institute run by Dr. Reagan Lin.
42000	44000	The other is a research institute run by Dr. Wu Wen-Chi.
44000	48000	She mainly studies behavioral coding and research methods related to FMRI.
48000	50000	Yichi is amazing.
50000	52000	She graduated three years in advance.
52000	56000	After graduation, she became a research assistant for two years.
56000	61000	Now, she has applied to Boston University for research.
61000	68000	Her research focuses on the characteristics of adult anti-social behavior that can be observed in childhood.
68000	72000	She studies these characteristics through the method of quantitative behavior inheritance.
72000	76000	She studies these characteristics through the method of quantitative behavior inheritance.
76000	83000	Today, we will hear some research related to FMRI, behavioral inheritance, and so on.
83000	87000	I will introduce Yichi to you.
87000	90000	Let's give Yichi the floor.
90000	96000	Welcome, Yichi.
96000	98000	Please start.
98000	100000	Thank you for the introduction.
100000	102000	Behavioral inheritance is a difficult topic.
102000	107000	I will not talk about the research related to FMRI today.
107000	109000	I will start.
110000	112000	I am Yichi Hong.
112000	114000	I am a postgraduate student at Boston University.
114000	116000	I am a postgraduate student at Boston University.
116000	121000	My research focuses on the development of children before puberty.
121000	126000	We can estimate the impact of genes and the environment on behavior.
126000	130000	In a group, we can see the difference in individual behavior.
130000	133000	How many percentages can be explained by genes or the environment?
134000	140000	I will talk about behavioral inheritance and how to do it.
140000	143000	I will talk about the assumption and basic model of FMRI.
143000	151000	I will talk about the changes we have collected and the analysis we are doing.
151000	156000	I will talk about the changes we have collected and the analysis we are doing.
156000	159000	We did not control or manipulate any of the changes.
159000	162000	We did not secretly send twins to different families.
162000	164000	We did not secretly send twins to different families.
166000	172000	Behavioral inheritance aims to answer a big question in psychology or philosophy.
172000	176000	The question is whether human behavior is decided by God or God.
176000	182000	Plato and Aristotle had different opinions on this question.
