start	end	text
0	17000	Welcome to today's TARTalk. We are honored to have Dr. Ronson to talk about his research on quantum bit during his Ph.D. class.
17000	21000	Before we start, let me introduce today's speaker.
21000	26000	Dr. Ronson graduated from Rochester University in the east of the United States this year.
26000	33000	His work in his Ph.D. class is mainly to use superconducting man-made atoms to achieve protective superconducting qubits.
33000	38000	Before his Ph.D. class, he worked in the 3D IC department of TSMC for two and a half years.
38000	45000	He just finished his Ph.D. class and got his degree.
45000	54000	He will move to IBM Research as a Research Scientist and continue to develop and integrate his most specialized superconducting quantum chips.
54000	60000	At the same time, he is also one of the members of the Qiskit Advocate of the IBM Q promotion plan.
60000	69000	In addition to his main superconducting qubit research, he is also very committed to developing quantum education and games with Qiskit.
69000	74000	Please turn on the microphone so that our speakers can hear our applause.
74000	77000	Let's welcome Dr. Ronson to give us today's speech with a warm applause.
77000	91000	Dr. Ronson, thank you for giving me this opportunity to share with you.
91000	96000	You can see my laser pointer.
97000	100000	Thank you.
100000	104000	What I'm going to share with you today is my work at the Ph.D. class.
104000	108000	There are three parts of my work at the Ph.D. class.
108000	115000	The first part is Low-EJ's Josephson-Johnson superconductor.
115000	124000	The third part is the prototype of a quantum circuit.
124000	127000	We call it bifloxone qubit.
127000	137000	Because junction is a little boring, and there are some time constraints, I won't mention junction.
137000	145000	The main focus is on the bifloxone circuit and a more important component in it, the superconductor.
145000	148000	Dr. Ronson is here again.
148000	151000	This circuit is very similar to the bifloxone circuit.
151000	159000	It's just that the black-shift junction is changed to a cooper-pair box, and the gate is used to connect.
159000	170000	Because I do Fab, not design, I will try to explain the circuit.
170000	177000	But there may be some Hamiltonian behind the theory.
177000	180000	Because of time constraints, I won't mention too much.
180000	183000	I'm not a specialist in quantum circuits.
183000	187000	You can discuss any questions you have.
187000	194000	Because not everyone here is doing qubit, I will briefly mention it.
194000	206000	In quantum computation technology, especially in qubit hardware, there are mainly five criteria.
206000	214000	These are the five criteria proposed by Dr. Ronson in 2000.
214000	224000	The first two are circuit depth, which is how long a circuit can run before the signal disappears.
224000	227000	So you can put a few gates before the signal disappears.
227000	230000	The other criteria is the number of qubits.
230000	237000	So Dr. Ronson's work is more like de-extending the circuit depth of super-canon qubit.
237000	245000	That is to say, try to increase our either coherent time or dephasing time.
245000	254000	Here is a recent meme, a web meme.
254000	258000	It summarizes the paper of super-canon qubit.
258000	262000	Now we can see that there are 12 kinds of papers.
262000	270000	Dr. Ronson's work is basically located in these three papers.
270000	273000	He wrote that Johnson and Johnson can do so many things.
273000	275000	This is my first work.
275000	281000	The second is to realize super-inductors, impossible inductors.
281000	285000	The third one is our prototype.
285000	288000	We made a new qubit and it is awful.
288000	291000	Just kidding.
291000	297000	This is my work at Dr. Ronson's lab.
297000	301000	The first one is super-inductors.
301000	310000	We try to realize super-inductors with granular aluminum.
310000	316000	The second one is super-inductors based on Johnson to realize bifluxon qubits.
316000	320000	The third one is super-inductors based on granular aluminum to realize bifluxon qubits.
320000	323000	This is an ongoing project.
323000	326000	Maybe we can talk about it later.
326000	329000	But today's main focus is these two.
329000	334000	Basically, this page is a brief introduction of Johnson.
334000	337000	Johnson is basically a capacitor.
337000	341000	Its two sides are super-conductors.
341000	346000	There is a thin layer of aluminum oxide in the middle.
346000	350000	In our device, we use aluminum-based.
350000	357000	We use a shadow mask to grow an aluminum layer in one direction.
357000	360000	Then introduce some oxygen into the vacuum chamber.
360000	364000	Then another layer of aluminum is cut in the other direction.
365000	367000	This is Johnson.
367000	373000	Johnson can be represented by three elements on the model.
373000	379000	One of them will affect the resistance of the circuit damping.
379000	384000	There is also a capacitor and a non-linear inductor.
384000	389000	The characteristic energy of the capacitor and the inductor is
389000	394000	Q2 over 2C
394000	402000	This is the energy generated by the Johnson effect.
402000	407000	Johnson effect basically describes
407000	414000	You can use the phase difference of the super-current on both sides of Johnson as a parameter.
414000	418000	To parameterize the characteristics of the circuit element IV.
418000	423000	Its current and voltage can be parameterized by phase.
423000	427000	Then you can get its characteristic energy.
427000	432000	In practice, what Johnson I did today
432000	434000	How much is the resistance of the two sides of the circuit?
434000	437000	It is inversely proportional to Ej.
437000	444000	Ej and Ec can be used in classical physics.
445000	452000	You can think of it as the kinetic energy and potential energy in classical physics.
452000	458000	Ej is like a potential energy in phase representation.
