start	end	text
0	15000	Hello everyone, I'm the host of today's Terra Talk, I'm Hsih-Hui-Ting.
15000	19000	I'm very happy to be here today to participate in this talk with everyone.
19000	22000	Our speaker today is Yao Naijia.
22000	25000	I personally know Naijia, and I've known her for a long time,
25000	28000	because Naijia is my college classmate.
28000	33000	Naijia's college, master's, and doctoral degrees are all in the Department of Physiotherapy at NTU.
33000	40000	Naijia was also the secretary-general of the World Physiotherapy Asia-Pacific Region.
40000	46000	She has now graduated, and is currently working as the director of the World Physiotherapy Asia-Pacific Region.
46000	51000	In today's talk, Naijia will mainly share two parts with us.
51000	54000	The first part is about her doctoral thesis,
54000	57000	Child Development Genetic Environment Interaction.
57000	60000	The second part is about medical information design.
60000	63000	The first topic, Child Development Genetic Environment Interaction,
63000	66000	focuses on early treatment intervention,
66000	69000	as well as the development of genes related to dopamine in children,
69000	72000	including cognitive development, action development, and behavioral development,
72000	75000	as well as the impact of parent-teacher pressure.
75000	78000	We will also discuss the interaction between genes and the environment.
78000	80000	We look forward to the future long-term development,
80000	85000	and we hope to design a more personalized medical plan for these children.
85000	88000	The second topic is about medical information design.
88000	91000	After Naijia graduated from her doctoral degree,
91000	93000	she went to the industry,
93000	96000	focusing on medical information design and science and technology education.
96000	99000	Through community platforms or activities,
99000	102000	she will promote medical knowledge to the general public.
102000	105000	She will also share some of her experience with us.
105000	108000	In today's talk,
108000	111000	Naijia will share common digital marketing content
111000	114000	and discuss more possible developments with our guests.
114000	117000	Naijia will share common digital marketing content
117000	120000	and discuss more possible developments with our guests.
120000	123000	Naijia, please share your PowerPoint.
123000	126000	Naijia, please share your PowerPoint.
126000	129000	Thank you.
129000	132000	Let's give Naijia a round of applause.
132000	134000	Thank you.
134000	137000	Thank you, Naijia.
137000	140000	Let me share my screen.
140000	143000	You should be able to see it now.
143000	146000	Thank you, Naijia, for your presentation.
146000	149000	Thank you, Naijia, for your presentation.
149000	152000	I think that's pretty much it.
152000	155000	My background is a physics teacher
155000	158000	who specializes in children's development.
158000	161000	I was lucky enough to be a part of a new initiative
161000	164000	in 2016.
164000	167000	I was lucky enough to be a part of a new initiative
167000	170000	in 2016.
170000	173000	I'd like to share two main points with you.
173000	176000	The first one is
176000	179000	about my PhD thesis.
179000	182000	about my PhD thesis.
182000	185000	The first one is about my PhD thesis.
185000	188000	The second one is about medical information design.
188000	191000	I know that Project HERA is a research-oriented project.
191000	194000	I know that Project HERA is a research-oriented project.
194000	197000	I'd like to share my work with you
197000	200000	and see how we can share our knowledge
200000	203000	and see how we can share our knowledge
203000	206000	in the future.
206000	209000	We are an intellectual industry.
209000	212000	We are an intellectual industry.
212000	215000	I'd like to make a formal apology.
215000	218000	I'd like to make a formal apology.
218000	221000	My family is at home.
221000	224000	I'm sorry that my audio recorded my talking.
224000	227000	I'm sorry that my audio recorded my talking.
227000	230000	Please forgive my crying.
230000	233000	I'll start my presentation
233000	236000	in the next few minutes.
236000	239000	I'll start my presentation in the next few minutes.
239000	242000	I'll start my presentation in the next few minutes.
242000	245000	I'd like to focus on gene-environmental interaction.
245000	248000	I'd like to focus on gene-environmental interaction.
254000	257000	I'd like to focus on gene-environmental interaction.
257000	261000	We need to understand which causes older than usual development for kids.
261000	266000	We need to understand which causes older than usual development for kids.
266000	269000	We select here oviparous and hormone-related over-time.
275000	278000	And we focus on early pregnancy.
278000	292000	In the past, differential susceptibility theory tells us that the worse the environment, the worse the performance.
292000	297000	The better the environment, the better the performance.
297000	303000	On the contrary, people who don't have this kind of environment may not be affected by the environment.
303000	309000	Another theory is that there is only a negative environment that makes me perform worse.
309000	311000	The positive environment is not bad at all.
311000	319000	Another theory is that there is only a positive environment that makes me perform better.
319000	322000	The negative environment is not bad at all.
322000	330000	In this case, we hope to see the advantageous sensitivity.
330000	337000	This means that the better the environment, the better the performance.
337000	341000	This structure is divided into several areas.
341000	343000	First, the environment.
343000	346000	We want to see if the environment affects the development of children.
346000	350000	Second, the pressure on the parents to have a child.
350000	353000	This is the part of the day after tomorrow.
353000	354000	This is the part of the day before tomorrow.
354000	355000	This is the part of the gene.
355000	359000	In the past research,
359000	365000	we have known that early birth parents will be more stressed.
365000	369000	In the past, the intervention program also told us that
369000	372000	the intervention program can reduce the pressure on the parents.
372000	375000	However, most of it is focused on the mother,
375000	378000	and there is less discussion about the father and mother at the same time.
378000	381000	In this study, we will include the father and mother at the same time,
381000	384000	and it will be a part of the long-term tracking.
384000	388000	In terms of children, the conclusion of the past study is inconsistent.
388000	391000	Some say that the effect can be delayed to 9 years old or later.
391000	396000	However, some say that the intervention period is 1 or 2 years old,
396000	398000	and the effect is almost the same.
398000	400000	In the future, there will be no effect.
400000	403000	So our study is also a large-scale study in Taiwan.
403000	406000	We want to see what effect it will have in the long-term tracking.
406000	409000	Especially in terms of cognition, action, and behavior.
409000	411000	In terms of genes,
411000	414000	we chose the gene related to multiple sclerosis and hemoglobin.
414000	416000	Because the gene related to multiple sclerosis and hemoglobin
416000	418000	has been proven in past studies,
418000	421000	it may be related to children's development,
421000	424000	including cognition, ADHD,
424000	427000	which is related to autism and attention deficit disorder.
427000	430000	So there are four parts of this study.
430000	432000	The first is whether our medical intervention
432000	435000	has a positive impact on the development of children.
435000	437000	The second is whether our medical intervention
437000	440000	can help parents to reduce their stress.
440000	443000	The third is whether the gene related to multiple sclerosis and hemoglobin
443000	446000	can be related to the development of children.
446000	449000	Finally, it depends on the interaction effect of the gene environment.
449000	451000	In terms of research,
451000	454000	we use low-fat premature babies.
454000	456000	This research is a bit more complicated.
456000	458000	It will include four studies.
458000	462000	So if you have any questions about our participants,
462000	464000	you can discuss with me.
465000	467000	In terms of procedures,
467000	469000	we will have a hospitalization period,
469000	471000	which is when the baby is still in the nursing room.
471000	473000	We will start to intervene.
473000	474000	After discharge,
474000	477000	there will be medical intervention in 0, 1, 2, 4, 6, 9, 12 months.
477000	478000	As a rule,
478000	481000	we will use a phone interview to care for the baby.
481000	484000	So this intervention will include,
484000	486000	including when the baby is in the hospital,
486000	487000	as we just mentioned,
487000	490000	there will be some suggestions on feeding,
490000	491000	massaging,
491000	494000	and some development stimuli.
494000	496000	After discharge,
496000	498000	there will be some transfer to the hospital.
498000	501000	We will also teach the baby how to adjust the home environment,
501000	503000	and how to interact with the baby in the future.
503000	505000	As we know,
505000	507000	parent-child interaction
507000	510000	has a positive impact on the development of children,
510000	512000	especially children under the age of six.
