start	end	text
0	11000	Good morning, good evening, and thank you for joining me today to share my screen.
11000	27000	We don't have a lot of people today, so feel free to interrupt me at any time if you have any questions, or just turn on the microphone.
27000	35000	The topic I'm going to talk about today is called Invisible Risk Data Sharing Activities of Data Brokers.
35000	41000	My co-authors are Aaron, who just got his PhD from Rutgers.
41000	44000	His PhD peers are also here.
44000	48000	He's going to go to California State University, Fullerton.
48000	51000	The other teacher is a Rutgers teacher.
52000	54000	Let me introduce myself.
54000	56000	My background is actually accounting.
56000	59000	I'm a CPA, and I'm a Certified Internal Auditor.
59000	63000	But my PhD is Management Information Systems.
63000	69000	I usually teach data analytics and data mining related courses.
69000	71000	Because of my background.
71000	75000	I'm currently on the list of Fulbright specialists.
75000	78000	I specialize in curriculum development.
78000	82000	I've worked with Computer Science before.
82000	86000	They have a task force on how to design cybersecurity curriculum.
86000	88000	So I'm in that program.
88000	92000	My research is mainly IT management and security management.
92000	94000	Almost all of them are in this area.
94000	105000	I often give lectures outside, maybe at universities, conferences, or some professional organizations.
105000	110000	I used to be a panelist at the Federal Reserve Bank.
110000	113000	About three or four weeks ago,
113000	117000	I helped them do analytics training at McDonald's.
117000	120000	I also did some training for the California Department of Justice.
120000	124000	I also gave a lecture at the Taiwan Monetary Authority.
124000	130000	In 2018, I was at KPMG, a large audit consulting firm.
130000	132000	I was a professor-in-residence there.
132000	136000	So I worked with them in New York for 10 weeks.
136000	138000	I also do projects with them.
138000	141000	I've done more than 15 projects so far.
141000	147000	I'm the incoming president of Accounting Information Systems.
147000	148000	This is my LinkedIn.
148000	150000	If you're interested.
150000	152000	About this paper.
152000	156000	Data Broker has been around for a long time.
156000	160000	It's just that it's been noticed for the past 10 years.
160000	164000	As you can see, a lot of news is about Data Brokers.
164000	168000	The earliest one I have here is from 2013.
168000	172000	I've been seeing it since this year.
172000	177000	Especially after the Facebook Cambridge Analytica scandal.
177000	179000	More news.
179000	181000	Who is a Data Broker?
181000	188000	A Data Broker is not the organization we usually come into contact with.
188000	192000	For example, if we go to a website.
192000	195000	We all know that it collects a lot of our information.
195000	199000	We also know that some websites will sell or share our information.
199000	203000	But the Data Broker is actually hiding behind these websites.
203000	206000	So when it's collecting data, we probably don't know.
