start	end	text
0	10000	Hello, I'm Annie, and I'm honored to have Ian here to give us an amazing talk.
10000	13000	Ian is a PhD candidate at Cornell University.
13000	20000	Today's topic is called Killing the Obvious, a Scientific Analysis of the Incompetent to be Executed.
20000	31000	Today's talk will be about 40-45 minutes, with a 10-15 minute Q&A.
31000	41000	The recording will be uploaded to Taira's YouTube channel or blog in about a week.
41000	48000	Without further ado, let's welcome Ian.
48000	50000	Thank you, Annie.
50000	56000	I'm not a PhD candidate yet, but I hope to be one soon.
56000	64000	I'm very happy to be here today, especially with the support of my Taiwanese friends.
64000	73000	I'll try to be more introverted, and introduce the topic to those unfamiliar with it.
73000	78000	I'll start by sharing my screen.
78000	88000	Can everyone see the video?
88000	90000	Yes, I can.
90000	98000	If you can't see the video, please let me know.
98000	105000	Today's topic is Killing the Obvious, a Scientific Analysis of the Incompetent to be Executed.
105000	120000	In Chinese, the word oblivious refers to an ignorant person, or a person who has no awareness.
120000	125000	It's a difficult word, so it's normal if you don't know it.
125000	127000	I'm Ian Su.
127000	132000	I'm a postdoctoral student at Cornell University.
132000	136000	I'm currently studying Human Development.
136000	140000	I'll be joining the Department of Psychology.
140000	149000	This is a project I'm working on with Cornell Law School.
149000	153000	Today's talk will be divided into three parts.
153000	167000	In the first part, we'll go over the background of Killing the Oblivious.
167000	173000	In the second part, we'll look at what the project is about.
173000	179000	In the third part, I'll talk about how the project combines psychology and law.
180000	191000	I'll use a simple way to explain how we view food.
191000	194000	I'll start with the first part.
194000	198000	The reason I'm doing this research is because
198000	208000	I was a lawyer in Taiwan two years before I came to Cornell.
208000	213000	During my time as a lawyer, I was involved in a number of cases involving killing the oblivious.
213000	216000	I didn't choose to be involved in these cases,
216000	221000	because my major was Law.
221000	223000	My master's was Psychology.
223000	233000	I was fortunate to be a lawyer with a background in both psychology and law.
233000	241000	I was involved in a number of cases involving killing the oblivious.
241000	249000	Many of the defendants were mentally ill.
249000	253000	I was involved in a number of cases involving killing the oblivious.
253000	258000	The reason I came to Cornell Law School
258000	265000	is because I had a five-year Ph.D. program in psychology,
265000	270000	but they have a very strong cross-field discipline.
270000	273000	They have a dual degree program.
273000	276000	The professors here are very strong,
276000	281000	and they like to combine psychology, law, and research topics.
282000	289000	Although I didn't mention the six-year dual degree program on the screen,
289000	295000	my professor told me that I already had a law degree in Taiwan,
295000	299000	so I didn't need to come to the U.S. to study law.
299000	304000	What I'm actually doing is trying to combine the law and psychology that I learned in the past
304000	311000	and see how I can use my research to study legal issues.
