start	end	text
0	10000	Today, we are honored to have Dr. Teng-Ting Yun with us to discuss today's lecture.
10000	17000	Today's topic is Data Crisis in Astronomy, Machine Learning Techniques to Galaxy Studies.
17000	22000	Before we start the lecture, let me introduce Teng-Yun first.
23000	32000	Teng-Yun is now at the Center for Extragalactic Astronomy at Durham University in the UK.
32000	35000	She is an astrophysicist.
35000	39000	She got her bachelor's and master's degree in Taiwan.
39000	43000	Then she went to Nottingham, also in the UK, and got her doctorate.
43000	46000	She got her doctorate last year.
46000	54000	Her main interest is galactic evolution and formation.
54000	62000	She is now focusing on machine learning techniques for galaxy study.
62000	71000	In today's lecture, she will talk about her specialty, machine learning for galaxy study.
71000	74000	She will also talk about her past work.
74000	80000	She will also talk about how machine learning will help galaxy study in the future.
80000	87000	Now, let's welcome Teng-Yun with a round of applause.
93000	95000	Thank you, everyone.
96000	98000	Thank you, everyone.
98000	102000	Thank you, Chair, for the warm introduction.
102000	106000	Hello, everyone. Good morning, good afternoon, and good night.
106000	108000	I'm Teng-Yun.
108000	111000	I'm a postdoctoral researcher at Durham University.
111000	114000	I'd like to apologize to everyone first.
114000	117000	I think I'm going to talk a lot in Chinese and English.
117000	120000	Because I can't show my speaker notes.
120000	123000	I usually speak in English.
123000	126000	So my Chinese sometimes gets stuck.
126000	132000	What I'd like to share with you today is about machine learning.
132000	136000	It's becoming more and more popular in astronomy.
136000	141000	This is a research topic for my postdoctoral research.
141000	144000	I'm going to share with you some papers I did in my postdoctoral research.
144000	148000	First of all, let me introduce myself.
148000	150000	What is an astronomer?
150000	154000	Basically, every time I tell everyone that I'm an astronomer,
154000	158000	everyone has a different idea of what an astronomer is.
158000	160000	Most of the time, people will ask me,
160000	164000	Do you know what the meteorite of Saturn is?
164000	167000	Or people will point to a star in the sky and ask me,
167000	169000	Do you know what that star is?
169000	172000	I have to be honest and say I really don't know.
172000	176000	If I tell people I'm a postdoctoral researcher,
176000	178000	my mom will exaggerate and say,
178000	180000	Do you know that my daughter is a professor?
180000	182000	It's not that exaggerated.
182000	184000	Mom, please calm down.
184000	188000	If you are an astronomer or a theoretical astronomer,
188000	191000	the most common thing we do every day is to use a computer.
191000	194000	We're not writing code, we're debugging.
194000	198000	Especially what we do most often is data analysis.
198000	203000	You may be analyzing certain stars.
203000	209000	Or like me, I'm analyzing big data.
209000	214000	I may be analyzing hundreds of thousands or even millions of galaxies at a time.
216000	219000	I'm interested in two directions.
219000	221000	One is information classification,
221000	223000	which is Galaxy Morphological Classification.
223000	226000	The other part is more cosmological.
226000	230000	I do Lama Napa Forest or IGN-CGN.
230000	234000	I don't know what this term means.
234000	238000	Because today I'm going to focus on information classification.
238000	243000	It's relatively straightforward.
245000	250000	This is the most famous information classification system.
250000	253000	It's categorized by human eyes.
253000	255000	It's called Hubble Sequence.
255000	260000	It's a name given by a famous astronomer, Hubble.
260000	264000	Information classification can be divided into many types.
264000	266000	You can classify according to different brightness,
266000	269000	or different degree of evolution,
269000	271000	or even different information structures.
271000	278000	Unfortunately, human eye classification is the most commonly used system in astronomy.
278000	284000	We've been using Hubble Sequence for almost 100 years.
285000	288000	As for big data,
288000	295000	I'm showing you the data from various surveys in recent years.
295000	297000	As you can see from the left side,
297000	306000	the data you can see in the astronomy survey is about 1TB.
306000	314000	In the future, we expect to break through the 1TB scale.
314000	318000	So we find that the data is growing very fast.
318000	322000	Because of computer technology, we can store a lot of data.
322000	326000	But the problem is that in astronomy,
326000	334000	we can't handle such a large amount of data in a traditional way.
334000	340000	We have data, but we can't handle it.
340000	350000	Let me show you the big data.
350000	356000	Since 2005, SDSS has been a very famous large-scale field tracking program.
356000	362000	It has observed about 50 million stars.
363000	367000	But in fact, we've done a lot of analysis,
367000	370000	and we've done a lot of detailed research.
370000	374000	There are only about 1 million stars.
374000	379000	You know that the speed of our analysis is very, very slow.
379000	383000	It's far less than the speed of our data generation.
383000	389000	The most famous program in information classification is Galaxy Zoo.
389000	398000	Galaxy Zoo is a program that invites people from all over the world to do information classification together.
398000	402000	Because you can imagine that information classification is actually a very straightforward thing.
402000	405000	You can look at a star and see if it has a spiral.
405000	410000	Then you can analyze whether it is an elliptical star or a spiral star.
410000	414000	Galaxy Zoo thinks that people from all over the world can do this kind of thing.
414000	419000	So they let the general public participate in this information classification program.
419000	424000	But even if they gather people from all over the world to do this kind of analysis,
424000	431000	they only classified about 900,000 galaxies in about three years.
431000	438000	So you know that if, for example, the data I'm doing right now is DAS data.
438000	446000	The initial data for this part of the data is about 30 trillion galaxies.
446000	453000	The analysis I did in my paper is about 2 trillion galaxies.
453000	458000	So you know that if we want to do it in a traditional way today,
458000	460000	we need to analyze it in a human way.
460000	463000	Even if we do it in the way of Galaxy Zoo,
463000	465000	you may not be able to finish it in your life.
465000	468000	So we need some help at this time.
468000	473000	When we say we are in trouble, I always say I am in trouble.
473000	478000	I can't do this kind of large-scale survey analysis because I have too much data.
478000	484000	At this time, many people will start to seek help from machine learning.
484000	486000	This is my topic today.
486000	501000	Here you can see the recent paper on machine learning in astronomy.
501000	506000	You can see that there has been an exponential growth in the past few years.
506000	509000	More and more papers are doing related things.
509000	513000	I started to read the textbook in 2017.
513000	516000	When I was reading the textbook, I was very impressed.
516000	518000	At that time, basically no one was doing it.
518000	521000	Everyone is just starting to do it.
521000	525000	But after that, I will probably have a new paper every day.
525000	531000	I will see a new paper every day talking about machine learning applications.
531000	534000	Let me talk about it.
534000	540000	In astronomy, I think it's pretty much the same in computer science.
541000	554000	Machine learning applications are roughly divided into supervised, unsupervised, and self-supervised.
554000	557000	Of course, there are other more detailed things.
557000	558000	I won't talk about it for the time being.
558000	560000	This is a more general classification.
560000	563000	I will talk about these three categories later.
563000	566000	So my talk today will be more technical.
566000	571000	If you have any questions that you are not familiar with machine learning, you can ask me right away.
571000	572000	It doesn't matter.
572000	579000	In terms of applications, you can roughly divide it into three different questions.
579000	583000	You can do classification, or you can do regression.
583000	586000	You want to predict a continuous value.
586000	588000	Or you can do data generation.
588000	591000	These are the things that machine learning can help with.
591000	594000	I basically have a list of these three.
594000	597000	But I'm going to focus on the classification problem today.
597000	608000	In terms of its purpose, most of the things we want to do in astronomy are what I just said.
608000	610000	Because we have a lot of data.
610000	615000	But our traditional way of analyzing is far less than dealing with this data.
615000	620000	The biggest problem is that we want to deal with efficiency issues.
620000	629000	A large part of it is related to how we measure quantity.
629000	639000	Machine learning can basically help us improve the accuracy of some measurements.
639000	647000	So the two main purposes of machine learning are to improve efficiency and accuracy.
648000	655000	But today, in addition to these two, I want to talk to you about what else we can do.
655000	661000	What else we can do with machine learning?
661000	666000	You can be more creative when it comes to machine learning.
668000	672000	To sum up what I just said, it's a long start.
672000	675000	I'm going to divide it into two parts today.
675000	678000	The first part is very short.
678000	684000	It's about how to improve efficiency and accuracy.
684000	688000	The second part is about what else you can do.
688000	694000	I'm going to focus on unsupervised machine learning and self-supervised machine learning.
697000	700000	Let's go back to the very beginning, the Hubble sequence.
700000	702000	Let's simplify the problem now.
702000	705000	I don't know what you think of the Hubble sequence.
705000	709000	But I'm going to try to explain it in a way that's not my area of expertise.
709000	712000	So my explanation is going to be a little more shallow.
712000	715000	You can usually divide the Hubble sequence into two categories.
715000	718000	The elliptic sequence and the spiral sequence.
718000	720000	It's very simple to classify them.
720000	722000	There's the concept of a spiral coin.
722000	726000	I don't know if you can see my mouse.
726000	729000	Can you see my mouse?
730000	733000	The spiral coin is very obvious.
733000	736000	It's the shape of a spiral.
736000	741000	As long as there's a spiral coin, we define it as a spiral sequence.
741000	744000	The other is to define it as a elliptic sequence.
744000	751000	So far, you can just say that it's a very straightforward, very simple thing to classify.
751000	757000	So that's why Galaxy Zoo can get the public to help with this.
758000	763000	I'm sorry, can I ask a question?
763000	766000	I'd like to ask a naive question.
766000	771000	Why are all the stars in the galaxy in the shape of a circle?
771000	776000	Is there a possibility that they're in the shape of a triangle?
776000	779000	Yes, there is.
779000	783000	As you can see, they're in the shape of a circle because of the projection.
784000	788000	In fact, every star has a depth.
788000	793000	In terms of elliptical stars, they're basically like a ball.
793000	796000	They're like a ball in a triangular space.
796000	803000	Their light distribution is also the shape of a ball.
803000	809000	But if you look at a spiral star today, it's more like a disk.
809000	812000	So if you project it to 3D today,
812000	818000	the distribution of light will be more like a disk, not a ball.
818000	821000	So this is also in the galaxy.
821000	827000	So my question is, why are some of them in the shape of a disk,
827000	831000	instead of a triangular elliptical shape?
831000	833000	That's a good question.
834000	839000	This question is mainly related to the evolution of stars.
839000	843000	For example, this question is a bit difficult to answer.
843000	846000	But it's mainly related to the evolution of stars.
846000	850000	Our current theory is that
850000	853000	we start with the spiral galaxy.
853000	862000	How do I say it in Mandarin?
862000	864000	Can I speak English?
864000	866000	Yes, you can.
866000	870000	For spiral galaxies, they think that in the beginning,
870000	875000	you will have some gas that accretions into this structure.
875000	877000	It's not like a ball.
877000	880000	It's more like a disk.
880000	883000	It's a flat disk.
883000	887000	It's in the shape of an accretion disk.
887000	890000	It's not like a whole ball.
890000	894000	It's not like a whole ball.
894000	897000	In our understanding,
897000	901000	the main formation of stars should start from that.
901000	904000	So in our understanding,
904000	906000	the spiral galaxy is formed first.
906000	910000	Gradually, the two galaxies merge together.
910000	913000	After the momentum dissipates,
913000	916000	it slowly forms the shape of a ball.
916000	921000	Because the shape of a ball is more like an accretion disk.
921000	923000	Does this answer your question?
923000	924000	Yes.
924000	926000	It's okay. We can discuss it later.
926000	927000	Okay.
927000	931000	This part is actually quite long.
931000	934000	It's not related to what I talked about today.
936000	940000	The first part is supervised learning.
940000	943000	Let me tell you what supervised learning is.
943000	946000	Supervised machine learning is a very simple concept.
946000	948000	We feed a picture to the machine.
948000	950000	Then we give it a label.
950000	954000	For example, I tell the machine that this is a dog.
954000	956000	Then I tell it that this is a fried chicken.
956000	958000	Then I feed it a lot of pictures.
958000	961000	Pictures of different dogs and fried chickens.
961000	964000	After the machine learns,
964000	969000	it will ask the dog if it is a dog or a fried chicken.
969000	971000	This is the concept of supervised learning.
971000	976000	Supervised learning is a very common concept.
976000	980000	In my 2020 paper,
980000	987000	I studied 10 different supervised machine learning algorithms.
987000	990000	Today I will focus on the Confluential Neural Network.
990000	995000	Let me briefly introduce the Confluential Neural Network
995000	998000	to those who are not familiar with machine learning.
998000	1001000	The idea is that we have Confluential Layers
1001000	1003000	to do feature extraction.
1003000	1006000	What Confluential Layers is actually doing
1006000	1010000	is a bit like a filter concept.
1010000	1014000	It actually wants to capture some features
1014000	1019000	that can best represent your image.
