start	end	text
0	11000	Hello everyone, thank you all for participating in this speech from different cities around the world.
11000	16000	Thank you very much for the detailed introduction just now.
16000	21000	What I want to introduce today is what I want to talk about my research and what I did in the past.
21000	26000	Then there are one or two slides to bring a little bit about how I plan to do this topic in the future.
26000	33000	For the overview part, I will try to use the Chinese slides and the Chinese way to do the speech.
33000	39000	For the more detailed research part, I will try to speak in Chinese, but I will use English slides.
39000	43000	Because I'm not so confident in Chinese translation.
43000	47000	But I will try to introduce it to you in Chinese.
47000	52000	I also know that the background of the speakers and the audience is not the same.
52000	55000	So if you have any questions, you are welcome to interrupt me.
55000	58000	Then we can go back and forth once or twice.
58000	65000	If you find that there are still some problems that cannot be solved, then we can do some more in-depth discussions at the end.
65000	69000	What I want to discuss today is the impact of mechanics on the instability of dyeing.
69000	72000	Especially when looking at this problem from the perspective of cell division.
72000	78000	We know that we learn a lot of loss division from high school and high school biology.
78000	87000	Loss division usually means that when a cell produces a tissue, both sides of the cell will have the same number of dyes.
87000	92000	Let me quickly go through the process of loss division.
92000	97000	In the process of cell division, the dye will become this shape.
97000	99000	It's a bit like a sausage.
100000	110000	If you fix it in the way of dyeing and look at it with a microscope, you will find that it looks a bit like two sausages.
110000	114000	In the process, the membrane will begin to decompose.
114000	122000	In the process of decomposition, the dye will begin to form the so-called epithelium.
122000	126000	This epithelium will try to form the shape of this epithelium.
126000	134000	In the process, the dye will interact with the epithelium.
134000	138000	The dye will be brought to the center by the epithelium.
138000	140000	Let's call it neutralization.
140000	145000	There is a very important component called the connective core.
145000	152000	Connective core means that the dye will react with the epithelium at this point.
152000	158000	When the dye is well arranged in the middle, the cells will enter the so-called anaphase.
158000	161000	At this time, the dye will be divided into two sides.
161000	164000	This process is actually very difficult.
164000	170000	Many people are discussing why this process can be so perfect.
170000	173000	There are two things that I must highlight.
173000	176000	The so-called spindle assembly checkpoint.
176000	178000	This checkpoint is a checkpoint signal.
178000	185000	When the dye is not connected to the spindle, the checkpoint will be turned on.
185000	188000	When this signal is turned on, the cells will not be able to go down.
188000	190000	This is the concept of a checkerboard.
190000	196000	If the checkerboard finds that the system is a little problematic, it will try not to let this happen.
196000	199000	There is another system called error correction.
199000	203000	Let's call it the error correction mechanism.
203000	207000	This error correction mechanism is that when it finds that the dye is not arranged like this,
207000	212000	There is a set of error correction mechanisms in our cells that try to arrange it correctly.
212000	218000	In this way, when it enters the process of cell division, there will be no errors.
218000	221000	But in fact, there are many times when there are so-called errors.
221000	226000	Let's call it abnormal division.
226000	230000	In the process of abnormal division, the dye will be unstable.
231000	232000	Let me give you an example.
232000	235000	I have two sets of dyes here.
235000	237000	I color-coded them.
237000	242000	You can see that these two sets of dyes are all connected to the same side.
242000	243000	The other side is not connected.
243000	245000	So you can imagine this process.
245000	249000	If it passes through the post-division and then divides into two cells,
249000	252000	The dye of the two cells will have different numbers.
252000	254000	We call it aneuploidy in English.
254000	255000	Let me check it out.
255000	257000	It's called aneuploidy.
257000	258000	It's quite strange.
259000	260000	This is a problem.
260000	261000	There are some problems with aneuploidy.
261000	267000	For example, if the number of dyes is increasing, it may be able to express more things.
267000	269000	If there is one more or one less dye,
269000	274000	Is there no way for some proteins to increase or decrease?
274000	275000	This will cause some problems.
275000	277000	In recent years, some people have been discussing this problem.
277000	279000	This is the so-called homeostasis problem.
280000	284000	Another problem is that the dye is labeled in red.
284000	285000	In fact, this problem is more serious.
286000	289000	In this case, this aneuploidy will connect two different cells.
289000	293000	By the way, this aneuploidy is not only one-to-one.
293000	295000	Because there are hundreds of proteins on the aneuploidy.
295000	302000	It also has dozens of proteins that can interact with the aneuploid.
302000	305000	So some aneuploid proteins may be connected to the aneuploid on the other side.
305000	308000	Some will be connected to the aneuploid on the left.
309000	313000	If this aneuploid is connected to this red situation,
313000	315000	In the process of separation, you can imagine that
315000	321000	Because the aneuploid usually has a pull force to pull the two aneuploids apart.
321000	324000	If this red one is not eliminated,
324000	327000	In other words, if the error correction is not done well,
327000	333000	Then this red aneuploid can't run normally to this group.
333000	336000	Then it is incorporated into a homo.
336000	339000	So at this time we call it a lagging chromosome.
339000	340000	Because it runs slower.
341000	343000	What's special about this lagging chromosome?
343000	346000	In fact, many people have been studying this problem in the past ten years.
346000	350000	Because this lagging chromosome can't get into the main homo.
350000	354000	So the cells will automatically produce a small homo around it.
354000	355000	We call it a micronucleotide.
356000	359000	If you really look at some of its biochemical properties,
359000	360000	Or the properties of cell biology,
360000	365000	You will find that it is very different from the original homo.
365000	368000	It has a lot of holes.
369000	373000	It has a lot of holes, which means that many enzymes in many cells
373000	376000	Or these messages can run into this homo.
376000	377000	Then go to decompose this protein.
377000	381000	This is actually a very typical immune response in our cells.
381000	384000	If we encounter this problem, we can find a way to...
386000	388000	You know, our cells may have some...
388000	390000	Because usually if you look at the cell membrane,
390000	394000	If you see some double-stranded DNA in the cell tissue,
394000	397000	Then we all think that it may be a virus.
397000	399000	So some of our cells will have some reactions,
399000	401000	Will try to cut these abnormal double-stranded DNA.
401000	404000	So in theory, this cell will be cleared.
404000	406000	But if this cell survives,
406000	410000	Those cut off oxidants may be regrouped.
410000	413000	Then there will be a lot of mutations.
413000	416000	So the people in this field feel that
416000	419000	If this cell survives, there will be serious mutations.
419000	424000	Is the cancer cell going to use this method to increase its genetic diversity?
424000	427000	This is a big topic in the field at present.
428000	432000	Okay, let me talk about some of the classic problems of cell division.
432000	437000	First, how does the instability of the cancer cell affect the occurrence of cancer?
437000	439000	I said last time that
439000	443000	The instability of the cancer cell can make some cancer cells regroup.
443000	446000	It can promote the genetic diversity of tumor cells.
446000	449000	It sounds like the instability of the cancer cell is good.
449000	452000	But we found out again that it's not us.
452000	454000	The research field found that
454000	456000	If your cancer cell is too unstable,
456000	460000	It will lead to some signal of cell division.
460000	462000	The cancer cell can't increase its genetic diversity.
462000	464000	Because it's all dead.
464000	467000	So there are some ideas in this field.
467000	469000	Is there a so-called Achilles heel?
469000	471000	It's the heel of Achilles.
471000	474000	Cancer cells can use CIN to increase its genetic diversity.
474000	477000	But if you give it too much CIN,
477000	479000	Cancer cells are not so happy.
479000	481000	Does this tell us some
481000	484000	Potential therapeutic strategies?
484000	487000	If we can make the entire baseline
487000	491000	If the cancer cell becomes very unstable,
491000	496000	Is there a chance to find a way to kill this cancer?
