start	end	text
0	2000	Both are fine.
2000	4000	Do you want to introduce again?
4000	6000	It's okay, no need.
6000	8000	Let's start.
8000	11000	I hope the internet is okay later.
11000	15000	If it breaks again, let me know.
15000	18000	Is the full screen screen okay now?
18000	20000	Okay.
20000	23000	Okay, I'll start right away.
23000	27000	Thanks to the host, Wei Zhe, for the introduction.
27000	31000	I'm Pan Haoren from the Department of Chemical Engineering.
31000	35000	The topic of today's report is related to my research.
35000	40000	It is a high-efficiency algorithm for the optimization of P4 alkynes.
40000	44000	Before I start talking about today's topic,
44000	46000	I want to clarify one thing.
46000	48000	Because when you hear the word alkene,
48000	50000	if you are a material background,
50000	52000	or you may be a chemistry background,
52000	54000	or you are a chemistry background,
54000	56000	or you are a chemistry background,
56000	58000	you may want to discuss,
58000	61000	for example, the problem of alkyne arrangement,
61000	63000	for example, some morphology,
63000	66000	for example, I may want to play SRD,
66000	68000	and so on.
68000	71000	But in the field of procedural engineering,
71000	74000	that is, in the field of PSE,
74000	79000	we are referring to any process that can be obtained from the solution.
79000	82000	So today, even if it is just a sedimentary reaction,
82000	85000	we will also broadly call it crystallization.
85000	88000	Under this definition,
88000	93000	this crystallization is a process of separation and purification.
93000	96000	It can be done in a continuous way,
96000	99000	or in a batch way.
99000	103000	SRD is the so-called supersaturation.
103000	107000	It can be obtained in the following four ways.
107000	112000	What we are discussing today is the crystallization of batches.
112000	114000	Most of the crystallization of batches
114000	118000	is to make some high-added-value compounds,
118000	120000	such as specialized chemicals,
120000	122000	such as food additives,
122000	126000	such as drugs, and so on.
126000	129000	Compared to this continuous way,
129000	132000	its operability is relatively large.
132000	136000	It can also deal with some more difficult-to-deal with systems,
136000	139000	such as toxic chemicals,
139000	143000	such as the higher viscosity of the sedimentary solution,
143000	145000	such as the higher viscosity of the sedimentary solution,
145000	147000	such as the higher viscosity of the sedimentary solution,
147000	151000	Such crystallization has two basic mechanisms,
151000	156000	which are called nucleation, synthesis, and crystal growth.
156000	162000	Nucleation means the new crystal body is generated.
162000	164000	When a new crystal body is generated,
164000	166000	its volume is basically less than zero.
166000	170000	Crystal growth means that a new crystal body exists in a batch.
170000	173000	Because of the high-added-value compounds,
173000	174000	it grows bigger and bigger.
174000	176000	This is what we call crystal growth.
176000	182000	Nucleation can be divided into several different mechanisms.
182000	185000	The first one is homogeneous primary nucleation.
185000	188000	It is a spontaneous reaction in thermodynamics.
188000	192000	Nucleation can only occur in a high-added-value system.
192000	196000	The second one is heterogeneous primary nucleation.
196000	202000	It is a reaction of different particles.
202000	206000	For example, it may be caused by some pink particles.
206000	209000	The third one is secondary nucleation.
209000	215000	It means that nucleation is generated on the surface of the existing crystal body.
215000	218000	For example, in a batch, the crystal body may collide with each other.
218000	220000	There will be some friction.
220000	224000	When the friction occurs, its volume is basically less than zero.
224000	228000	This is what we call nucleation.
231000	232000	Let me give you an example.
232000	234000	If there is a batch today,
234000	237000	there is no crystal body in it at the beginning.
237000	239000	In the early stage of this batch,
239000	242000	because we want to have the crystal body from nothing,
242000	244000	it is called primary nucleation.
244000	246000	However, in the later stage,
246000	248000	because there are more crystal bodies,
