start	end	text
0	5000	Okay, thank you.
5000	9000	Thank you, everyone.
9000	15000	I'd like to share my screen with you.
15000	18000	This is the topic I'm going to talk about today.
18000	27000	The influence of early Western missionary Chinese education on modern Chinese language and culture.
27000	30000	First of all, this is a very new topic.
30000	36000	In fact, it is my experience of studying the history of Chinese education in the past few years.
36000	46000	Because it is the first time to publish, there may be some lack of evidence or some points of view are not mature enough.
46000	50000	So I'd like to ask you to give me some feedback later.
50000	56000	Or you are welcome to contact me after the meeting.
56000	57000	So thank you, everyone.
57000	60000	In addition, I would like to thank my instructor.
60000	64000	Because the idea of ​​this topic is probably related to his leadership.
64000	66000	That is, Professor Xin Shichuang.
66000	71000	There is also my Chinese teacher, the instructor of the course, Mr. Gu Baili.
71000	77000	This whole topic and some of the content is also the result of the cooperation between this teacher and the teacher.
77000	83000	Okay, so let's get into my structure first.
84000	88000	The topic of my report today is roughly divided into three parts.
88000	89000	The first is the preface.
89000	91000	The second is the main part.
91000	98000	Discuss how missionary Chinese education affects the influence of this country's language and culture.
98000	101000	I will discuss it at about 6 o'clock.
101000	103000	The third part is the conclusion.
103000	106000	At the beginning of this part, I would like to explain to you first.
107000	114000	In recent years, there has been a lot of discussion about the influence of missionary Chinese education on China.
114000	124000	But this topic focuses on the ideas developed by the missionary to learn Chinese.
124000	126000	Or his learning process.
126000	128000	Or some of his teaching materials.
128000	132000	How do these things affect modern China?
132000	136000	We will not discuss the impact of missionary Chinese education on science.
136000	140000	We will not discuss the impact of missionary Chinese education on painting and architecture.
140000	144000	We will focus on the impact of missionary Chinese education on language learning.
144000	150000	Now, let's first understand how missionary Chinese education entered China.
150000	162000	In fact, the spread of religion is very long and has a great impact on the interaction of various nations around the world.
162000	168000	China's earliest external religious exchange was Buddhist culture.
168000	171000	What impact does Buddhist culture have on China?
172000	179000	At that time, there was a lot of communication between Buddhism and Chinese in the Wei, Jin, Nan, and North Dynasties.
179000	183000	This actually stimulated the development of Chinese linguistics.
183000	187000	Chinese linguistics is said to be four-vowels.
187000	191000	One of the characteristics of Chinese linguistics is that we have a tone.
191000	195000	In fact, it is influenced by Chinese learners.
195000	201000	In fact, it is influenced by Chinese learners.
201000	205000	The second wave of religious transmission and language learning,
205000	209000	The second wave of religious transmission and language learning,
209000	213000	the second wave of high tide is the part we are going to share today.
213000	217000	The second wave of high tide is the part we are going to share today.
217000	221000	The missionary Chinese education did not come from the West.
221000	225000	However, what we are discussing today is the missionary of the West.
225000	229000	Therefore, the earliest systematic Chinese-speaking ethnic group in the West,
229000	235000	Therefore, the earliest systematic Chinese-speaking ethnic group in the West,
235000	239000	I emphasize that there is systematic learning of Chinese.
239000	243000	In fact, Catholicism has been passed down in China for a long time.
243000	247000	A while ago, there was a very famous TV series called The Twelve Hours of Chang'an.
247000	249000	Many people may have seen it.
249000	251000	It talks about the Great Qing Jin religion.
251000	255000	In fact, it is the Eastern Catholicism at that time.
255000	257000	It is based on Syrian literature.
257000	261000	There is a Persian prince in it.
261000	265000	It represents the entry of Catholicism at that time.
265000	268000	However, as early as the Tang Dynasty,
268000	272000	there was already a translation of the Tantric literature version.
272000	276000	However, the Catholicism has been in contact with China for a long time.
