start	end	text
0	5000	Welcome everyone to today's TerraTalk.
5000	10000	We are very happy to welcome Dr. Wang Guan Zhong.
10000	16000	He graduated from the Department of Electrical Engineering in 2010,
16000	20000	and graduated from the Department of Electrical Engineering in 2021,
20000	22000	and received his Master's Degree.
22000	24000	During his Master's Degree,
24000	27000	he worked in coding,
27000	37000	and developed the non-equilibrium screen function,
37000	38000	which is NEGF.
38000	39000	This is also in his title.
39000	43000	If you don't know what NEGF is,
43000	45000	he will explain it to you later.
45000	48000	From 2014 to 2020,
48000	53000	he went to Purdue University, Indiana,
53000	56000	and received his Master's Degree in Electrical Engineering.
56000	62000	His main job there was quantum transport method,
62000	65000	which is the method of quantum transmission.
65000	73000	His main focus was on nanostructure and quantum transmission.
74000	79000	Currently, he works in Intel's TCAP team.
79000	82000	Let's welcome Dr. Wang Guan Zhong.
86000	87000	You can start sharing.
87000	89000	Let me share my screen.
89000	91000	Can everyone see my screen?
95000	97000	Yes, but you can't see the slides.
97000	98000	Okay.
98000	100000	Can you see the slides now?
100000	101000	Yes.
101000	104000	Let's follow the Tyrell tradition.
104000	106000	Please turn on your microphones,
106000	110000	and let's welcome Dr. Wang Guan Zhong.
115000	116000	Hello, everyone.
116000	120000	I will be speaking in English for the next few slides,
120000	125000	because the technical terms may change.
125000	128000	My target audience this time is...
128000	132000	If you're interested in this field,
132000	135000	whether you want to apply for a Master's Degree,
135000	138000	or if you want to know more about this field,
138000	140000	or if you want to use this tool,
140000	144000	my target audience is like that.
146000	147000	If you have any questions,
147000	149000	you can send me an email.
149000	153000	These works were done when I was studying for a Master's Degree at Purdue.
153000	159000	The funding sources were NSF and NCSA.
159000	165000	I also received funding from the Department of Education.
165000	167000	So I wanted to acknowledge that.
167000	169000	I also worked with CELBACO.
169000	175000	This work was done by Purdue's supercomputer,
175000	178000	which we call RCAC.
178000	182000	This is the result of the computation.
182000	185000	My topic today is optoelectronic simulation,
185000	188000	and I will go over from the semi-classical
188000	190000	to quantum transport,
190000	192000	my different perspective.
192000	194000	Here is my outline,
194000	196000	and I will go over the motivation,
196000	198000	and what's the method being used here,
198000	201000	and I will show some results.
201000	205000	In the methods, I will go over the semi-classical.
205000	207000	Here's a missing label here,
207000	209000	and go over to what's NEGF,
209000	211000	and what is a beautiful probe,
211000	214000	and the difficulty of including different processes,
214000	217000	a recombination and generation process inside the NEGF.
217000	218000	How do we do that?
218000	220000	I will show some results to show,
220000	224000	first, the importance of including these kinds of processes.
224000	227000	Also, I will do a comparison.
227000	230000	If we use a semi-classical way to do simulation
230000	234000	versus using quantum transport way to do it,
234000	236000	what's the difference?
236000	238000	And do a summary there.
238000	243000	So, why are we working on this project?
243000	247000	It's because what we have achieved so far as mankind,
247000	249000	because we have solar cell,
249000	251000	and also to harvest energy from sun,
251000	254000	and also we can efficiently emit light
254000	256000	through light-emitting diets,
256000	258000	which is like a really efficient way
258000	264000	to transfer energy from electricity to lighting.
264000	266000	And to push the boundary further,
266000	271000	we need to look into what other new materials are out there,
271000	275000	what different new structures we can optimize
275000	277000	like the current efficiency.
277000	281000	And so, for example, to improve the efficiency of LED,
281000	284000	we have these quantum wells,
284000	287000	and then you can see that when we have quantum well,
287000	290000	the carrier will like to stay there more,
290000	292000	and therefore increase the opportunity
292000	295000	to recombine and emit light.
295000	300000	And also we are looking to the novel new materials,
300000	304000	like, for example, different Indian composition,
304000	306000	or maybe some 2D materials,
306000	308000	and we're looking into these.
308000	313000	So, when we are utilizing all these different new materials,
313000	317000	new structures, and there are lots of quantum effects in it.
317000	321000	So, therefore, like the current,
321000	324000	and we know that the non-equilibrium Green's function,
324000	327000	this method, like it's solving Schrodinger equation
327000	329000	with using Green's function,
329000	330000	it's a well-accepted method.
330000	336000	So, I'm going to go over why do we need NEGF to do it.
336000	339000	So, what is optoelectronics?
339000	343000	And so, I think the best way to understand optoelectronics,
343000	347000	like it's just a simple PN diet we study in school, right?
347000	350000	So, it's usually a bipolar device,
350000	352000	where by bipolar, I mean, like,
352000	354000	there's electrons and there's holes.
354000	357000	And also there are carriers,
357000	360000	like they're in different equilibrium,
360000	361000	for example, electron,
361000	364000	and they're usually separated by a band gap.
364000	366000	That's why we use semiconductors.
366000	367000	So, having a band gap,
367000	371000	and we kind of segregate the carriers to two kinds,
371000	376000	and the electron is injected by the source, one side.
376000	378000	One contact, we inject electron here,
378000	380000	and the other one is like a hole.
380000	381000	And when they see each other,
381000	385000	and there's interesting thing can happen, right?
385000	386000	There are different processes there.
386000	388000	For example, there's like Shockley-Ree hole,
388000	391000	where electron and hole, they can recombine.
391000	392000	And when they recombine,
392000	395000	they can emit phonon, as known as heat, right?
395000	397000	So, this is like a wasteful energy.
397000	400000	When they recombine through the defects,
400000	404000	the heat is generated and nothing gained.
404000	406000	Well, the heat is gained, but it's not that great.
406000	409000	And there's also radiative recombination,
409000	412000	where when the electron and hole, they see each other,
412000	413000	and they can recombine,
413000	415000	and therefore, they can emit like a photon,
415000	417000	or we can see light here.
417000	422000	And the rate it happens usually is,
422000	424000	and there's like, because like,
424000	425000	for example, first one,
425000	428000	they need to see through a defect here,
428000	432000	and therefore, their proportion is like proportional
432000	434000	to the n-type or p-type,
434000	438000	because one carrier can come to the defect here,
438000	440000	and to wait for the other person to come,
440000	441000	and to recombine.
441000	444000	So, therefore, their rate is proportional to,
444000	446000	you know, either the carrier,
446000	449000	either the electrons or the hole concentration here.
449000	451000	But radiative recombination,
451000	454000	it's, you need,
454000	457000	the rate is proportional to the both of them.
457000	461000	So, you need to have a high electron here,
461000	463000	and high hole concentration here,
463000	465000	to make it happen.
465000	467000	And there's like also another process,
467000	469000	which is OJ recombination.
469000	471000	And this is like a three-particle process,
471000	473000	where the electron and hole,
473000	474000	they can recombine.
474000	478000	But instead of like emitting a photon,
478000	480000	it will kick an electron to a higher energy,
480000	481000	or the opposite.
481000	483000	It's either two electron with one hole,
483000	485000	or two hole with one electron.
485000	487000	But the result is like a waste of energy,
487000	491000	and the chance of doing is something like here.
492000	495000	And, yes.
495000	496000	If you have any questions,
496000	498000	you can ask directly,
498000	500000	or pause the video.
500000	506000	And the other part is a generation process,
506000	510000	where the electron hole,
510000	511000	at this place,
511000	513000	at this depletion region,
513000	515000	we can absorb the photon,
515000	517000	and like create an electron and hole pair.
517000	519000	So, all these processes are needed
519000	522000	to simulate an optoelectronic device.
522000	524000	So, that's what we need to cover,
524000	527000	when we are doing a modeling.
527000	530000	So, why do we need quantum model?
530000	532000	So, let's take a look at a simulation result.
532000	535000	And this is from this paper I'm co-author with.
535000	540000	This is like a simulation result
540000	543000	from a commercialized 3-5 LED.
543000	545000	And as you can see here,
546000	549000	this line here means the density of states,
549000	551000	and the color here is the electron density.
551000	555000	So, the contour line is the density of state, right?
555000	558000	And we can see that the electron is coming from the left side,
558000	561000	and occupying these states here.
561000	564000	And there are holes coming from the other direction.
564000	565000	This is injected here.
565000	568000	And they are going to be in here,
568000	571000	and they will recombine and emit light here.
571000	572000	So, we can see that,
572000	575000	if we really do a quantum simulation,
575000	578000	we can see that there is interference everywhere, right?
578000	581000	For example, all these pattern means,
581000	584000	if you treat them as particles,
584000	587000	it doesn't capture everything, right?
587000	588000	So, for example,
588000	590000	electron, they can tunnel through this barrier,
590000	593000	and through these interference.
593000	598000	So, we really need to make use of the quantum transport,
598000	600000	instead of the semi-classical way.
602000	606000	So, the current state of our tool to do this is to,
606000	607000	I mean, the current way,
607000	609000	I mean, before I published the paper, right?
609000	614000	So, before I was working on this,
614000	616000	the best way to deal with this quantumly
616000	618000	is also from this paper,
618000	622000	where we cut the domain into different pieces,
622000	626000	and then we call some of them the red part,
626000	628000	and also the green part.
628000	630000	So, the green part is like equilibrium.
630000	631000	And why are they in equilibrium?
