start	end	text
0	13000	Hello everyone, I am the host of today's Taira Talk on September 18th, Hong Shih-an.
13000	26000	We are very happy to invite the Sky in the World comedy science team to share with you the spirit of science communication.
26000	37000	Like Taira, the comedy science team is made up of doctoral students or post-doctoral students.
37000	41000	They also want to promote the concept of science.
41000	46000	However, what is different from Taira is that they are more towards the public,
46000	57000	and they will share their life from a scientific perspective.
57000	71000	I have personally listened to their podcasts several times, and I think what they say is very close to the life of a graduate student.
71000	75000	I highly recommend everyone to listen to their podcasts.
75000	79000	They also run a clubhouse.
79000	88000	Without further ado, let's get into today's topic, the spirit of science communication.
88000	93000	Wallace, we'll leave it to you now.
93000	95000	Okay, sure.
95000	97000	The stage is yours.
97000	99000	What?
100000	104000	Okay, so I'm going to share my screen now.
104000	107000	Everyone has prepared a video.
107000	111000	Let me know if you can see it.
111000	113000	Yes.
113000	115000	Okay.
115000	118000	Thank you, Shih-an, for the introduction.
118000	121000	I'm one of the editors of the comedy science team.
121000	123000	I'm the screenwriter.
124000	129000	I'm very happy to have this opportunity to talk to you about science communication.
129000	134000	Seeing today's title, the spirit of science communication,
134000	136000	you may have a question.
136000	139000	What is the difference between science communication and science?
139000	142000	Why do we need the title of science communication?
142000	148000	Let's share our thoughts with you in the next hour.
148000	150000	Welcome to share your opinions.
150000	154000	First of all, let me introduce myself.
154000	156000	Okay, he can't go to the next page.
156000	158000	Okay, here we go.
158000	160000	I'm Liu Yuru.
160000	162000	I'm the founder and editor of Sky Interworld.
162000	165000	My nickname is Wall, so you can call me Wall Editor.
165000	167000	My English name is Wallace.
167000	169000	It's a long name, I know.
169000	174000	Sky Interworld started as a podcast and blog in 2006.
174000	177000	It's kind of like my personal thing.
177000	179000	I was originally alone.
179000	182000	When I went to the UK to study,
182000	184000	I was busy writing my thesis.
184000	186000	It's been a while since then.
186000	190000	I came back to Taiwan in 2019.
190000	194000	I joined the overseas talent bridge project called LIFT.
194000	197000	I met a lot of super cool overseas Taiwanese,
197000	200000	including Xiao Ji, Dou Dou, CBN, and so on.
200000	202000	So did Adam.
202000	205000	The most important thing is that I found this group of friends.
206000	208000	We are willing to make an impact
208000	210000	and do something for Taiwan.
210000	214000	Let's reopen the Sky Interworld podcast.
214000	216000	For more than a year,
216000	222000	we've been running Facebook, Instagram,
222000	225000	podcasts, and Clubhouse events on Sky Interworld.
225000	228000	We're very active on these platforms.
228000	230000	We have a lot of articles.
230000	232000	We have a podcast every week.
232000	236000	We also have a book club every month on Clubhouse.
236000	239000	We also have other editors
239000	244000	coming to play with us.
244000	248000	We currently have eight permanent editors,
248000	250000	including myself.
250000	253000	I'll be sharing with you later
253000	258000	Xiao Ji, CBN, CS, CBN, and Dou Dou.
258000	260000	Let me tell you about your locations.
260000	262000	Xiao Ji is in Milan, Italy.
262000	266000	CS is in the east coast of the United States.
266000	269000	Dou Dou is in Paris, France.
269000	272000	Adam is in the west coast of the United States.
272000	275000	CBN is in Switzerland.
275000	279000	Alan is in the north of Taiwan.
279000	283000	CBN is in the Czech Republic.
283000	287000	Most of us are postdoctoral researchers
288000	290000	or teachers at school.
290000	295000	Our articles are also posted
295000	299000	on different platforms.
299000	301000	For example, Science News,
301000	303000	National Daily, and World News.
303000	305000	I don't know why World News likes us.
305000	309000	Some of these events
309000	312000	have attracted a lot of attention.
312000	314000	Some people are willing to jump in
314000	316000	and join us.
316000	318000	For example,
318000	321000	a marine biologist
321000	325000	at the coast of Maryland.
325000	329000	He is a senior
329000	332000	in the US marine policy.
332000	334000	He is a senior.
334000	337000	A British citizen
337000	339000	will also join us
339000	340000	at Clubhouse.
340000	342000	Sometimes he will join our recording.
342000	346000	Last week,
346000	348000	Tyra gave a talk.
348000	350000	She is a senior
350000	352000	in the Netherlands.
352000	354000	She is a senior in higher education.
354000	358000	She is also a very important
358000	360000	source of advice and help.
360000	364000	The article and podcast
364000	367000	published by Sky in the World
367000	371000	are all from academic journals.
371000	373000	The content of the podcast
373000	375000	includes food and science,
375000	377000	interviews with people
377000	379000	who care about cancer development,
379000	381000	a doctor's seminar
381000	383000	for researchers,
383000	385000	and a fitness seminar
385000	387000	for everyone's health.
387000	389000	Adam is the host.
389000	391000	The content of the article
391000	393000	includes interesting research,
393000	395000	academic work,
395000	397000	environmental-related reports,
397000	399000	and support for cancer development in academia.
399000	401000	The purpose of the article
401000	403000	is to promote the scientific logic
403000	405000	and spirit of the article
405000	407000	through humor.
407000	409000	The translation of the article
409000	411000	will be different.
411000	413000	For example,
413000	415000	Michael Bonkowski
415000	417000	will be translated as
417000	419000	Michael Collision Driver.
419000	421000	Elizabeth Beak
421000	423000	will be translated as
423000	425000	Elizabeth Beak.
425000	427000	The purpose of the article
427000	429000	is to promote
429000	431000	the scientific logic
431000	433000	and spirit of the article
433000	435000	through humor.
435000	437000	In addition,
437000	439000	we hope that
439000	441000	everyone will pay attention
441000	443000	to the article.
443000	445000	Sometimes it will be dissed,
445000	447000	sometimes it will be praised.
447000	449000	The reaction is a bit two-dimensional,
449000	451000	but at the same time,
451000	453000	it also creates a topic.
453000	455000	The purpose of the article
455000	457000	is to promote
457000	459000	the scientific logic
459000	461000	and spirit of the article
461000	463000	through humor.
463000	465000	The purpose of the article
465000	467000	is to promote
467000	469000	the scientific logic
469000	471000	and spirit of the article
471000	473000	through humor.
473000	475000	We do not make any profit
475000	477000	by doing this.
477000	479000	Of course,
479000	481000	those who support us
481000	483000	will be very happy.
483000	485000	But we do not make any profit
485000	487000	by doing this.
487000	489000	Let's start with
489000	491000	the history of science.
491000	493000	In January 1665,
493000	495000	the French emperor Louis XIV
495000	497000	was called Colbert.
497000	499000	In order to honor
499000	501000	the Sun King,
501000	503000	he published the first
503000	505000	academic journal,
505000	507000	which you can see
507000	509000	in the upper left corner.
509000	511000	Its translation is
511000	513000	called The Scholar's Journal.
513000	515000	In March of the same year,
515000	517000	the Royal Academy of Sciences
517000	519000	also began a report on natural science.
519000	521000	It was the beginning of
521000	523000	scientific dissemination,
523000	525000	the beginning of scientific journals.
525000	527000	In the scientific field
527000	529000	of scientists,
529000	531000	they began to communicate
531000	533000	with each other.
533000	535000	At that time,
535000	537000	in Europe in the 17th century,
537000	539000	science was already developed
539000	541000	in the Roman era.
541000	543000	There was no need
543000	545000	to challenge existing knowledge.
545000	547000	Therefore,
547000	549000	many scientific experiments
549000	551000	and new ideas
551000	553000	came from science
553000	555000	as an entertainment activity
555000	557000	for the rich.
557000	559000	Why do we need money?
559000	561000	Look at the picture
561000	563000	below,
563000	565000	the boy and the girl.
565000	567000	The girl is his wife.
567000	569000	The experiment equipment
569000	571000	on the table in front
571000	573000	is made of glass.
573000	575000	The glass is so big
575000	577000	that it blows into
577000	579000	various strange shapes.
579000	581000	At that time,
581000	583000	it was very expensive,
583000	585000	so only the upper class
585000	587000	would play with it.
587000	589000	Of course,
589000	591000	such scientific dissemination
591000	593000	was only limited to
593000	595000	the upper class.
595000	597000	However,
597000	599000	with the rapid development of science,
599000	601000	science is no longer
601000	603000	just an entertainment activity
603000	605000	for the rich.
605000	607000	It will become a factor
607000	609000	that affects life in all aspects.
609000	611000	From the change of people's lifestyle
611000	613000	to the formation of public policy,
613000	615000	modern people need
615000	617000	scientific logic and concepts
617000	619000	to avoid becoming a bright world
619000	621000	that leads everyone
621000	623000	to become scientific journalists.
623000	625000	In Taiwan,
625000	627000	there is no such thing.
627000	629000	When you hear the word
629000	631000	science,
631000	633000	people think it's nonsense.
633000	635000	For example,
635000	637000	people are waiting
637000	639000	to hear some useless
639000	641000	British research.
641000	643000	I also watched the ad
643000	645000	of Vogue magazine.
645000	647000	I was very curious
647000	649000	about the science of fashion.
649000	651000	When I was teaching Vogue,
651000	653000	I thought
653000	655000	the word science
655000	657000	had been misused.
657000	659000	At that time,
659000	661000	I thought I should buy
661000	663000	a new dictionary
663000	665000	to see if the definition
665000	667000	of science had changed.
667000	669000	Because science
669000	671000	had been distorted,
671000	673000	several editors
673000	675000	from Sky Inner World
675000	677000	decided to disseminate
677000	679000	the concept of scientific life
679000	681000	in our lab
681000	683000	through various
683000	685000	social media platforms
685000	687000	to attract more
687000	689000	listeners.
689000	691000	At the same time,
691000	693000	we also care about
693000	695000	friends in the academic circle
695000	697000	and hope to share
697000	699000	the opinions of the editors
699000	701000	to help more friends
701000	703000	who are interested
703000	705000	in science and want to
705000	707000	learn more about
707000	709000	the science of comedy.
711000	713000	Hi, everyone.
713000	715000	I'm Xiao-Ji.
715000	717000	First of all,
717000	719000	if we want to make
719000	721000	science successful,
721000	723000	we need to let the general public
723000	725000	know what PhD is.
725000	727000	We need to know
727000	729000	what PhD is.
729000	731000	This is an introduction
731000	733000	from a professor in the US,
733000	735000	who introduces PhDs
735000	737000	every autumn.
737000	739000	I think this picture
739000	741000	is very interesting.
741000	743000	I think many people have seen it.
743000	745000	Let's recall it.
745000	747000	First of all,
747000	749000	you see a circle.
749000	751000	This circle represents
751000	753000	the knowledge of all humans.
753000	755000	Next.
755000	757000	You see a blue dot in the middle.
757000	759000	This is where we started
759000	761000	to learn about the world
761000	763000	We are in the middle.
763000	765000	Next.
765000	767000	As we grow up,
767000	769000	we learn more and more knowledge.
769000	771000	From elementary school,
771000	773000	high school, and university
773000	775000	to the university,
775000	777000	we start to have a specialization.
777000	779000	Our knowledge starts to go in a certain direction.
779000	781000	After the specialization,
781000	783000	we may have read a master's degree.
783000	785000	Finally, we decide to
785000	787000	get a PhD.
787000	789000	As our knowledge goes forward,
789000	791000	we have to face
791000	793000	the unknown.
793000	795000	As we face the unknown,
795000	797000	we work hard
797000	799000	to study
799000	801000	what others don't know.
801000	803000	After many years of struggle,
803000	805000	we finally have a new discovery.
805000	807000	Next.
807000	809000	As we move forward,
809000	811000	the knowledge of all humans
811000	813000	takes a small step.
813000	815000	This small step is
815000	817000	our life experience.
817000	819000	Next.
819000	821000	From our perspective,
821000	823000	we stand here
823000	825000	and look at
825000	827000	where the knowledge of all humans
827000	829000	is.
829000	831000	I think I have made
831000	833000	a big step.
833000	835000	Next.
835000	837000	When we look back,
837000	839000	we realize that
839000	841000	the knowledge of all humans
841000	843000	is very small.
843000	845000	So, the PhD is
845000	847000	right.
847000	849000	We may call it
849000	851000	Psychology.
851000	853000	I don't like the name.
853000	855000	On the other hand,
855000	857000	we are PhDs
857000	859000	because
859000	861000	we learned
861000	863000	how to
863000	865000	face the unknown systematically
865000	867000	and
867000	869000	learn new knowledge.
869000	871000	We can apply
871000	873000	this method
873000	875000	to other areas.
875000	877000	Even if we make a breakthrough,
877000	879000	we can apply this method
879000	881000	to other areas.
881000	883000	We must remember this.
883000	885000	If we forget that
885000	887000	what we learned is not only professional knowledge,
887000	889000	but also a whole set of research methods,
889000	891000	we will become advanced technicians.
891000	893000	We are just technicians
893000	895000	who know how to operate
895000	897000	strange machines.
897000	899000	Next.
899000	901000	When we do research,
901000	903000	we need to face the unknown.
903000	905000	We often say that we need to learn the ivory tower.
905000	907000	It seems that what we do
907000	909000	has nothing to do with everyday life.
909000	911000	Of course, we need to learn the ivory tower,
911000	913000	but why is it there?
913000	915000	It makes sense.
915000	917000	Next.
917000	919000	When we face the unknown,
919000	921000	no one knows the answer.
921000	923000	How can we find the answer?
923000	925000	We can only make assumptions.
925000	927000	We always make assumptions
927000	929000	and try to prove it.
929000	931000	We always end up
931000	933000	at the bottom of the theory.
933000	935000	Even if we can prove it,
935000	937000	we still need to apply it in our daily life.
937000	939000	There is a big difference between theory and reality.
939000	941000	For example,
941000	943000	I am doing diagnostic research.
943000	945000	We often say that
945000	947000	early diagnosis means early treatment.
947000	949000	Early diagnosis is a great topic.
