start	end	text
0	10000	Hello everyone, welcome to today's Taira Talk on July 23, 2022.
10000	18000	Today's speech is given by Yan Ziqi.
18000	26000	The title of his speech is
26000	33000	Analyzing Data from the Internet with a Single-Page Algebra
33000	43000	Ziqi is a doctoral candidate from the Department of Computer Science at Colorado University.
43000	58000	He is interested in complex systems and the relationship between data, models, and algorithms.
58000	68000	He gave a speech at Taira two years ago.
68000	74000	Please welcome Yan Ziqi.
74000	77000	Hello everyone.
77000	87000	Thank you Jason for the introduction and thank you Taira for designing this platform for us to share our research.
87000	97000	I'll share my screen now.
97000	101000	I'll start.
101000	106000	My topic is Analyzing Data from the Internet with a Single-Page Algebra.
106000	115000	This network is not the Internet. It's a network with many nodes.
115000	122000	There is an interaction between the nodes.
122000	127000	It's called a network in English.
127000	135000	The main content comes from a paper I wrote last year.
135000	142000	I spent a lot of time listing all the references in this slide.
142000	151000	Can you see my mouse?
151000	152000	Yes.
152000	156000	You can download my slides here.
156000	161000	If you see this speech on YouTube, please go to my personal website.
161000	165000	This link will not exist in the future.
165000	167000	There are some things I need to update.
167000	173000	But all the references in this slide have a button.
173000	181000	You can click to see which paper I refer to.
181000	186000	So what is data analysis on the Internet?
186000	191000	This field often asks questions from data.
191000	194000	Data in a complex system.
194000	197000	Data can be, for example, brain science data.
197000	200000	For example, we do brain imaging.
200000	202000	There may be some brain areas in the brain.
202000	206000	We treat the brain area as a node.
206000	209000	There may be some nodes.
209000	212000	Different brain areas will light up at the same time.
212000	214000	It works at the same time.
214000	215000	We can connect it.
215000	218000	This is a network.
218000	222000	We can ask some questions above.
222000	229000	For example, the structure of the brain area under different nodes.
229000	234000	What is the difference in the structure of the brain area?
235000	239000	For example, the ecological system.
239000	242000	We can imagine that if we put each creature.
242000	245000	Between creatures, who eats who?
245000	246000	Then there is a food chain.
246000	248000	This is also a network.
248000	250000	The chain is a tree.
250000	253000	But if it's a network, it's a food network.
253000	260000	Other types, like what we usually see on the Internet.
260000	263000	There is a network between different web pages.
263000	267000	Then we travel, we go to different places.
267000	268000	It also forms a network.
268000	271000	Or a network between people.
271000	279000	This article is an explanation.
279000	286000	How to choose the right model when describing these complex systems.
286000	288000	Because some functions.
288000	291000	Some functions may be between two.
292000	294000	Like a graph in math.
294000	295000	Like this.
295000	298000	Between one point and another point, there are two functions.
298000	302000	But sometimes, for example, we just said that the example of the brain area.
302000	303000	We have a stimulus.
303000	307000	There may be three different areas of the brain area that light up at the same time.
307000	310000	At this time, we have three points that work for each other.
310000	313000	These things may be more suitable.
313000	318000	Described by the so-called Higher-Order Network Analysis.
319000	323000	So, uh, this article talks about some, uh, different, uh, data.
323000	327000	How could there be some higher-order things in it?
327000	331000	And then, uh, uh, what model to choose, and so on.
331000	340000	So, uh, my report today will focus on, uh, this single-body review.
340000	344000	It's called Symbiotic Complex.
345000	349000	Right, and if there's any questions, you can interrupt me.
349000	355000	Okay, and I don't know what you think of when you hear Network Science.
355000	358000	And then, um, this is a recently published book.
358000	362000	And then, uh, the last chapter talks about, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um, um.
362000	366000	Talk about, uh, how to look forward in network science, and so on.
366000	370000	And then he sorted out some different areas of the last 20 years.
370000	374000	Um, this is the field of paper, and then the number of them.
374000	378000	And then we can see, for example, uh, about infectious diseases.
378000	381000	Infectious diseases are, of course, a thing that has to do with the Internet.
381000	385000	There's a lot of that in the last year or two.
385000	390000	So, um, um, what I'm going to talk about today is more on this high-level Internet.
390000	395000	It's Hypergraph or, uh, Symbiotic Complex.
395000	401000	Um, there's been a lot of that recently, but not as much as, uh, uh, Epidemic.
401000	404000	So, um, there's a lot of the same kind of numbers.
404000	407000	So, um, if you're interested, you can look it up.
407000	411000	And then, uh, I'm with, uh, uh, Li Zhengde from the University of Chenggong.
411000	413000	The teacher also translated a small book.
413000	415000	And then this is also a link that you can click on.
415000	418000	You can, uh, it's Chinese, and then there's a lot of examples.
418000	421000	You can click on it.
421000	426000	So, um, before I start this talk, I want to thank my instructors.
426000	429000	I have two instructors, Josh and Dan.
429000	432000	And then they, um, I'm from Computer Science.
432000	438000	And then, but they, uh, they have a strategy in math and biology.
438000	445000	So, um, I'd like to thank the authors of this paper.
445000	448000	Especially, uh, Ronga and Aleche.
448000	451000	Because, uh, I was communicating with the two of them.
451000	454000	And then I found out that, uh, they did this article.
454000	456000	There's a, there's an open problem.
456000	461000	And then, um, um, so I started doing this open problem.
461000	464000	Okay.
464000	469000	So, um, now we're going to talk about what I just said.
469000	474000	There are some, uh, uh, ways to describe a complex system.
475000	479000	And then I try to list, I try to divide it into three types.
479000	482000	Uh, graph, or this.
482000	485000	Hypergraph, or this.
485000	488000	That's it.
488000	492000	Um, these three things are actually a, uh, a model choice.
492000	494000	That is, what data do you see?
494000	497000	You can choose which model you want to use.
497000	498000	And then you use that model.
498000	501000	Maybe you get the benefits of using that model.
501000	504000	But maybe you lose some of the other properties.
504000	508000	So, uh, uh, uh, this is a very good paper.
508000	511000	Uh, it should be used.
511000	514000	Uh, what kind of data should be used at what time?
514000	518000	So, uh, let's say, uh, I see a data today.
518000	523000	Um, it's the data from the author and their paper.
523000	524000	So that's actually what it is.
524000	527000	Which papers were issued by which authors?
527000	529000	Well, what about this data?
529000	532000	Um, his, uh, input is, is determined.
532000	539000	That is, um, um, I know which authors I have in my data.
539000	543000	But, uh, because I want to ask different questions.
543000	548000	I can have different, uh, data, uh, data representation.
548000	551000	For example, I can ask, uh, these two authors.
551000	554000	Have you ever written a paper together?
554000	556000	So this is you choose two people.
556000	557000	And then they have written a paper.
557000	559000	Then you put it together.
559000	561000	At that time, you will get this data.
561000	564000	You can see if 1 and 2 have written a paper.
564000	565000	And then there's writing on it.
565000	567000	2 and 4 have written a paper.
567000	568000	And then there's a lot here.
