start	end	text
0	8000	Welcome to the Taira Talk.
8000	13000	Taira stands for Taiwanese Young Researchers Association.
13000	18000	This is an area for young researchers in Taiwan.
18000	23000	We hold the Taira Talk almost every week.
23000	30000	The format of the talk is very free and diverse.
30000	33000	We hope that Taiwan's academic researchers
33000	38000	can share their talk or practice online
38000	44000	according to their own needs.
44000	70000	The topic of the next two weeks
70000	79000	will be more on astronomy.
79000	81000	On July 2nd,
81000	85000	Liao Ying, a post-doctorate student from Central University,
85000	90000	will share a topic on planetary science.
90000	92000	On July 9th,
92000	99000	Lian Chuan-Ping, a post-doctorate student from University of Colorado Boulder,
99000	103000	will share a topic on high-altitude wind turbines.
103000	111000	This is a topic on aerospace and mechanical engineering.
111000	118000	Today, we are very happy to invite
118000	124000	Professor Wang Shu-Ha, a post-doctorate student from Taiwan University.
124000	128000	Professor Wang is interested in
128000	133000	privacy, immigration, children and family well-being.
133000	139000	These topics will be covered in today's talk.
140000	144000	The topic of today's talk is
144000	151000	Social Safety Net Feature in East Asia.
151000	154000	Julia, you can share your screen now.
154000	160000	Let me turn off my sharing.
160000	166000	Sorry.
166000	171000	Can you see me clearly now?
171000	172000	Yes.
172000	176000	Can you hear my children crying?
176000	177000	Not yet.
177000	180000	That's good.
180000	184000	Can I start now?
184000	186000	Let's give a round of applause.
186000	188000	This is a small tradition of Taira.
188000	189000	Please turn on the microphone
189000	194000	and give a round of applause to welcome Julia.
194000	195000	Thank you.
195000	201000	Thank you, Theta, for inviting me to share my research with you.
201000	206000	Thank you, Theta, for your detailed introduction.
206000	209000	Today, I will talk about
209000	211000	the social welfare network
211000	216000	and its features in East Asia.
216000	223000	We will cover the situation before and after COVID-19 pandemic.
224000	227000	I know that many of you
227000	233000	may not know much about social welfare.
233000	236000	Let me give you a brief introduction.
236000	241000	Social welfare can be divided into three areas,
241000	245000	including social insurance, social assistance, and welfare services.
245000	251000	Social insurance is a risk factor in our lives.
251000	257000	Many countries use insurance to deal with it.
257000	260000	However, there are also many countries that do not use insurance.
260000	264000	In Taiwan, we have a social insurance system
264000	268000	for pensioners.
268000	272000	Employment insurance also includes unemployment insurance.
272000	276000	National Insurance is also a social insurance feature.
276000	281000	We need to contribute so that we can benefit in the future.
281000	284000	Another part is social assistance.
284000	287000	In some cases,
287000	290000	everyone may face risks.
290000	293000	For example, if you become very poor and unemployed,
293000	296000	and your job does not allow you to have social insurance,
296000	300000	or if you encounter some changes in your family,
300000	302000	you may need social assistance,
302000	304000	including low-income households and middle-income households.
304000	308000	In the U.S., we have food stamps,
308000	311000	which are food-related relief measures.
311000	314000	In the U.S., Section 8 of the Housing Assistance Act
314000	317000	uses housing vouchers to help people.
317000	322000	There is also public housing in Taiwan.
322000	326000	In addition, there are also measures to help families
326000	332000	who cannot afford to send their children to school.
333000	336000	In addition to social assistance,
336000	339000	there are also welfare services.
339000	342000	For example,
342000	345000	child abuse or elderly care services
345000	348000	may be needed.
348000	351000	Whether it's public or private,
351000	355000	welfare services are provided by welfare agencies.
355000	359000	So the social welfare sector is mostly related to Hanguas.
359000	362000	I will focus on the social assistance sector today.
362000	365000	I will focus on the social assistance sector today.
365000	368000	In the introduction of the document,
368000	371000	we often compare the social insurance and social assistance
371000	374000	in the East Asian welfare system.
374000	377000	In the East Asian welfare system,
377000	380000	we often compare the social insurance and social assistance.
380000	383000	I will explain the terms first.
383000	386000	The research I am going to share today
386000	389000	was initiated in 2019
389000	392000	by Dr. Ying-Ho Khoo.
392000	395000	Dr. Ying-Ho Khoo was invited by the National University of Seoul
395000	398000	to give a lecture at their school.
398000	401000	to give a lecture at their school.
401000	404000	Dr. Ying-Ho Khoo hopes to have more international cooperation.
404000	407000	Dr. Ying-Ho Khoo hopes to have more international cooperation.
407000	410000	I think organizing research teams
410000	413000	is a bit like making a movie.
413000	416000	In my mind,
416000	419000	I want to do the research I am going to report in the future.
419000	422000	I want to do the research I am going to report in the future.
422000	425000	However, it takes a lot of resources
425000	428000	to gather all the party members from all over the world.
428000	431000	to gather all the party members from all over the world.
431000	434000	After this meeting,
434000	437000	Dr. Ying-Ho Khoo is a professor at Tokyo University in Japan.
437000	440000	Dr. Ying-Ho Khoo is a professor at Tokyo University in Japan.
440000	443000	Dr. Ying-Ho Khoo is interested in Korea.
443000	446000	Dr. Ying-Ho Khoo is interested in Korea.
446000	449000	I invited Dr. Irene from the National University of Singapore
449000	452000	and Dr. Chen Hong and Dr. Zhao Hsieh
452000	455000	from the National University of Singapore.
455000	458000	We organized a research team to study six places in East Asia,
458000	461000	including Taiwan, China, Hong Kong,
461000	464000	Japan, South Korea, and Singapore.
464000	467000	We organized a research team to study six places in Taiwan, China, Hong Kong, Japan, South Korea, and Singapore.
467000	470000	We relate to projects on Taiwan, China and Hong Kong.
470000	473000	We relate to projects on Taiwan, China and Hong Kong.
473000	476000	We will compare and analyze tests on the six places we study.
476000	479000	We will compare and analyze tests on the six places we study.
479000	482000	There are thirty buildings with shrines in the north along theheir names.
482000	485000	There are twenty buildings with shrines in the north along their names.
485000	488000	We will compare and analyze tests on the these buildings together.
488000	491000	We will compare and analyze tests on the these buildings together.
491000	494000	We will compare and analyze tests on the these buildings together.
494000	497000	We will compare and analyze tests on the these buildings together.
497000	500000	We will compare and analyze tests on the these buildings together.
500000	503000	We will compare and analyze tests on the these buildings together.
503000	506000	We will compare and analyze tests on the these buildings together.
506000	509000	We will compare and analyze tests on the these buildings together.
509000	512000	We will compare and analyze tests on the these buildings together.
512000	515000	We will compare and analyze tests on the these buildings together.
515000	518000	We will compare and analyze tests on the these buildings together.
518000	521000	We will compare and analyze tests on the these buildings together.
521000	524000	We will compare and analyze tests on the these buildings together.
525000	528000	We will compare and analyze tests on the these buildings together.
536000	539000	We will compare and analyze tests on the these buildings together.
539000	542000	We will compare and analyze tests on the these buildings together.
542000	545000	We will compare and analyze tests on the these buildings together.
545000	548000	We will compare and analyze tests on the these buildings together.
548000	553000	American Community Survey Aand Census Bureau,
553000	558000	American Community Survey,
558000	567000	American Community Survey,
567000	572000	American Community Survey,
572000	582000	American Community Survey,
582000	592000	American Community Survey,
592000	602000	American Community Survey,
602000	612000	American Community Survey,
612000	622000	American Community Survey,
622000	632000	American Community Survey,
632000	642000	American Community Survey,
642000	652000	American Community Survey,
652000	662000	American Community Survey,
662000	672000	American Community Survey,
672000	682000	American Community Survey,
682000	692000	American Community Survey,
692000	702000	American Community Survey,
702000	712000	American Community Survey,
712000	722000	American Community Survey,
722000	732000	American Community Survey,
732000	742000	American Community Survey,
742000	752000	American Community Survey,
752000	772000	American Community Survey,
772000	782000	American Community Survey,
782000	792000	American Community Survey,
792000	802000	American Community Survey,
802000	812000	American Community Survey,
812000	822000	American Community Survey,
822000	832000	American Community Survey,
832000	842000	American Community Survey,
842000	852000	American Community Survey,
852000	862000	American Community Survey,
862000	872000	American Community Survey,
872000	882000	American Community Survey,
882000	892000	American Community Survey,
892000	902000	American Community Survey,
902000	912000	American Community Survey,
912000	922000	American Community Survey,
922000	932000	American Community Survey,
932000	942000	American Community Survey,
942000	952000	American Community Survey,
952000	962000	American Community Survey,
962000	972000	American Community Survey,
972000	982000	American Community Survey,
982000	992000	American Community Survey,
992000	1002000	American Community Survey,
1002000	1012000	American Community Survey,
1012000	1022000	American Community Survey,
1022000	1032000	American Community Survey,
1032000	1042000	American Community Survey,
1042000	1052000	American Community Survey,
1052000	1062000	American Community Survey,
1062000	1072000	American Community Survey,
1072000	1082000	American Community Survey,
1082000	1092000	American Community Survey,
1092000	1102000	American Community Survey,
1102000	1112000	American Community Survey,
1112000	1122000	American Community Survey,
1122000	1132000	American Community Survey,
1132000	1142000	American Community Survey,
1142000	1152000	American Community Survey,
1152000	1162000	American Community Survey,
1162000	1172000	American Community Survey,
1172000	1182000	American Community Survey,
1182000	1192000	American Community Survey,
1192000	1202000	American Community Survey,
1202000	1212000	American Community Survey,
1212000	1222000	American Community Survey,
1222000	1232000	American Community Survey,
1232000	1242000	American Community Survey,
1242000	1252000	American Community Survey,
1252000	1262000	American Community Survey,
1262000	1272000	American Community Survey,
1272000	1282000	American Community Survey,
1282000	1292000	American Community Survey,
1292000	1302000	American Community Survey,
1302000	1312000	American Community Survey,
1312000	1322000	American Community Survey,
1322000	1332000	American Community Survey,
1332000	1342000	American Community Survey,
1342000	1352000	American Community Survey,
1352000	1362000	American Community Survey,
1362000	1372000	American Community Survey,
1372000	1382000	American Community Survey,
1382000	1392000	American Community Survey,
1392000	1402000	American Community Survey,
1402000	1412000	American Community Survey,
1412000	1422000	American Community Survey,
