start	end	text
0	21000	Hello everyone, welcome to Taira Talk. Taira is an event for young researchers in Taiwan. We hold some Taira Talks every week all year round, which includes everything from liberal arts to science, engineering, biology, medicine, etc.
21000	29000	If you would like to share your research in the future, please feel free to sign up.
29000	42000	Today's speaker is Lian Chuan-Ping, and his topic is the relationship between high-level atmospheric wind turbines and their relationship with space weather.
42000	50000	Lian Chuan-Ping is a Ph.D. student in the Department of Aerospace and Space Sciences at Colorado University.
50000	56000	His field of research is data synchronization, electromagnetic transfer, and solar eclipses.
56000	64000	In addition to his research, he also enjoys hiking, jogging, and watching movies at home.
64000	69000	I'll hand over to Chuan-Ping.
70000	73000	Hello everyone, I'm Lian Chuan-Ping.
73000	83000	Today's speaker's topic is the relationship between high-level atmospheric wind turbines and their relationship with space weather.
83000	96000	Today, I will focus on the reason why we want to conduct high-level atmospheric wind turbines.
97000	101000	First of all, this is my background.
101000	107000	My major focus is on space weather forecast.
107000	112000	The method I use is data synchronization.
112000	120000	The solar weather we are targeting is the daily change of the electromagnetic force of the Earth's magnetic field.
120000	124000	We can understand it as a type of space weather.
124000	129000	Later, I will introduce in detail what type of space weather it is.
129000	131000	This is our main topic for today.
131000	135000	First, we will introduce what space weather is and its definition.
135000	139000	Then, we will talk about what type of space weather we want to forecast,
139000	143000	why we want to forecast this system, and how to forecast it.
143000	150000	Finally, we will talk about the difficulties and challenges we encounter.
150000	161000	These are the reasons why we conduct high-level atmospheric wind turbines.
161000	166000	First, what is space weather?
166000	178000	Space weather refers to the daily change of the interaction between the matter in space and the atmosphere on Earth.
178000	182000	Basically, we can understand it as the so-called weather.
182000	193000	In this study, we focus on the low-middle latitude electromagnetic layer of the Earth.
193000	201000	Its height is approximately at the boundary of the Earth's high-level atmosphere and space.
201000	211000	In order to forecast this system, we must first understand the composition of the high-level atmosphere.
211000	217000	This graph shows the height of the Earth's surface.
217000	223000	The middle axis is the height, and the horizontal axis is the density of gas particles.
223000	234000	The blue and black lines indicate the change of electromagnetic particles in height.
234000	238000	The orange line is the so-called middle atmosphere.
238000	246000	For example, it may be the part of oxygen molecules, nitrogen molecules, or oxygen atoms.
246000	255000	We can clearly see in this graph that the density of the middle atmosphere is much higher than the so-called electromagnetic density.
255000	266000	And the higher the number is, we can see that the horizontal axis is a difference of tens of times or more than tens of times or more than tens of times.
267000	278000	In such a high-level atmosphere, the electromagnetic layer is not very uniform.
278000	291000	We can observe the so-called electromagnetic irregularity, or the phenomenon of an equatorial plasma bubble.
291000	296000	This is one of the types of space weather we want to forecast.
296000	302000	The graph on the left is a wet map, and the red part represents the more electromagnetic density.
302000	308000	The blue part represents an area with relatively less electromagnetic density.
308000	324000	The graph on the right is a high-level area of about 200 to 400 kilometers.
324000	328000	This is a high-level area.
328000	336000	As for its three-dimensional structure, we can see that the graph on the left is a simulation of an electromagnetic bubble.
336000	342000	The three axes on the left are the height, the diameter, and the latitude.
342000	350000	The yellow part represents an area with relatively more electromagnetic density.
350000	353000	The blue part represents an area with relatively less electromagnetic density.
353000	361000	The so-called electromagnetic bubble develops along a cone-shaped area.
361000	369000	The cone-shaped area is the magnetic field of the Earth's magnetic field.
370000	384000	If we cut down from the magnetic field of the Earth, we can see that the so-called electromagnetic bubble is a high-level area that looks like a bubble.
384000	398000	If we look down from space, we will find that the area with relatively less electromagnetic density is a cone-shaped area.
398000	405000	This is an actual observation.
405000	410000	The time period is November and December 2019.
410000	419000	The red area represents an area with relatively more electromagnetic density.
419000	426000	The so-called dark area is the area where the electromagnetic bubble occurs.
426000	431000	The interesting thing is that it sometimes occurs and sometimes does not occur.
431000	441000	The video on the right shows the so-called electromagnetic bubble change every day.
441000	444000	We can understand it as the so-called space weather.
444000	451000	We can see that this dark area sometimes does not occur and sometimes does occur.
451000	455000	Why do we want to forecast it?
455000	463000	The main reason is that the U.S. government has proposed a policy related to space weather preparation.
463000	469000	It was released in 2015 and was updated in 2019.
469000	479000	Because of this policy, the U.S. military began to focus on space weather forecasts and space weather-related research.
479000	485000	One of the reasons is that the military relies on the wireless communications system.
485000	493000	When we just mentioned the irregularity of the power line or the electromagnetic bubble, the signal will be reduced or flashed.
493000	500000	This is why we want to carry out space weather forecasts.
501000	515000	In addition to the observations we just mentioned, we can also use the Formosa Satellite-7 satellite that Taiwan and the United States have cooperated with to observe the electromagnetic bubble.
515000	530000	This satellite has several satellites, so it can carry out a relatively wide coverage rate in space to observe the electromagnetic bubble.
530000	537000	Each satellite is equipped with a global navigation satellite system receiver.
538000	551000	This satellite can receive signals from GPS or GNSS global satellite systems.
551000	557000	We all know that when a radio wave or light passes through an interface, it creates a distortion phenomenon.
557000	572000	The so-called radio occupation observation is to use this principle to carry out a high-level observation of the power line to predict the area and location of the electromagnetic bubble.
