start	end	text
0	12000	Oh, maybe I can think about it first. I probably won't provide slides because I know a lot of participants will want slides, but I won't provide slides.
12000	16000	Anyway, there are recordings, so I think it should be fine.
30000	59000	Hello everyone, welcome to Taira Talk.
59000	63000	Taira is a friendly environment for young researchers in Taiwan.
63000	68000	We hold Taira Talk every weekend.
68000	71000	The format and content of this talk are very diverse.
71000	76000	Academic researchers can share their research results here according to their occupations,
76000	80000	and also practice live presentations or meet future potential partners.
80000	88000	Today is the first lecture of the Taira 2022 Overseas Researcher Application Guidelines.
88000	92000	The topic is European Doctoral Class Application Procedures and Skills.
92000	97000	Next week will be the North American Doctoral Class Application Procedures and Skills.
97000	105000	Next week, August 28th, will be two types of application documents, CV and SOP writing skills.
105000	116000	We mentioned in the propaganda file and application form that if you are willing to participate in one-on-one Ph.D. application mentoring,
116000	124000	if you sign up and attend the first or second lecture, plus the third CV and SOP writing lecture,
124000	127000	you will have the opportunity to mentor first.
127000	132000	Let me briefly explain this one-on-one guidance.
132000	138000	This year, we have invited many young scholars with overseas study experience to serve as mentors
138000	143000	to help Taiwanese students prepare for various applications,
143000	146000	such as school consultations, interview preparation, etc.
146000	156000	The mentors selected can apply for mentors according to their own conditions, such as the field of research, the target school, etc.
156000	162000	Then the mentors can choose mentors that are suitable for help according to their personal wishes.
162000	166000	We expect to recruit about 100 mentors this year,
166000	169000	because the registration situation in the past was quite intense,
169000	172000	so if the number of applicants exceeds,
172000	179000	if you participate in this series of lectures in August, you will have the opportunity to mentor first.
179000	185000	So we highly encourage everyone to participate in the third CV and SOP lecture.
185000	191000	At the same time, we also hope that everyone can listen to our other TerraTalks in the future.
191000	194000	We have continued to update the lecture list on our official website.
194000	198000	You are also welcome to follow our Facebook and Instagram.
198000	203000	You can also join the Terra membership for free and enjoy more membership exclusive rights.
203000	206000	You can have more interactions with other mentors.
206000	213000	I will post the registration form for joining the membership in the chat later.
213000	219000	Today's event will issue a Terra badge as a certificate of participation.
219000	223000	This is an NFT, which is a completely open and unalterable record.
223000	226000	For more information, please see the chat link.
226000	230000	To join the certificate, you must first install the PoAP app.
230000	235000	You can first scan the QR code in the chat link to install the PoAP app.
235000	239000	We will announce the password to receive the badge after the lecture.
239000	244000	If your phone cannot install the app, please stay after the lecture.
244000	246000	We will help you solve it.
246000	250000	Later, we will invite two speakers to share their thoughts.
250000	255000	After the lecture, we will have a Q&A session.
255000	257000	Finally, we will issue the NFT.
257000	261000	Today, we welcome the first speaker.
261000	266000	He is Dr. Zhang Zhaoyuan from the University of Dresden.
266000	269000	His field of research is business engineering.
269000	275000	According to Terra's tradition, we will turn on the microphone.
276000	280000	I will end my slideshare.
290000	293000	I will turn on the microphone again.
293000	298000	Let's welcome Dr. Zhang to share his thoughts.
306000	311000	Thank you for the invitation, Project Terra.
311000	316000	I will share my experience applying for a university in Europe.
316000	319000	I am Zhang Zhaoyuan.
319000	324000	As the host said, I am currently studying my Ph.D. at Dresden.
324000	329000	Before coming to Germany, I studied at Cornell University.
329000	332000	I studied Biomedical Engineering for one year.
332000	336000	I will not talk about the U.S. part of today's talk.
336000	342000	I don't know if you are still hesitating to apply for a university in the U.S. or Europe.
342000	345000	I will leave this part for Q&A.
345000	350000	I have a few slides to share about the difference between the European system and the U.S. system.
350000	356000	As I said, I don't know what your current status is.
356000	361000	If you are still a blank sheet, and don't know how to start your Ph.D.,
361000	366000	I think the most important thing is to ask yourself what your motivation is.
366000	368000	It may sound vague.
368000	371000	I won't teach you how to write a document today.
371000	377000	But your motivation will affect how you write your documents.
377000	382000	Even if you are lucky enough to get an interview offer, you will be asked.
382000	385000	If your motivation is not strong enough,
385000	390000	the interviewer or the person reviewing your document will be able to tell.
390000	396000	In this case, you may be less competitive than other candidates.
396000	399000	So you have to ask yourself why you want to apply for a Ph.D.
399000	401000	Why do you want to study for a master's degree? Why do you want to study for a Ph.D.?
401000	403000	Why do you want to study abroad?
403000	404000	These are all important.
404000	406000	Otherwise, you can stay in Taiwan.
406000	410000	In the field of engineering, you can do very well in Taiwan.
410000	412000	In Taiwan, the Peninsula Institute is very famous.
412000	414000	You can finish a master's degree or Ph.D.
414000	416000	Then you can go to the Peninsula Institute.
416000	417000	You can make a lot of money.
417000	419000	So why do you want to study abroad?
419000	423000	After studying abroad, what are the requirements?
423000	425000	These are the things you have to do.
425000	428000	So at this stage, if you haven't prepared anything,
428000	434000	the time you need the most is to do some research.
434000	436000	Which school should I study?
436000	437000	Which university should I study?
437000	440000	Do I have the opportunity to apply for a Ph.D.?
440000	442000	These are the things we can discuss later.
444000	447000	I applied for a Ph.D. in Germany.
447000	449000	I only applied for a Ph.D.
449000	454000	But in principle, it can be applied to most European and EU countries.
454000	457000	In the traditional European system,
457000	459000	it's a bit like looking for a job.
459000	462000	Our Chinese is called teacher-student system.
462000	466000	If you see a professor who has a Ph.D. position,
466000	468000	you can write a letter to tell him,
468000	470000	I saw you applied for a Ph.D. position.
470000	472000	What's my background?
472000	474000	I'm interested in this topic.
474000	477000	He may ask you to add your resume, motivation, etc.
477000	479000	If he thinks it's OK, he'll say,
479000	481000	OK, let's have an interview.
481000	484000	After the conversation, he might say,
484000	486000	OK, I think you're good. I want to hire you.
486000	488000	Tell me when you're coming.
488000	489000	That's it.
489000	491000	You and the boss are set.
491000	493000	Another one is the structured Ph.D. program.
493000	494000	You may be familiar with it.
494000	497000	It's adapted from English-speaking countries,
497000	500000	such as the US, the UK, Australia, or even Taiwan.
500000	502000	It's a Ph.D. program.
502000	507000	You have to apply to a certain department or Ph.D. program.
507000	509000	It usually has a lot of requirements.
509000	511000	Because it's a program,
511000	514000	it may require you to do lab rotation during your Ph.D.
514000	516000	You have to take classes, etc.
516000	519000	You have to meet certain requirements to be able to defend yourself.
519000	521000	But for a teacher-student system,
521000	524000	you have to go into the lab to do research.
524000	527000	It doesn't require you to take classes, etc.
527000	529000	to graduate.
529000	531000	This is the biggest difference
531000	533000	between a teacher-student system
533000	536000	and a structured program.
536000	539000	Most structured programs,
539000	541000	I'll talk about it later,
541000	543000	besides universities and so-called research institutes,
543000	546000	when it provides a structured program,
546000	548000	it's not unlimited.
548000	549000	Unlike in Taiwan,
549000	552000	when you graduate, you have to wait for your teacher's approval.
