start	end	text
0	7000	Welcome everyone to the Terra Talk on August 6th.
7000	11000	Today, we are honored to invite Dr. Chen Tai-Yan.
11000	17000	Dr. Chen Tai-Yan currently teaches at the Department of Chemistry at the University of Houston.
17000	21000	She graduated from the Department of Chemistry at Tsinghua University and the Department of Chemistry at Tsinghua University.
21000	24000	Her Ph.D. was in Texas A&M.
24000	29000	She did her Ph.D. in agricultural engineering.
29000	34000	After her Ph.D., she moved to Cornell.
34000	39000	Her field of research is mostly...
39000	41000	Did I say it right?
41000	44000	I saw Dr. Tai-Yan laughing.
44000	52000	Her field of research is mostly single-molecule super-resolution microscopy.
52000	58000	Her research system is mostly biophysics.
58000	60000	Dr. Tai-Yan is a very good teacher.
60000	67000	She has given lectures in different fields and topics at Terra.
67000	78000	Today, she will be talking about...
78000	81000	As a senior Ph.D. student,
81000	84000	when your Ph.D. is in its second or third year,
84000	86000	you have gone through a lot.
86000	88000	When you think about your next phase,
88000	91000	you have to prepare yourself.
91000	93000	You have to ask yourself some good questions.
93000	106000	This will allow you to move on to the next phase more smoothly.
106000	114000	Let's welcome Dr. Chen Tai-Yan.
114000	116000	Thank you, Dr. Tai-Yan.
116000	122000	I am very happy to be able to participate in Project Terra's talk today.
122000	126000	First of all, thanks for the kind invitation.
126000	128000	This talk is more informal.
128000	130000	If you have any questions,
130000	134000	you can ask them in the middle of my talk.
134000	142000	I hope you can learn a lot from today's talk.
143000	148000	This is a topic we talked about in the beginning of Project Terra.
148000	153000	How to have a successful Ph.D. career for senior Ph.D. students.
153000	163000	I was surprised when I first saw this title.
163000	166000	It uses a very special word,
166000	169000	which is successful Ph.D. career.
170000	174000	It is very difficult to define a successful Ph.D. career.
174000	179000	I personally feel that every student has a different background.
179000	183000	Everyone has a different Ph.D. career,
183000	188000	so there is no specific formula for everyone.
188000	194000	What I am doing today is to share my personal experience
194000	201000	and tell you what you can do to have a positive impact on your future development.
201000	205000	Everyone has a different background,
205000	209000	so you can try it if it suits you.
209000	216000	I hope these tips can help you to have a better Ph.D. career.
216000	221000	Let me briefly introduce my personal experience.
221000	224000	My experience is not ordinary.
224000	231000	I am a slow learner in every process.
231000	233000	I think it is related to my personality.
233000	237000	I am a gentle person.
237000	242000	You can see that I started my Ph.D. degree in 2018.
242000	246000	I graduated from my senior year in 2004.
246000	250000	I worked as a research assistant for a year and went abroad in 2005.
250000	254000	Before that, I was a chemistry major,
254000	256000	specifically a material scientist.
256000	261000	My main job was to synthesize some materials
261000	263000	and make some luminous materials.
263000	266000	I was focused on synthesis.
266000	270000	When I finished my Ph.D. degree,
270000	274000	my boss asked me if I wanted to study for a Ph.D. degree.
274000	279000	I looked back at my classmates in the Ph.D. class.
279000	281000	I found that everyone was doing the same thing.
281000	285000	I found that everyone was doing the same thing.
285000	289000	My boss told me to study for a Ph.D. degree,
289000	291000	or else I would have to work in the industry.
291000	296000	At that time, I didn't have any prior knowledge.
296000	301000	I was a country boy from Hualien.
301000	305000	After studying at Tsingtao University for a few years,
305000	308000	I never thought about going abroad.
308000	310000	It wasn't until my boss mentioned this to me
310000	314000	that I seriously thought about going abroad.
314000	318000	I was lucky enough to apply for A&M.
318000	324000	Since then, I have been living in the U.S. for 17 years.
324000	327000	When I was studying for my Ph.D. degree,
327000	329000	I decided to change my field.
329000	332000	I thought synthesis was fun,
332000	340000	but I felt like I was in a bottleneck.
340000	344000	I thought I understood how to do synthesis,
344000	346000	but I didn't know if I did a good job.
346000	351000	I didn't know how to determine the efficiency of synthesis.
351000	356000	I started to feel like we didn't discuss it in detail.
356000	357000	When doing synthesis,
357000	360000	we just guessed how to make it more efficient.
360000	364000	We didn't have a more fundamental understanding.
364000	366000	So when I was studying for my Ph.D. degree,
366000	368000	I decided to change my field.
368000	373000	I wanted to know more about the physics of these materials.
373000	376000	At that time, Neoparticle was very popular.
376000	379000	So I joined a lab that specializes in Neoparticle
379000	388000	and does a lot of electronic, light, magnetic analysis.
388000	391000	So I spent five and a half years doing this.
391000	393000	During that time,
393000	396000	I learned how to add a device,
396000	398000	how to analyze,
398000	402000	and how to understand the advantages and disadvantages of a material
402000	405000	from a very fundamental perspective.
405000	408000	After that,
408000	411000	I started to think that
411000	413000	when I was studying for my Ph.D. degree,
413000	416000	I already had an intention that I wanted to be a teacher.
416000	418000	When I started to study for my Ph.D. degree,
418000	421000	my first goal was that I wanted to go back to Taiwan to be a professor.
421000	425000	But then I met a lot of different people.
425000	429000	So in the end, I ended up being a teacher in the U.S.
432000	435000	Later, you can see that
435000	436000	from Maths to Ph.D.,
436000	438000	it's a bit like turning a corner.
438000	442000	You start to do very materialized things.
442000	444000	But I think the biggest turning point in my life
444000	447000	was when I was studying for my postdoc.
447000	449000	Before that,
449000	453000	I didn't have any background in biology.
453000	455000	But when I was studying for my postdoc,
455000	458000	I did a 90-degree turn.
458000	462000	I spent five and a half years doing postdocs.
462000	463000	At that time,
463000	467000	I started to learn about monochromatic biology.
467000	470000	The main reason was that
470000	471000	when I was studying for my Ph.D. degree,
471000	472000	I met my wife.
472000	474000	My wife is a neon biologist.
474000	475000	I thought,
475000	476000	okay,
476000	478000	we can do some research together in the future.
478000	481000	Let's learn something new.
481000	482000	But I didn't expect that
482000	485000	learning something new would take me five and a half years.
485000	488000	So I spent five and a half years in Cornell.
488000	490000	I was hired to Cornell
490000	492000	mainly because I knew how to drive a car.
492000	493000	So when I got there,
493000	498000	my main job was to build up a super-low-energy microscope,
498000	502000	and create software to analyze images.
502000	503000	That was my main job,
503000	505000	building instruments and analyzing things.
505000	507000	That was my main job.
507000	509000	But when I joined a new element,
509000	513000	my career took a big turn.
513000	514000	Later on,
514000	516000	you can see that my current research program
516000	521000	started to connect with neural cells.
521000	527000	This process is very interesting.
527000	528000	Okay.
528000	530000	If you have good support,
530000	532000	this is a very enjoyable process.
532000	536000	But it's not a typical process.
536000	540000	I don't recommend everyone to try this mode.
540000	542000	This mode has its advantages,
542000	545000	but I think the difficulties in the middle are quite high.
545000	546000	If you are interested,
546000	548000	we can talk about this later.
548000	552000	The main reason why I mentioned this is because
552000	553000	you can see that
553000	557000	I made a lot of changes in the direction of the pressure.
557000	559000	In the process of these changes,
559000	562000	I think there is one thing I often do.
562000	565000	I like to chat with my friends,
565000	569000	or I like to chat with my junior in the lab.
569000	570000	In the process of chatting,
570000	572000	the most frequently asked question is,
572000	573000	okay,
573000	574000	the most frequently asked question is,
574000	575000	okay,
575000	577000	why do you want to study for a PhD?
577000	579000	When you study for a PhD,
579000	581000	what is the biggest challenge you face?
582000	586000	I've been asking this question for 17 years.
586000	587000	So I think,
587000	588000	in these processes,
588000	592000	you can know what everyone thinks about PhDs.
592000	595000	After hearing a lot of people's opinions,
595000	597000	I started to have some questions about
597000	600000	what PhDs are all about.
600000	602000	Last week,
602000	604000	last week or the week before last,
604000	605000	last week,
606000	611000	Project Tara invited Bo-Jun to share with you
611000	617000	what he thinks about PhDs.
617000	622000	He also provided a lot of very useful advice.
622000	627000	Here are some of the things he provided.
627000	628000	For example,
628000	630000	why do you want to study for a PhD?
630000	631000	What do you want to do?
631000	632000	How to find advice?
632000	633000	Some general advice.
633000	635000	I think they're all very, very good.
635000	637000	What I'm going to do today,
637000	640000	I still want to address
640000	643000	why I want to study for a PhD.
643000	644000	Okay.
644000	646000	In my personal opinion,
646000	650000	this is the most important of all.
650000	652000	If you clearly know
652000	655000	why you want to study for a PhD,
655000	657000	I think when you encounter a lot of difficulties,
657000	660000	it will be much better to adjust your mindset.
660000	662000	Okay.
662000	663000	When people ask you,
663000	665000	why do you want to study for a PhD?
665000	667000	I think the question you need to reflect on is,
667000	671000	what is the meaning of a PhD to me?
671000	675000	I used to hear a lot of answers.
675000	679000	If you have a PhD,
679000	682000	don't say you can independently solve problems.
682000	683000	You can actually create,
683000	686000	find new knowledge by yourself.
686000	689000	I think these are all very good answers.
689000	691000	But,
691000	693000	it's my own feeling.
693000	696000	It's my own feeling.
696000	700000	I think a PhD is actually a lifestyle.
700000	703000	Okay.
703000	704000	So far,
704000	706000	my personal understanding is that
706000	709000	we were born until you grew up.
709000	711000	We've been trying to understand
711000	714000	how the world works.
714000	717000	It depends on your professional training.
717000	718000	Okay.
718000	721000	People, things, and objects
721000	722000	will make you
722000	723000	a little bit twisted
723000	725000	about how the world works.
725000	726000	Okay.
726000	727000	Everyone knows that
727000	729000	these may be the same.
729000	730000	Okay.
730000	731000	But those little things
731000	734000	will basically become the tipping point
734000	736000	for you to make a decision.
736000	737000	Okay.
737000	738000	So I think
738000	740000	if you study for a PhD,
740000	743000	the biggest advantage is
743000	745000	that it is an excellent training platform.
745000	746000	Okay.
746000	748000	So when you encounter a problem,
748000	751000	you know how to analyze the problem,
751000	753000	how to define the problem,
753000	755000	and how to solve the problem.
755000	758000	Then you can explain to others
758000	760000	that I encountered this problem,
760000	761000	and what I think it should be like.
761000	762000	Okay.
762000	763000	When it's like this,
763000	765000	I think it should have some impact.
765000	766000	Okay.
766000	767000	These things are actually
767000	769000	when you do experiments,
769000	770000	when you do research,
770000	773000	I think there is a very, very big overlap.
773000	774000	Okay.
774000	776000	To a certain extent,
776000	778000	I think if you can imagine
778000	780000	a PhD as
780000	783000	your last training stage,
783000	784000	then I think
784000	786000	if you can learn
786000	787000	its essence,
787000	789000	I think it will be a very helpful process
789000	791000	for your life.
791000	792000	Okay.
792000	793000	Like I just said,
793000	794000	okay,
794000	796000	let's make a comparison.
796000	797000	Okay.
797000	798000	When you encounter a problem,
798000	799000	okay,
799000	800000	the first thing is
800000	801000	you have to understand
801000	803000	what the problem is.
803000	804000	Right?
804000	805000	Then this is the same as
805000	806000	when you do academic research,
806000	807000	okay,
807000	808000	you do a lot of literature research,
808000	809000	it's actually the same.
809000	810000	Okay.
810000	811000	At first,
811000	812000	when you come up with a phenomenon,
812000	813000	you don't know what happened.
813000	814000	Okay.
814000	815000	What you can do is
815000	816000	okay,
816000	817000	I'm going to look for more documents
817000	818000	to give me a better understanding
818000	820000	of this system.
820000	821000	Okay.
821000	822000	In this case,
822000	825000	you can start to define your problem.
825000	826000	In other words,
826000	828000	you can start to formulate your hypothesis.
828000	829000	Okay.
829000	830000	After that,
830000	831000	once you have a hypothesis,
831000	832000	you can do the experiment.
832000	833000	Then after the experiment,
833000	834000	you might say,
834000	835000	okay,
835000	836000	in the end,
836000	837000	okay,
837000	838000	you might fail many times in the middle,
838000	839000	but in the end,
839000	840000	most likely,
840000	841000	you can actually figure out something new.
841000	842000	Right?
842000	843000	Now,
843000	844000	after this is over,
844000	845000	one very important thing,
845000	846000	one very important training
846000	847000	in Ph.D. is
847000	848000	okay,
848000	849000	you need to actually
849000	850000	present your results.
850000	851000	Okay.
851000	853000	Tell people why this is actually important.
853000	854000	Okay.
854000	855000	Then this thing
855000	856000	will be in your training,
856000	858000	in your presentation training,
858000	861000	to get a
861000	863000	proper
863000	864000	preparation.
864000	865000	Okay.
865000	866000	So, in my opinion,
866000	868000	I think the biggest advantage of Ph.D. is that
868000	870000	you learn a more systematic
870000	872000	method
872000	874000	to deal with
874000	876000	the problems in your life.
876000	877000	Okay.
877000	879000	This is a relatively broad statement.
879000	880000	But I think
880000	882000	you project
882000	884000	what you learn in Ph.D.
884000	886000	into your life experience.
886000	888000	I think this is the most
888000	890000	meaningful thing.
890000	891000	Okay.
891000	892000	So, this is
892000	894000	how I view the Ph.D.
894000	896000	So, I think
896000	898000	what everyone does may not be the same.
898000	899000	Okay.
899000	900000	But the underlying principle
900000	903000	and how you deal with things in your life
903000	905000	I think this really provides a
905000	907000	very, very good training place.
907000	908000	Okay.
908000	910000	So,
910000	911000	how do you define
911000	913000	whether your Ph.D. is successful or not?
913000	915000	I think
915000	916000	the easiest parameter is
916000	919000	whether you enjoy the process.
919000	920000	If you can enjoy
920000	921000	the process,
921000	922000	and you can
922000	924000	make the things on the slide
924000	926000	to an extreme,
926000	928000	I think it's a very successful
928000	930000	Ph.D. career.
930000	931000	Because the things you need
931000	933000	can follow you for a lifetime.
933000	935000	I think this is more important
935000	936000	than anything else.
936000	937000	Okay.
937000	938000	Of course,
938000	939000	some people do better,
939000	940000	some people do worse.
940000	941000	But so what?
941000	942000	Okay.
942000	943000	Paper is paper, right?
943000	944000	You can create new knowledge,
944000	946000	but it's not going to go with you forever.
946000	947000	Right?
947000	949000	You have to face new problems every day.
949000	950000	Knowing how to handle these problems
950000	951000	is more important,
951000	952000	I think.
952000	953000	Okay.
953000	954000	Okay, get back to this.
954000	955000	I think
955000	957000	the timeline is important.
957000	959000	When you're doing your Ph.D.,
959000	961000	there's a timeline
961000	962000	in your mind.
962000	963000	I think this is
963000	964000	a very, very important thing.
964000	965000	Okay.
965000	966000	I've highlighted some
966000	968000	more important
968000	969000	milestones
969000	971000	for your Ph.D.
971000	972000	In the first year,
972000	973000	when you first came in,
973000	975000	get used to the environment,
975000	977000	finish the course as soon as possible.
977000	978000	In the second year,
978000	979000	you'll start to have
979000	980000	the so-called
980000	981000	Qualified Exam.
981000	982000	Okay.
982000	983000	After the Qualified Exam,
983000	984000	you'll become
984000	986000	the so-called Ph.D. candidate.
986000	987000	You're no longer
987000	988000	just a student.
988000	989000	Okay.
989000	990000	You're not a graduate student.
990000	992000	You're a Ph.D. candidate.
992000	993000	Okay.
993000	995000	Then you start to propose
995000	996000	what you want to do.
996000	997000	Then
997000	998000	work very hard,
998000	999000	publish some papers.
999000	1001000	In the end,
1001000	1002000	this is
1002000	1003000	okay,
1003000	1004000	pass your dissertation.
1004000	1005000	Then eventually,
1005000	1006000	do your defense.
1006000	1007000	Then eventually,
1007000	1008000	get your Ph.D.
1008000	1009000	Okay.
1009000	1010000	So it's a very, very
1010000	1011000	general process.
1011000	1012000	This process
1012000	1013000	usually takes you
1013000	1014000	four to five years,
1014000	1015000	depending on
1015000	1016000	your research field.
1016000	1017000	Okay.
1017000	1018000	But I think
1018000	1019000	five years
1019000	1020000	has become
1020000	1021000	a more and more
1021000	1023000	common timeline.
1023000	1024000	Yes.
1024000	1025000	Of course,
1025000	1026000	I guess engineers
1026000	1027000	may be faster.
1027000	1028000	But I think
