start	end	text
0	5000	Before we get started, I'm going to show you a video of the workshop.
9000	14000	Okay, so this is, have you seen my PowerPoint video?
16000	19000	This is a video of Cara's presentation.
19000	22000	Next week, we will have a presentation
22000	25000	for senior PhD students.
25000	28000	Welcome to listen to it.
28000	33000	Also, on August 13th, we will have a presentation by Mentor Mentee.
33000	38000	You can find the full list on our Q&A poll.
38000	42000	Lastly, welcome to join our members
42000	45000	and welcome to join our fan page.
45000	49000	This way, you can receive our messages in real time.
49000	52000	This is about the Tarot Badge.
52000	55000	Before you get the Tarot Badge,
55000	58000	you need to install PoAP.
58000	61000	This QR code will help you to download it.
61000	64000	This is a proof of participation.
64000	69000	Next, I will put a specific password on the chat.
69000	72000	You are welcome to get it.
72000	76000	Please note that the time limit is only two hours.
76000	79000	If you don't want to miss it,
79000	82000	don't worry, just write to Tarot.
82000	85000	We will help you to get it.
85000	88000	Now, it's time for Mentor Mentee.
94000	97000	I can start now?
97000	100000	Yes, you can start now.
113000	116000	I'm going to share now.
124000	127000	I haven't seen your share yet.
127000	130000	Yes, because it...
130000	133000	Oh.
142000	145000	Did I make it?
145000	148000	Yes, you did. Thank you.
148000	151000	First of all, thank you, Tyra,
151000	154000	for inviting me and An Li's team
154000	157000	and An Li's organization.
157000	160000	My name is Xu Bojun.
160000	163000	I started my career in Duke in 2019.
163000	166000	I have been working for a long time.
166000	169000	I have been working for a long time.
169000	172000	I started my career in Duke in 2019.
172000	175000	I moved to Rutgers University in July this year.
175000	178000	I am a Ph.D. student.
178000	181000	I am a Ph.D. student.
181000	184000	I am a Ph.D. student.
184000	187000	I am a Ph.D. student.
187000	190000	I am a Ph.D. student.
190000	193000	I am a Ph.D. student.
193000	196000	I am a Ph.D. student.
196000	199000	My question is...
199000	202000	My question is...
202000	205000	My question is...
210000	215000	...
215000	220000	...
220000	223000	...
223000	228000	...
228000	233000	...
233000	238000	...
238000	243000	...
243000	248000	...
248000	253000	...
253000	258000	...
258000	263000	...
263000	268000	...
268000	273000	...
273000	278000	...
278000	283000	...
283000	288000	...
288000	293000	...
293000	298000	...
298000	303000	...
303000	308000	...
308000	313000	...
313000	318000	...
318000	323000	...
323000	328000	...
328000	333000	...
333000	338000	...
338000	343000	...
343000	348000	...
348000	353000	...
353000	358000	...
358000	363000	...
363000	368000	...
368000	373000	...
373000	378000	...
378000	383000	...
383000	388000	...
388000	393000	...
393000	398000	...
398000	403000	...
403000	408000	...
408000	413000	...
413000	418000	...
418000	423000	...
423000	428000	...
428000	433000	...
433000	438000	...
438000	443000	...
443000	448000	...
448000	453000	...
453000	458000	...
458000	463000	...
463000	468000	...
468000	473000	...
473000	478000	...
478000	483000	...
483000	488000	...
488000	493000	...
493000	498000	...
498000	503000	...
503000	508000	...
508000	513000	...
513000	518000	...
518000	523000	...
523000	528000	...
528000	533000	...
533000	538000	...
538000	543000	...
543000	548000	...
548000	553000	...
553000	558000	...
558000	563000	...
563000	568000	...
568000	573000	...
573000	578000	...
578000	583000	...
583000	588000	...
588000	593000	...
593000	598000	...
598000	603000	...
603000	608000	...
608000	613000	...
613000	618000	...
618000	623000	...
623000	628000	...
628000	633000	...
633000	638000	...
638000	643000	...
643000	648000	...
648000	653000	...
653000	658000	...
658000	663000	...
663000	668000	...
668000	673000	...
673000	678000	...
678000	683000	...
683000	688000	...
688000	693000	...
693000	698000	...
698000	703000	...
703000	708000	...
708000	713000	...
713000	718000	...
718000	723000	...
723000	728000	...
728000	733000	...
733000	738000	...
738000	743000	...
743000	748000	...
748000	753000	...
753000	758000	...
758000	763000	...
763000	768000	...
768000	773000	...
773000	778000	...
778000	783000	...
783000	788000	...
788000	793000	...
793000	798000	...
798000	803000	...
803000	808000	...
808000	813000	...
813000	818000	...
818000	823000	...
823000	828000	...
828000	833000	...
833000	838000	...
838000	843000	...
843000	848000	...
848000	853000	...
853000	858000	...
858000	863000	...
863000	868000	...
868000	873000	...
873000	878000	...
878000	883000	...
883000	888000	...
888000	893000	...
893000	898000	...
898000	903000	...
903000	908000	...
908000	913000	...
913000	918000	...
918000	923000	...
923000	928000	...
928000	933000	...
933000	938000	...
938000	943000	...
943000	948000	...
948000	953000	...
953000	958000	...
958000	963000	...
963000	968000	...
968000	973000	...
973000	978000	...
978000	983000	...
983000	988000	...
988000	993000	...
993000	998000	...
998000	1003000	...
1003000	1008000	...
1008000	1013000	...
1013000	1018000	...
1018000	1023000	...
1023000	1028000	...
1028000	1033000	...
1033000	1038000	...
1038000	1043000	...
1043000	1048000	...
1048000	1053000	...
1053000	1058000	...
1058000	1063000	...
1063000	1068000	...
1068000	1073000	...
1073000	1078000	...
1078000	1083000	...
1083000	1088000	...
1088000	1093000	...
1093000	1098000	...
1098000	1103000	...
1103000	1108000	...
1108000	1113000	...
1113000	1118000	...
1118000	1123000	...
1123000	1128000	...
1128000	1133000	...
1133000	1138000	...
1138000	1143000	...
1143000	1148000	...
1148000	1153000	...
1153000	1158000	...
1158000	1163000	...
1163000	1168000	...
1168000	1173000	...
1173000	1178000	...
1178000	1183000	...
1183000	1188000	...
1188000	1193000	...
1193000	1198000	...
1198000	1203000	...
1203000	1208000	...
1208000	1213000	...
1213000	1218000	...
1218000	1223000	...
1223000	1228000	...
1228000	1233000	...
1233000	1238000	...
