start	end	text
0	7000	Hello everyone, welcome to today's Tarot Talk.
7000	14000	We are honored to have Pei-Hsueh to give us a talk.
14000	22000	The topic of today's talk has been shown in his introduction video.
22000	32000	Does the deservingness heuristic explain the effect of effort, luck, and need in a redistribution experiment?
32000	42000	Before we start the talk, let me introduce Pei-Hsueh.
42000	47000	Pei-Hsueh is a PhD student from the Department of Political Science at Stony Brook.
47000	54000	His research focuses on the social preferences of people based on experimental methods and computational social science,
54000	58000	and how these preferences affect people's choices in political issues.
58000	66000	Before we start, let's give a warm welcome to Pei-Hsueh for his wonderful talk.
66000	70000	Oh, the microphone is set to be turned off.
70000	74000	If you want Pei-Hsueh to hear the applause, you have to turn on the microphone first.
74000	81000	Let's give a warm round of applause to Pei-Hsueh for his wonderful talk.
81000	84000	Now it's your turn.
84000	91000	This English is a bit awkward, but what I want to talk about today is
91000	98000	how people's preferences affect people's choices in equality and fairness.
98000	108000	I did this research with my advisor, Ruben Klein.
108000	116000	We're almost done, but I plan to do more analysis.
116000	120000	If you have any comments, please feel free to ask.
120000	123000	Let's get started.
123000	128000	First of all, there's a long-standing problem with social scientists.
128000	131000	Do people care about equality?
131000	136000	Many experiments have shown that people do care about equality.
136000	144000	For example, in a dictatorial election, the dictator gets a sum of money.
145000	150000	Even if there's no reason to give their partner any money,
150000	153000	they'll still choose to give a portion.
153000	157000	Even in a non-dictatorial election,
157000	165000	different experiments have shown that people do care about equality.
165000	171000	Scientists have also found that in a non-industrialized society,
171000	176000	people will punish unfair distributors.
176000	180000	So people do care about equality.
180000	187000	If we use a mathematical model to show that people care about equality,
187000	191000	there are several main models.
191000	194000	The first one is called Inequality Aversion.
194000	198000	It was proposed by Feyer and Schmidt in 1999.
198000	202000	Their concept is very straightforward.
202000	209000	Let's say a person's wealth has not changed.
209000	212000	If he has more money than others,
212000	217000	he might feel embarrassed and unhappy.
217000	220000	If he has less money than others,
220000	223000	he might feel even more unhappy.
223000	229000	If he has the same amount of money as others,
229000	234000	he'll be the happiest if his wealth hasn't changed.
234000	238000	For example, if he has more or less money than others,
238000	242000	he'll be happy because of inequality.
242000	246000	It sounds straightforward and doesn't require a mathematical model.
246000	249000	However, it's better to use a mathematical model
249000	254000	to compare parameters and predictions.
254000	263000	The other model is called Inequality Aversion.
263000	267000	It was proposed by Angiolini and Miller in 2002.
267000	270000	The concept is more straightforward.
270000	275000	People care about their happiness and preferences.
275000	277000	It sounds vague.
277000	279000	People care about their preferences.
279000	282000	It sounds like people don't care about themselves,
282000	284000	but care about others.
284000	286000	It's impossible, right?
286000	288000	Most people are not like this.
288000	291000	The basic idea of this model is that
291000	294000	people will consider others' preferences.
294000	297000	No matter what, people will consider others' preferences.
297000	306000	How can we push people to care about equality?
306000	312000	Let me give you an example.
312000	325000	For most of the wealth,
325000	327000	whether it's money or something else,
327000	329000	of course not everything,
329000	335000	but for most of the wealth,
336000	340000	if you add up all the wealth in one unit,
340000	342000	people will reduce the amount.
342000	346000	For example, if I have $100,000,
346000	348000	and I get $100,000,
348000	349000	I will be happy.
349000	351000	But if I have $1 million,
351000	353000	and I get $100,000,
353000	354000	I will still be happy.
354000	359000	But I won't be as happy as when I only have $100,000.
359000	361000	But if I have $100,000,
361000	363000	and I get $100,000,
363000	365000	and I get $100,000,
365000	369000	I might feel that I don't have a good balance,
369000	373000	but I won't be as happy as when I only have $100,000.
373000	376000	In other words,
376000	381000	if someone is already very rich,
381000	383000	and he gets $100,000,
383000	385000	he might be quite happy.
385000	389000	But if this person cares about another person,
389000	391000	no matter how much he cares,
391000	394000	if this $100,000 is for another poor person,
394000	396000	and this person only has $100,000,
396000	398000	and he cares about this person,
398000	401000	then the other person getting $100,000
401000	404000	might bring him more happiness
404000	407000	than getting $100,000 himself.
407000	410000	So assuming that the editor's use of land
410000	413000	and the user's use of other people's use
