start	end	text
0	12000	Our speaker today is Yang Yun-Pu, a Ph.D. student from UCLA's Center in Performance Studies.
12000	21000	Her research interests include East Asian theater research, especially East Asian theater research on Taiwan and China,
21000	26000	as well as gender and physiological gender research and digital culture research.
26000	35000	Her paper is The Eructicism of Peking Opera Functions Over the 20th Century.
35000	39000	She is also a Collegiate University Teaching Fellow
39000	51000	and a Professor of Engaging Gender Performances in East Asian Theater through Digital Storytelling at UCLA's Digital Humanities Program.
51000	56000	She is also the winner of the Professor's Prize in International Academy of Sciences.
56000	67000	She is also a Ph.D. student in the Department of Theater Studies at Taiwan University of the Arts and a Ph.D. student in the Department of Chinese Studies at Taiwan University of the Arts.
67000	75000	Today's topic is Gender Performances, The Eructicism of Peking Opera Functions Over the 20th Century.
75000	78000	Let's welcome Yang Yun-Pu.
78000	80000	Thank you, everyone.
80000	85000	I will now share my first video.
85000	89000	Here it is.
89000	93000	I think everyone can see it now.
93000	97000	My topic is Gender Performances, The Eructicism of Peking Opera Functions Over the 20th Century.
97000	104000	I am currently a Ph.D. candidate, so I am currently writing my paper.
104000	108000	This topic is one of my papers.
108000	114000	In today's presentation, I will divide it into two parts.
114000	122000	In the first part, I will briefly introduce Meng Xiaodong, her performance style, her personal life, and her marriage.
122000	130000	In the second part, I will focus on how the public views Meng Xiaodong.
130000	136000	I will also talk about how the New York Times interpreted Meng Xiaodong from the 1920s to the 1950s.
136000	140000	Meng Xiaodong is a very special actress.
140000	150000	In the U.S., sexual harassment, sexual violence, and death are all very sensitive topics.
150000	152000	So, trigger warning.
152000	160000	Later, we will talk about topics related to sexual harassment, sexual violence, sexual violence, and death.
160000	162000	Everyone should be mentally prepared.
162000	166000	This is Meng Xiaodong, who I will introduce today.
166000	170000	Meng Xiaodong was born in 1908 and passed away in 1977.
170000	176000	If I remember correctly, she was born in Shanghai in 1908.
176000	182000	In 1977, she moved to Taiwan and settled down in Taiwan.
182000	187000	When she passed away, she was buried in a cemetery in Taipei.
