start	end	text
0	8000	In today's talk, we have Tao Yizhe.
8000	12000	His topic is Taiwan bilingual policy and education review.
12000	17000	The speaker is a teacher with physical education, health education, and English teacher certificate.
17000	21000	He has studied in the US, Europe, the Ministry of Education, and the University of Queensland, Australia.
21000	25000	His research interests include professional development, education, and sports-related issues.
25000	29000	His doctoral research topics include language learning, cross-cultural communication,
29000	32000	how to find language learning experience,
32000	34000	long-term bilingual education experience,
34000	37000	and the participation and observation of Taiwan education and society in recent years.
37000	46000	It is the first time in the country that a bilingual policy and education review can have a deep understanding of macroeconomic analysis.
46000	51000	According to our TARA tradition, we will turn on the microphone to welcome the speaker.
51000	52000	Are you ready?
52000	56000	If you are ready, let's give him a round of applause.
61000	63000	Thank you.
63000	69000	Are these guests in Taiwan or in the US?
69000	74000	Can I know the background of the audience?
74000	76000	I am in the US.
77000	78000	Dr. Chen Tian-Yuan.
78000	80000	What about the others?
80000	88000	Can you turn on the microphone?
92000	96000	I don't know why you are here.
96000	98000	But I will start now.
99000	102000	I thought it was yesterday.
102000	108000	The time you sent me seems to be yesterday.
108000	112000	I didn't schedule anything yesterday.
112000	119000	So, I may not be here for a long time.
119000	122000	If I have a chance, I will share it with you.
128000	134000	I am a teacher in high school.
134000	137000	I am in the second year of Zheng University.
137000	145000	I am also a professor in the Center for Calculus in Zheng University.
145000	147000	I teach calculus.
147000	152000	As you can see in my resume,
152000	160000	I have worked with a lot of organizations.
160000	165000	Let's get back to my background.
165000	168000	I am a senior student.
168000	169000	I majored in PE.
169000	172000	But I like English.
172000	178000	I took the English exam in high school.
178000	182000	When I was in college, I wanted to major in English.
182000	184000	So, I took the English exam.
184000	186000	I don't need to take the exam now.
186000	188000	I just need to apply for the exam.
188000	193000	So, I got my license after graduation.
193000	198000	There are not many PE majors in China.
198000	200000	I also have an English license.
200000	208000	English helped me a lot.
208000	212000	So, I may share it later.
212000	219000	I hope to observe and comment on the state of Chinese in China.
219000	223000	But I still have some ideas.
223000	226000	This is related to my learning experience.
226000	228000	When I was learning English,
228000	231000	my English teacher had little influence on me.
231000	233000	We all learn by ourselves.
233000	237000	The point of self-study is that
237000	242000	the Ministry of Education has been talking about the direction of education.
242000	246000	I learn English not for the exam.
246000	255000	So, I started to apply English in my daily life in middle school.
255000	257000	So, this is how I do it.
257000	259000	When I went to school,
259000	264000	I would ask my classmates to try to interact with me in English.
264000	266000	At that time,
266000	269000	I was 46 years old.
269000	271000	When I was in my teens,
271000	274000	it was hard to take the college entrance exam.
274000	277000	It was not easy to take the exam at that time.
277000	280000	It was too late to prepare for the exam.
280000	288000	It was hard to speak English,
288000	290000	listen to English music,
290000	292000	and check the English list.
292000	294000	However, this kind of learning experience
294000	296000	was helpful for the exam.
296000	298000	So, it also influenced
298000	300000	my objective view of the current topic,
300000	306000	the policy of bilingualism.
306000	308000	Anyway,
308000	316000	I got the scholarship from the Ministry of Education.
316000	320000	Then, I chose the Human Movement Studies
320000	322000	at the University of Queensland, Australia
322000	324000	as my major to study
324000	328000	in the Department of Science and Regional Studies.
328000	330000	At that time,
330000	333000	my research was focused on...
333000	335000	As I was studying in the Department of Science and Regional Studies,
335000	337000	I got the scholarship from
337000	343000	Sports Coaching and Training.
343000	346000	It was focused on the direction of natural science.
346000	349000	That was the general trend in Taiwan.
349000	351000	However, when I went to Australia,
351000	353000	I followed my teachers.
353000	355000	They went to areas like
355000	357000	Sports Psychology, Sports Education,
357000	359000	Sports Society,
359000	363000	and the disciplinary area.
363000	365000	Therefore, my doctoral thesis
365000	369000	was focused on direct research.
369000	371000	I studied the topic
371000	373000	of a local organization
373000	377000	representing the Olympic Games.
377000	379000	The key word is
379000	383000	Workplace Learning.
383000	385000	Workplace Learning is an area
385000	387000	that I use.
387000	389000	I studied the professional talents
389000	391000	in the area
391000	393000	and how to develop professionally.
393000	395000	The Olympic team I chose
395000	397000	was actually
397000	399000	the Olympic diving team.
399000	401000	If you go to Australia in 2000,
401000	403000	you can get a gold medal
403000	405000	for diving in a row.
405000	407000	If you have a certain understanding
407000	409000	of sports,
409000	411000	you know that diving is usually
411000	413000	dominated by China.
413000	415000	Why did Australia get a gold medal
415000	417000	for diving in a row?
417000	419000	Because they hired
419000	421000	foreign coaches.
421000	423000	Especially,
423000	425000	Chinese elite coaches.
425000	427000	Therefore, my research topic
427000	429000	was to study how these people
429000	431000	learn and develop
431000	433000	through cultural exchange.
433000	435000	Of course, the focus
435000	437000	was mainly on the coach himself.
437000	439000	For example, how did he get
439000	441000	his professional skills?
441000	443000	Of course, it has to do with his
443000	445000	professional experience or
445000	447000	where he has taught.
447000	449000	However, there is an important point
449000	451000	about their cross-cultural communication.
451000	453000	In other words,
453000	455000	their language,
455000	457000	because the requirements in Australia
457000	459000	are different from Taiwan.
459000	461000	Foreigners go there
461000	463000	to learn
463000	465000	in their official language.
465000	467000	For example, in Taiwan,
467000	469000	if you know,
469000	471000	like Howard,
471000	473000	but we still send
473000	475000	translators for him.
475000	477000	This is the difference in nationality.
477000	479000	However, in Australia,
479000	481000	no matter where you work,
481000	483000	even if you are a chef,
483000	485000	or a professional,
485000	487000	you have to use
487000	489000	their official language to communicate.
489000	491000	Therefore, this is a challenge
491000	493000	for foreign coaches,
493000	495000	especially for non-English-speaking countries.
495000	497000	Therefore, my research topic
497000	499000	was to ask them how they learned
499000	501000	their language.
501000	503000	In this process,
503000	505000	I integrated my own
505000	507000	master's training,
507000	509000	personal interest in long-term English,
509000	511000	and the training
511000	513000	in my research.
513000	515000	Therefore,
515000	517000	I have this part
517000	519000	of my language policy.
519000	521000	The most important thing is that
521000	523000	in fact, in the country of 2030,
523000	525000	or the policy of 2030,
525000	527000	before it started in 2017,
527000	529000	I had been teaching
529000	531000	for more than 15 years.
531000	533000	In 2000,
533000	535000	when I was working
535000	537000	in a school,
537000	539000	or when I was
539000	541000	a teacher,
541000	543000	I was actually
543000	545000	trying to teach
545000	547000	all-English or
547000	549000	sign language sports.
549000	551000	Therefore,
551000	553000	I have 15 years of experience in this area.
553000	555000	Because of this situation,
555000	557000	I have become
557000	559000	a problem for many
559000	561000	domestic
561000	563000	frontline workers,
563000	565000	teaching staff,
565000	567000	or those who
567000	569000	criticize
569000	571000	the policy.
571000	573000	I have no problem with
573000	575000	this.
575000	577000	However,
577000	579000	in theory,
579000	581000	I may not be able to
581000	583000	implement the framework
583000	585000	of English.
585000	587000	Therefore,
587000	589000	I have to learn
589000	591000	not only from
591000	593000	the experience of
593000	595000	ethics,
595000	597000	but also from
597000	599000	the experience of
599000	601000	science.
601000	603000	Therefore,
603000	605000	in addition to my
605000	607000	major,
607000	609000	I have been
609000	611000	teaching
611000	613000	for more than
613000	615000	15 years.
615000	617000	This is also
617000	619000	a major
619000	621000	interest of mine.
621000	623000	This is also
623000	625000	a major
625000	627000	interest of mine.
627000	629000	This is also
629000	631000	a major
631000	633000	interest of mine.
633000	635000	In addition to
635000	637000	studying in Australia,
637000	639000	I went to
639000	641000	the United States.
641000	643000	Before I went to
643000	645000	the United States,
645000	647000	although the English
647000	649000	I learned in Taiwan
649000	651000	was not typical,
651000	653000	I still found
653000	655000	some differences.
655000	657000	For example,
657000	659000	their everyday English
659000	661000	was different from
661000	663000	our training.
663000	665000	This made me
665000	667000	think about
667000	669000	what I should do
669000	671000	to improve my English.
671000	673000	For example,
673000	675000	when I traveled to
675000	677000	Europe,
677000	679000	I went to
679000	681000	the International
681000	683000	Olympic Youth Conference
683000	685000	in Greece.
685000	687000	I noticed that
687000	689000	the official language
689000	691000	was English.
691000	693000	I noticed that
693000	695000	the official language
695000	697000	was English.
697000	699000	We're the
699000	701000	scholars of Taiwan,
701000	703000	Japan, and Korea.
703000	705000	We're all based in LGBTQI community.
705000	707000	But I was the
707000	709000	moderator of
709000	711000	the Japanese and Korean
711000	713000	oral posters yesterday,
713000	715000	which means I am the host of them.
715000	717000	But I was the moderator of
717000	719000	the Japanese and Korean
719000	721000	oral posters yesterday,
721000	723000	which means I am the host of them.
723000	725000	I have a good feeling about the details
725000	727000	of the post.
727000	729000	I have a solution, of course.
729000	731000	So, today I'm going to
731000	733000	talk about a few
733000	735000	key issues.
735000	737000	And how far
737000	739000	the research has gone.
739000	741000	Let's see if we can interact.
741000	743000	This chart
743000	745000	shows
745000	747000	my language learning.
747000	749000	I'm learning
749000	751000	PopFish,
751000	753000	and I'm using
753000	755000	language in my daily life.
755000	757000	I'm using language in my daily life.
757000	759000	That's about it.
759000	761000	That's about it.
761000	763000	That's about it.
763000	765000	As I mentioned earlier,
765000	767000	As I mentioned earlier,
767000	769000	if you're interested,
769000	771000	if you're interested,
771000	773000	if you're interested,
773000	775000	you can google my name.
775000	777000	You'll find
777000	779000	many comments
779000	781000	and articles.
781000	783000	and articles.
783000	785000	Besides my book,
785000	787000	I have many other articles.
787000	789000	If you're interested,
789000	791000	you'll find
791000	793000	many articles
793000	795000	and articles
795000	797000	and articles
797000	799000	and articles
799000	801000	and articles
801000	803000	and articles
803000	805000	and articles
805000	807000	and articles
807000	809000	and articles
809000	811000	and articles
811000	813000	and articles
813000	815000	and articles
815000	817000	and articles
817000	819000	and articles
819000	821000	and articles
821000	823000	and articles
823000	827000	and articles
827000	829000	and articles
829000	831000	and articles
831000	833000	and articles
833000	835000	and articles
865000	867000	and articles
867000	869000	and articles
869000	871000	and articles
871000	873000	and articles
873000	875000	and articles
875000	877000	and articles
877000	879000	and articles
879000	881000	and articles
881000	883000	and articles
883000	885000	and articles
885000	887000	and articles
887000	889000	and articles
889000	891000	and articles
891000	893000	and articles
893000	895000	and articles
895000	897000	and articles
897000	899000	Chinese
899000	901000	Chinese
901000	903000	Chinese
903000	905000	Chinese
905000	907000	Chinese
907000	909000	Chinese
909000	910000	Chinese
910000	912000	Chinese
912000	914000	Chinese
914000	916000	Chinese
916000	918000	Chinese
918000	920000	Chinese
920000	922000	Chinese
922000	924000	In my opinion
924000	926000	Shuang Yu should
926000	928000	go further
928000	930000	rather than
930000	932000	looking for
932000	934000	so-called
934000	936000	non-exams
936000	938000	subjects
938000	940000	like sports, art, music
940000	942000	and so on
942000	944000	He is still learning
944000	946000	Chinese math
946000	948000	calculus
948000	950000	biology
950000	952000	and so on
952000	954000	When it comes to sports
954000	956000	he suddenly changes to bilingual mode
956000	958000	This is a
958000	960000	very interesting question
960000	962000	If you look at it
962000	964000	from many perspectives
966000	968000	In Taiwan
968000	970000	Shuang Yu
972000	974000	has a...
974000	976000	Let's take a look at this chart
976000	978000	Why is there so much discussion
978000	980000	in Taiwan
980000	982000	so far?
982000	984000	There are basically three reasons
986000	988000	Three perspectives
988000	990000	The first one is
990000	992000	a mess
994000	996000	To be honest
996000	998000	Shuang Yu is obviously
998000	1000000	going to drop out of school
1000000	1002000	Taipei City
1002000	1004000	will announce 100%
1004000	1006000	Shuang Yu will drop out of
1006000	1008000	high school
1008000	1010000	In fact, they are also
1010000	1012000	moving in this direction
1012000	1014000	All schools in Taiwan
1014000	1016000	have been
1016000	1018000	looking for
1018000	1020000	Shuang Yu program
1020000	1022000	Shuang Yu teaching
1022000	1024000	or Shuang Yu class
1024000	1026000	including high-level EMI
1026000	1028000	So if you happen to be
1028000	1030000	in the United States
1030000	1032000	studying
1032000	1034000	In fact, before 2013
1034000	1036000	you were relatively smart
1036000	1038000	Because you
1038000	1040000	People believe you can
1040000	1042000	EMI
1042000	1044000	That is, you can teach in full English
1044000	1046000	But we
1046000	1048000	are from the same city
1048000	1050000	But more teachers
1050000	1052000	educate
1052000	1054000	and learn
1054000	1056000	acquire their teaching experience
1056000	1058000	locally in Taiwan
1058000	1060000	So their Shuang Yu policy
1060000	1062000	There is no way
1062000	1064000	So in this situation
1064000	1066000	what I said
1066000	1068000	Three kinds
1068000	1070000	One is a teacher
1070000	1072000	will say this policy
1072000	1074000	Just kidding
1074000	1076000	Opposed
1076000	1078000	The second is like us
1078000	1080000	Because we think about its benefits
1082000	1084000	You get a lot of benefits
1084000	1086000	of these people
1086000	1088000	Or you have seen
1088000	1090000	That is,
1090000	1092000	English can really
1092000	1094000	lead us
1094000	1096000	At least we can
1096000	1098000	quickly push ourselves
1098000	1100000	or learn foreign things
1100000	1102000	This is what we think is good
1102000	1104000	So YES
1104000	1106000	In the middle, he did not understand
1106000	1108000	He just like Wu Bing
1108000	1110000	will drift
1110000	1112000	In this case, you will find
1112000	1114000	that all policies are the same
1114000	1116000	He just voted
1116000	1118000	I just finished voting last week
1118000	1120000	YES, I vote for you
1120000	1122000	Or NO, I vote for you
1122000	1124000	All the same
1124000	1126000	So I may
1126000	1128000	talk about this first
1128000	1130000	The first question
1130000	1132000	In the end, Shuang Yu country
1134000	1136000	What are you doing
1136000	1138000	Shuang Yu policy
1138000	1140000	This
1140000	1142000	He is not in 2017
1142000	1144000	He is in 2000
1144000	1146000	He is a think tank
1146000	1148000	in Hainan
1148000	1150000	You go to read that
1150000	1152000	Taiwan's English policy
1152000	1154000	In addition to our traditional understanding
1154000	1156000	English teaching
1156000	1158000	Taiwan's English teaching
1158000	1160000	I think it is quite successful
1160000	1162000	It should be said that the so-called success is
1162000	1164000	We
1164000	1166000	Our
1166000	1168000	English is at least better than Japan and Korea
1168000	1170000	At least better than Japan
1170000	1172000	I don't know why
1172000	1174000	Maybe because
