start	end	text
0	7500	From now on, we'll move on to the recording part.
7500	12000	We'll put this speech on YouTube as well.
12000	14500	Please go there to replay it.
14500	19500	Ding, please share your screen.
19500	22500	Okay, before I share my screen,
22500	24500	let me tell you who I am.
24500	25500	I'm Chen Dingwen.
25500	27000	Thank you for the introduction.
27000	31500	I'm Dingwen Zhang, also known as Chen Dingwen.
31500	36000	I'm a post-doctoral researcher at the University of Göttingen in Germany.
36000	40000	I think TARA is an interesting organization.
40000	43000	I like its purpose and purpose.
43000	46000	It's to help young people in Taiwan
46000	49000	and young scholars to have a platform
49000	51500	where we can communicate with each other
51500	53500	and get to know what everyone is busy with
53500	56500	and what research they're doing.
56500	59500	Why do I know about TARA?
59500	62000	It's because I saw it on Facebook.
62000	63500	I don't know why, but one day,
63500	65000	this ad popped up and I thought,
65000	68000	is this a young scholar from Taiwan?
68000	70500	It's T-Y-R-A.
70500	73500	A is association, R is researcher.
73500	76000	T-Y-Y is what?
76000	77500	Young scientist?
77500	78500	Young researcher.
78500	80000	Y is young.
80000	82000	T is Taiwan.
82000	84500	I thought, as a young scholar from Taiwan,
84500	88500	I should join a group like this.
88500	90500	When I was a kid,
90500	95000	I spent most of my high school and college years in Taiwan.
95000	97000	I only had the chance to do research in Europe
97000	99000	when I was a doctor.
99000	102500	To me, TARA is a whole new world.
102500	105000	I know that most of TARA's members
105000	107000	are from the U.S.
107000	110000	I wanted to meet friends from the U.S.
110000	114000	to see if they were doing ecological research like me
114000	117500	or if they were interested in soil,
117500	120000	or if they were doing research on evolution.
120000	121500	I really wanted to meet these people,
121500	124500	so I joined this group and joined their activities.
124500	128000	For example, they have a teacher-student program.
128000	133500	In this program, they help young people in Taiwan
133500	137500	and those of us who have gone abroad to study.
137500	141500	We help them on their way to study abroad,
141500	144000	so that they can make a difference.
144000	147000	We can also share with them
147000	150000	what we have learned and experienced
150000	153000	during our journey of studying abroad.
153000	156000	So that they don't go down the wrong path
156000	158000	or find a better way
158000	161000	to explore their future career development.
161000	162000	OK.
162000	165000	This is a brief introduction to TARA.
165000	168000	I'm going to start my speech.
168500	170500	I don't want to make this
170500	174500	a formal and serious presentation.
174500	177500	If you have any questions
177500	180500	during my presentation,
180500	182500	you can ask me anytime.
182500	183500	Of course, I know that
183500	185500	there may not be any formal questions.
185500	187500	I also have a small request.
187500	189500	If you don't mind,
189500	191500	could you please turn on your camera
191500	193500	so that I can see your faces?
193500	194500	OK.
195000	196000	If you don't mind,
196000	198000	could you please turn on your camera
198000	200000	so that I can see your faces?
200000	202000	I want to know if you find this part
202000	204000	particularly difficult to understand,
204000	206000	or if you find this part particularly boring,
206000	208000	or if you find this part particularly interesting.
208000	210000	I can explain further.
210000	212000	If you don't mind,
212000	214000	could you please turn on your camera
214000	216000	so that I can see your faces?
216000	217000	OK.
217000	219000	I'm going to start my speech.
219000	221000	First, I'm going to share my screen.
221500	223500	I'm going to try to
223500	225500	I'm going to try to
225500	227500	make good use of my time.
227500	229500	I know that we only have one hour today.
229500	231500	What do you see now?
231500	233500	Do you see
233500	235500	the screen that I'm sharing?
235500	237500	Lin, do you see the screen
237500	239500	that I'm sharing?
239500	241500	Lin, do you see the screen
241500	243500	that I'm sharing?
243500	245500	Lin, do you see the screen
245500	247500	that I'm sharing?
247500	249500	OK.
250000	252000	What you see now is
252000	254000	the structure of the root of the plant
254000	256000	under the ground.
256000	258000	When you zoom in,
258000	260000	what do you see?
260000	262000	Have you ever thought about this question?
262000	264000	Are there any creatures
264000	266000	that we don't know
266000	268000	or haven't seen?
268000	270000	I'm a soil ecologist.
270000	272000	I'm particularly interested
272000	274000	in the evolution of
274000	276000	soil animals.
276000	278000	At the same time,
278500	280500	I'm a mentor.
280500	282500	I'm a mentor.
282500	284500	I joined Taira's
284500	286500	mentor project.
286500	288500	I also teach some college students,
288500	290500	even PhD students.
290500	292500	I'm also a podcaster.
292500	294500	I'm actually running a podcast
294500	296500	in 2020.
