start	end	text
0	9000	Today is October 8th, 2022, Taira Talk.
9000	13000	The speaker we invited today is Ms. Zheng Huaijie.
13000	16000	The topic she will talk about is
16000	19000	Jupiter Hub, a mini studio,
19000	22000	an open science cloud base.
22000	29000	Let me briefly introduce Huaijie's background.
29000	39000	In 2010 and 2013, Huaijie obtained a master's and a master's degree in Taiwan University.
39000	44000	In 2015, she went to Cornell University
44000	50000	for a PhD in Earth and Atmospheric Science.
50000	59000	In 2021, Huaijie joined a research team at the University of California, Berkeley.
59000	63000	She is now working as a post-PhD researcher
63000	69000	on the Jupiter-Meet-the-Earth project.
70000	79000	Today, Huaijie will teach us about Jupiter Hub.
79000	86000	She also mentioned that you don't need any background knowledge or program design skills to participate in this talk.
86000	91000	However, if you want to store Jupiter resources at the same time during the talk,
91000	95000	you must prepare a Google or Microsoft account.
95000	100000	Please prepare for the third part of the talk.
100000	103000	That's all for my introduction.
103000	105000	Let's give the floor to Huaijie.
105000	107000	Thank you, Shi-An.
107000	109000	Thank you for your introduction.
109000	118000	It's an honor to be able to invite Tara to give a talk.
118000	121000	My last talk was in January this year.
121000	128000	I would like to share with you what I am doing at UC Berkeley.
128000	138000	Instead of sharing, I would like to focus on Jupiter Hub.
139000	148000	I would like to share with you what Jupiter Hub is
148000	152000	and why we call it the cloud base of open science.
152000	158000	How it can transform our practice of open science.
163000	164000	Let's get started.
165000	174000	I would like to share with you what I am doing at the moment.
174000	176000	I would like to add a little bit.
176000	181000	My field of expertise is earth science.
181000	184000	To be more precise, I am studying earth physics,
184000	185000	rock science,
185000	186000	meteorology,
186000	187000	and astrophysics.
188000	191000	What I am doing at the moment is
191000	194000	using a lot of satellite data
194000	196000	and model analysis
196000	200000	to monitor and understand the changes in ice and snow.
200000	201000	For example,
201000	204000	you can see a satellite here.
204000	206000	It orbits the earth
206000	209000	and emits green light.
209000	211000	When it hits the ground,
211000	214000	the satellite will receive the reflected light.
215000	218000	Based on the reflected light,
218000	222000	we can calculate the distance between the satellite and the earth,
222000	225000	and convert it to the height of the earth.
225000	231000	If we can do this repeatedly for an ice cube,
231000	234000	we can get an ice cube
234000	236000	with the time passing by,
236000	237000	the height of the surface,
237000	239000	or the thickness of the ice.
240000	243000	Then we use some physical models
243000	245000	to analyze
245000	247000	the factors
247000	250000	that affect the thickness of the ice cube.
250000	252000	It sounds cool,
252000	254000	and I like it.
254000	257000	However, most of the academic activities
257000	259000	that I am doing now
259000	262000	are similar to what you are doing.
262000	264000	We need to study
264000	267000	and explain our research
267000	269000	to others,
269000	271000	including colleagues
271000	273000	and people
273000	277000	in different fields.
277000	280000	In addition to research,
280000	283000	we also have teaching activities
283000	285000	where we write software
285000	287000	for others.
287000	289000	I have done some of these.
289000	291000	Here are some pictures
291000	293000	of what I have done
293000	295000	in the past few years,
295000	297000	including developing a software
297000	299000	called KARS.
299000	301000	I also wrote a website
301000	304000	called GMT Tutorials.
304000	305000	In short,
305000	307000	I teach others
307000	309000	how to draw pictures
309000	311000	using GMT software.
311000	313000	The picture in the lower right corner
313000	315000	is from a paper
315000	319000	I published in 2019.
319000	321000	At that time,
321000	323000	I discussed with the paper publisher
323000	325000	how to make some materials
325000	327000	that can be more efficient
327000	329000	and faster
329000	331000	to convey
331000	333000	some new knowledge
333000	335000	of the paper
335000	337000	and make it
337000	339000	into a news article.
343000	345000	Back to our topic today,
345000	347000	we are going to talk about JupyterHub.
347000	349000	How can we change
349000	351000	the academic activities
351000	353000	we do every day?
353000	355000	Before we talk about JupyterHub,
355000	357000	let's talk about
357000	359000	the concept of Jupyter.
359000	361000	If I were to explain
361000	363000	what Jupyter is,
363000	365000	I would say that
365000	367000	Jupyter is an open
367000	369000	data science...
369000	371000	Sorry. Jupyter is an ecosystem
371000	373000	composed of open data science tools
373000	375000	and a community
375000	377000	of open data scientists.
377000	379000	There might be some professional terminology here,
379000	381000	so I'll explain a little more.
381000	383000	The so-called tools here mean
383000	385000	that if you want to complete
385000	387000	a task,
387000	389000	the tools you use...
389000	391000	For example,
391000	393000	Photoshop
393000	395000	is a tool
395000	397000	for video editing.
397000	399000	Matplotlib
399000	401000	is a tool
401000	403000	used in Python
403000	405000	for scientific mapping.
405000	407000	Something like that.
407000	409000	As for the word
409000	411000	open,
411000	413000	it's a little vague.
413000	415000	To be honest,
415000	417000	many different aspects
417000	419000	are considered to be open.
419000	421000	For example,
421000	423000	it can refer to the tools you use.
423000	425000	The source code
425000	427000	may be public,
427000	429000	and anyone can modify it.
429000	431000	On the other hand,
431000	433000	the way you collaborate
433000	435000	allows as many people
435000	437000	as possible to participate
437000	439000	and contribute and discuss.
439000	441000	Anyway,
441000	443000	the core concept of
443000	445000	the word open
445000	447000	is
447000	449000	not to be excluded,
449000	451000	but to allow as many people
451000	453000	as possible to participate
453000	455000	in what you are doing now.
455000	457000	So we have a lot of tools.
457000	459000	Some tools are software,
459000	461000	some tools are hardware,
461000	463000	and some tools
463000	465000	are used to describe
465000	467000	how software and hardware
467000	469000	interact with each other.
473000	475000	These tools are different
475000	477000	from other tools.
477000	479000	Think about it.
479000	481000	If you put a tool under a tool,
481000	483000	a screwdriver may be used to lock the screw,
483000	485000	and a crowbar may be used
485000	487000	to twist the wire.
487000	489000	These tools are independent.
489000	491000	In data science,
491000	493000	the so-called tools
493000	495000	often rely on each other.
495000	497000	For example,
497000	499000	if you want to use Matplotlib today,
499000	501000	you have to install Python first.
501000	503000	After installing Python,
503000	505000	you can install Matplotlib,
505000	507000	and it will work.
507000	509000	If you draw the interdependence
509000	511000	between different tools,
511000	513000	you will see a picture
513000	515000	that looks like a network,
515000	517000	or a food chain.
517000	519000	So we tend to
519000	521000	call the interdependence
521000	523000	between tools
523000	525000	and their interdependence
525000	527000	an ecosystem.
527000	529000	An ecosystem like Jupyter
529000	531000	is not very old.
531000	533000	The concept of open science
533000	535000	has only appeared
535000	537000	for about 20 years
537000	539000	so far.
539000	541000	You may feel shorter.
541000	543000	In the first ten years,
543000	545000	it was in the early stages.
545000	547000	Not many people
547000	549000	were completely exposed
549000	551000	to this concept.
551000	553000	One of the most likely
553000	555000	time to accept this exposure
555000	557000	is 2015.
557000	559000	At that time,
559000	561000	Lego released
561000	563000	the first gravity wave observation
563000	565000	in human history.
565000	567000	It shocked the world.
567000	569000	They won the Nobel Prize
569000	571000	in 2017 or 2018.
573000	575000	Lego
575000	577000	did more than
577000	579000	this.
579000	581000	Of course,
581000	583000	they are very good
583000	585000	at writing articles
585000	587000	and building observatories.
587000	589000	But they also have
589000	591000	an open science department.
591000	593000	This department
593000	595000	has compiled all the data
595000	597000	about the gravity wave observation
597000	599000	and posted it on the Internet.
599000	601000	Everyone can
601000	603000	go to their website
603000	605000	and click on their link.
605000	607000	You can re-execute the code
