start	end	text
0	4000	Can you see it now?
4000	6000	Yes.
6000	8000	OK.
8000	10000	Hello, everyone.
10000	12000	I'm John Yu-nan.
12000	14000	You can call me Alan.
14000	16000	I'm a Ph.D. student at Rice University.
16000	20000	I'm studying computer science.
20000	22000	I'm in my second year.
22000	24000	I'm doing research on
24000	30000	interpretable machinery
30000	34000	or explainable artificial intelligence.
34000	38000	My goal is to explain
38000	40000	why this machine learning model
40000	42000	can make such predictions.
42000	44000	I want to explain
44000	46000	and convince people
46000	48000	that this prediction result
48000	52000	is not random.
52000	54000	OK.
54000	56000	Let me introduce myself.
56000	58000	I used to study in Taiwan.
58000	60000	I'm a master's student.
60000	62000	I used to work in
62000	64000	a recommendation system.
64000	66000	If you have questions
66000	68000	about the recommendation system,
68000	70000	you can ask me.
70000	72000	I'll try to answer them.
72000	74000	OK.
74000	76000	I studied math in college.
76000	78000	Before I graduated from
78000	80000	my senior year,
80000	82000	I didn't know how to code.
82000	84000	I didn't even understand
84000	86000	a line of code.
86000	88000	I want to encourage
88000	90000	those who still want to code
90000	92000	not to give up.
92000	94000	Everyone has a chance.
94000	96000	Keep working hard.
96000	98000	Everyone has a chance
98000	100000	to do this.
100000	102000	OK.
102000	104000	Today,
104000	106000	OK.
106000	108000	I'm going to talk about
108000	110000	I just want to say
110000	112000	it's too inspirational at the beginning.
112000	114000	Anyway,
114000	116000	I'm not a master today.
116000	118000	I'm just an ordinary
118000	120000	sophomore PhD student.
120000	122000	If you want to interrupt me,
122000	124000	just turn on your microphone
124000	126000	and interrupt me.
126000	128000	OK.
128000	130000	Let's get started.
130000	132000	OK.
132000	134000	Today's outline
134000	136000	focuses on four points.
136000	138000	First,
138000	140000	explainable artificial intelligence.
140000	142000	Next,
142000	144000	explainable machine learning.
144000	146000	Next,
146000	148000	explainable machine learning.
148000	150000	There are two types of machine learning.
150000	152000	First,
152000	154000	explainable machine learning.
154000	156000	For example,
156000	158000	you may have heard of
158000	160000	decision tree.
160000	162000	In decision tree,
162000	164000	we can see
164000	166000	the model itself
166000	168000	is explainable.
168000	170000	is explainable.
170000	172000	The other type is
172000	174000	neural network.
174000	176000	The other type is
176000	178000	deep neural network.
178000	180000	It's fully connected.
180000	182000	It's fully connected.
182000	184000	It's a black box model.
184000	186000	It's not explainable.
186000	188000	You don't know
188000	190000	the learning weight.
190000	192000	You don't know the learning weight.
192000	194000	You don't know the learning weight.
194000	196000	You don't know the learning weight.
196000	198000	So,
198000	200000	we need an explanation
200000	202000	after learning the model.
202000	204000	After learning the model,
204000	206000	we need to learn
206000	208000	an explanation model
208000	210000	to explain the model.
210000	212000	This type of learning method
212000	214000	is called post hoc.
214000	216000	post hoc is after prediction process.
216000	218000	OK.
218000	220000	After this,
220000	222000	I'm going to talk about
222000	224000	the application of XAI.
224000	226000	If you are not a computer science
226000	228000	background,
228000	230000	you may wonder
230000	232000	what's the use of XAI.
232000	234000	I'm going to talk about
234000	236000	the open source package
236000	238000	to make an explainable model.
238000	240000	to make an explainable model.
240000	242000	Now, everyone uses Python.
242000	244000	I'm going to talk about
244000	246000	two open source packages.
246000	248000	I'm going to tell you
248000	250000	what is XAI.
250000	252000	XAI is not an unimaginable thing.
252000	254000	If you have a prediction model,
254000	256000	and you want to make it explainable,
256000	258000	everyone has a chance
258000	260000	to step into this field.
260000	262000	OK.
262000	264000	Now,
264000	266000	I'm going to talk about
266000	268000	what is XAI.
268000	270000	Artificial intelligence
270000	272000	has many applications
272000	274000	in our daily life.
274000	276000	For example,
276000	278000	deep mind
278000	280000	has created AlphaGo
280000	282000	to play Go.
282000	284000	It can scare
284000	286000	human experts.
286000	288000	Yes.
288000	290000	A while ago,
290000	292000	deep mind gave
292000	294000	AlphaTensor and
294000	296000	AlphaProtein.
296000	298000	In fact,
298000	300000	they are for reinforcement learning.
300000	302000	They are for
302000	304000	reinforcement learning.
304000	306000	They can be applied
306000	308000	in daily life.
308000	310000	For example,
310000	312000	medical diagnosis.
312000	314000	For example,
314000	316000	I give you an X-ray,
316000	318000	and you hope the machine learning model
318000	320000	can tell if you have a brain tumor.
320000	322000	Then it will tell you
322000	324000	if you have a brain tumor.
324000	326000	Or you can tell
326000	328000	the machine learning model
328000	330000	if you have a cough
330000	332000	or symptoms.
332000	334000	Tesla Autopilot
334000	336000	is an
336000	338000	autonomous vehicle.
338000	340000	It will not detect
340000	342000	any object.
342000	344000	It will give you the best way
344000	346000	to drive the car.
346000	348000	Next is voice recognition.
348000	350000	For example, Alexa.
350000	352000	I don't know if you have used
352000	354000	a smart speaker.
354000	356000	When you speak to the speaker,
356000	358000	it will detect your voice
358000	360000	and convert it
360000	362000	to English.
362000	364000	Then it will
364000	366000	request the service
366000	368000	from the online server.
368000	370000	Recently,
370000	372000	there is a popular
372000	374000	speech-to-speech
374000	376000	in Meta.
376000	378000	This kind of
378000	380000	AI application
380000	382000	is becoming more and more common.
382000	384000	It is hard for us
384000	386000	to know why
386000	388000	these models make these judgments.
388000	390000	For example,
390000	392000	if you go to a doctor
392000	394000	and he presented a
394000	396000	medical diagnosis model.
396000	398000	You input all your symptoms
398000	400000	into this model.
400000	402000	He will say,
402000	404000	you just have a cold today.
404000	406000	Why do you make this judgment?
406000	408000	Or if Tesla gives you
408000	410000	the best
410000	412000	autonomous driving
412000	414000	route plan,
414000	416000	do you really think
416000	418000	he won't be in trouble?
418000	420000	In this decision-making process,
420000	422000	if you can provide
422000	424000	what features
424000	426000	this model learned today,
426000	428000	or if it senses
428000	430000	a pedestrian passing by
430000	432000	and stops,
432000	434000	or if it detects a green light
434000	436000	in front of it.
436000	438000	If this kind of
438000	440000	why process is provided to users,
440000	442000	it can actually
442000	444000	increase people's
444000	446000	credibility in
446000	448000	machine learning models.
448000	450000	So,
450000	452000	the whole XAI
452000	454000	is actually doing one thing.
454000	456000	It wants to provide
456000	458000	a reasonable reason to users.
458000	460000	For example,
460000	462000	what features did this model learn?
462000	464000	Or what did this model see?
464000	466000	Or did this model learn
466000	468000	two or three features
468000	470000	that led me to make
470000	472000	this prediction result?
472000	474000	XAI is improving
474000	476000	this process.
476000	478000	For example,
478000	480000	this autopilot on the left.
480000	482000	What does XAI want to do?
482000	484000	We actually want to provide
484000	486000	why this autopilot
486000	488000	will give you
488000	490000	a safe route plan.
490000	492000	So, you have to tell users
492000	494000	that because my model
494000	496000	detects people,
496000	498000	my model detects
498000	500000	no cars within 50 meters.
500000	502000	For example,
502000	504000	the medical diagnosis
504000	506000	on the right.
506000	508000	The medical diagnosis
508000	510000	is like
510000	512000	persuading a doctor
512000	514000	or a patient
514000	516000	that because I
516000	518000	see a tumor
518000	520000	in the X-ray of your brain,
520000	522000	I frame it,
522000	524000	so I judge your brain tumor.
524000	526000	This action
526000	528000	doesn't seem
528000	530000	so necessary
530000	532000	in the whole
532000	534000	prediction process.
534000	536000	But if you provide
536000	538000	this step to users,
538000	540000	why this step,
540000	542000	users will feel
542000	544000	very confident
544000	546000	about your decision
546000	548000	model.
548000	550000	Of course, there are many applications
550000	552000	that I haven't mentioned,
552000	554000	such as stock market trading.
554000	556000	For example, if you buy
556000	558000	a stock,
558000	560000	the price of the stock
560000	562000	has already fallen
562000	564000	to the point of fracture.
564000	566000	If you sell the stock,
566000	568000	the price will not
568000	570000	fall below $100.
570000	572000	If the model is wrong,
572000	574000	it will ask you to sell it
574000	576000	because the price of the stock
576000	578000	may fall below $100.
578000	580000	You have to convince
580000	582000	the trader
582000	584000	that because I see
584000	586000	a tumor
586000	588000	in the X-ray of your brain,
588000	590000	your prediction model
590000	592000	is credible.
592000	594000	There are several points
594000	596000	related to this.
596000	598000	First, you have to convince users.
598000	600000	Second, you have to provide security.
600000	602000	Another important thing
602000	604000	is some legal things,
604000	606000	such as GDPR.
606000	608000	A while ago,
608000	610000	Facebook was called
610000	612000	to the European Parliament
612000	614000	or Google CEO
614000	616000	was called to the U.S.
616000	618000	House of Representatives
618000	620000	was called to scold.
620000	622000	In fact,
622000	624000	these privacy data
624000	626000	or personal data
626000	628000	are not provided
628000	630000	to users
630000	632000	in a reasonable
632000	634000	or safe way.
634000	636000	You can't use these features
636000	638000	unconditionally
638000	640000	as a basis
640000	642000	for training models.
642000	644000	If you can provide these methods
644000	646000	to users through XAI
646000	648000	and say
648000	650000	I use these features
650000	652000	today
652000	654000	and provide you
654000	656000	some personal
656000	658000	recommendations or predictions.
658000	660000	In fact, users
660000	662000	will be more at ease
662000	664000	that you have used these things.
664000	666000	Even if it is privacy data,
666000	668000	it is better than
668000	670000	using XAI.
670000	672000	This is the reason
672000	674000	why XAI has attracted
674000	676000	more and more people
676000	678000	in the past 1 or 2 years
678000	680000	or 3 or 4 years.
680000	682000	OK.
682000	684000	Next,
684000	686000	those are
686000	688000	some high-level
688000	690000	things.
690000	692000	Let's talk about
692000	694000	some
694000	696000	more
696000	698000	scientific things.
698000	700000	If we are doing
700000	702000	image classification,
702000	704000	we are judging
704000	706000	the model
706000	708000	whether it is good or not.
708000	710000	We are training
710000	712000	a model of image classification.
712000	714000	We can't say
714000	716000	this model
716000	718000	is good or not.
718000	720000	Of course, we can say
720000	722000	it is a prediction.
722000	724000	For example,
724000	726000	we can predict
726000	728000	the label of this image.
728000	730000	However,
730000	732000	we can say
732000	734000	this image is a frog.
734000	736000	Does this model
736000	738000	really learn the characteristics of a frog?
738000	740000	In other words,
740000	742000	does it really learn
742000	744000	the head of a frog?
744000	746000	Does it really learn
746000	748000	the head of a frog?
748000	750000	No one knows.
750000	752000	It may learn
752000	754000	that most of the frog images
754000	756000	are because the frog
756000	758000	stands on the pond and the lotus.
758000	760000	So it catches the characteristics
760000	762000	of the pond and the lotus.
762000	764000	We don't know this.
764000	766000	Why?
766000	768000	When a model like this
768000	770000	learns the model of
770000	772000	pond and frog,
772000	774000	will it predict the wrong?
774000	776000	We don't know this.
776000	778000	Through this AI,
778000	780000	we can see
780000	782000	which part is important.
782000	784000	In the end,
784000	786000	if we get the final explanation
786000	788000	that the reason
788000	790000	the model is a frog
790000	792000	is because it has
792000	794000	a very representative head,
794000	796000	then we know
796000	798000	this model is actually learning
798000	800000	the right direction,
800000	802000	instead of catching some
802000	804000	background loopholes
804000	806000	or shortcuts
806000	808000	to improve
808000	810000	the AI.
810000	812000	For example,
812000	814000	let's say
814000	816000	there is a test
816000	818000	to see if you are
818000	820000	a COVID classifier.
820000	822000	As we all know,
822000	824000	there is a high probability
824000	826000	that you have a fever or a sore throat.
826000	828000	Let's say you only have a cold.
828000	830000	If you only have a fever
830000	832000	or a sore throat,
832000	834000	the test says you are a COVID classifier.
834000	836000	Then you are panicking.
836000	838000	If we want to
838000	840000	judge whether
840000	842000	the machine learning model
842000	844000	really learns
844000	846000	the features we want,
846000	848000	for example,
848000	850000	we provide some X-ray photos.
850000	852000	It will say that
852000	854000	the COVID diagnosis
854000	856000	is not only based on
856000	858000	the two features,
858000	860000	sore throat and fever.
860000	862000	If we
862000	864000	provide
864000	866000	this prediction result
866000	868000	to the user,
868000	870000	we can detect
870000	872000	the features
872000	874000	and the user
874000	876000	will be happier.
876000	878000	Okay.
878000	880000	Let's drink some water.
884000	886000	To sum up,
886000	888000	AI and XAI
888000	890000	are actually
890000	892000	a cycle
892000	894000	of prediction.
894000	896000	If we don't have
896000	898000	AI prediction,
898000	900000	we don't need to
900000	902000	detect the features.
902000	904000	XAI will not appear.
904000	906000	XAI is
906000	908000	mainly
908000	910000	trained by
910000	912000	a model.
912000	914000	The prediction model
914000	916000	has the ability to detect
916000	918000	the features.
918000	920000	You can see
920000	922000	a dog here.
922000	924000	There is a prediction model here.
924000	926000	It detects that it is a dog.
926000	928000	Why?
928000	930000	Maybe the dog is lying on the ground.
930000	932000	Most dogs are lying on the ground.
932000	934000	I learned the features
934000	936000	on the side.
936000	938000	It detects that it is a dog.
938000	940000	Or maybe
940000	942000	it is orange.
942000	944000	It detects that it is a dog.
944000	946000	We don't know.
946000	948000	It is a black box model.
948000	950000	We need another
950000	952000	XAI model
952000	954000	to open the black box.
954000	956000	We need another XAI model
956000	958000	to open the black box.
958000	960000	Then we can see
960000	962000	why the picture is a dog.
962000	964000	Because the dog has thin eyes
964000	966000	and special ears.
966000	968000	Because of the learning
968000	970000	of this feature,
970000	972000	the picture is
972000	974000	judged to be a dog.
974000	976000	At this time,
976000	978000	XAI model is very credible.
978000	980000	Because we know
980000	982000	it learns in the right direction.
982000	984000	Instead of
984000	986000	learning other features
986000	988000	to create the prediction result.
988000	990000	This model,
990000	992000	prediction model,
992000	994000	is more credible.
994000	996000	OK.
996000	998000	That was
998000	1000000	an explanation of
1000000	1002000	a big concept of XAI.
1002000	1004000	Let's go deeper.
1004000	1006000	I am not sure
1006000	1008000	if you are all
1008000	1010000	CS background students,
1010000	1012000	professors,
1012000	1014000	or PhD students.
1014000	1016000	Today,
1016000	1018000	I am going to give a high-level
1018000	1020000	talk.
1020000	1022000	We are going to
1022000	1024000	learn more about
1024000	1026000	the current
1026000	1028000	XAI
1028000	1030000	SOTA techniques
1030000	1032000	to execute
1032000	1034000	the explanation.
1034000	1036000	OK.
1036000	1038000	Before that,
1038000	1040000	let's take a look
1040000	1042000	at the different scopes.
1042000	1044000	There are global and local.
1044000	1046000	I am going to talk about
1046000	1048000	the global.
1048000	1050000	We are looking at the model.
1050000	1052000	For example,
1052000	1054000	the image classifier
1054000	1056000	in total
1056000	1058000	cares about the features.
1058000	1060000	For example,
1060000	1062000	let's train
1062000	1064000	a model
1064000	1066000	for dog
1066000	1068000	classifier.
1068000	1070000	We want to know
1070000	1072000	what this model cares about.
1072000	1074000	For example,
1074000	1076000	dogs have different ears.
1076000	1078000	So, ears are the features
1078000	1080000	this model cares about.
1080000	1082000	This is the global scope.
1082000	1084000	What is local?
1084000	1086000	Local is to explain
1086000	1088000	what each image cares about.
1088000	1090000	For example,
1090000	1092000	if we want to
1092000	1094000	do the global,
1094000	1096000	we have to look at the classifier
1096000	1098000	in all dogs.
1098000	1100000	What features does it care about?
1100000	1102000	But in the local scope,
1102000	1104000	we have to look at
1104000	1106000	each image.
1106000	1108000	This image cares about
1108000	1110000	the dog's face.
1110000	1112000	This image cares about
1112000	1114000	the dog's tail or ears.
1114000	1116000	In the local scope,
1116000	1118000	each image cares about
1118000	1120000	each image.
1120000	1122000	Each has its own advantages.
1122000	1124000	If we want to look at
1124000	1126000	whether this model is credible,
1126000	1128000	we can use global.
1128000	1130000	For example,
1130000	1132000	in total,
1132000	1134000	the autopilot model
1134000	1136000	detects
1136000	1138000	traffic lights,
1138000	1140000	pedestrians,
1140000	1142000	or obstacles
1142000	1144000	on the road.
1144000	1146000	In total,
1146000	1148000	we use global.
1148000	1150000	In the local scope,
1150000	1152000	in this scene,
1152000	1154000	in this second,
1154000	1156000	the sensor detects
1156000	1158000	this street scene.
1158000	1160000	Because it has something,
1160000	1162000	it can provide something in the next second.
1162000	1164000	When we analyze
1164000	1166000	the street scene
1166000	1168000	every second,
1168000	1170000	we have to use the local model.
1170000	1172000	The local model
1172000	1174000	provides a more
1174000	1176000	restrictive
1176000	1178000	explanation to the user.
1178000	1180000	This is global and local.
1180000	1182000	Next, there are two
1182000	1184000	different manners.
1184000	1186000	One is intrinsic and the other is post-hoc.
1186000	1188000	Intrinsic means
1188000	1190000	the model itself has something to explain.
1190000	1192000	What is something to explain?
1192000	1194000	For example,
1194000	1196000	decision tree.
1196000	1198000	At the end,
1198000	1200000	the model predicts the result is C.
1200000	1202000	We can start from C
1202000	1204000	and go back to C.
1204000	1206000	For example,
1206000	1208000	when the model makes a decision,
1208000	1210000	what are the conditions
1210000	1212000	to reach the
1212000	1214000	final prediction result?
1214000	1216000	The model itself
1216000	1218000	has something to explain.
1218000	1220000	We can know
1220000	1222000	from the model's decision
1222000	1224000	what features it has
1224000	1226000	or what condition it has.
1226000	1228000	This is the intrinsic model.
1228000	1230000	On the right,
1230000	1232000	if you have heard
1232000	1234000	some Machine Learning lectures
1234000	1236000	or courses,
1236000	1238000	you should know about BERT.
1238000	1240000	In BERT,
1240000	1242000	there is a
1242000	1244000	tension score
1244000	1246000	for each word
1246000	1248000	in the model.
1248000	1250000	For example,
1250000	1252000	I put a sentence
1252000	1254000	in the BERT model.
1254000	1256000	For each word,
1256000	1258000	there is a positive or negative sentiment.
1258000	1260000	Each word
1260000	1262000	has an added value
1262000	1264000	in terms of
1264000	1266000	positive or negative sentiment.
1266000	1268000	For example,
1268000	1270000	love is positive.
1270000	1272000	Love is a positive
1272000	1274000	tense.
1274000	1277000	This
1277000	1279000	high-level
1279000	1281000	contribution
1281000	1283000	is the tension weight
1283000	1285000	in the model.
1285000	1287000	So we can use
1287000	1289000	the importance of words
1289000	1291000	in terms of
1291000	1293000	model prediction
1293000	1295000	to determine
1295000	1297000	why this sentence
1297000	1299000	is a
1299000	1301000	positive
1301000	1303000	prediction result.
1303000	1305000	We can use
1305000	1307000	the importance score
1307000	1309000	to make the prediction result.
1309000	1311000	The two models
1311000	1313000	I just talked about
1313000	1315000	are Intrinsic
1315000	1317000	and Prediction.
1317000	1319000	Next is
1319000	1321000	Post-Hoc.
1321000	1323000	I will talk about
1323000	1325000	why I focus on
1325000	1327000	Post-Hoc.
1327000	1329000	Most
1329000	1331000	machine learning models
1331000	1333000	use black box models.
1333000	1335000	For example,
1335000	1337000	I build a deep learning network
1337000	1339000	and stack some blocks
1339000	1341000	and
1341000	1343000	connect them to
1343000	1345000	a convolution.
1345000	1347000	These prediction models
1347000	1349000	have good results,
1349000	1351000	but I don't know
1351000	1353000	what they do inside.
1353000	1355000	For example, I don't know
1355000	1357000	what features they learn.
1357000	1359000	This black box learning
1359000	1361000	requires
1361000	1363000	Post-Hoc.
1363000	1365000	After the model training,
1365000	1367000	I need to provide an
1367000	1369000	explanation
1369000	1371000	for the prediction model.
1371000	1373000	This model
1373000	1375000	is common
1375000	1377000	in daily life.
1377000	1379000	For example,
1379000	1381000	let's build a
1381000	1383000	recommendation system.
1383000	1385000	We use
1385000	1387000	neural network
1387000	1389000	to train the model.
1389000	1391000	At this time,
1391000	1393000	the recommendation system
1393000	1395000	is not explainable.
