start	end	text
0	5000	Welcome to today's Taira Talk.
5000	10000	Taira stands for Taiwanese Young Researcher Association.
10000	14000	It's an organization for young researchers in Taiwan.
14000	17000	Every weekend of the year,
17000	20000	we hold an event called Taira Talk.
20000	24000	The format of the talk is free and diverse.
24000	27000	We invite academic researchers from different fields
27000	33000	to share their research results,
33000	36000	practice online speech skills,
36000	44000	or share their experiences with potential partners.
44000	51000	The topic of today's talk is
51000	56000	Ph.D. in Physics at the University of Notre Dame.
56000	60000	The topic of today's talk is...
60000	67000	As you can see from the PowerPoint,
67000	69000	the next two weeks' talk...
69000	70000	The next two weeks' talk is...
70000	71000	The next week's talk is...
71000	72000	Let me see.
72000	75000	I forgot.
75000	80000	The next week's talk is...
80000	84000	The next week's talk is about mechanical learning.
84000	85000	The same time.
85000	89000	At 6.30 p.m. on Sunday.
89000	91000	Sorry.
91000	93000	At 6.30 p.m. on Sunday.
93000	96000	At 6.30 p.m. on Sunday, October 29.
96000	98000	The next week,
98000	99000	the next week,
99000	101000	we will hold a new session.
101000	105000	The same session is held at 6.30 p.m. on Sunday.
105000	109000	It is a talk about economic science.
109000	111000	It is a talk about economic science.
111000	114000	It is a talk about economic science.
114000	116000	It is a talk about economic science.
116000	117000	If you are interested,
117000	120000	you are welcome to follow Tara's post
120000	123000	and Tara's talk.
123000	125000	Today's speaker is Mr. Xu.
125000	131000	He graduated from National Tsinghua University in 2009.
131000	135000	Later, he came to Cornell for a Ph.D.
135000	137000	a Ph.D. in physics.
137000	140000	In 2017,
140000	145000	he obtained his doctorate.
145000	149000	After graduating from Cornell,
149000	152000	he came to the
152000	155000	University of Newfoundland-Myanmar
155000	158000	Condensed Matter Theory Center.
158000	159000	In 2020,
159000	167000	he got a Ph.D. from the University of Newfoundland-Myanmar.
167000	171000	His main interest is
171000	176000	the new phenomenon of quantum many-body system.
176000	179000	His main focus is
179000	182000	inter-winded symmetry,
182000	184000	topology,
184000	187000	and many-body interaction.
187000	192000	Today, he is going to talk about
192000	198000	topology and quantum computing.
198000	200000	Today, he is going to talk about
200000	202000	topology and quantum computing.
202000	205000	Let's follow Tara's post
205000	208000	and welcome Mr. Xu.
213000	215000	Hello, everyone.
216000	219000	Today, I am going to talk about
219000	231000	the relationship between topology and quantum computing.
231000	233000	I will try my best to be scientific.
233000	235000	If you have any questions,
235000	238000	please feel free to ask me.
239000	242000	First of all,
242000	246000	I am a quantum theory physicist.
246000	250000	Today, I am going to share
250000	254000	how a quantum theory physicist
254000	260000	can contribute to the topic.
260000	262000	As you can see,
262000	265000	I am looking for
265000	270000	postdocs and Ph.D. students.
270000	273000	If you find this talk interesting,
273000	276000	please feel free to contact me.
290000	294000	Today, the audience comes from different backgrounds.
294000	296000	I would like to explain
296000	299000	what quantum theory is.
301000	303000	Quantum theory is
303000	306000	condensed matter theoretical physics.
306000	308000	We are studying
308000	310000	quantum theory.
310000	313000	I am not an experimenter.
313000	315000	The tools we use are
315000	318000	computers and pens.
318000	320000	What is quantum theory?
320000	323000	Quantum theory is an equation
323000	326000	that describes the materials
326000	330000	in nature,
330000	333000	and the special materials
333000	337000	in the lab.
337000	340000	All of these materials are
340000	342000	solid or liquid.
342000	344000	This is condensed matter.
344000	346000	As you can see,
346000	350000	this is a diagram.
350000	352000	For example,
352000	354000	this is a two-dimensional material.
354000	357000	It is like a piece of paper.
357000	361000	These black balls
361000	363000	are all atoms.
363000	365000	This is a fairly microscopic scale.
365000	368000	If you look at the size of the atom,
368000	370000	you can see that
370000	372000	there are different scales
372000	374000	in a two-dimensional material.
374000	376000	The scale is hexagonal.
376000	378000	This is just a diagram.
378000	381000	What we are studying
381000	383000	is different materials
383000	385000	with different scales.
385000	387000	You can imagine that
387000	389000	there are atoms next to each atom.
389000	392000	According to quantum mechanics,
392000	395000	there are different activities
395000	397000	around the atom.
397000	399000	What we are studying is
399000	401000	those atoms
401000	404000	in a background like this,
404000	406000	with different scales
406000	408000	in a two-dimensional material.
408000	410000	What interesting things
410000	412000	will happen?
412000	414000	This is the topic
414000	416000	for those who are interested
416000	418000	in quantum physics.
418000	420000	I also want to talk about
420000	422000	what we often hear.
422000	424000	It is very important
424000	426000	for people who do
426000	428000	experimental physics,
428000	430000	especially in quantum mechanics.
430000	432000	What is the relationship
432000	434000	between theory and
434000	436000	experimental physics?
436000	438000	Most important discoveries
438000	440000	in history
440000	442000	in the past 100 years
442000	444000	were made by experiments.
444000	446000	In some experiments,
446000	448000	people found
448000	450000	amazing things
450000	452000	in the material.
452000	454000	Let me give you
454000	456000	an example.
456000	458000	For example,
458000	460000	in the past 100 years,
460000	462000	you can see that
462000	464000	since 2003,
464000	466000	the discovery of superconductors,
466000	468000	superfluid,
468000	470000	superfluid in etheric ocean,
470000	472000	even the famous high-temperature superconductors,
472000	474000	and some important
474000	476000	superconductors were discovered.
476000	478000	These were discovered
478000	480000	by experiments.
480000	482000	These are
482000	484000	four Nobel Prizes.
484000	486000	They were discovered
486000	488000	by experiments
488000	490000	or plans
490000	492000	to discover
492000	494000	special phenomena
494000	496000	in the material.
496000	498000	Then,
498000	500000	theoretical physicists
500000	502000	tried to
502000	504000	understand
504000	506000	the phenomena
506000	508000	in the experiment.
508000	510000	However,
510000	512000	this is not always the case.
512000	514000	Sometimes,
514000	516000	it is the theory
516000	518000	that makes the prediction first.
518000	520000	Then,
520000	522000	experimentalists
522000	524000	tried to see
524000	526000	the predicted phenomena
526000	528000	in the real system.
528000	530000	Sometimes,
530000	532000	these big discoveries
532000	534000	can also be discovered.
534000	536000	However,
536000	538000	this is not always the case.
538000	540000	The reason is that
540000	542000	for superconductors,
542000	544000	this is today's topic.
544000	546000	Of course,
546000	548000	I will explain what superconductors are.
548000	550000	For superconductors,
550000	552000	it is difficult
552000	554000	to make such predictions.
554000	556000	Then,
556000	558000	what I want to do
558000	560000	is to
560000	562000	predict
562000	564000	how to find
564000	566000	special superconductors
566000	568000	in theory,
568000	570000	and
570000	572000	predict
572000	574000	how to make
574000	576000	special superconductors
576000	578000	in theory,
578000	580000	and how to design
580000	582000	special superconductors
582000	584000	in theory.
584000	586000	This is
586000	588000	the focus of my research.
588000	590000	Then,
590000	592000	now,
594000	596000	I will
596000	598000	use a more
598000	600000	physical way
600000	602000	to describe
602000	604000	the problems
604000	606000	that physicists
606000	608000	are studying.
608000	610000	Here is the problem.
610000	612000	You may have seen
612000	614000	the periodic table in high school.
614000	616000	There are so many elements
616000	618000	in the periodic table.
618000	620000	There are more materials.
620000	622000	Because not only these elements,
622000	624000	you can choose
624000	626000	several elements
626000	628000	and combine them
628000	630000	into different compounds.
630000	632000	So,
632000	634000	you can find
634000	636000	tens of thousands
636000	638000	of materials
638000	640000	in nature
640000	642000	or in the lab.
642000	644000	But it sounds
644000	646000	like it is
646000	648000	a very difficult problem
648000	650000	to study the nature of materials.
650000	652000	Why? Let me give you an example.
652000	654000	For example,
654000	656000	let's look at this one.
656000	658000	Cu is copper.
658000	660000	Copper is a very common
660000	662000	material, right?
662000	664000	But today,
664000	666000	I will make some changes
666000	668000	to the copper.
668000	670000	I can remove
670000	672000	some electrons,
672000	674000	neutrons,
674000	676000	and neutrons from the
676000	678000	nucleus.
678000	680000	Then, I can jump
680000	682000	to the next one,
682000	684000	Ni.
684000	686000	It is just next to it.
686000	688000	But their properties
688000	690000	are very different.
690000	692000	Copper has no magnetic properties.
692000	694000	But we know that
694000	696000	Ni is also
696000	698000	magnetic.
698000	700000	So, their properties
700000	702000	are very different.
702000	704000	Now,
704000	706000	let's focus on
706000	708000	one element.
708000	710000	Let's focus on C.
710000	712000	C means carbon.
712000	714000	So,
714000	716000	you can use carbon
716000	718000	to form
718000	720000	this complex 3D structure.
720000	722000	Then, you get diamonds.
722000	724000	If you put
724000	726000	these carbon atoms
726000	728000	into
728000	730000	this 2D structure,
730000	732000	and there are many layers,
732000	734000	then it will be
734000	736000	copper.
736000	738000	It is also carbon,
738000	740000	but it is totally different from diamonds.
740000	742000	If I only take one layer,
742000	744000	then it will be
744000	746000	copper.
746000	748000	It is totally different.
748000	750000	Then,
750000	752000	the blue circles are
752000	754000	carbon.
754000	756000	Although they are all
756000	758000	made of carbon,
758000	760000	their properties are very different.
760000	762000	For example,
762000	764000	diamonds
764000	766000	are very good
766000	768000	solvents,
768000	770000	but
770000	772000	copper and
772000	774000	silver are very good solvents.
774000	776000	Although
776000	778000	these two are solvents,
778000	780000	if you really
780000	782000	pay attention to the numbers,
782000	784000	their
784000	786000	solubility is still very different.
786000	788000	Although you don't have to
788000	790000	care about the unit,
790000	792000	but if you just look at the numbers,
792000	794000	you will know that they are very different.
794000	796000	10 to the power of 8 and 10 to the power of 6
796000	798000	are 100 times different.
798000	800000	Even if
800000	802000	the elements
802000	804000	don't seem to be much different,
