start	end	text
0	9000	TARA is an organization for young researchers in Taiwan.
9000	14000	We have a TARA Talk every week on the weekends.
14000	17000	The format and content of this talk are very diverse.
17000	22000	Academic researchers can come here to share their research results,
22000	25000	practice giving presentations,
25000	28000	or get to know potential future collaborators.
28000	36000	Next week and the following week,
36000	39000	we will have a presentation on quantum physics and machine learning.
39000	44000	If you are interested, you can sign up for our presentation announcement.
44000	50000	You can also scan the QR code to sign up for future presentations.
50000	55000	You are also welcome to follow TARA's Facebook and Instagram.
55000	58000	If you are interested in becoming a member,
58000	60000	you can scan the QR code here,
60000	63000	or use the link in the chat.
63000	68000	We have a special Slack channel for TARA members.
68000	71000	We will share various activities, work opportunities,
71000	74000	or new information in the relevant fields.
74000	76000	You are very welcome to join us.
76000	81000	In today's event, we will also issue a TARA badge.
81000	85000	This is the NFT blockchain.
85000	88000	The TARA badge looks pretty good.
88000	91000	I will put the relevant information in the chat later.
91000	93000	You can take a look at it.
93000	96000	At the end of the presentation, we will announce the receipt of the badge.
96000	98000	It requires a password.
98000	100000	We will announce it at the end of the presentation.
100000	106000	If your phone cannot install the POAP app we use,
106000	108000	you can leave it after the presentation.
108000	110000	We will discuss how to solve it.
110000	112000	Let's get back to the topic.
112000	115000	Today's speaker is Lin Shujing.
115000	119000	Shujing completed her university and master's degree in Taiwan.
119000	122000	She studied medical imaging and brain science
122000	124000	at Zhongshan Medical School and Yangming University.
124000	126000	During her university days,
126000	129000	she trained as a clinical radiologist.
129000	130000	During her master's degree,
130000	135000	she studied fMRI analysis in the brain function group of Dr. Long.
135000	136000	During her master's degree,
136000	140000	she studied neuroscience at UBC University in Canada.
140000	141000	During her master's degree,
141000	144000	she studied the connection between functional neuroimaging
144000	148000	and the cognitive functions of neuropaths.
148000	151000	She focused on neural network analysis.
151000	154000	Currently, she is a research fellow
154000	159000	at Montreal Neurological Institute in Canada.
159000	162000	She is on a business trip in Germany.
162000	165000	Based on Chaira's tradition,
165000	167000	please turn on your microphone
167000	170000	and welcome the speaker.
170000	172000	Are you ready?
172000	175000	3, 2, 1.
178000	181000	Thank you for your cooperation.
182000	185000	I will stop sharing the screen.
185000	188000	The stage is yours, Shujing.
190000	191000	Thank you.
192000	193000	Hi, everyone.
193000	195000	I'm at the hotel in Munihae.
195000	198000	I hope the internet connection is stable.
198000	200000	I hope there won't be any problems.
200000	201000	If there are any problems,
201000	204000	I will try again later.
204000	207000	Please bear with me if there are any problems.
207000	208000	Okay.
208000	210000	Today, I'm going to talk about
210000	213000	neuroimaging.
213000	215000	What is neuroimaging?
215000	217000	What is neuroimaging?
217000	219000	What is neuroimaging?
219000	221000	What I'm going to talk about today
221000	224000	is a paper in MNI.
224000	229000	This paper was accepted
229000	232000	last year.
232000	236000	I will mainly talk about the main points.
236000	239000	I will also talk about some details.
239000	241000	I will put the reference in the end.
241000	243000	You can read it if you are interested.
243000	244000	Or we can discuss it later.
244000	246000	My title is a bit long.
247000	250000	Neuroimaging can predict
250000	257000	the effect of a patient's treatment.
257000	260000	Let's take a look at the topic.
266000	267000	It's a bit slow.
267000	269000	First, I will talk about
269000	273000	the general background information.
273000	275000	This is not related to
275000	277000	what I'm going to talk about today.
277000	279000	It's mainly for the general concept.
279000	282000	The main point is
282000	284000	what I'm going to talk about today
284000	286000	is an application.
286000	288000	It's an application using multivariant.
288000	291000	Why do we use multivariant
291000	293000	instead of univariant?
293000	297000	Univariant is a more traditional method.
297000	300000	It can indeed increase your statistical efficiency.
300000	305000	But it's too simple.
305000	308000	You can't know much about it.
308000	313000	There are many new evidences.
313000	315000	There are many different diseases.
315000	319000	Neuroimaging, neuroinflammatory,
319000	321000	and other diseases
321000	327000	are not caused by a single factor.
327000	329000	If you use univariant,
329000	333000	you can't see the other important details.
333000	337000	The advantage of using multivariant
337000	342000	is that you can see the multidimensional association.
342000	348000	You can find a comprehensive effect
348000	351000	instead of a single number or variable.
351000	355000	In this way, you can know more precisely
355000	359000	the relationship between your data and clinical trials.
359000	362000	The research I'm going to talk about
362000	365000	is mainly used in Parkinson's disease.
365000	368000	It's a clinical trial.
368000	371000	The main purpose is
371000	374000	to see if the baseline data
374000	379000	can predict the improvement
379000	384000	after the treatment.
384000	386000	This is our central idea.
386000	390000	Next, I'm going to talk about
390000	393000	the research I'm going to talk about.
393000	396000	First, I'm going to talk about
396000	398000	neuropsychology.
398000	400000	What is Parkinson's disease?
400000	405000	It's a disease related to action.
405000	408000	The main cause is
408000	412000	a neuroendocrine in the brain.
412000	414000	For some reason,
414000	418000	we can't tell you what the reason is.
418000	420000	For some reason,
420000	422000	the neuroendocrine gradually dies.
422000	424000	On the right,
424000	426000	in the normal human brain,
426000	428000	this place is called the substantia nigra.
428000	431000	There are many black cells,
431000	433000	the so-called dopamine neurons.
433000	435000	But in the patient,
435000	437000	the black cells are gone.
437000	439000	They become white.
439000	441000	These cells are dead.
441000	444000	They can't transfer the neuroendocrine
444000	446000	to other areas of the brain.
446000	450000	This will cause many clinical symptoms,
450000	452000	including exercise and non-exercise symptoms.
452000	454000	The so-called exercise symptoms
454000	456000	we often hear is resting tremor.
456000	457000	If the patient is sitting,
457000	459000	his hands will keep shaking.
459000	462000	Or non-exercise symptoms,
462000	464000	such as cognitive impairment,
464000	467000	or some patients have insomnia, etc.
468000	472000	Because it's not just a professional exercise symptom,
472000	474000	we say that
474000	479000	every patient is a little different.
479000	482000	So we say it's heterogeneous.
482000	484000	Everyone is different.
484000	488000	It's not just the so-called dopamine system that's affected.
488000	492000	Other neuroendocrine systems are also affected.
492000	496000	So we think this is also a so-called multifactorial disease.
496000	499000	It's not just a single factor that affects this disease.
500000	502000	The current treatment includes
502000	504000	the first and most common,
504000	506000	which is drug control.
506000	508000	Usually, this drug control
508000	512000	is quite good for most patients.
512000	514000	But for some, I don't know why,
514000	517000	they don't react well to this drug.
517000	519000	If this is the case,
519000	521000	we can consider another way,
521000	523000	called deep brain stimulation.
523000	526000	Deep brain stimulation is actually very invasive.
526000	529000	But for some patients,
529000	532000	it's a very effective treatment.
532000	534000	But it has one drawback,
534000	536000	which is that it's very invasive.
536000	540000	Neuroendocrine is actually buried in the brain.
540000	544000	This electrode connects to a battery.
544000	547000	The battery is placed in the patient's chest.
547000	549000	About every five years,
549000	551000	the battery in the chest needs to be replaced.
551000	553000	But it's very invasive.
553000	555000	Not every patient can do this kind of surgery.
555000	558000	So far, we have another way,
558000	560000	which is the one I'm going to talk about today.
560000	565000	I don't know what to do with it.
565000	567000	Because we usually call it
567000	569000	hard-focus ultrasound.
569000	571000	This method uses
571000	575000	precise positioning with the help of imaging
575000	578000	to see which area of the brain
578000	580000	needs to be stimulated.
580000	582000	The hard-focus ultrasound
582000	584000	is a similar way of surgery
584000	586000	to damage the brain tissue.
586000	588000	This will cause the brain to
588000	591000	change the connection of the brain circuit.
591000	593000	After the change,
593000	596000	it can improve some problems in the movement.
596000	599000	I saw the news a few weeks ago.
599000	601000	There is news like this in Taiwan.
601000	604000	It seems to be about MRI navigation
605000	607000	to teach ultrasound therapy.
607000	609000	It sounds terrible.
609000	611000	I will talk about the hard-focus ultrasound.
611000	613000	It's easier.
613000	615000	But the problem is,
615000	617000	although this method
617000	619000	can work well for many patients,
619000	621000	not everyone
621000	623000	can get the same result.
623000	625000	This is what we are still wondering about.
625000	627000	Why?
627000	629000	So we might think
629000	631000	it's because we need some predictions
631000	633000	before the treatment.
633000	635000	And these predictions
635000	637000	are not for the whole group,
637000	639000	but for each patient.
639000	641000	So we need to predict the result
641000	643000	to see if the patient
643000	645000	is suitable for the treatment.
645000	647000	Another important question is
647000	649000	we need to understand
649000	651000	what is the actual effect
651000	653000	of the ultrasound.
653000	655000	Although the treatment
655000	657000	is very effective so far,
657000	659000	we are still not 100% sure
659000	661000	how it works.
661000	663000	So this is also an important question.
663000	665000	Next,
665000	667000	let's talk about the main purpose of this research.
667000	669000	This is a simple way
669000	671000	to show
671000	673000	what we are doing.
673000	675000	I'm not sure
675000	677000	if I have a laser pointer.
677000	679000	Let me see.
679000	681000	Okay,
681000	683000	I have a laser pointer.
683000	685000	There are two main ways.
685000	687000	The first one
687000	689000	is to see
689000	691000	if we can use
691000	693000	the pre-treatment data
693000	695000	to predict the post-treatment results.
695000	697000	The second one
697000	699000	is to see
699000	701000	if the clinical results
701000	703000	after the treatment
703000	705000	can be explained
705000	707000	by the pre-treatment results.
707000	709000	Can the clinical results
709000	711000	be explained
711000	713000	by the pre-treatment results?
713000	715000	We mainly use
715000	717000	multimodal neural imaging
717000	719000	and clinical data
721000	723000	to see
723000	725000	if we can achieve
725000	727000	the two goals.
729000	731000	Let me briefly introduce
731000	733000	our patients.
733000	735000	There are only
735000	737000	35 patients
737000	739000	with Parkinson's disease.
739000	741000	These patients are monoclonal.
741000	743000	They are more affected.
743000	745000	Originally,
745000	747000	we planned to receive
747000	749000	at least 50 patients.
749000	751000	However,
751000	753000	this clinical trial
753000	755000	was conducted in Spain,
755000	757000	which is our partner.
757000	759000	However,
759000	761000	COVID-19 happened
761000	763000	halfway through
763000	765000	the clinical trial.
765000	767000	The Spanish side
767000	769000	seemed to be slightly interrupted.
769000	771000	Several patients
771000	773000	were unable to
773000	775000	enter the clinic.
775000	777000	These patients
777000	779000	are monoclonal.
779000	781000	They are treated
781000	783000	with focus ultrasound.
783000	785000	After the treatment,
785000	787000	after 24 hours,
787000	789000	MRI imaging is performed
789000	791000	to see
791000	793000	if the focus ultrasound
793000	795000	reaches the desired level.
795000	797000	The white arrow
797000	799000	is the so-called lesion.
799000	801000	It is the effect
801000	803000	of the focus ultrasound.
803000	805000	This is the so-called
805000	807000	subthalamic nucleon.
807000	809000	I did not see
809000	811000	the whole process.
811000	813000	However,
813000	815000	according to my lab boss,
815000	817000	the whole process
817000	819000	took a long time.
819000	821000	Let me take a sip of water.
831000	833000	The patient
833000	835000	was treated
835000	837000	with focus ultrasound.
837000	839000	After positioning,
839000	841000	the focus ultrasound
841000	843000	reached the brain area.
843000	845000	At the same time,
845000	847000	neurosurgeons
847000	849000	continued to
849000	851000	perform ultrasound
851000	853000	to see
853000	855000	if the patient's symptoms
855000	857000	had improved immediately.
857000	859000	At the same time,
859000	861000	neurosurgeons
861000	863000	checked the temperature
863000	865000	and the condition of the patient.
865000	867000	According to the patient's
867000	869000	immediate response,
869000	871000	if the patient's symptoms
871000	873000	had improved,
873000	875000	they would stop the ultrasound.
875000	877000	The whole process
877000	879000	took about 1-2 hours.
879000	881000	On the right,
881000	883000	we can see
883000	885000	the difference
885000	887000	between the two
887000	889000	types of motor symptoms.
