start	end	text
0	5000	Hello everyone, welcome to Taira Talk.
5000	10000	Taira is a friendly environment for young Taiwanese researchers,
10000	14000	and we hold Taira Talk every weekend throughout the year.
14000	17000	The format and content of this speech are very free and diverse,
17000	20000	and academic researchers can come here to share their achievements
20000	23000	based on their own qualifications, practice online lectures,
23000	25000	or get to know future potential researchers.
26000	32000	Please join the audience on the right.
41000	46000	Today's speaker is Yan Zhiyun.
46000	50000	She is currently a PhD student at Paul Glincher University of New York,
50000	53000	Professor of Neuroscience and Economics.
53000	57000	Her main research focus is on collecting long-term data
57000	60000	from mobile apps to explore the relationship between
60000	63000	individual daily activities and their risks and time preferences.
63000	66000	Today's speech is a part of the data sharing.
66000	70000	The results of today's sharing have already been reviewed in the first round,
70000	72000	and are currently being reviewed,
72000	74000	so she welcomes any suggestions and ideas.
74000	77000	If there are any questions during the speech,
77000	80000	she can interrupt, right?
80000	85000	Yes, you can interrupt or ask questions if you don't understand.
85000	89000	Yan Zhiyun, I'll leave the next part to you.
89000	92000	Let me share the screen.
102000	105000	Okay, good.
106000	110000	Do you understand?
110000	113000	I don't know why I suddenly have echo.
113000	116000	Do you still have it now?
116000	119000	No, I don't think so.
119000	122000	The topic of my speech today is
128000	132000	First of all, thank you everyone for coming to this event.
132000	135000	The topic of my speech today is
135000	138000	what my PhD thesis is doing.
140000	143000	We all know that risk and uncertainty
143000	148000	are closely related to many of our choices in our lives.
148000	151000	For example, whether to get vaccinated.
151000	154000	In Taiwan, we don't think it's risky to get vaccinated.
154000	157000	But in the US,
157000	160000	many people don't want to get vaccinated because they think it's dangerous.
160000	163000	Or in another domain,
163000	166000	for example, do you want to invest in virtual currency?
166000	169000	These decisions are actually risk and uncertainty.
169000	172000	These decisions are actually risk and uncertainty.
172000	175000	So a person's preference for taking risks
175000	178000	So a person's preference for taking risks
178000	181000	actually greatly affects whether he is willing to make these decisions.
181000	184000	So when we researchers study,
184000	187000	we put this concept
187000	190000	a person's individual willingness
190000	193000	to make this kind of risky choice
193000	196000	called risk preference or risk additivity.
196000	199000	a person's individual willingness to make this kind of risky choice
199000	202000	called risk preference or risk additivity.
202000	205000	Whether it's economics or psychology,
205000	208000	we usually think of risk preference
208000	211000	as a more stable psychological trait.
211000	214000	as a more stable psychological trait.
215000	218000	There will be differences between individuals.
218000	221000	But more and more research shows that
221000	224000	our risk preferences are actually between individuals.
224000	227000	There will be systematic changes.
227000	230000	There will be systematic changes.
230000	233000	It's very dynamic.
233000	236000	So we want to know
236000	239000	what kind of factors will cause
239000	242000	whether it's between individuals or within individuals
242000	245000	So in the past,
245000	248000	our gender is a factor.
248000	251000	Our gender is a factor.
251000	254000	In the past,
254000	257000	women are usually more at risk
257000	260000	in terms of financial risk.
260000	263000	Women are usually more at risk in terms of financial risk.
263000	266000	Or older people are more at risk
266000	269000	in terms of financial risk.
269000	272000	Research also shows that
272000	275000	if you have a good cognitive ability,
275000	278000	you are more willing to take some risks.
278000	281000	you are more willing to take some risks.
281000	284000	Your mental well-being is also a very important factor.
284000	287000	Your mental well-being is also a very important factor.
287000	290000	If you are a person with anxiety,
290000	293000	If you are a person with anxiety,
293000	296000	you are usually associated with risk avoidance.
296000	299000	you are usually associated with risk avoidance.
299000	302000	you are usually associated with risk avoidance.
302000	305000	This is a factor that causes differences between individuals.
305000	308000	This is a factor that causes differences between individuals.
308000	311000	There are many factors that cause it.
311000	314000	For example,
314000	317000	human or animal research shows
317000	320000	that your metabolic state
320000	323000	that your metabolic state
323000	326000	may affect your risk preference,
326000	329000	may affect your risk preference,
329000	332000	but in a relatively short time scale.
332000	335000	In fact, the good or bad weather
335000	338000	may also affect your level of risk acceptance.
338000	341000	There is a more interesting study
341000	344000	that says that if the weather is pretty good today,
344000	347000	that says that if the weather is pretty good today,
347000	350000	this is a study done in New York City,
350000	353000	the probability of buying a lottery ticket is also higher.
353000	356000	This is an incidental good news.
356000	359000	This is an incidental good news.
359000	362000	It's not as if you think the weather is good today,
362000	365000	so you feel good.
365000	368000	So you are willing to do something
368000	371000	that you think will make you feel better about these risks.
371000	374000	So you are willing to do something that you think will make you feel better about these risks.
374000	377000	For example, buying lottery tickets.
377000	380000	Of course, there are other studies that point out
380000	383000	of course, there are other studies that point out
383000	386000	that in fact, after the 2008 financial tsunami,
386000	389000	that in fact, after the 2008 financial tsunami,
389000	392000	people became more risk averse to investment.
392000	395000	people became more risk averse to investment.
395000	398000	This is a major life event
398000	401000	that affects your level of risk acceptance.
401000	404000	So there are many different factors
404000	407000	that affect your level of risk acceptance.
407000	410000	that affect your level of risk acceptance.
410000	413000	So we can find that the topic of risk aversion
413000	416000	So we can find that the topic of risk aversion
416000	419000	is actually studied by many people in psychology and economics.
419000	422000	is actually studied by many people in psychology and economics.
422000	425000	And it's been studied for decades.
425000	428000	And in all these years of research,
428000	431000	you find that there are so many different factors
431000	434000	that affect the so-called risk aversion.
434000	437000	that affect the so-called risk aversion.
437000	440000	It's actually very difficult to know
440000	443000	a unified cost-of-risk-preference dynamic.
443000	446000	a unified cost-of-risk-preference dynamic.
446000	449000	a unified cost-of-risk-preference dynamic.
449000	452000	So what my PhD thesis mainly wants to study
452000	455000	is how to put all the factors together
455000	458000	is how to put all the factors together
458000	461000	So we have two main goals.
461000	464000	So we have two main goals.
464000	467000	The first is to establish a data-driven
467000	470000	domain general risk preference ontology.
470000	473000	domain general risk preference ontology.
473000	476000	So this concept is to give a more comprehensive definition
476000	479000	of risk attitude or risk preference.
479000	482000	of risk attitude or risk preference.
482000	485000	So compared to the past,
485000	488000	the most recent research is usually a single
488000	491000	risk measure or a single survey or a single
491000	494000	task developed by economists.
494000	497000	task developed by economists.
497000	500000	So in our experiment,
500000	503000	we not only use a single risk attitude measure,
503000	506000	we not only use a single risk attitude measure,
506000	509000	we use a survey and task-based measure.
509000	512000	we use a survey and task-based measure.
512000	515000	We also include a lot of different psychological traits,
515000	518000	We also include a lot of different psychological traits,
518000	521000	such as your cognitive ability,
521000	524000	such as your cognitive ability,
524000	527000	demographic data,
527000	530000	mental well-being and personality.
530000	533000	mental well-being and personality.
533000	536000	We put all these things together
536000	539000	We put all these things together
539000	542000	and we did a PCA,
542000	545000	and we did a PCA,
545000	548000	which is the Principle Component Analysis,
548000	551000	which is the Principle Component Analysis,
551000	554000	to determine what the covariance is between these
554000	557000	to determine what the covariance is between these
557000	560000	traits related to risk preference in the past.
560000	563000	traits related to risk preference in the past.
563000	566000	And then we want to know
566000	569000	and these things usually only measured once,
569000	572000	but we will do a repeated measurement,
572000	575000	but we will do a repeated measurement,
575000	578000	and we will do a longitudinal experiment.
578000	581000	And we will have a chance to get
581000	584000	more static and dynamic risk preference.
584000	587000	more static and dynamic risk preference.
587000	590000	When we have the ability to make a more comprehensive
590000	593000	definition of risk preference,
593000	596000	we want to know if the environmental state
596000	599000	and the state of life of the victim
599000	602000	will affect the change of risk preference.
602000	605000	will affect the change of risk preference.
605000	608000	will affect the change of risk preference.
608000	611000	So, in the end,
611000	614000	we hope to establish
614000	617000	whether there are any risk preferences
617000	620000	in his life.
620000	623000	and whether there's a significant correlation
623000	626000	with the risk preferences we measured.
626000	629000	with the risk preferences we measured.
629000	632000	with the risk preferences we measured.
632000	635000	with the risk preferences we measured.
635000	638000	These are the two things I'd like to do.
638000	641000	These are the two things I'd like to do.
641000	644000	Next, I will introduce how we do this experiment.
644000	647000	Overall, we collected a lot of different
647000	650000	So, we have a total of 14 self-report surveys
650000	653000	So, we have a total of 14 self-report surveys
653000	656000	So, we have a total of 14 self-report surveys
656000	659000	and two main economic choice tasks.
659000	662000	and two main economic choice tasks.
662000	665000	We measured demographic characteristics,
665000	668000	cognitive ability, mental health, and personality.
668000	671000	cognitive ability, mental health, and personality.
671000	674000	These are all factors that have been proven by past experiments.
674000	677000	We put them all together and measured them.
677000	680000	We conducted eight weeks of tests.
680000	683000	These surveyors did a total of 93 instruments.
683000	686000	These surveyors did a total of 93 instruments.
686000	689000	In these eight weeks, they did experiments every day.
689000	692000	In these eight weeks, they did experiments every day.
692000	695000	Each instrument has a specific deployment schedule.
695000	698000	Each instrument has a specific deployment schedule.
698000	701000	Some are done once every two weeks.
701000	704000	Some are done once every two weeks.
704000	707000	The different colors on the top are the surveys
707000	710000	The different colors on the top are the surveys
710000	713000	that have been measured many times.
713000	716000	For example, we measured your anxiety,
716000	719000	For example, we measured your anxiety,
719000	722000	and your personal health questions.
722000	725000	and your personal health questions.
725000	728000	This is related to depression.
729000	732000	This is related to depression.
732000	735000	intertemporal task
746000	749000	risk and ambiguity task
753000	756000	I will talk more about these tasks.
756000	759000	I will also talk about the activity tracker.
759000	762000	We do a one-time schedule.
762000	765000	We do a one-time schedule.
765000	768000	We do it every day for eight weeks.
768000	771000	We do it every day for eight weeks.
771000	774000	We try to make them do it every day for less than three minutes.
774000	777000	We divide the longer schedule into several days.
777000	780000	We divide the longer schedule into several days.
780000	783000	They only do it once,
783000	786000	but some of them will be divided into smaller documents.
786000	789000	but some of them will be divided into smaller documents.
789000	792000	This is the demographic.
792000	795000	This is the demographic.
795000	798000	DOSPR is an economic development tracking tool
798000	801000	DOSPR is an economic development tracking tool
801000	804000	for measuring the likelihood of different domain risks.
804000	807000	for measuring the likelihood of different domain risks.
807000	810000	how willing you are to take the risk.
810000	813000	The risk may be at the moral level,
813000	816000	the risk may be at the moral level,
816000	819000	the economic level, or social level, and so on.
819000	822000	CRT is Cognitive Reflection Task.
822000	825000	CRT is Cognitive Reflection Task.
825000	828000	CRT is a test of cognitive ability.
828000	831000	BSI is a task related to mental health.
831000	834000	BSI is a task related to mental health.
834000	837000	DOSPR measures how likely you are to take the risk.
837000	840000	DOSPR measures how likely you are to take the risk.
840000	843000	DOSPR measures how likely you are to take the risk.
