start	end	text
0	18000	Welcome to today's TerraTalk. I am the host for today, Zhang Yanyong. Today, we are very honored to invite Dr. Hong Shaoming, a physical psychologist, to introduce his research interests to us.
18000	25000	Today's research topic is the complexity of unconscious processing. What else do we need to be conscious of?
26000	42000	Before starting today's lecture, let me introduce Shaoming first. Shaoming graduated from the Department of Psychology of NTU. After obtaining a degree, he obtained a Doctoral Degree in Neuroscience from Duke University, Singapore National University Medical School.
42000	53000	After obtaining a Doctoral Degree in Singapore National University Medical School, he came to the University of California, L.A. to do post-doctoral research.
53000	64000	For most of his research, he asked the question, what is consciousness? Can we process unconscious information? What is the relationship between attention and consciousness?
65000	81000	In order to answer these questions, he spent a lot of time designing experiments. His research tools include psychological and physical methods, magnetic reflection, and recently he has also started to use a brain map and eye tracking devices.
82000	97000	Before we welcome Dr. Hong Shaoming, I would like to ask everyone to mute their microphones so that our speakers can hear our applause.
97000	101000	Let's give a round of applause to thank Shaoming for bringing us today's lecture.
127000	139000	What do you want to explain behind the experiment? What do you want to explain? I would suggest that you pause between the entire research and let everyone ask questions. You can ask more details, etc.
139000	145000	If there are no questions, let's start.
146000	150000	As Dr. Hong mentioned, today we are going to talk about the complexity of unconscious processing.
151000	156000	In the end, I want to spend a little time to discuss if I can prove that unconscious processing is really very complicated.
157000	167000	What do we want to do with consciousness? Why don't our brains be like a computer? We receive an input, process it, and then throw the output out.
167000	172000	We don't need to be surprised by the outside world. Why do our brains need to be surprised by the outside world?
173000	174000	In the end, there will be a little discussion.
175000	190000	As usual, I usually define what consciousness is before I talk. At least what is consciousness in this framework of discussion?
191000	195000	The consciousness I want to discuss is basically related to the content, not the state.
196000	197000	These two are more common.
198000	201000	The meaning of the content is, for example, if I pick up this cup now, I don't know if you can see me.
202000	208000	Anyway, when I pick up the cup and I am conscious of this cup, it means that this cup has entered my consciousness.
209000	212000	The state is, for example, I am very bored now, and after five minutes you may fall asleep.
213000	216000	After you fall asleep, before you have a dream, you are in an unconscious state.
216000	219000	The state is not what we are going to talk about today.
220000	226000	It's all about the sensory stimulus that didn't enter your consciousness.
227000	230000	The consciousness we are going to talk about today is also focused on visual awareness.
231000	235000	We often talk about visual awareness.
236000	251000	I will mix visual awareness with consciousness.
252000	255000	When I say consciousness, I am basically talking about visual awareness in this talk.
256000	261000	The experiments I will show you later and the research I usually do are mostly focused on the visual level.
261000	267000	It doesn't mean that these things can't be discussed in the sense of hearing or touch.
268000	270000	It's just that today's focus is on visual awareness.
271000	276000	Why am I interested in the study of unconscious processing?
277000	282000	One of the points is that according to the information theory,
283000	289000	they have a little estimate of the amount of information we receive every second of our eyes and the content we can probably realize.
289000	293000	The amount of information that the eyes can receive is about 10 to 80 bits, so it's a lot.
294000	295000	We can receive so much information every second.
296000	298000	But the content of our real consciousness is a bit controversial.
299000	302000	It's about a few dozen to a few hundred, up to a thousand bits per second.
303000	305000	You can see a very, very, very big difference.
306000	308000	Simply put, of course, the message is transmitted.
309000	312000	From the moment your eyes receive the message to the moment you realize it,
313000	315000	a lot of information is lost.
316000	320000	Another possibility is that when we process external information in the brain,
321000	324000	even if we process it, the information has never entered our consciousness.
325000	327000	But it's still processed by our brain, and it might still affect our behavior.
328000	331000	What I'm interested in is what kind of information these messages are.
332000	335000	What kind of unconscious content can the brain process?
336000	339000	What kind of information can affect our behavior after processing?
340000	342000	Today's menu is very simple.
343000	344000	I'm talking about three things.
345000	350000	First, I'm going to talk about some early research.
351000	352000	I'm going to talk about some early research.
353000	357000	I want to convince you that a lot of things we think we've seen,
358000	359000	or we think we've realized,
360000	361000	like the two words I just said, I'm going to mix them up.
362000	364000	We don't actually realize or see these things.
365000	369000	These are classic psychological or intellectual research.
370000	373000	Second, I'm going to talk about my main research.
373000	376000	Do we just ignore the things we don't see?
377000	378000	No.
378000	380000	We found in a lot of research that the information we don't see,
381000	382000	the information we don't realize,
383000	385000	your brain can still process it, and it can further affect your behavior.
386000	389000	Finally, let's spend some time talking about why we need to see,
390000	391000	why we need to be aware of,
392000	393000	why we need to feel the outside world,
394000	395000	why we need to have experience.
396000	398000	You can feel it from the use of label symbols,
399000	400000	from the first to the third,
400000	403000	which is more and more speculative.
404000	406000	The third is basically my own personal guess.
407000	408000	You're welcome to jump in and discuss.
409000	410000	For the preliminary part,
411000	415000	I'm going to spend some time convincing you that a lot of things we think we've seen,
416000	417000	but we haven't.
417000	419000	The first is a very common example.
420000	421000	When we look at a picture,
422000	425000	we intuitively think that our visual system or our eyes
426000	429000	are like a camera or a camera.
430000	431000	We look at all the details.
431000	432000	For example, if you look at this picture now,
432000	433000	you'll see an animal in the middle,
434000	435000	a lot of flowers and grass,
435000	436000	and I've seen a lot of details.
437000	438000	The next thing I'm going to show you
438000	440000	is a bit like what we used to play when we were kids.
441000	442000	It's called...
444000	445000	I kind of forgot what it's called now.
445000	446000	But anyway,
446000	448000	what I'm going to show you is that I'm going to move this picture
449000	450000	to one of the places,
450000	452000	and then I'm going to move this original picture and the changed picture
452000	454000	back and forth.
454000	456000	If you look at this picture now,
456000	458000	you can remember all the details,
458000	460000	or you can capture all the details in your eyes.
460000	461000	Once I move it,
461000	463000	you should be able to see it very clearly.
463000	465000	Let's try to see if you can see it.
465000	466000	At this time,
466000	468000	we're going to use the YES function we just talked about.
468000	470000	There should be a hand symbol on the far left of your screen.
470000	471000	When you see
472000	473000	where these two pictures are different,
473000	475000	please press YES right away to let me know.
475000	476000	Okay, let's get started.
480000	482000	These are two different pictures.
482000	483000	There's one little thing that's different.
484000	485000	We have a person who is very good at it.
485000	486000	I saw it in an instant.
492000	494000	Okay, then...
494000	495000	He pressed NO again later.
495000	498000	So now it looks like everyone hasn't seen it yet.
498000	500000	I'll give you another ten seconds.
500000	501000	Then I'll announce the answer.
503000	504000	Oh, some people saw it.
504000	505000	Great.
507000	508000	Then I'll announce the answer.
508000	509000	The answer is here.
509000	510000	This point is different.
511000	514000	So this is called change blindness.
514000	515000	What does this mean?
515000	518000	When we think our visual system
518000	519000	sees the outside world,
519000	521000	it will actually capture all the details.
521000	522000	It's not.
522000	524000	Your visual system will actually ignore a lot of details.
524000	527000	What we think we see is actually not what we see.
527000	529000	So when I make a little change,
529000	531000	I'll show you what's the difference between the two pictures.
531000	532000	You actually can't find it.
532000	534000	Okay, that's the first example.
534000	535000	The second example,
535000	536000	in fact, it's still the same.
536000	537000	Okay, that's the first example.
537000	538000	The second example,
538000	539000	in fact, it's still change blindness.
539000	540000	I think this example is very cool.
540000	542000	It's a progressive change blindness.
542000	544000	Okay, this is actually a video.
544000	546000	I'll play this video later.
