start	end	text
0	7000	Welcome to today's TerraTalk. I am today's host, Zhang Yan-Yong.
7000	13000	We are very honored to invite Dr. Chen Qian-Yong to give us a speech.
13000	16000	Today's topic is from the base to the surface.
16000	26000	The impact of aquatic plants on the surface of the environment and sedimentary sediments in the environment.
27000	32000	Before we start, let me introduce Dr. Chen Qian-Yong.
38000	46000	Dr. Chen Qian-Yong is currently a postdoctoral research associate at Oak Ridge National Lab.
46000	55000	Her main job is in the Hydropower Resilience and Sustainability Project.
55000	60000	Her Ph.D. is in the UIUC Archaeology Department.
60000	75000	Her main focus is on Interfacial Gas Transfer and Sediment Dynamics in Environmental Flows with Aquatic Vegetation.
75000	78000	She is currently in Oak Ridge.
78000	85000	Of course, she does a lot of modeling and numerical simulation.
85000	89000	Before she came to the UIUC and got her Ph.D.,
89000	96000	she got her Bachelor's Degree in Physics from Tsinghua University in Taiwan.
96000	103000	Then she got her Master's Degree in Fluid Mechanics from NTU.
103000	118000	Without further ado, let's welcome Dr. Chen Qian-Yong to give us a wonderful speech.
123000	128000	Thank you for the introduction.
128000	132000	My name is Chen Qian-Yong.
132000	140000	I am currently a postdoctoral research associate at Oak Ridge National Lab.
140000	148000	I am honored to be able to give a lecture on Hydropower Resilience and Sustainability on Taira's platform.
148000	153000	As I mentioned earlier, I expect the audience to be from all walks of life.
153000	158000	So I will try to make my presentation as general as possible.
158000	165000	I hope that everyone will be able to understand some of the topics in the Hydropower Resilience and Sustainability project.
165000	170000	I will mainly focus on the research topics during my Ph.D.
170000	179000	I will introduce how hydropower resilience affects the surface of the environment, and the mechanism of subsurface sedimentation.
179000	187000	I hope to make some small extensions and introduce some of the most popular research topics in our field.
187000	195000	As I mentioned earlier, I hope the whole process will be easier and more discussionable.
195000	200000	If you have any questions, please feel free to contact me.
200000	204000	I will briefly introduce my background.
204000	208000	I graduated from Tsinghua University and majored in physics.
208000	212000	I went to Taiwan University to major in fluid mechanics.
212000	215000	After that, I moved to Illinois.
215000	219000	I majored in soil and environmental engineering at the University of Illinois.
219000	221000	I am a Ph.D. in hydropower engineering.
221000	224000	I just finished my master's degree last month.
224000	231000	So I just moved to the National Laboratory of Hydropower in Tennessee for the first week.
231000	235000	I am a Ph.D. in environmental sciences.
235000	239000	I am a Ph.D. in environmental sciences.
241000	245000	My research during my Ph.D. is mainly focused on hydropower.
245000	251000	Although I am now at Oak Ridge, which is famous for numerical simulation,
251000	254000	my work during my master's degree is mainly numerical simulation.
254000	262000	However, during my Ph.D., I mainly do experiments and image processing.
262000	267000	Basically, I will place different hydropower structures in my hydropower experiments.
267000	270000	I will simulate hydropower in a real environment,
270000	274000	or I will simulate hydropower in a real environment,
274000	276000	and see how it affects the flow of water.
276000	281000	Then we will use high-resolution laser imaging to do hydropower testing.
281000	285000	I will explain the more detailed experiment settings and methods later.
285000	289000	My main field of research is applied in environmental fluid mechanics,
289000	293000	fluid flow experiments, and theory in ecological hydropower.
293000	296000	Before I get into my research topic,
296000	299000	I want to spend some time to introduce
299000	302000	what the Department of Applied Environmental Engineering is doing.
302000	305000	I also want to explain what the Department of Applied Environmental Fluid Mechanics,
305000	308000	fluid flow experiments, and theory in ecological hydropower are.
308000	311000	I hope to give you some basic concepts.
311000	316000	You may have some questions about why I am studying applied fluid mechanics in the Department of Applied Environmental Engineering.
316000	319000	Because people generally have an impression of the Department of Applied Environmental Engineering
319000	322000	that it is about building houses or buildings.
322000	323000	In fact, it is not like that.
323000	328000	The Department of Applied Environmental Engineering has a very wide range of things to study.
328000	330000	For example, if you can see the English name of its department.
330000	331000	It is called Schedule of Engineering,
331000	336000	In fact, in Chinese, we should refer to it as Civil or Jameson Engineering.
336000	338000	Then in Taiwan, generally speaking,
338000	341000	we separate the Department of Applied Environmental Engineering from the Department of Applied Environmental Engineering.
341000	342000	Then, like TAIWEN and JIAUCHEN State University,
342000	343000	there is a Department of Applied Environmental Engineering
343000	346000	and the Department of Applied Environmental Engineering lacks Opining Institute,
346000	348000	a branch of the Department of Applied Environmental Engineering.
348000	349000	Then ChengDinh University,
349000	353000	even has a department of Applied Environmental Engineering.
353000	355000	In addition, the Department of AppliedEnvironmental Engineering is allowed to study mainly heavily in China,
355000	356000	In fact, like in the United States,
356000	360000	generally speaking, the Department of Applied Environmental Engineering and the Department of Applied Environmental Engineering are integrated into a department.
360000	363000	So we call it Civil and Environmental Engineering.
363000	364000	In the field of Applied Environmental Engineering,
364000	368000	in fact, it includes structures, geotechnical,
368000	370000	or transportation, etc.
370000	374000	Then the field of Applied Environmental Engineering is mainly divided into water quality, air pollution, and green energy.
374000	380000	Among them is the water resource engineering, natural disasters, climate change, etc.
380000	383000	are all in the field between Applied Environmental Engineering and Applied Environmental Engineering.
383000	385000	In fact, there are a lot of professors in the Department of Applied Environmental Engineering in the United States
385000	389000	are engaged in research on this area.
389000	390000	OK, good.
390000	392000	Here I want to ask you a question.
392000	394000	I just talked about water resource engineering,
394000	398000	which is the field of my Ph.D. main focus program.
398000	400000	When it comes to water resource engineering,
400000	403000	generally speaking, you will think of what it is about,
403000	406000	what this field is doing.
406000	410000	That is, everyone can express their own impression.
410000	411000	When it comes to water resource engineering,
411000	416000	what do you think of?
416000	418000	Does anyone want to share?
418000	419000	Let me talk about it first.
419000	420000	OK.
420000	421000	I may be a little awkward.
421000	424000	What I think of intuitively is to build a water dam,
424000	428000	or to build a channel, something like that.
428000	429000	Yes, yes.
429000	430000	Yes.
430000	434000	OK, does anyone else want to share?
434000	435000	When it comes to water resource engineering,
435000	440000	what do you think of?
440000	441000	OK.
441000	444000	Everyone may be a little shy.
444000	448000	In fact, I just talked about building a water dam and then a channel.
448000	449000	That's right.
449000	452000	This is indeed what water resource engineering is doing.
452000	454000	Well, roughly speaking,
454000	455000	I like it very much.
455000	457000	Our university has a course
457000	459000	called Water Resource Engineering Discussion.
459000	462000	And in this course,
462000	463000	when the teacher is talking,
463000	465000	I like to use this picture
465000	468000	to roughly explain what water resource engineering is.
468000	469000	Basically, it actually
469000	471000	puts all the water,
471000	475000	that is, the water cycle in the natural world,
475000	479000	to do research on each different component.
479000	481000	I personally like to divide it into
481000	483000	four different sub-fields,
483000	485000	such as aquatics,
485000	486000	groundwater,
486000	487000	aquatics,
487000	489000	water resource planning,
489000	491000	and management.
491000	493000	As I mentioned earlier,
493000	495000	building a water dam or a channel
495000	498000	is more like aquatics.
498000	500000	Because you may have to calculate some fluid mechanics
500000	501000	to know that
501000	503000	what you are going to build
503000	504000	for your dam and base.
504000	506000	So it's actually a bit cross-referential
506000	507000	because you still have to
507000	509000	do some structural engineering
509000	511000	with the traditional earth and wood.
511000	512000	Because they understand the structure
512000	515000	and we understand fluid mechanics.
515000	518000	But water resource engineering is actually mainly
518000	520000	I like to divide it into these four.
520000	523000	I'm actually mainly focused on
523000	524000	environmental fluid mechanics.
524000	526000	And this thing can actually be said to be
526000	528000	one of the components in fluid mechanics.
528000	530000	But it can also be said to be
530000	532000	a university door that comes out independently.
532000	533000	Environmental fluid mechanics
533000	534000	is actually mainly about
534000	535000	how matter
535000	536000	spreads and spreads
536000	538000	in the natural world.
538000	540000	This natural fluid can be water
540000	542000	and it can also be air.
542000	545000	For example, the emission of factory smoke.
545000	547000	And then there's the construction of a water reservoir.
547000	549000	And then the impact on natural water flow.
549000	551000	And then there's the waves of the ocean
551000	552000	and the sea cycle.
552000	554000	Or even the typhoon.
554000	555000	Because I just mentioned that
555000	556000	your natural fluid can be water
556000	557000	or air.
557000	558000	So typhoon
558000	559000	These are actually
559000	560000	environmental fluid mechanics
560000	562000	research areas.
562000	563000	And then I've been talking about
563000	565000	a fluid phenomenon.
565000	566000	It's turbulence.
566000	568000	It's called turbulence in English.
568000	570000	This Chinese can actually be called turbulence
570000	571000	It can also be called turbulence.
571000	573000	So if you've ever been on a plane,
573000	574000	you must have heard of it.
574000	577000	We often have turbulence on the plane.
577000	578000	What about this turbulence?
578000	580000	In fact, in fluid mechanics,
580000	581000	It's also a very popular
581000	583000	It's also a very important topic.
583000	585000	Like the famous physicist
585000	587000	Richard Feynman
587000	588000	once said
