start	end	text
0	6000	Hello everyone, welcome to today's TARA Talk.
6000	11000	TARA stands for Taiwanese Young Researchers Association.
11000	15000	It is a friendly forum for young researchers in Taiwan.
15000	22000	We hold TARA Talk every week and every weekend throughout the year.
22000	27000	The format and content of this talk are very free and diverse.
27000	33000	Researchers can share their academic achievements,
33000	36000	practice online presentations,
36000	40000	or get to know potential future collaborators.
40000	43000	Today's speaker is...
43000	49000	Wei-Zhe, would you like to share your screen?
49000	50000	Okay.
58000	60000	Is it on?
60000	61000	Yes, it is.
61000	64000	Today's speaker is Wei-Zhe Xu.
64000	71000	He is currently a PhD student at the University of Colorado Boulder
71000	80000	in Chemical and Biological Engineering.
80000	88000	Today's talk is on Identifying Signature of...
88000	91000	Sorry, I don't know how to pronounce that word.
91000	98000	Protolytic Stability and Dimerization Properties.
98000	100000	He is a simulator.
100000	105000	He gave a wonderful talk at TARA.
105000	108000	As usual at TARA,
108000	110000	before the talk starts,
110000	120000	we will turn on the microphone and give a warm welcome to Wei-Zhe.
127000	129000	Okay, thank you.
129000	132000	Should I start?
132000	134000	Yes, you can start.
135000	137000	Hello everyone, I am Wei-Zhe Xu.
137000	143000	I am currently a PhD student at the University of Colorado Boulder.
143000	147000	My main interest in this course is to use...
147000	149000	computer molecular dynamics simulations...
149000	152000	to study different biological and physical phenomena...
152000	154000	or develop related algorithms.
154000	159000	Thank you for coming to this talk.
159000	166000	Today's talk is similar to the one I gave at TARA.
166000	171000	This is my first time to use Chinese...
171000	175000	to explain this academic research.
175000	179000	Please let me know if you have any questions.
179000	181000	It's okay to interrupt me.
181000	185000	Without further ado, let's get started.
185000	187000	Today we are going to discuss...
187000	190000	how to use computer simulation...
190000	193000	to find out the factors that affect...
193000	195000	the properties of the permutations.
195000	199000	Before we get into today's topic,
199000	202000	let's take a look at what a permutation looks like.
202000	205000	A permutation is a protein molecule.
205000	208000	It is composed of two amino acids.
208000	212000	The blue one and the yellow one.
212000	214000	They are chain A and chain B.
214000	218000	You may have heard of it.
218000	220000	The biggest relationship between a permutation and humans...
220000	225000	is that it is widely used in diabetes treatment.
225000	229000	For example, there are 34 million people in the US...
229000	231000	who are diabetic.
231000	234000	7 million of them use permutations...
234000	236000	as their main treatment method.
236000	239000	Most of the treatment channels for permutations...
239000	242000	are done through subcutaneous injection.
242000	244000	Diabetic patients...
244000	248000	usually need to be injected 30 minutes before meals.
248000	250000	This means that diabetes patients...
250000	254000	need to be injected 2-3 times a day.
254000	258000	If you need to be injected 2-3 times a day,
258000	260000	it will be very uncomfortable.
260000	263000	The biggest drawback of subcutaneous injection...
263000	266000	is that it is very invasive.
266000	268000	In the past 20 years,
268000	271000	scientists have tried to develop...
271000	274000	non-invasive treatment channels...
274000	279000	to reduce the use of subcutaneous injection.
279000	284000	One of the most potential treatment channels...
284000	286000	is the so-called oral-diphtheria.
286000	288000	20 years have passed.
288000	290000	This research has been going on for more than 20 years.
290000	292000	Why is it that...
292000	295000	we don't hear much about...
295000	298000	oral-diphtheria drugs on the market?
298000	300000	The reason is that...
300000	302000	the development of oral-diphtheria drugs...
302000	305000	has many major challenges.
305000	307000	Most of these challenges...
307000	310000	come from the digestive system of the human body.
310000	314000	The first challenge is that...
314000	317000	when the gastrointestinal tract goes through the human stomach,
317000	320000	gastric acid will destroy the gastrointestinal structure.
320000	323000	The gastrointestinal tract will lose its function.
323000	325000	Basically, this challenge...
325000	327000	has been completely solved...
327000	331000	some time ago.
331000	333000	Most of the mainstream use...
333000	337000	is to use some special materials to protect the gastrointestinal tract.
337000	340000	The gastrointestinal tract can...
340000	342000	This special material...
342000	344000	will not be dissolved in the case of acidity.
344000	346000	This can protect the gastrointestinal tract...
346000	349000	from being corroded by gastric acid.
349000	351000	When leaving the stomach,
351000	353000	the gastrointestinal tract...
353000	355000	will be dissolved.
