start	end	text
0	29000	Thank you very much to the host and thank you very much to the audience for coming today to enjoy the light, and then I am Bo Xuan, and then I am going to talk about the topic here, although there are several English words here, but I think maybe if you are not doing economics, maybe these words, each word guess out what it means, but together do not know what it means, so I will slowly explain that is anyway, the editor will slowly know what I am doing.
29000	47000	What am I doing? Let's start by explaining the topic. First of all, what we are doing is games, so this is the game. I want to use a few minutes to briefly introduce what the theory of the game is, which is a more scientific introduction.
47000	61000	First of all, what is a game? In fact, when you see the game, you may think of online games, table tennis, scissor-paper, or something like that.
61000	74000	In fact, these are all included in this range. For us, the game is actually a mathematical way to describe a strategic environment where we are interacting with people.
74000	93000	As I just said, it actually contains a lot of different situations, such as describing what we eat in our daily life, and we don't know what to eat, so we use scissor-paper to decide. This can also be described, or more complicated, such as a game of Go, which may not be able to play all day.
93000	114000	In fact, it can also be described in such a game theory. It is very comprehensive, but basically it can be divided into two categories in our game. First of all, the first category is Normal Form. I'm not sure what Chinese should be called. Maybe it's called formal expression, but I'll just call it Normal Form.
114000	133000	In the Normal Form, all the players involved in the game all make a move at the same time. It's like scissor-paper. So if you don't know what I'm talking about, you can imagine the environment of scissor-paper. Everyone makes a move at the same time.
133000	150000	The other situation is what I'm going to talk about today, which is Extensive Form. All players make a move at the same time. It's like Go. Everyone makes a move, and then I make a move, and then someone else makes a move. Basically, the game can be divided into these two categories.
150000	175000	Now I'm going to introduce the basic mathematical definition of these two categories. The following two videos are a bit dry. If you have any questions, you can ask me right away if you don't understand the mathematical symbols. First of all, let's look at Normal Form, which is the situation where everyone makes a move at the same time. In this situation, we can actually use three things in mathematics to define it.
175000	190000	First of all, we need to have a collection to say how many players there are now. For example, if two people are playing scissor-paper with me and Gao Xian, then this N is 1 and 2. 1 is me, 2 is Gao Xian.
190000	211000	Next, we need to describe how many moves each person can make. So at this time, for each player i, I will use si to express the number of moves he can make. For example, in scissor-paper, everyone has three moves.
212000	225000	Next, we collect all the people who can make a move into an array. For example, if there are N people, I will collect them into A1 to AN. Then we call it a strategy combination.
226000	241000	Next, the third thing is that I know what strategy combinations there are, and I know how many people are playing. Next, I have to decide who wins and who loses. In this case, we need to use a function to express it. At this time, we call it a payoff function.
241000	264000	So for each player i, this UI is actually a combination of moves from everyone to how many rewards you can get. For example, in scissor-paper, we are playing with Gao Xian. If I make scissors and he makes paper, I win. So in this strategy combination, what I get is 1 and what Gao Xian gets is 0.
265000	270000	It's like this. You can use these three elements to express a strategy environment where you make a move at the same time.
271000	295000	In math, we want to predict what kind of result people will play in this situation. The mathematical prediction we proposed is basically that the most likely result to be played should be the most stable result. At this time, we use a concept called balance to say what is the most likely result.
296000	310000	The concept of balance is actually that it is defined on a strategy combination. We will say that a certain strategy combination is a balance, which means that for each player, if I know what he does, I am not willing to change the move.
310000	331000	So in this case, it means that this is a balance. So if it is expressed mathematically, we say that a strategy combination A is a simple strategy balance, which means that for each player, he actually uses this A-I, which means that it is a move used by players other than I.
332000	345000	So in this case, it means that player I uses this A-I, which is actually better than any other move for his revenge. If this is true for each player, then we say that this is a simple strategy balance.
346000	353000	I want to stop for a few seconds, do you have any questions? If not, I will continue to talk about another part.
354000	358000	OK, then I will continue.
358000	366000	What we have just finished talking about is Normal Form. Next, we will talk about Extensive Form, which is the situation where everyone takes turns to make moves.
