start	end	text
0	4000	Thank you for the introduction, and thank you to the audience.
4000	7000	I don't know how everyone is doing in the different time zones,
7000	10000	but I believe it's Sunday,
10000	12000	and it's almost noon.
12000	13000	Thank you.
13000	17000	I hope you can give me some feedback later.
17000	20000	Let me start by saying that what I'm going to share today
20000	23000	is probably not the level of a seminar,
23000	26000	because it's a research project under development.
26000	31000	The rest of it is still ongoing,
31000	35000	so what I'm going to share with you later will be a preliminary version.
35000	38000	In addition, because it's still under development,
38000	42000	my email will be announced later,
42000	48000	or this video will be released on YouTube, right?
48000	50000	It will be released on YouTube,
50000	52000	so you are welcome to contact me.
52000	57000	But what I'm sharing today hasn't been published yet.
57000	59000	The last one is about to be published,
59000	61000	so that's fine.
61000	65000	So please don't quote it first.
65000	68000	But welcome to give me some advice.
68000	71000	Okay, let's share my screen now.
75000	79000	I'm going to share my screen with you today.
80000	83000	What I'm going to share with you today
83000	87000	is what I've been doing all along,
87000	90000	which is a cross-cultural textbook.
94000	97000	Can you all see it?
97000	101000	This is a design and study of a Chinese textbook
101000	106000	with cross-cultural communication as its direction.
106000	109000	First of all, I want to share these two sentences with you.
109000	111000	One is what Hafiz said.
111000	116000	He said that if we don't have conflicts in this communication,
116000	119000	frankly, it's hard for us to wake up to some things,
119000	122000	and it's hard for us to figure out some things about our own culture.
122000	126000	In addition, this is Mr. Gu Baili.
126000	132000	He was also one of the instructors in my doctoral class.
132000	137000	He said that when we do language learning and teaching today,
137000	140000	we shouldn't say language and culture.
140000	143000	Many of our courses are now called language and culture.
143000	145000	He said that we shouldn't say that.
145000	146000	Why?
146000	149000	Because in fact, language and culture cannot be separated.
149000	152000	So he said that language should be in the culture.
152000	154000	So he thinks that culture is bigger.
154000	157000	Language is just a little bit of a cultural expression.
157000	162000	So he thinks that the expression of language and culture is not in a language system.
162000	168000	In fact, it extends to the actual common purpose of language.
168000	173000	Next, I want to share with you why I did this research.
173000	177000	It started about 20 years ago.
177000	183000	When I was very young, I translated this book.
183000	193000	It is also the first academic paper to study the students of the Chinese Language Center in Taiwan.
193000	198000	The cultural adaptation of these foreign students after they came to Taiwan.
198000	203000	At that time, this scholar was Sister Grace Boyce.
203000	205000	She was a professor of social studies.
205000	207000	She was also a nun.
207000	211000	She was very concerned about the adaptation of these foreign students at the time.
211000	213000	So she did a lot of research.
213000	215000	This research was done very well.
215000	218000	She also won a prize at that time.
218000	220000	So she published it.
220000	226000	I was very honored to be able to translate this book and this paper.
226000	229000	When I finished translating this paper,
229000	233000	it gave me a great personal shock and inspiration.
233000	237000	It turned out that cultural adaptation is such a difficult thing.
237000	241000	At the end of this report,
241000	250000	she gave a lot of suggestions on how to help foreign students adapt to their mother tongue.
250000	253000	Of course, it includes the suggestions of the residents themselves.
253000	255000	How to be mentally prepared.
255000	257000	How to change your attitude.
257000	261000	How to integrate this culture before and after.
261000	267000	But she also gave some suggestions to the language center and teachers.
267000	270000	This was a very fresh thing for me at the time.
270000	277000	She said that the language center also needs to pay attention to the special needs of foreign students.
277000	281000	We need to help them improve their self-level and culture.
281000	287000	And those who are mentally prepared may be in a target country.
287000	290000	Of course, it was in Taiwan at the time.
290000	293000	There may be some cultural resurgence.
293000	298000	She thinks that language teachers should also be fully prepared.
298000	304000	Because they are often the first foreign students to come into close contact with their mother tongue.
304000	311000	So she should become a very rich resource to help these foreign students.
311000	317000	So that they can successfully achieve a local cultural adaptation and public communication.
317000	326000	The biggest inspiration that this book gave me was that language teachers are not just teaching languages.
326000	333000	What she wants to help is cultural adaptation and help her students communicate properly.
333000	338000	So I think that language teachers probably also need some ability to cross the cultural ocean.
338000	343000	To be able to do a good job of native teaching.
343000	346000	This is my opening.
346000	351000	Next, we will continue to share my research motivation and background.
351000	359000	First of all, in our foreign language learning, we will learn from first language to second language.
359000	361000	Or the second second language.
361000	363000	Some people will say this is language 3.
363000	370000	What we often notice is the distance between our mother tongue and our target language.
370000	374000	For example, the Romanian language may be very close.
374000	377000	The Romanian language itself may be very close.
377000	384000	For example, if a French person wants to learn Chinese, the language distance is very far.
384000	389000	We often use this standard to measure language learning.
389000	392000	And measure the difficulty of language learning.
392000	398000	But in fact, we often ignore that the real purpose of language learning is to communicate.
398000	404000	In fact, every language contains the culture behind it.
404000	411000	Is the distance from L1 to L2 equal to the distance of the target language culture?
411000	413000	In fact, sometimes it is not.
413000	417000	So the difficulty of language is not equal to the distance of culture.
417000	424000	For example, maybe learning a similar German and English.
424000	426000	If we are a person with a mother tongue.
426000	428000	Maybe on the cultural distance.
428000	432000	We have not done a deep analysis of this.
432000	436000	Maybe we are on the cultural understanding of German countries.
436000	443000	In fact, it may be more difficult than, for example, the target language of American English.
443000	451000	In recent years, I have been paying a lot of attention to the part of cross-cultural learning.
451000	458000	Therefore, language learning should pay attention to deep learning.
458000	462000	That is, to be able to understand the culture of the target language.
462000	465000	In order to achieve the purpose of proper communication.
465000	470000	So this is also a motivation for me to write.
470000	475000	Next, among the Chinese textbooks mainly in Taiwan.
475000	479000	We see that most of them are still learning in the original.
479000	482000	Among them are some spiritual cultural points.
482000	488000	In fact, I feel that the Chinese textbooks in the United States are almost the same.
488000	490000	But they may have some textbooks.
490000	495000	For example, the IC textbook will particularly emphasize the so-called cultural highlight part.
495000	500000	In addition, we often say that the cultural class in the center of the original cultural class.
500000	503000	It is also often noticed that a professor of old culture.
503000	508000	Including, for example, the study of calligraphy that everyone often sees.
508000	512000	Or it is based on a variety of precepts.
512000	515000	There will be some related activities of wrapping zongzi.
515000	520000	In addition, there is also the so-called information culture of this textbook.
520000	525000	For example, the information of the goal and the country.
525000	529000	Including local people, history, geography.
529000	534000	For example, the Center for International Studies will hold a course on Taiwan today.
534000	540000	Discuss some of Taiwan's news or social phenomena.
540000	544000	For example, this kind of textbook is very familiar to everyone.
544000	549000	Today's Taiwan is probably one of these informational cultural textbooks.
549000	555000	In recent years, there have also been some textbooks with a cross-cultural understanding as the orientation.
555000	558000	For example, this is the teacher of our university.
558000	560000	This is the Taiwan comic book.
560000	562000	Taiwan comic book has a way of writing.
562000	564000	It is a kind of cultural contrast.
564000	566000	For example, the theme is sports.
566000	568000	What is the sport that Taiwanese people like?
568000	570000	What is the sport that Americans like?
570000	573000	What is your participation in sports?
573000	576000	It makes a cross-cultural comparison and explanation.
577000	586000	However, the textbooks written specifically for this kind of behavior culture in cross-cultural communication are still very lacking.
586000	591000	So we see that many of our Chinese students may come to Taiwan.
591000	593000	He still has no way.
593000	598000	Even if his language ability is very high, there is still no way to achieve a purpose of physical communication.
598000	604000	So this set of textbooks, I hope that the starting point of textbooks that can be developed is like this.
604000	608000	It can help learners to have early awareness and understanding.
608000	612000	It may face a cross-cultural difficulty caused by cultural differences.
612000	616000	And reduce the anxiety and confusion in real communication.
616000	622000	In the end, it reaches the goal of being able to communicate with native speakers.
622000	628000	In other words, it is a two-way good communication.
628000	641000	In other words, foreign students can communicate with native speakers at ease based on their own understanding of cultural differences.
641000	647000	At the same time, his own speech can also make native speakers feel at ease and not be offended.
647000	652000	Let's take a quick look at this part of the theory.
653000	655000	First is Helmer Lee.
655000	661000	Helmer Lee was probably the first to bring the theory of cultural courses to language learning.
661000	663000	That's what we just talked about.
663000	667000	In fact, Chinese language learning and Chinese culture learning should include these three elements.
667000	672000	The textbook I made today emphasizes this third element, behavior culture.
672000	681000	Next, we just have to talk about ICC, Intercultural Communication Competence.
681000	683000	Intercultural Communication Competence.
683000	685000	We will probably start with Byron.
685000	689000	Byron's ICC model.
689000	691000	Let's take a quick look at it.
691000	696000	This is an indicator that we wrote on the textbook.
696000	703000	Byron thinks that in terms of cross-cultural recognition, knowledge and behavior,
703000	711000	the five indicators of cross-cultural communication competence are attitude, knowledge, cultural interpretation,
711000	717000	cultural discovery, interaction, and cultural self-awareness.
717000	729000	The key point of Byron's cross-cultural communication competence is not only the ability of a cross-culturalist to express his goal-oriented culture,
729000	742000	but also to make his own culture and goal-oriented culture a link, a comparison,
742000	748000	and become an observer with independent thinking ability.
748000	753000	In fact, he emphasizes a kind of two-way understanding.
753000	756000	Next, we have Fatini's ICC model.
756000	758000	I think everyone is familiar with it.
758000	760000	This is an indicator of cross-cultural communication competence.
760000	771000	It includes several aspects, including human relations, communication, collaboration, and cooperation.
771000	776000	In addition, there are four other components, such as attitudes.
776000	780000	I will briefly talk about them.
780000	786000	These are the key points of cross-cultural communication competence.
786000	795000	Next, we will talk about the third-space theory, which has been valued more and more in recent years.
795000	806000	The third-space theory originates from the theory of Homi Bhabha, an Egyptian scholar.
806000	811000	It has been extended to our cross-cultural teaching.
811000	819000	The concept of the third space is different from the concept of intermediate language.
819000	824000	Intermediate language is a transition process between one language and two languages.
824000	840000	The third space in culture is to create a space of compromise between culture and goal.
840000	849000	It is a dynamic part, but it emphasizes a kind of two-way understanding and observation.
849000	859000	Professor Wu Yongyi also mentioned that learners learn two languages not only to acquire a tool for communication,
859000	864000	but also to improve their cognitive and thinking ability.
864000	877000	Recently, Dr. Zhang Xin also brought the third-space theory to the approach of cross-cultural teaching.
878000	888000	Finally, we will talk about the five C's of the American Foreign Language Teaching Association.
888000	895000	The five C's are the most important indicators of successful foreign language learning.
895000	898000	I especially like this picture.
898000	906000	There are different importance and different aspects in the five C's.
906000	912000	This picture puts the five C's of communication at the center.
912000	920000	Communication consists of three aspects.
920000	930000	Communication is realized by the input and output of four kinds of learning.
930000	940000	Finally, the four C's are closely integrated into the communication ability of language learning.
940000	947000	Let's take a quick look at the relevant parts of cross-cultural teaching.
947000	951000	The first is the interpersonal communication in communication.
951000	957000	It refers to being able to freely communicate with people under the basis of understanding the context.
957000	962000	Sometimes people don't understand the context,
962000	968000	but because they don't understand the context, they can't interact with people in a positive way.
968000	972000	The next is the understanding and interpretation.
972000	975000	Understanding and interpretation are usually placed in language teaching,
975000	983000	but I believe that many foreign language teachers are particularly impressed by this.
984000	988000	Many languages ​​are not equivalent to the meaning of the text.
988000	992000	For example, you are so beautiful today.
992000	996000	Then you say that your eyes and nose are beautiful.
996000	998000	In fact, they understand the meaning of the word,
998000	1002000	but they don't understand the meaning of the word in the context.
1002000	1005000	The real meaning is humility.
1005000	1007000	Next, after understanding,
1007000	1012000	learners should be able to confidently demonstrate it,
1012000	1015000	say it, or write it.
1015000	1021000	The next is the 3P in culture, which we are very familiar with.
1021000	1025000	We can compare this with Hamelin,
1025000	1027000	and there are some similarities.
1027000	1030000	But in fact, in the 5Cs of Apple,
1030000	1036000	it does not refer to the behavioral culture mentioned by Hamelin.
1036000	1039000	But it may be shown in other 5Cs.
1039000	1043000	The next is the connection,
1043000	1052000	which is to expand one's connection to the world and the target language through the learning of a foreign language.
1052000	1055000	The next is the comparison.
1055000	1059000	Comparison is, of course, in our language learning,
1059000	1062000	including language comparison, including cultural comparison.
1062000	1064000	The last is Communities,
1064000	1070000	which is to be able to create a bilingual community activity,
1070000	1077000	or to be able to enter Communities when entering a target language country.
1077000	1082000	What I want to emphasize is that many of our foreign students,
1082000	1086000	for example, they are always in a language center,
1086000	1090000	or they are friends with foreign students.
1090000	1096000	In fact, it is to encourage them to enter the target language Communities.
1096000	1099000	Finally, I would like to quickly say that
1099000	1102000	in fact, this Hamelin,
1102000	1106000	his cultural learning indicators,
1106000	1111000	for me, gave me a lot of inspiration in my writing and teaching.
1111000	1114000	He said how to train yourself,
1114000	1117000	including a comment event,
1117000	1119000	a cultural fairy tale,
1119000	1123000	and how to investigate in a role-play way,
1123000	1128000	as well as the discussion of the values of the target language language culture,
1128000	1130000	cultural understanding and learning,
1130000	1133000	as well as the list of cultural elements.
1133000	1140000	Next, I will briefly introduce the theory of the background of cross-culturalization to you.
1140000	1145000	Then we will enter the concept of the description of my entire textbook.
1145000	1150000	First of all, based on all the cross-culturalization just mentioned,
1150000	1152000	the ability to communicate,
1152000	1155000	and the purpose of reaching a cross-culturalization,
1155000	1159000	we will find that the cross-culturalization comes from two things.
1159000	1162000	The first is that you have to feel comfortable.
1162000	1164000	Language learning has to feel comfortable.
1164000	1168000	The second is that people with goals and countries should feel comfortable and not be offended.
1168000	1172000	So, when I was doing a data collection,
1172000	1174000	I noticed this kind of data collection.
1174000	1175000	Let's take a look.
