start	end	text
0	3000	I graduated from NTU's Agricultural Department.
3000	7000	I'm not here to promote NTU's Agricultural Department,
7000	10000	but I just want to let everyone know
10000	13000	why I do this
13000	17000	and what kind of background it has with us.
17000	21000	So, many people may not have heard of NTU's Agricultural Department.
21000	23000	Many people have heard of Yuan Yi Department
23000	25000	or other Department of Insectology,
25000	27000	or the Department of Science and Technology in the Agricultural Department.
27000	29000	But you may not know much about the Agricultural Department.
29000	32000	But for me,
32000	35000	I think the coolest thing about the Agricultural Department
35000	38000	is that it studies
38000	43000	how to understand the science of our crops.
43000	45000	So, you see, I put here
45000	49000	some of the main grains in the world,
49000	51000	and some of the grains that Taiwanese may not be so familiar with.
51000	54000	For example, corn is very familiar to everyone in Taiwan.
54000	56000	Wheat may not be so familiar.
56000	58000	There are all kinds of beans.
58000	60000	So, it should be wheat.
60000	62000	Then,
62000	65000	Taiwan may be more familiar with rice, rice,
65000	69000	or potatoes, which are not commonly eaten, but may be the main potatoes.
69000	72000	In fact, these are all in the field of agricultural research.
72000	75000	So, what we can study includes their genetics,
75000	78000	that is, we can study which genes have which functions
78000	80000	that may help these plants grow more.
80000	83000	We know which genes make these plants bloom early,
83000	84000	bloom late,
85000	89000	and which genes make it more resistant to water,
89000	93000	drought, or other pathogens.
93000	96000	This is what the genetics want to find.
96000	98000	Another part is biology.
98000	101000	There is another group of teachers and students in the Agricultural Department
101000	103000	who want to know, for example,
103000	105000	how the plants react to water.
105000	107000	It may make it grow taller,
107000	109000	or it may have some compounds in it
109000	111000	that can fight these pathogens.
112000	114000	Or, for example, when there is not enough nutrients,
114000	116000	what method does it need to use
116000	119000	to make these plants grow better in this bad environment?
119000	121000	The last part is statistics.
121000	123000	Statistics is because we need to do experiments,
123000	125000	but we need to have a conclusion that
125000	127000	the results of the experiments I did today
127000	129000	are true or false.
129000	131000	Is it because I just did a lot of experiments,
131000	133000	and I just saw this result,
133000	138000	or is it really because some species may really grow taller than other species,
138000	142000	or some species really produce more rice than other species?
142000	146000	We need to use statistics to verify our results.
146000	149000	So these are what the Agricultural Department does.
149000	151000	But for me, I think the most interesting thing is
151000	155000	how we improve different crops.
155000	157000	So, like we just talked about,
157000	160000	corn, rice, these are what Taiwan often does.
160000	163000	Just like Taiwan has been doing a lot of improvement factories,
163000	166000	we use different ways to improve these crops.
166000	169000	This is what I'm most interested in in the Agricultural Department,
169000	172000	and honestly,
172000	179000	this is also a topic under this framework.
179000	185000	In fact, the improvement of crops is not just what we think of now.
185000	188000	For example, we may want higher corn,
188000	191000	sweeter corn, or richer rice,
191000	193000	or more nutritious rice.
193000	197000	These things were actually done by people
197000	202000	thousands or tens of thousands of years ago.
202000	204000	So in the picture on the left,
204000	209000	you can see that this T-head is actually the ancestor of corn.
209000	212000	Then you will see that the one on the right is our current corn.
212000	215000	You can see that corn used to be a lot different from now.
215000	217000	There used to be a lot of branches,
217000	219000	and each branch would bloom.
219000	221000	Now the corn is a branch,
221000	223000	and there are only two of them.
223000	225000	Maybe one or two of them is the portion of the corn,
225000	227000	which is the part of the corn that we often eat.
227000	231000	So this is actually what the farmers or people in the past
231000	236000	were doing to improve the corn.
236000	240000	So through selection in the field or in nature,
240000	242000	they found that some corn could only grow one tree,
242000	244000	and then they would leave it and continue to grow it,
244000	248000	to see if they could continue to see this kind of performance in the next generation.
248000	250000	Gradually, after generation after generation of selection,
250000	252000	we let the corn from this kind of
252000	254000	originally only one,
254000	256000	one piece,
256000	259000	and then there are several seeds,
259000	261000	slowly become what we see now.
261000	262000	And the old corn,
262000	264000	it actually has a very hard shell on the outside.
264000	266000	In fact, it is very difficult to eat when eating.
266000	267000	That's how it is.
267000	269000	After many generations of selection,
269000	270000	it slowly became what we see now.
270000	272000	This corn has only one main piece,
272000	275000	and then there is a very full portion of corn,
275000	277000	and then there are a lot of granules on it.
277000	284000	This is through generation after generation of selection,
284000	288000	we select those corn that are closer to what we want generation after generation,
288000	290000	and then pass it on to the next generation,
290000	292000	to slowly improve this corn
292000	295000	to the ideal state we feel now.
295000	297000	So it's actually similar on the rice.
297000	302000	If you look at the earliest rice ancestors,
302000	305000	it's actually like grass.
305000	307000	It's laid on the ground,
307000	310000	and then its seeds may have different colors,
310000	312000	such as red or deep purple,
312000	314000	just like the purple rice you see now.
314000	316000	But that color may be on its shell.
316000	319000	The rice we eat now is the white rice inside after the shell has been peeled off.
319000	322000	But in fact, it has its shell on the original rice.
322000	325000	The shell of the rice that was grown before may be red,
325000	326000	because when it fell into the soil,
326000	327000	it would not be so obvious,
327000	330000	and it would not be eaten by birds and so on.
330000	331000	In addition,
331000	334000	the earliest wild rice
334000	336000	may still have a very strong landing.
336000	338000	After it blooms,
338000	341000	it will easily fall off from its shell.
341000	342000	So as long as you peel it off,
342000	344000	the seeds will fall off.
344000	346000	This is to make it easier to spread
346000	348000	and pass on when it is in the wild.
