start	end	text
0	12540	Thank you everyone for coming to the speech on January 22, 2022.
12540	16140	Today's speaker is Dr. Zheng Huaijie.
16140	25800	He obtained a master's degree and master's degree from Taiwan University between 2010 and 2013,
25800	29440	and then stayed for a while at NTU Haiyan.
29640	38440	Later, in 2015, he was a Ph.D. student at Cornell University's Department of Earth and Atmospheric Science.
38440	50440	Last year, he obtained a Ph.D. degree and joined the research team of Fernando Perez from the University of California, Buckeye, California.
50440	56940	He is now implementing a plan, which is the topic he is going to talk about today, the Joe Piter Meets the Earth plan.
56940	66940	He will talk about how to use these softwares in atmospheric and geoscientific applications.
66940	71940	Let's welcome Dr. Zheng Huaijie to give a speech.
71940	76940	Everyone can turn on the microphone to encourage our speaker.
76940	86940	Thank you for your introduction.
86940	89940	Let me share my screen.
89940	95940	Can you see it?
95940	104940	Thank you again for your introduction.
104940	110940	Thank you for coming to listen to my speech.
110940	112940	My name is Zheng Huaijie.
112940	123940	The topic I want to talk about today is the Joe Piter Meets the Earth plan I am implementing as a Ph.D. student at UC Berkeley.
123940	130940	I have posted a link to the video in the chat room.
130940	133940	If you are interested, you can read it yourself.
133940	136940	But what you see should be the same.
136940	142940	The main goal of this plan is to build the first software ecosystem.
142940	147940	If you hear anything you don't understand, please feel free to interrupt me at any time.
147940	150940	Because there may be some Korean words.
150940	153940	I'm not sure if you can understand.
153940	156940	So please feel free to interrupt me at any time.
156940	162940	Why can't I use it?
162940	169940	Today, in the next hour or so, I will divide the content into five parts.
169940	175940	First, I will add some things, including what I am doing now and what I was doing before.
175940	179940	How did these things lead me to this plan?
179940	185940	Before I talk about Joe Piter Meets the Earth, I will talk about what Joe Piter is.
185940	189940	What kind of challenges does earth science currently face?
189940	194940	Finally, we will discuss what the goal of Joe Piter Meets the Earth is and what we have accomplished so far.
195940	199940	The last part is our future prospects and plans.
199940	205940	And we see some efforts being made in the geoscience community.
205940	216940	My own field of research is geoscience, geophysics, earth physics, and geospatial deformation.
217940	220940	Here is a demo.
220940	225940	I will tell you what my research plan is doing.
225940	228940	You can imagine that there is an iceberg in front of you.
228940	232940	There will be some ice cracks on the iceberg.
232940	237940	As the iceberg flows, these cracks will change its position.
237940	244940	If you have a satellite today, you can take a picture of the iceberg every once in a while.
244940	254940	In this way, you can look at these pictures and calculate the movement speed of each crack on the iceberg.
254940	258940	In this way, you can calculate the movement speed of the entire iceberg.
258940	266940	This example is one of my many research plans.
266940	271940	Although most of my research plans are not complete, most of them are like this.
271940	276940	It is to use a very rich set of satellite data to monitor the changes in the ice circle.
276940	286940	This ice circle includes the ice on the earth, including the sea ice, and even the ice on other planets.
286940	289940	Most of these changes are physical changes.
289940	297940	For example, the speed of the iceberg, the change in the water time, the change in the water time of the iceberg, or other physical parameters.
297940	307940	These parameters have a very deep connection to the entire field of earth science, especially the field of global change.
307940	318940	When I joined Cornell in 2015, I started to put my research center on ice science.
318940	323940	I have been doing this for about 6 or 7 years.
324940	335940	When I was using these satellite data, I found that the scale and the amount of data we used was so huge.
335940	341940	Traditional analysis methods sometimes seem to be less efficient.
341940	353940	I have been thinking about how to maintain the efficiency of analysis and academic communication while using a lot of data.
353940	356940	For me, the answer is open science.
356940	358940	This is the era of big data.
358940	368940	Open science means that all the details of your research should be as open as possible to the public.
368940	373940	For example, open your data so that others can easily access it.
373940	376940	Upload your original code or city code.
376940	381940	Everyone can Google your tool as long as they need it.
381940	387940	Even when you have some research results, you can upload your research results.
387940	389940	Whether it's a picture or a video, upload it.
389940	394940	Even cooperate with the media to promote your research.
394940	397940	These things are all open science.
397940	401940	Although it sounds simple, it's actually quite difficult to do.
401940	412940	Because you will find that when you really want to open all your things, data, city code, notes, and results, there will be some challenges.
412940	420940	These challenges are why I joined the Jupiter Meteors team and why I am doing this project now.
422940	425940	So let's talk about Jupiter first.
425940	427940	How much do you know about Jupiter?
427940	429940	This is a public opinion survey.
429940	432940	If you have seen the chat room, I have already posted a link.
432940	438940	You can rename or type your name.
438940	439940	It doesn't matter, I won't confirm.
439940	443940	But you can choose how much you know about Jupiter.
443940	447940	Let me know about everyone's background.
447940	458940	It seems that everyone has heard of Jupiter.
458940	470940	About two-thirds of people have used Notebook or Jupiter Lab.
470940	473940	One-third of the people are using it every day.
474940	479940	It seems that everyone has a certain degree of understanding of Jupiter.
479940	483940	Oh, I have increased to 7.3.
483940	485940	Thank you for your vote.
485940	490940	Everyone voted, so let's move on to the next one.
490940	493940	There will be other questions later, so let's move on to the next video.
497940	500940	If you want me to define what Jupiter is,
500940	508940	I would say that Jupiter is actually a homework system for quantum mechanics.
508940	515940	A homework system means that it can help you complete a task you want to complete.
515940	519940	Of course, your task may have a lot of different work elements.
519940	526940	Jupiter provides different tools to help you meet different needs in your task.
527940	531940	Let me give you an example.
531940	535940	Let's say you have a research idea in your mind.
535940	537940	Then it starts to take shape.
537940	539940	Then you start to explore.
539940	541940	Hey, does this research idea make sense?
541940	545940	You may want to use your computer to download some data.
545940	548940	Then write some programs to analyze.
548940	552940	Initial analysis to see if things are what you think they are.
553940	558940	When you are sure that this project is developable,
558940	567940	you may want to use more resources, such as computing resources.
567940	574940	Or you may want to find other co-authors to implement this project.
574940	577940	To analyze large amounts of data.
577940	584940	Jupiter's tool is to tie all these things together.
584940	588940	So that when you are looking for data,
588940	593940	or when you are doing mass computing,
593940	596940	or when you are cooperating with others,
596940	599940	you can have a common platform to communicate with each other.
599940	605940	You will notice that I put IPython in the center circle.
606940	610940	This is because IPython is actually the predecessor of Jupyter.
610940	616940	IPython was designed by Fernando Pérez 20 years ago.
616940	619940	The original purpose was to write code.
619940	621940	When you are analyzing data,
621940	624940	you want to be able to present what the data looks like in real time.
624940	628940	This concept was invented with IPython.
628940	630940	Then it gradually became popular.
630940	635940	Now we put this project in the next generation of Jupyter.
635940	640940	When we design Jupyter,
640940	653940	in addition to allowing Jupyter tools to allow you to analyze data science,
653940	657940	we also have a very big goal.
657940	662940	We want to be able to communicate with others very well and efficiently
662940	668940	at any stage of the user's use of these tools.
668940	672940	For example, Jupyter Notebook is a file.
672940	674940	You can easily copy it to others.
674940	677940	Then others can get the file directly.
677940	679940	If you have used JupyterHub,
679940	682940	it is actually like a server.
682940	686940	Everyone can log into this server as a different user.
686940	691940	They will save the same image interface.
691940	695940	This interface is based on JupyterLab.
695940	698940	On this platform,
698940	702940	they can use the same data freely.
702940	704940	You can develop different cities.
704940	712940	Others in your team can easily see your city
712940	714940	and communicate directly.
715940	716940	So for some people,
716940	719940	Jupyter provides these tools
719940	723940	to promote a very good community discussion.
723940	725940	Some people think that Jupyter actually represents
725940	730940	a community formed by people using Jupyter.
730940	732940	Among so many tools,
732940	737940	Jupyter has a core tool called Jupyter Notebook.
737940	739940	It used to be called IPython Notebook,
739940	741940	but now it's called Jupyter Notebook.
741940	742940	Now that you've used it,
742940	744940	let's jump over to it.
744940	747940	It's basically a file.
747940	750940	You can save it with a browser.
750940	753940	After saving,
753940	754940	you can see that
754940	756940	this is a professional format
756940	758940	for displaying text and mathematical formulas.
758940	759940	In the same file,
759940	761940	you can construct your city code.
761940	764940	You can write city code and execute it.
764940	766940	You can display interactive results.
766940	770940	You can adjust the parameters here.
770940	774940	You can see what the final image looks like.
774940	775940	The last step is
775940	780940	to simply pass the entire notebook to others
780940	786940	so that they can 100% re-study it.
786940	787940	Here's a picture
787940	789940	to give you a little insight
789940	790940	into how Jupyter Notebook
790940	793940	achieved this goal.
793940	796940	First, when you open a notebook,
796940	800940	it's actually the notebook's service
800940	803940	that turns your computer into a server.
803940	807940	Users need to use
807940	810940	a browser and HTTP protocol
810940	814940	to store the content on the server.
814940	817940	The user's operations
817940	818940	on the server
818940	822940	will be recorded in the notebook file.
822940	826940	When the user needs to compute,
826940	829940	the server will call a computing core,
829940	831940	which is the kernel.
831940	834940	This core may be Python,
834940	836940	but in fact,
836940	838940	if you have a good setup,
838940	840940	it can also use other cores to compute,
840940	846940	such as R, C++, or even Julia.
846940	848940	In the most general use case,
848940	850940	your notebook server
850940	852940	is installed on your own computer.
852940	855940	Your notebook file is also on your computer.
855940	857940	But we can also use the same logic
857940	859940	to install the server
859940	861940	on cloud computing resources
861940	862940	or even on HPC,
862940	865940	which is a supercomputer.
865940	866940	In this way,
866940	868940	these cloud computing resources
868940	869940	or supercomputers
869940	870940	can be upgraded
870940	872940	to become your data processing center.
872940	874940	You can directly log in
874940	876940	to these cloud computing resources
876940	879940	and open your program.
879940	881940	You can get or read data
881940	883940	and analyze it
883940	887940	directly on the same interface.
887940	889940	In this way,
889940	891940	your personal computer
891940	893940	is a place
893940	895940	where you can save
895940	897940	typing and reading results.
897940	900940	Most of the computing
900940	902940	is done on the cloud.
902940	904940	This is what we hope to achieve
904940	907940	through Jupyter Notebook.
910940	912940	That's all for Jupyter.
912940	913940	It's very simple.
913940	914940	Next, I'd like to ask
914940	915940	how well you know about
915940	916940	earth science.
916940	918940	There are five statements here.
918940	921940	They are shallow and deep.
921940	923940	Please choose one
923940	924940	according to
924940	926940	your knowledge level.
928940	930940	Oh, it seems
931940	935940	the result is a little weird.
939940	941940	It seems that
941940	943940	your knowledge about
943940	945940	earth science is
945940	947940	scattered.
947940	949940	It's on average
949940	951940	between A and D.
953940	955940	Some people seem to
955940	958940	be familiar with earth science.
958940	960940	But some people
960940	962940	may not know
962940	964940	what we are doing now.
964940	966940	But it doesn't matter.
966940	968940	Next,
968940	969940	I won't tell you
969940	970940	what earth science is.
970940	972940	But what I want to say is
972940	974940	what challenges we face
974940	975940	as earth scientists.
975940	977940	And how we can solve
977940	978940	these challenges
978940	980940	through Jupyter.
981940	983940	Have you finished voting?
985940	986940	OK, let's move on
986940	988940	to the next video.
991940	993940	For most people,
993940	994940	when it comes to earth science,
994940	995940	you may think
995940	997940	it's just a group of scientists
997940	999940	going out into the wild.
999940	1000940	They collect samples,
1000940	1001940	bring them back to the lab,
1001940	1002940	analyze them,
1002940	1003940	study them,
1003940	1005940	and then write a paper.
1005940	1006940	That's it.
1006940	1007940	That's right.
1007940	1008940	Traditionally,
1008940	1009940	earth science
1009940	1010940	is basically like this.
1010940	1011940	For example,
1011940	1012940	this picture.
1012940	1013940	I took this picture
1013940	1015940	7 or 8 years ago
1015940	1017940	with a Japanese
1017940	1019940	volcanic scientist,
1019940	1021940	Shogo Kimura.
1022940	1023940	We took this picture
1023940	1024940	when we were doing
1024940	1026940	field research in a big oil pit.
1027940	1028940	Traditionally,
1028940	1029940	there's not much information
1029940	1030940	about earth science.
1030940	1031940	Because the information
1031940	1032940	has to be obtained
1032940	1033940	from the wild.
1033940	1034940	Most of the information
1034940	1035940	is written on your notebook.
1035940	1036940	Just a few lines.
1036940	1037940	And then you go back
1037940	1039940	to the lab and process it.
1039940	1040940	But with the emergence
1040940	1041940	of new technology
1041940	1043940	and new methods,
1043940	1044940	for example,
1044940	1045940	like this one.
1045940	1046940	This picture,
1046940	1048940	although this picture
1048940	1049940	is very old,
