start	end	text
0	6000	Welcome everyone to today's TerraTalk.
6000	8000	Today is January 8th.
8000	12000	We are very happy to have Zhang Han with us today.
12000	15000	He is currently serving at the University of Taiwan.
15000	21000	His PhD is at the University of Massachusetts Amherst.
21000	25000	He later entered a biotech industry in Boston.
25000	33000	He then went on to study at Boston University's School of Medicine.
33000	37000	In 2021, he returned to the University of Taiwan
37000	42000	to work as an assistant professor at the Faculty of Medicine.
42000	46000	We are very happy to have him with us today.
46000	58000	As part of Terra's tradition, we would like to invite everyone to turn on their microphones and welcome our speaker.
58000	66000	Please welcome our speaker, Mr. Zhang Han.
66000	72000	You may now share your screen.
96000	106000	Hello everyone, my name is Zhang Han.
106000	110000	As mentioned earlier, I graduated from Boston University in 2016.
110000	116000	After that, I worked at a startup company in Boston.
116000	122000	I returned to the University of Taiwan to work as an assistant professor in 2021.
122000	130000	At the beginning of this talk, I mentioned that I had a duty to report on my research every year.
130000	134000	I have always kept this in mind.
134000	140000	After returning to Taiwan, I rarely go online because I can't get up.
140000	143000	So I would like to make a contribution.
143000	147000	I'm not fully awake today, but I would like to chat with everyone.
147000	153000	My main goal is to share my research with everyone.
153000	162000	If you have any questions about my return to Taiwan, please feel free to ask.
162000	168000	My research is called AI Image Analysis.
168000	172000	My research is based on Google Image.
172000	179000	My research is based on Google Image.
179000	185000	After returning to Taiwan, I have been working on other projects.
185000	191000	I have been working on other projects.
191000	199000	I have been working on other projects.
199000	205000	I have been working on other projects.
205000	213000	I have been working on other projects.
213000	221000	I have been working on other projects.
221000	229000	I have been working on other projects.
229000	237000	I have been working on other projects.
237000	245000	I have been working on other projects.
245000	253000	I have been working on other projects.
253000	261000	I have been working on other projects.
261000	269000	I have been working on other projects.
269000	277000	I have been working on other projects.
277000	285000	I have been working on other projects.
285000	293000	I have been working on other projects.
293000	301000	I have been working on other projects.
301000	309000	I have been working on other projects.
309000	317000	I have been working on other projects.
317000	325000	I have been working on other projects.
325000	333000	I have been working on other projects.
333000	341000	I have been working on other projects.
341000	349000	I have been working on other projects.
349000	357000	I have been working on other projects.
357000	365000	I have been working on other projects.
365000	373000	I have been working on other projects.
373000	381000	I have been working on other projects.
381000	389000	I have been working on other projects.
389000	397000	I have been working on other projects.
397000	405000	I have been working on other projects.
405000	413000	I have been working on other projects.
413000	421000	I have been working on other projects.
421000	429000	I have been working on other projects.
429000	437000	I have been working on other projects.
437000	445000	I have been working on other projects.
445000	453000	I have been working on other projects.
453000	461000	I have been working on other projects.
461000	469000	I have been working on other projects.
469000	477000	I have been working on other projects.
477000	485000	I have been working on other projects.
485000	493000	I have been working on other projects.
493000	501000	I have been working on other projects.
501000	509000	I have been working on other projects.
509000	517000	I have been working on other projects.
517000	525000	I have been working on other projects.
525000	533000	I have been working on other projects.
533000	541000	I have been working on other projects.
541000	549000	I have been working on other projects.
549000	557000	I have been working on other projects.
557000	565000	I have been working on other projects.
565000	573000	I have been working on other projects.
573000	581000	I have been working on other projects.
581000	589000	I have been working on other projects.
589000	597000	I have been working on other projects.
597000	605000	I have been working on other projects.
605000	613000	I have been working on other projects.
613000	621000	I have been working on other projects.
621000	629000	I have been working on other projects.
629000	637000	I have been working on other projects.
637000	645000	I have been working on other projects.
645000	653000	I have been working on other projects.
653000	661000	I have been working on other projects.
661000	669000	I have been working on other projects.
669000	677000	I have been working on other projects.
677000	685000	I have been working on other projects.
685000	693000	I have been working on other projects.
693000	701000	I have been working on other projects.
701000	709000	I have been working on other projects.
709000	717000	I have been working on other projects.
717000	725000	I have been working on other projects.
725000	733000	I have been working on other projects.
733000	741000	I have been working on other projects.
741000	749000	I have been working on other projects.
749000	757000	I have been working on other projects.
757000	765000	I have been working on other projects.
765000	773000	I have been working on other projects.
773000	781000	I have been working on other projects.
781000	789000	I have been working on other projects.
789000	797000	I have been working on other projects.
797000	805000	I have been working on other projects.
805000	813000	I have been working on other projects.
813000	821000	I have been working on other projects.
821000	829000	I have been working on other projects.
829000	837000	I have been working on other projects.
837000	845000	I have been working on other projects.
845000	853000	I have been working on other projects.
853000	861000	I have been working on other projects.
861000	869000	I have been working on other projects.
869000	877000	I have been working on other projects.
877000	885000	I have been working on other projects.
885000	893000	I have been working on other projects.
893000	901000	I have been working on other projects.
901000	909000	I have been working on other projects.
909000	917000	I have been working on other projects.
917000	925000	I have been working on other projects.
925000	933000	I have been working on other projects.
933000	941000	I have been working on other projects.
941000	949000	I have been working on other projects.
949000	957000	I have been working on other projects.
957000	965000	I have been working on other projects.
965000	973000	I have been working on other projects.
973000	981000	I have been working on other projects.
981000	989000	I have been working on other projects.
989000	997000	I have been working on other projects.
997000	1005000	I have been working on other projects.
1005000	1013000	I have been working on other projects.
1013000	1021000	I have been working on other projects.
1021000	1029000	I have been working on other projects.
1029000	1037000	I have been working on other projects.
1037000	1045000	I have been working on other projects.
1045000	1053000	I have been working on other projects.
1053000	1061000	I have been working on other projects.
1061000	1069000	I have been working on other projects.
1069000	1077000	I have been working on other projects.
1077000	1085000	I have been working on other projects.
1085000	1093000	I have been working on other projects.
1093000	1101000	I have been working on other projects.
1101000	1109000	I have been working on other projects.
1109000	1117000	I have been working on other projects.
1117000	1125000	I have been working on other projects.
1125000	1133000	I have been working on other projects.
1133000	1141000	I have been working on other projects.
1141000	1149000	I have been working on other projects.
1149000	1157000	I have been working on other projects.
1157000	1165000	I have been working on other projects.
1165000	1173000	I have been working on other projects.
1173000	1181000	I have been working on other projects.
1181000	1189000	I have been working on other projects.
1189000	1197000	I have been working on other projects.
1197000	1205000	I have been working on other projects.
1205000	1213000	I have been working on other projects.
1213000	1221000	I have been working on other projects.
1221000	1229000	I have been working on other projects.
1229000	1237000	I have been working on other projects.
1237000	1245000	I have been working on other projects.
1245000	1253000	I have been working on other projects.
1253000	1261000	I have been working on other projects.
1261000	1269000	I have been working on other projects.
1269000	1277000	I have been working on other projects.
1277000	1285000	I have been working on other projects.
1285000	1293000	I have been working on other projects.
1293000	1301000	I have been working on other projects.
1301000	1309000	I have been working on other projects.
1309000	1317000	I have been working on other projects.
1317000	1325000	I have been working on other projects.
1325000	1333000	I have been working on other projects.
1333000	1341000	I have been working on other projects.
1341000	1349000	I have been working on other projects.
1349000	1357000	I have been working on other projects.
1357000	1365000	I have been working on other projects.
1365000	1373000	I have been working on other projects.
1373000	1381000	I have been working on other projects.
1381000	1389000	I have been working on other projects.
1389000	1397000	I have been working on other projects.
1397000	1405000	I have been working on other projects.
1405000	1413000	I have been working on other projects.
1413000	1421000	I have been working on other projects.
1421000	1429000	I have been working on other projects.
1429000	1437000	I have been working on other projects.
1437000	1445000	I have been working on other projects.
1445000	1453000	I have been working on other projects.
1453000	1461000	I have been working on other projects.
1461000	1469000	I have been working on other projects.
1469000	1477000	I have been working on other projects.
1477000	1485000	I have been working on other projects.
1485000	1493000	I have been working on other projects.
1493000	1501000	I have been working on other projects.
1501000	1509000	I have been working on other projects.
1509000	1517000	I have been working on other projects.
1517000	1525000	I have been working on other projects.
1525000	1533000	I have been working on other projects.
1533000	1541000	I have been working on other projects.
1541000	1549000	I have been working on other projects.
1549000	1557000	I have been working on other projects.
1557000	1565000	I have been working on other projects.
1565000	1573000	I have been working on other projects.
1573000	1581000	I have been working on other projects.
1581000	1589000	I have been working on other projects.
1589000	1597000	I have been working on other projects.
1597000	1605000	I have been working on other projects.
1605000	1613000	I have been working on other projects.
1613000	1621000	I have been working on other projects.
1621000	1629000	I have been working on other projects.
1629000	1637000	I have been working on other projects.
1637000	1645000	I have been working on other projects.
1645000	1653000	I have been working on other projects.
1653000	1661000	I have been working on other projects.
1661000	1669000	I have been working on other projects.
1669000	1677000	I have been working on other projects.
1677000	1685000	I have been working on other projects.
1685000	1693000	I have been working on other projects.
1693000	1701000	I have been working on other projects.
1701000	1709000	I have been working on other projects.
1709000	1717000	I have been working on other projects.
1717000	1725000	I have been working on other projects.
1725000	1733000	I have been working on other projects.
1733000	1741000	I have been working on other projects.
1741000	1749000	I have been working on other projects.
1749000	1757000	I have been working on other projects.
1757000	1765000	I have been working on other projects.
1765000	1773000	I have been working on other projects.
1773000	1781000	I have been working on other projects.
1781000	1789000	I have been working on other projects.
1789000	1797000	I have been working on other projects.
1797000	1805000	I have been working on other projects.
1805000	1813000	I have been working on other projects.
1813000	1821000	I have been working on other projects.
1821000	1829000	I have been working on other projects.
1829000	1837000	I have been working on other projects.
1837000	1845000	I have been working on other projects.
1845000	1853000	I have been working on other projects.
1853000	1861000	I have been working on other projects.
1861000	1869000	I have been working on other projects.
1869000	1877000	I have been working on other projects.
1877000	1885000	I have been working on other projects.
1885000	1893000	I have been working on other projects.
1893000	1901000	I have been working on other projects.
1901000	1909000	I have been working on other projects.
1909000	1917000	I have been working on other projects.
1917000	1925000	I have been working on other projects.
1925000	1933000	I have been working on other projects.
1933000	1941000	I have been working on other projects.
1941000	1949000	I have been working on other projects.
1949000	1957000	I have been working on other projects.
1957000	1965000	I have been working on other projects.
1965000	1973000	I have been working on other projects.
1973000	1981000	I have been working on other projects.
1981000	1989000	I have been working on other projects.
1989000	1997000	I have been working on other projects.
1997000	2005000	I have been working on other projects.
2005000	2013000	I have been working on other projects.
2013000	2021000	I have been working on other projects.
2021000	2029000	I have been working on other projects.
2029000	2037000	I have been working on other projects.
2037000	2045000	I have been working on other projects.
2045000	2053000	I have been working on other projects.
2053000	2061000	I have been working on other projects.
2061000	2069000	I have been working on other projects.
2069000	2077000	I have been working on other projects.
2077000	2085000	I have been working on other projects.
2085000	2093000	I have been working on other projects.
2093000	2101000	I have been working on other projects.
2101000	2109000	I have been working on other projects.
2109000	2117000	I have been working on other projects.
2117000	2125000	I have been working on other projects.
2125000	2133000	I have been working on other projects.
2133000	2141000	I have been working on other projects.
2141000	2149000	I have been working on other projects.
2149000	2157000	I have been working on other projects.
2157000	2165000	I have been working on other projects.
2165000	2173000	I have been working on other projects.
2173000	2181000	I have been working on other projects.
2181000	2189000	I have been working on other projects.
2189000	2197000	I have been working on other projects.
2197000	2205000	I have been working on other projects.
2205000	2213000	I have been working on other projects.
2213000	2221000	I have been working on other projects.
2221000	2229000	I have been working on other projects.
2229000	2237000	I have been working on other projects.
2237000	2245000	I have been working on other projects.
2245000	2253000	I have been working on other projects.
2253000	2261000	I have been working on other projects.
2261000	2269000	I have been working on other projects.
2269000	2277000	I have been working on other projects.
2277000	2285000	I have been working on other projects.
2285000	2293000	I have been working on other projects.
2293000	2301000	I have been working on other projects.
2301000	2309000	I have been working on other projects.
2309000	2317000	I have been working on other projects.
2317000	2325000	I have been working on other projects.
2325000	2333000	I have been working on other projects.
2333000	2341000	I have been working on other projects.
2341000	2349000	I have been working on other projects.
2349000	2357000	I have been working on other projects.
2357000	2365000	I have been working on other projects.
2365000	2373000	I have been working on other projects.
2373000	2381000	I have been working on other projects.
2381000	2389000	I have been working on other projects.
2389000	2397000	I have been working on other projects.
2397000	2405000	I have been working on other projects.
2405000	2413000	I have been working on other projects.
2413000	2421000	I have been working on other projects.
2421000	2429000	I have been working on other projects.
2429000	2437000	I have been working on other projects.
2437000	2445000	I have been working on other projects.
2445000	2453000	I have been working on other projects.
2453000	2461000	I have been working on other projects.
2461000	2469000	I have been working on other projects.
2469000	2477000	I have been working on other projects.
