start	end	text
0	1500	Recording has started.
4280	6720	Okay, thank you for the introduction, Ya-Hui.
6720	11600	And thank you all for coming to listen to my PhD thesis
11600	13000	or my research,
13000	15440	my research over the past few years.
15440	17840	Yes, I'm Gao Xian, Lin Gao Xian.
17840	21160	And I'm currently at the University of Belize
21160	22520	taking my PhD class.
22520	24840	And the topic I'm going to share with you today
24840	27200	is Occult Research in Parental Burnout,
27200	28880	Theory and Application.
28880	31560	It's a cultural research on parental burnout.
31560	35240	Okay, when I give a speech on this topic,
35240	37360	I usually ask my audience,
37360	38400	we can imagine,
38400	41520	or some of us may already have some youthful experience.
41520	46680	What do you think it would feel like to be a parent?
46680	48200	We'll probably spend some time,
48200	49560	probably a few seconds,
49560	50680	or even a minute,
50680	51640	to think about,
51640	52840	if you were a parent,
52840	55520	what kind of feeling would you usually feel?
55520	57600	Most of the audience,
57600	58720	or most parents,
58720	59320	would probably feel,
59320	62200	like it's shown in this picture,
62200	63600	we would feel that
63600	66760	parenthood is a place full of happiness,
66760	68480	full of excitement,
68480	71000	full of satisfaction.
71000	72600	When we see our kids, we think they're so cute.
72600	74720	We think they're very innocent,
74720	77560	very innocent.
77560	79960	But in the past few years,
79960	82320	when we were in our IQ test,
82320	85680	when we were actually interacting with our parents,
85680	87720	we started to realize that
87720	91240	some parents don't feel
91240	94880	that they have this kind of positive feeling.
94880	96920	Some parents would tell us that
96920	98720	they felt
98720	100880	they were filled with a strong sense of bondage,
100880	104360	as if they were crushed
104360	106440	by the role of being a parent.
106440	107800	They even told us that
107800	110360	they felt they couldn't do anything for their kids.
110360	112360	They could only do what they had to do.
112360	114160	They couldn't do anything else.
114160	115800	Some parents even felt
115800	117520	that they couldn't bear
117520	119480	the role of being a parent anymore.
119480	121800	Some parents even told us that
121800	123840	they felt they were no longer
123840	127560	the good parents they used to be.
127560	129600	In fact, this kind of testimony
129600	132560	or this kind of report
132560	133440	is too diverse.
133440	134800	We hear too often
134800	138880	that our parents report this kind of experience.
138880	140160	As researchers,
140160	141520	we really want to understand
141520	143800	why they have this kind of feeling.
143800	148600	So we started to try to define
148600	150600	what kind of phenomenon this is.
150600	152400	So, over the past few years,
152400	159520	our team has defined a new feeling
159520	161680	or a new symptom.
161680	163440	We call it a parental burnout
163440	166560	or a new concept of parental burnout.
166560	168160	This concept includes
168160	171040	the various symptoms
171040	173040	we just talked about,
173040	175560	including the feeling of
175560	177280	being in a parental role
177280	179840	or a sense of distance
179840	181120	between you and your kids.
181120	182920	It's an emotional distancing.
182920	185200	So, you can only do
185200	186240	what you have to do for them
186240	188560	and you can't do anything
188560	193360	for them emotionally.
193360	194800	You may even feel
194800	197240	that you are burdened
197240	201040	with the sense of responsibility
201040	202360	of being a parent.
202360	203600	Or you may even feel
203600	205200	that you have a different feeling
205200	206720	from the past.
206720	211160	It's a contrasting experience.
211160	212280	We know that
212280	214400	if there is a parental burnout,
214400	216000	if parental burnout
216000	218200	really exists
218200	219880	as our researchers say,
219880	221880	we may be curious
221880	224280	about the importance
224280	225640	of parental burnout.
225640	227560	Why do we need to care about it?
227560	228680	I can tell you
228680	229760	that in our past research,
229760	230960	we found that
230960	232480	parental burnout
232480	235080	has a serious impact
235080	236080	on our parents
236080	237000	and our kids.
237000	238680	It affects their mental and physical health.
238680	239840	For example,
239840	240800	we found that
240800	242640	parental burnout
242640	245200	strongly affects our parents.
245200	247120	Especially the parents
247120	248840	with parental burnout.
248840	250560	They are more likely
250560	251800	to want to escape
251800	253160	their current life
253160	256520	and their family life.
256520	258960	This kind of ideation
258960	260720	has a strong effect
260720	263960	on their suicide.
263960	265520	It's a very important
265520	267080	cause of mental and physical health.
267080	267960	On the other hand,
267960	270680	we often see that
270680	274120	parents with parental burnout
274120	275840	tend to be violent
275840	278200	to their kids
278200	280080	or ignore the needs
280080	281320	of their kids
282760	284800	and misbehave.
284800	286760	It's not surprising
286760	288080	that if our parents
288080	289880	have parental burnout,
