start	end	text
0	14000	Welcome everyone to TARA Talk, which will be held on Feb. 19, 2022, which is already Feb. 20 in Taiwan.
14000	32000	Today's speaker is Cai Wei, whose theme is Process Optimization and Economic Assessment for Reducing Carbon Emissions by Converting CO2 to Dimethyl Ether with Renewable Hydrogen.
32000	44000	Cai Wei is a Ph.D. student majoring in chemical engineering at NTU. He began his research on carbon dioxide when he was in his junior year of chemical engineering at NTU.
44000	50000	At the time, his main research was on how to capture carbon dioxide from a power plant to gas.
50000	58000	After graduating, he worked in the industry for a few years before joining NTU's Ph.D. program in chemical engineering.
58000	67000	He majored in program system engineering, chemical engineering, program design, and program optimization.
67000	72000	Cai Wei furthered his research at NTU's Ph.D. program.
72000	83000	At NTU, he mainly studied how to convert carbon dioxide into a high-quality chemical product or fuel.
83000	89000	After graduating from NTU's Ph.D. program, he worked as a chemical engineering design engineer.
89000	94000	He learned the difference between academic papers and practical applications.
94000	99000	He hopes that his research can consider more practical applications.
99000	107000	His research usually includes the economic assessment of the process and the practical aspects of process control design.
108000	113000	Now, let's welcome Cai Wei to share her research.
113000	117000	Hello, everyone. Can you hear me?
117000	119000	Hello, everyone. I'm Cai Wei Wu.
119000	122000	Thank you for your introduction, Bo Ting.
122000	134000	Thank you, Project Taira, for giving me the opportunity to share my research with my friends and audience from afar.
134000	136000	Hello, everyone. I'm Cai Wei Wu.
136000	139000	I majored in chemical engineering at NTU's Ph.D. program.
139000	142000	I majored in chemical engineering.
142000	151000	Today, I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
151000	157000	I'm going to share my research with my friends and audience from afar.
157000	172000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
172000	185000	I'm going to share my research with my friends and audience from afar.
185000	197000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
197000	205000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
205000	215000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
215000	224000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
224000	234000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
234000	244000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
244000	254000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
254000	264000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
264000	274000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
274000	284000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
284000	294000	I'm going to share my research on converting carbon dioxide into a high-quality chemical product or fuel.
