start	end	text
0	3000	Thank you, Yen-Yung.
3000	9000	We have talked about how to join Project Terra.
9000	14000	Today, we are going to start the lecture.
14000	17000	Before we start, let me introduce the speaker.
17000	23000	Today's speaker is Professor Hsieh Ming-Hsiu from Sydney University of Science and Technology.
23000	28000	Professor Hsieh is also a senior at NTU.
28000	34000	In 2008, he got his Ph.D. from the University of Sydney.
34000	39000	He has worked in Japan and Cambridge.
39000	51000	His research direction from Ph.D. to now is related to quantum computer and quantum information.
51000	56000	His more detailed direction is related to quantum information.
56000	68000	From the beginning of error correction to focus on quantum machine learning and different projects.
68000	75000	Next, Professor Hsieh will introduce his research.
75000	81000	By the way, I would like to promote that NTU will have a team this year.
81000	88000	I hope we can work on quantum computing together.
88000	94000	If you are interested, I believe Professor Hsieh can introduce the team later.
94000	97000	There are electrical engineering and physics.
97000	100000	I think this is a big project.
101000	106000	I hope Professor Hsieh can introduce the team later.
106000	111000	I believe this project is good for Taiwan's research.
111000	114000	Professor Hsieh, you can start.
114000	118000	Hello everyone, my name is Hsieh.
118000	121000	Thank you, Hsieh Ming-Hsiu.
121000	126000	I am very happy to share with you today.
126000	135000	The Minister of Science and Technology has a SOC in NTU.
135000	137000	System on Chip.
137000	140000	They have a front page.
140000	146000	They will find some front page topics every year.
146000	150000	This year they chose quantum computation.
150000	153000	They invited me to give a speech.
153000	156000	Ted just mentioned that.
156000	163000	Now Taiwan is starting to pay attention to quantum computation.
163000	168000	Hardware or software development.
168000	172000	The Ministry of Science and Technology has started to invest.
172000	175000	Of course, there are many in Taiwan.
175000	178000	But there are very few overseas.
178000	182000	This year, there are about 7,000 to 7,500 million.
182000	191000	Now they have set up a center for quantum technology in NTU.
191000	193000	It's a five-year plan.
193000	195000	There are 50 million in a year.
195000	197000	The Ministry of Science and Technology has 25 million.
197000	200000	The Ministry of Education has 25 million.
200000	205000	I am also in charge of the International Advisory Board.
206000	211000	After Taiwan started to invest in this place.
211000	213000	There are many opportunities.
213000	216000	If you happen to be in the field.
216000	220000	In fact, there are many people in this field.
220000	223000	Because quantum computing is a very cross-field.
223000	225000	You can also find it in my talk later.
225000	227000	It also has a lot to do with CS.
227000	230000	It also needs to do these things now.
230000	234000	For example, quantum control needs to be micro-wave controlled.
234000	237000	So traditional micro-wave people can also come in.
237000	242000	Then look at what your process is.
242000	244000	Semiconductor talents can also come in.
244000	246000	Superconductor talents can also come in.
246000	249000	These classic physics people can also come in.
249000	255000	So no matter what field you are.
255000	258000	Engineering, science, or electronics.
258000	262000	As long as you are interested in quantum computing.
262000	264000	You can come in very quickly.
264000	269000	In fact, I also studied a master's degree in Taiwan University.
269000	270000	It's a telecommunications company.
270000	273000	Then I went to Nanyang University to study for a doctorate.
273000	276000	I just switched to quantum error correction.
276000	279000	Then slowly do some information computation.
279000	283000	Then I did a lot of other things.
283000	288000	So what is it like to cross-field with students from science and engineering colleges?
293000	296000	Some background introduction.
296000	297000	Then there's my talk.
297000	303000	Because I mainly prepared for the SOC workshop.
303000	304000	It's only 40 minutes.
304000	308000	So I probably only have 40 minutes of material.
308000	311000	Then you can use Q&A later.
311000	315000	See what kind of questions you have about this direction.
315000	317000	You can bring it up.
317000	320000	Of course, in the middle of my report later.
321000	325000	You can also bring up any questions you have.
325000	328000	Let me remind you.
328000	329000	Sorry.
329000	332000	Because we have a lot of participants today.
332000	333000	So we have a prediction.
333000	337000	The microphone is off when everyone enters.
337000	339000	So if you want to ask a question.
339000	342000	Please click on the microphone icon above.
342000	347000	This way you won't feel ignored.
347000	351000	We usually welcome questions at any time.
351000	354000	But I'm afraid there's a lot of responses today.
354000	355000	So when you ask a question.
355000	358000	Please click on the icon.
358000	361000	Okay, let's get started.
361000	366000	Okay, I'll continue my report.
366000	370000	This is my title page.
370000	374000	I mainly want to introduce some.
374000	376000	Because we know that machine learning.
376000	379000	Now it's a very popular topic.
379000	382000	Quantum Computation is another popular topic.
382000	385000	Quantum Computation.
385000	389000	Basically, everyone has a vague idea about it.
