start	end	text
0	6000	我PhD的研究主要是在
6000	9000	Microfluidics for Single Cell Analysis
9000	12000	那在Biology的Content裡面
12000	15000	我主要專注於癌症的研究
15000	18000	因為我們一般相信在癌症上
18000	22000	細胞之間的抑制性更強
22000	26000	像是說我們在治療癌症的時候
26000	29000	總是會有一些抗藥的細胞
29000	31000	可以治療
31000	34000	所以如果我們可以用Single Cell Analysis
34000	37000	看到每個細胞不同的特性
37000	40000	並找到那些具有抗藥性的細胞
40000	42000	鎖定他們做治療
42000	44000	我們認為可以讓
44000	47000	治療的效率更好
47000	51000	那我整個研究的範圍
51000	54000	分兩個階段
54000	58000	那這部分也是今天要跟大家分享的部分
58000	61000	第二個部分也是我現在在做的
61000	64000	因為還沒有發表論文
64000	67000	所以這邊還沒有放上來
67000	71000	但是整個大方向就像剛剛Jack所介紹的
71000	75000	我抓回一個Sample Preparation的Chip
75000	78000	可以讓這個
78000	81000	可以從病人的血液裡面
81000	83000	萃取出Circulating Tumor Cells
83000	86000	我們藉由這些在血液中的癌細胞
86000	89000	獲得他的基因表現資訊
89000	92000	那這些基因表現資訊就可以
92000	95000	讓我們知道說這些病人
95000	97000	我們可以用怎樣的藥物來做治療
97000	99000	會有更好的效果
99000	102000	現在來說要知道這些基因表現的資訊
102000	107000	一般都是用整個腫瘤的切片
107000	110000	換言之就是要一個
110000	113000	要開刀會比較有侵入性
113000	116000	然後同時成本也會比較高
116000	120000	那今天我就以Phenotypic Assay這邊
120000	121000	跟大家分享
121000	123000	那在Technology的Development上面
123000	126000	我主要是Focusing on Scaling and Automation
126000	130000	在這個High-throughput Single-Cell Device Sphere Assays
130000	133000	我首先會跟大家介紹說
133000	136000	為什麼我們想要做這個Tumor Sphere Assay
136000	139000	那其實目的就是要去研究這些
139000	141000	Tumor Initiating Cells
141000	142000	那在這個過程中
142000	143000	我會跟大家分享
143000	148000	為什麼我們需要去Scale Up這個Assay
148000	150000	然後Automate這個Assay
150000	151000	接著我會跟大家介紹
151000	154000	我怎麼Enable這件事情
