start	end	text
0	7000	這樣有看到我的螢幕嗎?
7000	15000	有,我會把我的攝影機也關掉,這樣會比較順。
15000	17000	好,可以。
17000	24000	我先跟大家講一下,我們現場還有另外兩個人,一個在這邊,一個在那邊,攝影機可能看不到。
24000	34000	所以同時我們這邊有三個人,就先讓你們知道,如果我回頭看旁邊的人是他們有問題的話,不要訝異那個是真的人。
34000	40000	不好意思,因為剛剛因為有一些麥克風的問題,所以我們現在延遲到現在才開始。
40000	50000	那我今天要講的主題有點,看起來有點難懂,因為它就是functional connectivity and dynamics,還有burn organization的東西。
50000	58000	但其實簡而言之,我研究的主要的目的都是在看大腦不同區域之間的功能性連結。
58000	69000	那所謂的功能性連結,其實追根究底就是神經元在活化的時候會產生的神經訊號,就是這些神經訊號是如何在不同的大腦之間傳導的。
69000	77000	那這個主要是今天要做的事情,其實我大概會分成兩個部分,前一個部分是introduction。
77000	92000	introduction其實是一些比較general的background idea,就是不是做神經理上的人可能會需要先知道一些東西,這樣我們比較好解釋之後著重的其中一個研究。
92000	110000	那後面從current message那個地方,就是針對某一個特殊的project,後面那些東西全部都是針對那個project的,所以前半段其實有點像是比較科普一點點的,那後半段是比較著重在那個研究。
111000	124000	然後我稍微看一下大家的背光,好像有很多人是純理工的,所以我覺得可能稍微先跟大家講一下神經科學到底在做什麼,就大家有個大概的概念。
125000	140000	其實我從網路上看到的,簡而言之,神經科學是一個非常整合性的研究,因為它包含的有一些化學、藥學、生理學、醫學,甚至電腦科學跟工程,有很多很多綜合在一起的學科。
140000	158000	然後以現代神經科學分類的角度來看的話,你可以看到有研究細胞的,還有是研究神經迴路的,如果說你把那個scale放大一點的話,還有是認知科學的,比較像是行為科學的。
158000	176000	最後面還有一個是轉移醫學,也就是說把實驗室裡面所做的東西應用到臨床上面。那如果你另外的一種分法的話,就是分microscale、mesoscale跟macroscale,這三個其實就是後面的括弧,就是講他們的實際做的東西。
176000	201000	像第一個是神經元跟神經元之間的,就是他研究的主題是神經跟神經之間的。那這個其實,我修正一下,前面這個比較像是研究單一神經元,後面的話是研究神經元之間的連結,那最後一個最大的scale是研究不同區域之間的連結,那所以後面這個最大scale的就比較像是我做的東西。
202000	225000	然後同時,我做的東西會涵蓋後面這三個部分。我就用一句比較簡單的話,主要在做的就是所謂的神經性連結,那我們後面常常你會聽到我想所謂的functional connectivity,那這個字的意思其實就是我們在探討不同腦區之間的連結性,看不同腦區之間是如何溝通的。
225000	241000	那另外有一個重點是我們希望看不同腦區的這種關係如何連結到人類的行為,比如說他們在臨床上面的表現啊,或者是他們在做一些認知科學上面的作業的時候,他們的行為跟反應。
241000	265000	好,那由於之後我會一直講到所謂的functional connectivity,所以現在先針對這個字來做一些介紹。我覺得最方便可以理解的就是舉個例子,那如果你有,有些人有念心理學,我知道有些人好像是心理學跟有點認知科學背光的,那應該會有聽過有一些理論,我就用他們來做舉例。
265000	288000	左邊這個呢,叫localization,呃,簡而言之就是科學家們在研究大腦功能或者人類的行為的時候,他們所希望去做的事情是,嗯,把一些功能我們可以查給說哪一個大腦區是專門負責那個功能的,就像這其實是網路上找到一個有點是FMI的結果。
288000	312000	你看到這三個有顏色的區域,就代表這個受試者在做某一件事情的時候,這三個區域的神經元在活化,然後這個是比較傳統一點的理論,他們會覺得,呃,我要想辦法去有點像是,呃,歸類出到底哪一個大腦區是負責哪一個功能,哪一件事情。
312000	341960	那另外一個叫distributed brain networks,這有一點,嗯,其實從很久以前這兩大學派就是在打架,但最近的因為一些比較新的研究方式出現了,所以大部分的人會覺得這個可能比較像我們所期待的人類大腦,那在這個新的學這個學派裡面,他們的重點而不是在研究單一的腦區,而且他們要看到去之間的功能性,就是這個黃色箭頭,比如說這個腦區,他可能把訊息傳給
342000	371960	這一個,那他同時又把訊息傳給這一個,那他這一個區域又把訊息傳給他,所以他同時接受了有回饋,又把他的,呃,神經元的訊號給丟給這邊這個區域,所以右邊這個圖比較會像我現在做的事情,這也就是我們所謂的functional connectivity,著重是在不同腦區之間的溝通,好,這主要是告訴你們什麼,什麼是,呃,我們所謂的functional connectivity是什麼?
372000	401960	那至於我們到底是怎麼研究他,要怎麼用什麼樣的方式才可以,呃,測量到所謂的functional connectivity呢?呃,以統計學或是以基本上的定義來講的話,functional connectivity,他其實就是在有點像是描述兩個腦區或是兩個不同地區發生的神經事件,所以就好像你看右邊這個圖,這是一個大腦,假設你今天有三個有興趣的區域,我們叫region of interest,
402440	431840	叫1233個,那你看到這個紅,呃,藍色紅色綠色這個線呢,是指他們的,呃,我們在這邊講time course,因為我是用FMI的例子來講,那這個就是他們因為神經元產生火化造成的訊號的改變,我們就用這些訊號來當作研究最基本的,有點像是你的煮菜時候的ingredient的那些,呃,食材,那你要拿到這些東西之後,你就開始用不同的方法去看他們
431840	461740	之間的關係,那當然你不一定只能用FMI,你可以用很多不同的機器,比如說腦電破EG啦,或是腦磁破MEG都可以,那只是我這邊我整個研究主軸都是用FMI,所以之後我提到的任何所謂的functional connectivity都是依據FMI的這個,我們叫他time course或time series,用這個資料來做的研究,那所以假設你今天有三個大腦,呃,三個區域,你有興趣,那第一件事情你要做的呢,就是
461740	491640	萃取他們的訊號就變成這樣子,然後之後你要做的事情是用不同的方法去計算兩個兩三腦區之間的相關性,那最常看到的是pairwise correlation,如果你用那個pairwise correlation的話,你就會看到很多數值,那通常比如說這個好了,這個數據是代表,呃,RI2跟RI1之間的關係,那如果他們是正向,比如說像這個大概是差不多
491640	521540	0.5左右,這樣的話,我們就代表這個區域跟這個區域之間是有連結性的,那這個,呃,對角線這個就先不要看,因為自己跟自己他意思是說自己跟自己是有連結性,但這不是一個正常的狀況,那是因為我們在計算的時候,所以通常我們計算完這個,得到這個矩陣之後呢,我們會把對角線強迫他變成零,好,然後這個主要就是,呃,
521640	550940	大概我們會用的方式,那當然在這個部分,你不應該用pairwise correlation,現在有很多人用不同的方法,比如說,呃,partial correlation,mutual information,或是covariance,有很多方法可以用,那沒有一定說哪個方法比較好,就其實只是要看你到底想要看到的,想要觀察的是什麼,好,那之後呢,就是我們得到這些矩陣之後,就一定會,呃,會好奇說,那我們之後到底要幹什麼,
551340	577540	因為有很多人其實得到這個矩陣之後,就發現有個很大的困難點是,你有太多訊號,然後有太多資訊,你不知道怎麼去報導這個資訊,所以之後我接下來的這一張講的,就是用一些新穎的方法,讓你可以,呃,有點像是報導出來一些數字,讓大家知道這些數字代表了這個整個matrix到底有,呃,多不同,
578540	596340	哦,下,哎,耶,等我一下哦,好,所以剛剛是我們已經拿到矩陣,那拿到矩陣之後呢,我現在今天要講的,其實只有主要只有兩個,一個叫graph theory,然後另外一個叫dynamic functional connectivity,
597180	625980	不好意思,不好意思,讓我打斷一下,好,就是那個跟大家說一下哦,如果大家中間有問題的話,那大家可以貼在那個chat這個地方,就打著,然後我在找時間來問,或是或是素卿,如果你有哪邊覺得比較適合問題,你也可以提一下,然後我就把大家貼上來的問題問,因為我在之前講者也有說,在講的時候會看不到那個chat,所以不知道大家問的問題哦,
625980	651500	那如果大家有問題就可以用這種方式,好,就這樣,好,我講完了,好,那那在講graph theory之前有沒有什麼問題先解釋一下,要把解釋一下的,沒有的話,那就繼續嘍,然後這邊會有一點,呃,稍微有一點點抽象,那我盡量講,如果有問題的話,等一下我們可以繼續討論,
651940	680380	嗯,如果有念數學的人都會知道graph theory其實是數學其中的一個分支,嗯,它的目的在於有點像是描述兩個點之間的關係,就是用圖像的方式去描述兩個點的關係,那應用在神經科學的話,對我們來講,它是一個很好的工具,因為用graph theory的話,你可以,呃,得到很多不同的數值,那每一個數值其實就代表了這個網路的某一種特性,
