start	end	text
0	2560	問題的話,可以直接在那個chatbox裡面
4560	6560	沒有,他只是說開始錄影
6960	9560	因為剛剛我按的時候,他跟我說我的記憶體滿了
9560	11060	好,我現在要關麥克風了喔
11060	11800	好,掰掰
12300	12800	好喔
13800	14300	好
15100	17100	對,所以等會如果有問題的話
17100	19660	可以直接在你的那個chatbox裡面
19660	21900	打問題,或是你就可以直接
21900	23800	打開你的麥克風問問題,沒有關係
23800	26400	然後,因為實際上這份投影片
26900	30500	如果我是講給,就是做生物數學的人聽的話
30500	31500	大概是二十分鐘
32200	35400	但是,實際上我覺得他應該會遠遠超過
35400	38600	因為,我希望可以讓大家
39200	40800	讓就算不是生物數學背景的人
40800	42900	也稍微搞清楚我在幹嘛
42900	44000	這樣,至少有個概念
45400	45900	好
46100	47700	那,那我要開始囉
48100	50300	我今天的主題,主要就是在
50800	52000	討論說呢
52300	56400	一顆細胞,他如何決定他自己要往一個方向長
57100	59100	像你看到我現在投影片的
60100	61700	左邊的那一顆神經細胞
61700	63000	他只往一個方向長
63900	65900	或者是他要往很多個方向長
65900	67400	像右邊那顆神經細胞
67400	69300	他就是一直往很多個方向長這樣
69900	73400	那,他到底是怎麼控制的這樣一個機制
73700	76000	那,這其實是一個非常非常大的問題
76000	76900	然後,在
77300	78800	在不同的生物系統裡面
78800	81400	他們可能會用不同的方式去控制
81400	83000	但至今並沒有人
84100	85400	好好的
86100	87600	問這個問題實際上
88100	88600	那
89400	92000	我今天會就我們已經知道的
94000	94700	生物在
95200	97900	往特定方向長這樣的一個機制
98300	100000	就我們理解這個機制
100000	101700	然後去研究這樣子的機制
101700	103800	他有什麼樣子的性質
104300	106400	可以決定他要往一邊長
106400	107700	還是往多邊長
108700	110700	那,所以我今天的題目是
110700	113700	Principles that govern competition or coexistence
113700	116200	in rho-GTPase-driven polarization
116600	119900	rho-GTPase是一種蛋白質
120500	121900	那它是一個很有趣的蛋白質
121900	124100	我們今天整個全部都會圍繞在那上面
124400	127100	然後Polarization這個字的意思
127100	129200	我現在跟大家解釋一下
130300	132300	首先其實對一顆細胞來講
133100	134300	我們做model的人會
134500	135800	會很常會想像說
135800	137800	好,我要如何去model一顆細胞
140600	141800	一般大家會想像
141800	144600	有一個細胞膜
144800	146600	然後裡面有細胞質
147000	148500	然後裡面有細胞核
148900	151100	然後細胞核裡面有DNA
151100	152300	DNA我們先不管它
152300	153600	然後所有的蛋白質
153600	154900	就在你的細胞質裡面
154900	156700	飄啊飄啊飄啊飄飄飄飄
157400	158100	那
158700	160400	這時候如果有人問我說
160600	162900	細胞質裡面的那個蛋白質
162900	164400	它的濃度大概多少
165300	165900	然後
167000	168200	不同蛋白質不一樣
168500	169800	那譬如某個蛋白質
169800	170600	我大概就跟你說
170600	172800	好,這個蛋白質在細胞質的濃度
172800	175300	大概是這麼多某個固定的數字
176200	177800	這時候其實我們做一個假設
177900	180400	就是說整個細胞是均質的
180900	182000	就是整顆細胞
182000	183500	它的細胞質裡面
183700	185300	同一顆蛋白質的濃度
185300	186700	基本上都是一樣的
188300	190100	如果在這樣子的狀況底下
190100	192500	一顆細胞它其實沒有辦法分辨
192500	194100	哪一邊是頭哪一邊是尾
195400	196900	以一個人來說好了
196900	198700	就是要分辨頭和尾
198700	200100	是一件非常重要的事情
200100	200900	因為首先你要知道
200900	202200	你還在哪裡長頭
203000	206000	然後你甚至需要分前端後端
207000	208200	前端後端
208200	209300	背側、腹側
209300	210500	左側、右側
210800	213200	所以很多這樣子的不對稱性
213200	215400	是對生物體來講是非常重要的
215500	217200	那不只是就人而言
217200	219000	這樣一整個體的東西
219300	220500	就一個細胞而言
220500	222600	這也是一樣重要的事情
223300	224200	譬如說
224600	226200	如果這是一顆會動的細胞
226700	228400	譬如說如果這是一顆細菌
228800	230700	它會需要知道它要往哪裡游
231400	232000	對不對
232000	233200	它有一邊要長尾巴
233200	234200	尾巴會甩甩甩
234200	235500	然後它就往另外一邊游
237000	238300	那如果今天
238300	240000	就算不是一顆會動的細胞
240000	241000	它可能是
242400	246200	譬如說你的長道的黏膜細胞好了
246600	248800	它需要分得出它哪一邊是
248800	250500	就是有食物
251100	252700	或是大便的那一側
252700	254800	然後哪一邊是有血管的那一側
254800	255300	對不對
255500	256900	因為它要試圖把養分
256900	258800	從一側運到另外一側來
259100	260400	所以這個運送的過程
260400	261600	它需要先知道哪邊是頭
261600	262400	哪邊是尾
262500	264900	它才知道它要從頭運到尾這邊過去
265500	268700	那所以對生物細胞來講
269000	272500	要建立這個前後端的軸線
272500	274200	是一件非常重要的事情
274900	277600	那通常這件事情在達成的方式
277600	278400	就是說
278700	280100	某一個蛋白質
280400	283000	它原本可能是在細胞裡面
283000	284600	是完全均質的分布
285100	287500	它需要經過某樣子的過程
288500	290700	聚集到細胞的同一端去
291400	292800	然後從那一端
293200	294000	譬如說
294300	297400	它就從那一端開始引導細胞的骨架
297400	298500	從那邊長出來
299300	300800	那細胞譬如說
300800	303000	它如果要分泌蛋白質出去的話
303400	304600	那個分泌的球球
304600	307200	它會沿著那個細胞骨架段往前走
307700	309600	它首先需要先把蛋白質聚到那一側
309600	310600	長出細胞骨架之後
310600	311800	才讓大家往那邊走
312300	314600	如果這個是一顆腸道細胞的話
314800	317600	它顯然就需要先長出一個細胞骨架的
317800	319800	往哪一個方向的這個極性之後
320000	320700	要把它走
320900	322300	那這一切的源頭
322300	324000	就是在於我們需要
324200	326700	把某一個蛋白質給colorize
327200	328800	就是我們說極化
329000	330900	需要讓它聚到同一端去
333000	333500	那
335400	337300	在這個極化的過程當中
337300	340900	其實不只是建立一個軸是一個問題
341500	342300	另外一個問題就是
342300	343600	你要建立一個軸呢
343600	345400	還是你要一次建立很多個軸
346600	348600	假設你要運送東西出去好了
348600	350400	你要一次運送到一個地方呢
350400	352600	還是你要一次運送到很多個地方去
353600	354600	譬如說在
354800	356300	你們現在看到的這個是
357700	359600	海馬迴的神經細胞
360300	361500	那實際上不管任何神經細胞
361500	363300	大概大致上它的發育是這個樣子
363300	363900	就是說
364100	365800	一開始它只會往一端長
366600	368300	它在很小的時候它只會往一端長
368600	370300	後來它會開始往很多地方長
370900	372000	這些很多地方
372400	374200	往很多端長的這些
374300	376200	突出出去像樹狀的東西
376200	377500	我們叫樹突
378300	380600	那樹突是這顆神經細胞
380600	382800	拿來接受訊息的地方
383600	384800	那長完樹突之後
384800	386400	它會開始長軸突
386500	387900	它就只往一端長
388300	390100	一顆神經細胞它有很多顆樹突
390100	391700	但是它只會有一根軸突
392000	393700	所以它需要從長很多端
393700	395100	切換到只長一端
395400	397700	然後那根軸突會長得很長很長很長
398200	400400	把這顆神經細胞接收到的訊息
401100	404400	同樣的都傳到同一個下游去
406100	407600	那所以顯然對神經細胞來講
407600	408500	它什麼時候要長一端
408500	409400	什麼時候要長很多端
409400	410900	是一件非常重要的事情
411200	413300	那這就是我今天最主要的問題
414000	416700	我們實驗室其實並不是做神經細胞
416700	418400	我們實驗室是做酵母菌的
418500	419600	酵母菌就是
420000	421000	上面那個
422300	424000	上面那個只有一顆的那個東西
424400	424900	它叫做
424900	427000	它的學名是Saccharomyces cerevisiae
428700	430000	總之酵母菌呢
430500	432300	酵母菌就是我們釀啤酒
432300	433700	或是啤酒酵母
434000	435600	或是做麵包也要酵母
436000	437100	的那個東西
437400	439000	那我們常常會遇到它是因為
439000	441200	你要是把它放在無氧的空間裡面呢
441600	442800	它就會
442800	443900	它在吃糖的時候
443900	445500	它會把它代謝成酒精
446000	448200	然後人是一種荒淫的生物
448200	449300	所以就很愛喝酒
449300	450500	所以我們很喜歡酵母菌
451000	452200	那另外就是說
452200	453300	常常會利用酵母菌
453300	455600	它就是做出很多的二氧化碳
455600	457500	然後會讓麵包膨鬆
458000	459100	anyway 這是冷知識
459100	460900	我只想跟大家講說什麼是酵母菌
461300	462900	酵母菌就是我們上面看到那一顆
463500	464800	酵母菌它會做的事情是
464800	465800	它會出芽
465800	468400	就是高中如果你有念生物的話呢
468600	471700	就會學到出芽生殖這個名詞
471700	472300	就是說
472500	473200	酵母菌呢
473200	473800	它的
474100	475800	它生小孩的方式是
476300	479200	它會先努力的把某個蛋白質聚到一端
479900	481700	那一端會變成它的頭
482000	484500	它會從頭那邊長出一個芽
485300	486900	芽就會變成它的
487400	488200	它的小孩
488300	490300	然後這個芽子會再分裂出去
490300	491200	就變小孩了
492800	494300	這是酵母菌生殖的方式
494500	495900	所以對酵母菌來講呢
496100	498800	它要只長一個頭是非常重要的事情
500300	501300	原因是什麼呢
501300	503300	因為它在分裂生殖的時候
503300	504800	它的DNA會分成兩份
505200	506900	然後平均的一份分給小孩
506900	507900	一份自己留著
508400	510600	今天萬一它長了兩顆頭的話呢
510600	512200	它就會長出兩個小孩
512400	513200	這時候它就不知道
513200	514600	它怎麼分自己的DNA
514900	516000	很多時候那個小孩
516000	517400	就只會拿到半份DNA
517400	518500	然後它就死定了
518500	519300	基本上是這樣
519600	520800	所以對酵母菌來講
520800	521900	它要只長一個頭
521900	523400	是一件非常重要的事情
524000	526300	可是同時對一個
526700	527900	下面這一隻
528100	529700	它也是另外一種真菌
529900	532100	但是它是會長菌絲的那種真菌
532300	534100	但是酵母菌是非常近的親戚
534100	536100	他們基本上用同樣一套系統
536100	537800	在決定他們要怎麼長頭
538800	541900	但是這個會長菌絲的這個真菌呢
541900	543700	我們叫做Ashbya Gossypia
544400	545800	這一隻真菌呢
546100	548300	它不是只往一端一直長一直長
548300	549400	一直長一直長而已
549400	550300	因為如果這樣的話
550300	552100	顯然它就會長成一條水管嘛
552100	553300	它就會變成是
555000	556600	是隻很廢的真菌
557000	557700	那對它來講
557700	558700	一件很重要的事情就是
558700	559700	它需要分岔
560200	561500	它如果今天可以長開
561500	563500	然後往前長分岔
563700	564900	每一個人再各分岔
564900	565800	它就可以長長長長
565800	567200	長成一個秘密的網
567500	568200	那個秘密的網
568200	570000	它就可以吸收到整片的
571200	572300	土地也好
572300	574100	或是樹幹也好的養分
574600	576000	所以對這些真菌來講
576000	578300	一次長很多頭是一件重要的事情
578900	581700	可是偏偏控制它們怎麼長頭
581700	584000	就是決定它們的頭尾端的這個
584400	585600	這個蛋白質呢
585600	587700	是同樣一種蛋白質
589400	590500	這種蛋白質我們叫做
590500	594000	Rho-GTPase
594000	595300	就是它叫Rho
596200	597500	這蛋白質叫Rho
599000	601100	那anyway
601100	602600	今天最重要的問題就是說
602600	605700	這個Rho-GTPase這種蛋白質
605700	607900	它同樣的一套機制
607900	608900	為什麼有辦法決定
608900	610400	這兩種不同的結果
610700	612700	那到底是什麼樣子的方式
612700	615200	可以控制它要長一端還是長兩端
618300	621300	今天我的演講會分為兩個部分
621300	624900	一個部分是我從理論的方面
625300	626700	去探討說這個
627200	629000	Rho-GTPase這顆蛋白質
629000	631700	它到底是怎麼樣
631900	634100	從一個在細胞裡面均質的狀態
634100	635600	變成聚集到同一端的
635800	637400	那這個機制又怎麼樣子
637400	639600	可以決定它要長一端還是長兩端
639900	640800	這是第一個部分
641200	643400	那這一部分主要都是用到
643400	644300	片尾分房層
644300	646100	和一些比較先進代數的東西
646500	649000	那第二個部分是說
649000	651500	我想要從實際上的生物體
652200	653400	實際上我是用酵母菌
653900	654800	去驗證說
654800	656000	好我前面的理論
656000	657800	那些得到的知識
657800	661400	或是得到的一些法則
661400	663500	是不是適用在這個生物體身上
663700	664700	所以我今天會分兩部分
664700	666400	一部分會非常數學
666400	667600	就是大家會看我在那邊抖
667600	668600	也不會倒視紙
668700	670200	但是就是會看到我在那邊秀視紙
670200	672700	然後看我的貓都在跑的樣子
672900	673700	那另外一部分
