start	end	text
0	6000	哇,现在应该已经看到荧幕了,我开始录影了,我看得到,我看得到。
30000	41000	2011年,我参加了几个研究,在2014年,我参加了Citrine的研究室。
41000	58000	主要,我们专注于两种光学,两种光学现象,基本上是非线光和数字光。
59000	72000	我的讲座已经安排好了,我首先介绍一下我们关于这个研究和我们为什么要做这个研究的原因。
72000	77000	接下来,我将进行两个设置。
77000	91000	一种是半导弹雷射,我将介绍设置和我们在过去两年工作的一个应用。
91000	104000	接下来,我将谈论一颗光源发射器,因为我们现在能够一颗光源发射。
104000	111000	我们将谈论,当我们在镜子前放置一颗光源发射器时,
111000	121000	我们希望观察到一些复杂或复杂的现象。
121000	130000	我先开始非常基本的讨论。
131000	136000	这是最基本的评论系统。
136000	142000	它非常普遍地使用在机械工程上,
142000	146000	当人们研究控制理论时,
146000	151000	他们将放置一颗光源发射器在任何地方前,
151000	159000	然后使用量化效果来返回系统中,
159000	164000	观察他们所观察到的现象。
164000	167000	大部分的人都想控制它们,
168000	171000	这在控制理论上是一个很大的问题,
171000	177000	当他们尝试研究这些动态系统时。
177000	184000	我尝试减少我们所有的数量计算,
184000	189000	这是最简单的计算,
189000	191000	这是动态计算。
192000	194000	动态计算,
194000	201000	而不是原来的实验室计算,
201000	204000	可能是因为我们有回复,
204000	207000	所以我们会有延迟时间,
207000	209000	我们会有回复的力量,
209000	211000	或者其他东西,
211000	215000	包括在动态计算的研究中。
216000	220000	所以这些可能是在使用光源,
220000	223000	在这些图片中,
223000	227000	我展示了两个不同的设置,
227000	231000	一个在左侧,
231000	238000	是一个内存光源路径,
238000	242000	一个内存光源路径,
242000	250000	内存在这些小的光源或光源元件中。
250000	254000	基本上,
254000	265000	它们会在强烈的波浪中生成数据,
265000	269000	我会在更详细的地方讨论,
269000	273000	但是它是一个研究系统,
273000	276000	人们可以使用它来生成氧气,
276000	279000	或其他氧气源。
279000	281000	所以右侧的那个,
281000	283000	是一个非常相似的设置,
283000	285000	如果你想象一下,
285000	287000	半导弹,
287000	289000	一颗导弹,
