start	end	text
0	9000	大家好,我是今天的主持人,我是張彥勇。
9000	18000	我們現在要進行我們今年的第23場Tarot Talk。
18000	25000	我們今天很榮幸請到我們的講者是王琳亞博士,她是我台大的學姊。
25000	43000	琳亞在台大念一技系,後來在台大微生物所的博士班畢業之後,現在來到南加大,其實也就是我們的鄰居,所以我們見過面蠻多次的。
43000	54000	在做博士後,琳亞的研究專長是病毒學,也就是她今天要給我們講的主題相關的領域。
54000	65000	她今天要講的題目是Molecular Biology Study of Hepatitis C Virus and Autophagy。
65000	75000	我們現在就歡迎琳亞博士。
75000	82000	還有兩件事情要提醒大家,第一件事情就是,大家如果沒有要發言的時候,要把麥克風關掉才不會有雜音。
82000	90000	第二個就是,鼓掌的時候記得把麥克風打開,講者才會聽得到。我們現在就歡迎我們的講者。
90000	100000	大家好,我是琳亞。就像剛剛主持人講的,我現在在南加大做博士後,我主要是做病毒學的研究。
100000	114000	病毒學其實大家看電影會覺得說好像就是穿著白袍在實驗室走來走去,但是其實我們這個學科最常用到的技術就是分子生物學,Molecular Biology。
114000	125000	所以我今天講的內容會主要介紹一些Molecular Biology的方法,跟它是怎麼用來研究病毒。
125000	130000	還有Autophagy,這三個東西我等一下都會分別講一下。
130000	141000	Molecular Biology,分子生物學,大家可以想像一下,生物是一個很大的個體,可是分子生物就是一些小分子。
141000	148000	我們在中學的時候都有學過說DNA會轉入成RNA,再轉移成蛋白。
148000	156000	所以其實所謂的基因都是在DNA上面,然後經過一整個系列的合成,它才會變成蛋白。
156000	165000	我們做病毒幾乎所有的研究都是在研究不是DNA,就是研究RNA,就是研究蛋白。
165000	169000	那這些東西因為都很小,所以其實肉眼是看不到的。
169000	182000	所以我們的實驗常常都是在一些很小的體積的透明的液體,例如說100mL甚至到1mL那麼小的體積在操作實驗。
182000	192000	那基本上因為眼睛看不到,所以其實如果一旦雛形,你可能就不知道是拿的哪一罐都長一樣,你就不知道了。
193000	199000	那這是主要分子生物學大概就是在看自己的DNA、RNA或是蛋白的表現。
200000	210000	那剛剛有提到細胞,就是這是中學也有教過的,就是細胞就是會長這個樣子,有細胞核、細胞質、細胞膜,然後裡面有很多胞器。
210000	216000	但是課本當然就是會把它畫得比較可愛,比較賞心悅目。
216000	222000	但是實際上在電線之下的細胞裡面是填得很滿的。
222000	227000	你可以看到這是細胞核,然後細胞膜,這中間就是細胞質。
227000	235000	那細胞質裡面充滿了各種胞器,所謂的胞器其實都是由很多的膜去組成的各種泡泡。
236000	242000	那這個是更放大一點,大家可以看到裡面這些有很多的膜、很多的泡泡。
242000	247000	這些膜跟泡泡,這些膜其實都是脂肪,都是類皮組成的。
247000	263000	那不同的泡泡都有不同的功能,像有一些是在生產能量的,有一些是在製作蛋白的,有一些是在做氫道服的,就是在幫我們細胞維持一個好的運作,需要這些胞器。
265000	271000	在這麼多的胞器裡面,今天要講的autophagy,它其實是一個氫道服的工作。
271000	289000	簡單來說就是當我們細胞裡面有老舊的胞器或是做壞掉的蛋白,或甚至說有病毒感染,有外來的東西的時候,都是靠這個氫道服來去把這些壞的或老的東西給清掉。
289000	304000	那既然它是氫道服的功能,它自然就會跟細胞的死亡或是癌症,或者像我們的免疫反應,因為免疫反應也是要去清除掉一些病毒或細菌那邊來的壞東西。
304000	321000	那例如說神經退化疾病啊,這些都跟這個氫道服autophagy的功能有關係。那我們今天主要是針對infectious disease,就是感染性的疾病,那病毒就是一個感染性的疾病這一塊來講。
321000	345000	那autophagy它的功能主要就是,這是細胞膜,這是咖啡色的細胞膜。那我們可以看到就是我們細胞裡面很多的膜,它就是從一個弧形,就是一些脂肪組成的一個小膜,它會慢慢的變長,然後變成一個泡泡。
345000	361000	那這個泡泡裡面就是會包著它等一下要去消滅掉的那些壞東西。那之後呢它會跟這個,這個泡泡叫autophagosome,因為這個我不知道怎麼講成中文,所以就麻煩大家記一下這個叫autophagosome。
361000	384000	那它跟這個autophagosome,這個泡泡裡面帶的是很多的酵素,這些酵素就是專門在分解蛋白用的。所以當這兩個膜融合在一起之後,就等於它們細胞裡面的物質就互通了,那這個酵素呢它就會去把該要分解掉的蛋白都分解掉。
384000	408000	那再進入更後面的過程的,我稍微講一下,就是每一個學科都有它的應用科學或者是基礎科學,那我所做的病毒學是非常非常基礎科學的,就是真的就是純粹在研究說細胞裡面什麼蛋白、什麼胞器會跟病毒的哪一個什麼東西結合做反應。
408000	429000	所以當大家問我說那你有沒有在做藥啊,有沒有在做疫苗啊,甚至有沒有治療癌症啊,跟臨床那些都沒有關係,所以當我們講到就是很基礎科學的病毒學的時候,很多人就會覺得蠻無聊的,那今天就是希望大家能稍微了解一下這個領域。
430000	441000	所以這個就是autophagy是怎麼進行的,從一個簡單的膜然後變成圈圈,然後最後融合了分解酵素,把蛋白分解掉就清楚了。
441000	470000	那這個圖呢,大家可以看到這個就是那個小膜,然後它會慢慢變成一個完整的圈圈,那最後融合那個會分解蛋白的這個叫做autolysosome,那有非常非常多的其他的蛋白會去調控這整個過程,因為膜它不會自己自動的就融合在一起,一定是有蛋白去調控的。
471000	493000	那我們可以看到當這個phagophore它還是一個片段的時候,會有一個蛋白叫atg5,它會專門就是結合在這個膜上面,那所以當我們在監控,我們細胞裡有那麼多的膜,當我們特別要監控這個片段的膜的時候,我們會去看atg5這個蛋白的表現。
493000	518000	所以這個atg5表現多就表示這個膜也多,所以我們稱這種東西叫marker,就是專門在mark這個東西的,那autophagosome它上面的marker就是LC3,所以等一下的實驗裡面如果有講到atg5就是它就是在mark這個膜,然後如果講到LC3的話就是在mark這個autophagosome這個泡泡。
518000	545000	那最後怎麼知道說那個蛋白有被分解掉呢?就是有個叫p62的蛋白,它每一次在autophagy它都會被包進去裡面,所以它最後如果有被分解的話,我們就可以看到p62它的表現量就會下降,所以就是這三樣東西是我們主要在做autophagy的時候在監測它現在走到哪一步的方法。
546000	563000	那為什麼我們要研究病毒跟autophagy?就是剛剛有提到說autophagy它清道夫的功能,它可以把外來的,例如說病毒的蛋白清掉,那照理來說autophagy應該是有利於我們對抗病毒才對。
564000	583000	但是先前有很多研究發現有一些病毒它反過來會去利用autophagy然後對它自己本身病毒的複製有幫助,所以這其實是一個很典型的就是病毒綁架了我們細胞裡面的機制,然後來讓它自己複製。
583000	612000	那病毒其實是一個介於生物跟非生物之間的東西,為什麼會說它是非生物?因為我們生物的細胞是有細胞核,然後細胞質裡面有很多的胞器可以製造能量,可以合成蛋白,可以做很多的事情,而病毒都沒有,它就是中心有一些散的DNA或RNA,然後外面就是一個蛋白形成的一個殼,就這樣而已,就是裡面是蛋白,外面是殼,就這樣沒有別的東西。
612000	633000	所以它自己本身是沒有生物的能力的,但是又因為它裡面包了DNA、RNA這些遺傳物質,所以它又算是生物,所以這就是介於生物跟非生物之間,那病毒它自己一顆這樣子的時候是沒有生命的能力的,它一定要感染細胞。
634000	645000	所以當我們在外面,其實你不太會遇到有活力的病毒在外面飄來飄去,它在外面它就死了,它一定要感染細胞。
645000	668000	我們知道像細菌或細胞的複製都是1分為2,2分為4,4分為8,所以如果我們去看它生產的量,我們就會發現它是一個log曲線,然後當它養分或空間到達一定程度之後,它就會開始死亡,這就是一般細胞應該要有的生長曲線。
668000	689000	但是病毒它的組裝很不一樣,它是在我們的細胞裡面組成非常非常大量的DNA或RNA,還有很多這些它外面那個殼的蛋白,所以它是有點像那種工廠,就是大量組裝零件,然後當它真的要出貨的時候,它才把它全部都組起來。
689000	702000	所以我們如果看到病人的血液裡面的病毒,我們會發現病人的血液裡的病毒會一開始先下降,因為病毒通通都跑到細胞裡面去,所以我們偵測不到。
702000	730000	然後在第二個階段,就是病毒在細胞裡面,它就是在生產這些零件的時候,我們就會覺得好像看不到什麼病毒,然後最後它組裝好了之後,它會一口氣全部把它放出去,所以是一個解體狀的爆炸,所以才會讓病毒感染的病人有時候覺得我好像好了,沒有什麼症狀,但是突然之間又非常的虛弱,就是因為病毒就通通都爆發出來了。
730000	735000	所以這就是病毒跟一般細胞複製不同的地方。
736000	762000	那C肝病毒,就是肝炎病毒有很多種,就是例如說A肝、B肝、C肝,有到D、E、G,那其實比較多人在研究的是A到E,那其中A跟E是吃了不乾淨的東西,就是吃了有病毒污染的東西而導致感染,那A跟E都是生個病,幾星期過了就沒事了。
763000	787000	可是B、C、D的話,它們都會回到上一個,就是大家可以看到說它在組裝的過程,就是當它還藏在我們細胞裡面,這個就叫潛伏期,所以就是在這個階段我們的細胞沒有偵測出來有異物在裡面,然後它就可以逃過我們的免疫系統。
788000	795000	所以這就是為什麼有一些病毒感染最後會導致變成是慢性病,就是它就在我們細胞藏起來。
796000	810000	那C肝病毒它會有急性期,但是它也可以變成是慢性的肝炎,那慢性肝炎最後也有機會演變成肝癌,那不是每一支病毒都會變成肝癌。
811000	823000	所以就是,因為目前這個C肝病毒還蠻,世界上還非常,幾million的人都還有這個病,所以它還是蠻多實驗室在研究的。
824000	835000	那C肝病毒它是一個RNA病毒,那簡單來講就是當它感染細胞之後呢,它會脫殼,然後它的那個RNA這個遺傳物質就會跑出來。
836000	852000	那它首先做的第一件事情就是先去搶劫我們細胞裡面專門在做蛋白的這個機制,叫內質網,那它去搶劫這個機制之後,就是有點像是說不要再做細胞的蛋白了,先做我的蛋白。
