start	end	text
0	2000	這也是畫類似的圖
2000	4000	這個是半徑
4000	6000	然後這個是分佈
6000	8000	亮度分佈圖
8000	10000	所以說你發現這個HSC HBAN
10000	12000	就是鏡紅外光 所以就是恆星
12000	14000	它分佈是比較廣
14000	16000	然後SARS它分佈是比較集中
16000	18000	集中在比較
18000	20000	比較
20000	22000	比較近的Radius
22000	24000	所以就是告訴你說
24000	26000	呃
26000	28000	這些塵埃呢 它們是比較compact
28000	30000	星系的中心 然後恆星呢
30000	32000	卻是四處亂跑
32000	34000	這就告訴你什麼呢 告訴你說
34000	36000	這些SMG
36000	38000	它們應該就是Major Mergers
38000	40000	所以我剛剛之前說它是兩個星系對撞
40000	42000	當你兩個星系對撞的時候
42000	44000	這些恆星 它們就在四處亂跑
46000	48000	因為呢 恆星 當你兩個星系對撞的時候
48000	50000	恆星呢
50000	52000	基本上你可以當作它們是Collision
52000	54000	它們彼此不會
54000	56000	彼此
56000	58000	彼此牽制只有中立而已
58000	60000	因為兩個恆星不會那麼剛好就撞在一起
60000	62000	你懂我意思嗎 因為這個宇宙是很寬廣的
62000	64000	很寬廣 然後
64000	66000	恆星 你就想像它們是一顆一顆的撞球
66000	68000	但是呢
68000	70000	你就是有一坨撞球
70000	72000	左邊一坨撞球 右邊一坨撞球
72000	74000	然後你把
74000	76000	往互相推
76000	78000	可是大部分的撞球呢 只是互相經過
78000	80000	也沒有互相撞在一起
80000	82000	因為這個宇宙的空間是很大的
82000	84000	然後恆星的體積很小
84000	86000	所以恆星不會
86000	88000	基本上不會互相撞在一起
88000	90000	所以它們就會在空間中亂跑
90000	92000	就會像這個樣子
92000	94000	它們彼此 恆星之間會互相影響
94000	96000	就只有中立而已
96000	98000	可是Dust就不是
98000	100000	Dust其實是來自於 一開始是來自於氣體
100000	102000	氣體呢
102000	104000	當兩個星系對撞的時候
104000	106000	氣體就會互相撞來撞去
106000	108000	然後它們就會失去它們的動能
108000	110000	OK 然後氣體失去動能以後
110000	112000	它們就會
112000	114000	因為中立而落到
114000	116000	而落到這個星系的中心
116000	118000	因為中立嘛 就掉進去核心的那個
118000	120000	Gravitational Well
120000	122000	然後呢 氣體到核心以後
122000	124000	它們就 它說就會
124000	126000	形成新的Stars
126000	128000	新的恆星 它們就產生Star Formation
