start	end	text
0	2000	OK
2000	4000	好
4000	6000	那先歡迎大家
6000	8000	參加我們這個
8000	10000	今天的TERRA演講
10000	12000	然後今天的講者呢
12000	14000	是張彥永先生
14000	16000	他現在是這個Caltech的
16000	18000	物理
18000	20000	天文物理的
20000	22000	博士生
22000	24000	然後在到Caltech之前呢
24000	26000	他在台大物理
26000	28000	跟台大機械
28000	30000	念過書這樣子
30000	32000	然後呢在台大的時候他做的是
32000	34000	加速器
34000	36000	比較是加速器一半天文一半加速器的
36000	38000	這個高能物理實驗
38000	40000	那現在到了這個Caltech呢
40000	42000	他現在專門做的是這個
42000	44000	暗物質的
44000	46000	的實驗喔
46000	48000	然後是比較偏天文的
48000	50000	所以呢今天的這個
50000	52000	演講啊
52000	54000	主要會在
54000	56000	我的理解啦
56000	58000	就是這個
58000	60000	主要在於他們在
60000	62000	設計的實驗的內
62000	64000	怎麼樣去探測
64000	66000	做他們的這個Detector
66000	68000	的一個過程
68000	70000	的其中一個部分這樣子
70000	72000	要跟大家分享一下
72000	74000	就是
74000	76000	然後另外一些呢跟今天的演講
76000	78000	比較沒關係啦但是跟講者很有關係
78000	80000	就是在研究
80000	82000	之外的生活呢張彥永是一個
82000	84000	很有紀律的
84000	86000	自主訓練
86000	88000	自主訓練運動員
88000	90000	練得還不錯練得非常好
90000	92000	然後大家如果有興趣
92000	94000	討論這個
94000	96000	關於跑步啊腳踏車啊
96000	98000	衝浪啊他都很有心得
98000	100000	也很喜歡跟大家討論
100000	102000	這些事情
102000	104000	然後最後呢就剛剛大家其實已經聽到
104000	106000	我本來要講的就是今天呢
106000	108000	是張彥永的生日其實不是昨天是今天
108000	110000	我不知道為什麼張彥永
110000	112000	張彥永剛剛是說
112000	114000	昨天生日所以昨天喝很醉嗎
114000	116000	不過能醉到忘記自己生日
116000	118000	也是蠻不容易的
118000	120000	所以我決定在這邊幫張彥永唱一下
120000	122000	生日快樂歌
122000	124000	祝你生日快樂
124000	126000	祝你生日快樂
126000	128000	大家可以把麥克風打開一起唱
128000	130000	祝你生日快樂
130000	132000	祝你生日快樂
132000	134000	祝你生日快樂
134000	136000	祝你生日快樂
136000	138000	好
138000	140000	那就歡迎張彥永
140000	142000	來跟我們分享一下
142000	144000	他的研究
144000	146000	我把麥克風關掉囉
148000	150000	你們聽得到我講話嗎
150000	152000	因為我發現
152000	154000	新版的那個
154000	156000	那個BlueJeans
156000	158000	沒有辦法在Linux上
158000	160000	用很多螢幕這樣切來切去
160000	162000	所以我今天要講的題目啊
162000	164000	是Photon Noise
164000	166000	Estimation and Suppression for
166000	168000	Explicit Cryogenic Measurement
168000	170000	我為什麼會
170000	172000	選擇這個題目呢
172000	174000	原因是這樣
174000	176000	當然這個是
176000	178000	非常specific就是說
178000	180000	是用我們現在在做的實驗作為例子
180000	182000	但是我們都知道說
182000	184000	任何的實驗
184000	186000	要追求更高的
186000	188000	sensitivity
188000	190000	目前一個世界上的趨勢
190000	192000	就是我們會越做越低溫
192000	194000	因為
194000	196000	基本的統計物理
196000	198000	就告訴我們說
198000	200000	不管是什麼系統
200000	202000	他的那個noise
202000	204000	基本上是跟溫度是正相關的
204000	206000	所以溫度越低noise就越小
